Description, Amount 
DECLOT THROM AGT VASC ACC DEVI,$401.00 
deferoxamine 500 mg solution for injection, 28.23 
DENGUE FEVER IGG AB,$39.00 
DENGUE FEVER IGM AB,$39.00 
denosumab 120 mg/1.7 mL (70 mg/mL) subcutaneous solution," 6,651.66 "
denosumab 60 mg/mL subcutaneous syringe," 3,550.65 "
DENTAL RESTORATION/ DENTOALVEOLAR STRUCTURES,$180.00 
"DERMAL TISSUE STRATTICE, PER SQ CM"," 20,341.44 "
DESMOGLEIN 1,$66.00 
DESMOGLEIN 3,$66.00 
desmopressin 0.1 mg tablet, 3.52 
desmopressin 4 mcg/mL injection solution, 188.08 
desmorpressin 0.1 mg tablet, 3.75 
DEST LESION >15 BEN/PREMLG,$457.00 
DEST LESION TRK .6-1.0CM MALIG,$287.00 
DEST LESION TRK 1.1-2CM MALIG,$258.00 
DEST LESIONS PENILE CRYOSURG,$153.00 
DEST LOCAL LESION BY PHOTOCOAG,$986.00 
"DESTR MALIG SCAL,NCK,HAND <0.6 CM",$258.00 
"DESTR MALIG TRUNK,EXTREM <0.6 CM",$287.00 
DESTRUCT BENIGN LESION 1-14,$164.00 
"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEME",$250.00 
"DESTRUCTION ANY METHOD, INCLD LASER FOR LESIONS",$164.00 
"DEVICE, IMPLANTABLE/INSERTABLE,DEVICE INTENSIVE PX, NOC"," 6,947.58 "
DEXA BONE DENSITY APPEN SKEL,$83.00 
DEXA BONE DENSITY SPINE/HIP,$174.00 
DEXAMETHASONE,$116.00 
dexamethasone 0.1 % eye drops, 161.70 
dexamethasone 0.5 mg/5 mL oral elixir, 2.00 
dexamethasone 0.5 mg/5 mL oral solution, 31.66 
dexamethasone 0.7 mg intravitreal implant," 3,999.00 "
dexamethasone 1 mg tablet, 2.00 
dexamethasone 10 mg/mL injection solution, 17.50 
dexamethasone 4 mg tablet, 2.51 
dexamethasone 4 mg/mL injection solution, 10.00 
dexamethasone sodium phosphate (PF) 10 mg/mL injection solution, 15.75 
dexamethasone sodium phosphate 4 mg/ml, 39.60 
dexmedetomidine 100 mcg/mL intravenous solution, 89.62 
dexmedetomidine 200 mcg/50 mL (4 mcg/mL) in 0.9 % sodium chloride IV, 138.63 
dexmedetomidine 400 mcg/100 mL (4 mcg/mL) in 0.9 % sodium chloride IV, 252.00 
dextran 40 10 % in 0.9 % sodium chloride intravenous solution, 82.50 
dextromethorphan-guaifenesin 10 mg-100 mg/5 mL syrup, 5.40 
dextrose 10 % in water (D10W) intravenous solution, 18.13 
dextrose 10% in water (D10W) IV Soln, 10.00 
dextrose 40 % oral gel, 9.84 
dextrose 5 % and 0.2 % sodium chloride intravenous solution, 10.00 
dextrose 5 % and 0.45 % sodium chloride intravenous solution, 12.50 
dextrose 5 % and 0.9 % sodium chloride intravenous solution, 10.00 
dextrose 5 % and lactated ringers intravenous solution, 15.00 
dextrose 5 % in water (D5W) intravenous solution, 11.32 
dextrose 50 % in water (D50W) intravenous solution, 10.00 
dextrose 50 % in water (D50W) intravenous syringe, 13.10 
"dextrose 50% in water (D50W) IV,dextrose 50% in water (D50W) IV syringe", 10.00 
DHEA,$143.00 
DHEA-S,$126.00 
DIAB SELFMGMT GRP 30 MIN,$41.00 
DIAB SELFMGMT IND 30 MIN,$70.00 
DIAGNOSTIC CATH 125 CM,$51.00 
DIAGNOSTIC CATHETER,$676.00 
DIAGNOSTIC LONG SHEATH(23CM),$54.00 
DIAGNOSTIC XCHANGE WIRE,$198.00 
DIAMONDBACK CATH,"$9,336.00 "
diatrizoate meglumine-diatrizoate sodium 66 %-10 % oral solution, 134.37 
diazePAM 10 mg tablet, 2.00 
diazePAM 2 mg tablet, 2.00 
diazePAM 5 mg tablet, 2.00 
diazePAM 5 mg/5 mL (1 mg/mL) oral solution, 195.00 
"diazePAM 5 mg/5 mL (1 mg/mL, 5 mL) oral solution", 2.30 
diazePAM 5 mg/mL injection syringe, 16.41 
diazoxide 50 mg/mL oral suspension, 887.70 
dicyclomine 10 mg capsule, 2.00 
dicyclomine 10 mg/5 mL oral solution, 5.90 
dicyclomine 10 mg/mL intramuscular solution, 101.54 
dicyclomine 20 mg tablet, 2.00 
"DIFFERENTIAL, MANUAL",$15.00 
DIGOXIN,$76.00 
digoxin 100 mcg/mL injection solution, 253.66 
digoxin 125 mcg tablet, 5.23 
digoxin 250 mcg/mL injection solution, 23.58 
digoxin immune fab 40 mg intravenous solution," 10,650.00 "
diltiazem 125 mg/125 mL (1 mg/mL) in dextrose 5 % IV, 47.92 
dilTIAZem 30 mg tablet, 2.00 
diltiazem 5 mg/mL intravenous solution, 74.69 
dilTIAZem 5 mg/mL intravenous solution, 10.00 
dilTIAZem 60 mg tablet, 2.00 
"dilTIAZem CD 120 mg capsule,extended release 24 hr", 2.00 
"dilTIAZem CD 180 mg capsule,extended release 24 hr", 2.50 
"dilTIAZem CD 240 mg capsule,extended release 24 hr", 2.00 
"dilTIAZem CD 300 mg capsule,extended release 24 hr", 2.69 
"dilTIAZem ER (XR/XT) 120 mg capsule,extended release 24 hr, controlled", 2.85 
dimethyl sulfoxide 50 % intravesical solution," 1,705.63 "
"diph,pertus(acel),tet ped(PF) 25 Lf unit-58 mcg-10 Lf/0.5mL IM syringe", 65.40 
"diph,pertus(acel),tet,polio(PF) 15 Lf-48 mcg-5 Lf unit/0.5 mL IM susp", 206.25 
diphenhydrAMINE 12.5 mg/5 mL oral elixir, 6.70 
diphenhydrAMINE 12.5 mg/5 mL oral liquid, 3.84 
diphenhydrAMINE 25 mg capsule, 2.00 
diphenhydrAMINE 50 mg capsule, 2.00 
diphenhydrAMINE 50 mg/mL injection solution, 10.00 
diphenhydramine-zinc acetate 1 %-0.1 % topical cream, 9.34 
diphenhydramine-zinc acetate 2 %-0.1 % topical cream, 5.40 
diphenoxylate-atropine 2.5 mg-0.025 mg tablet, 2.10 
diphenoxylate-atropine 2.5 mg-0.025 mg/5 mL oral liquid, 13.19 
"diphth,pertus(ac)tetanus(PF)2 Lf-(2.5-5-3-5mcg)-5 Lf/0.5 mL IM syringe", 125.97 
"diphth,pertus(acel)tetanus vac(PF) 2 Lf-(5-3-5mcg)-5 Lf/0.5 mL IM susp,diphth,pertus(ac)tetanus(PF)2 Lf-(2.5-5-3-5mcg)-5 Lf/0.5 mL IM syringe", 125.97 
"diphth,pertus(acel)tetanus(PF)2Lf-(2.5-5-3-5mcg)-5 Lf/0.5 mL IM susp", 125.97 
DIPYRIDIMOLE 10MG,$10.00 
DIRECT ADMIT FOR HOSPITAL OBSERVATION,$223.00 
"DIRECT IF , EACH ADDITIONAL AB - RL",$121.00 
"DIRECT IF, EACH AB - RL",$90.00 
"DIRECT PREP, PARASITES",$25.00 
"DISACCHARIDASES, EACH",$100.00 
"divalproex 250 mg tablet,delayed release", 2.33 
"divalproex 500 mg tablet,delayed release", 2.05 
"DNA/RNA EXTRACT AND HOLD, BM OR BLD",$103.00 
"DOBUTamine 1,000 mg/250 mL(4,000 mcg/mL) in 5 % dextrose IV", 49.38 
DOBUTamine 250 mg/20 mL (12.5 mg/mL) intravenous solution, 16.98 
DOBUTAMINE 250MG,$13.25 
"DOBUTamine 500 mg/250 mL (2,000 mcg/mL) in 5 % dextrose IV", 70.94 
"dobutamine in D5W 500 mg/250 mL (2,000 mcg/mL) IV", 70.94 
DOCEtaxel 20 mg/2 mL (10 mg/mL) intravenous solution, 977.85 
DOCEtaxel 20 mg/mL (1 mL) intravenous solution, 642.29 
DOCEtaxel 80 mg/4 mL (20 mg/mL) intravenous solution," 1,556.88 "
docusate calcium 240 mg capsule, 2.00 
docusate sodium 100 mg capsule, 2.00 
docusate sodium 50 mg/5 mL oral liquid, 21.11 
dofetilide 125 mcg capsule, 25.64 
dofetilide 250 mcg capsule, 6.22 
dofetilide 500 mcg capsule, 6.58 
dolutegravir 50 mg tablet, 165.76 
donepezil 10 mg tablet, 2.00 
donepezil 5 mg tablet, 7.83 
DOPamine 200 mg/5 mL (40 mg/mL) intravenous solution, 10.00 
"DOPamine 400 mg/250 mL (1,600 mcg/mL) in 5 % dextrose intravenous soln", 37.50 
"dopamine in D5W 400 mg/250 mL (1,600 mcg/mL) IV", 36.25 
DOPPLER ECHO COLOR FLOW,$174.00 
"DOPPLER ECHO, COMPLETE",$209.00 
"DOPPLER ECHO,F/UP/LIMITED",$218.00 
dorzolamide 2 % eye drops, 155.02 
doxazosin 1 mg tablet, 3.09 
doxazosin 2 mg tablet, 4.70 
doxazosin 4 mg tablet, 2.19 
doxepin 25 mg capsule, 2.11 
doxepin 50 mg capsule, 2.00 
DOXOrubicin 10 mg/5 mL intravenous solution, 58.25 
DOXOrubicin 50 mg intravenous solution, 760.45 
DOXOrubicin 50 mg/25 mL intravenous solution, 120.04 
"DOXOrubicin, pegylated liposomal 2 mg/mL intravenous suspension"," 5,653.97 "
doxycycline hyclate 100 mg intravenous powder for solution, 54.50 
doxycycline hyclate 100 mg tablet, 5.70 
DP(a)T-polio-hib conj-tet (PF) 15 Lf unit-20 mcg-5 Lf /0.5 mL IM kit, 266.50 
DRAIN ABS/CYST DENTAL,$271.00 
DRAIN EXT EAR LESION SIMP,$271.00 
DRAIN GLAND ABSCESS,$285.00 
"DRAIN HEMATOMA,SEROMA OR FLUID COLL","$2,346.00 "
DRAIN LESION MOUTH,$228.00 
DRAIN/ASP/INJECT MAJOR JOINT/BURSA W/US GUIDANCE,$644.00 
DRAINAGE ABSCESS TONSIL,$270.00 
"DRAINAGE FINGER ABSCESS, COMP","$1,785.00 "
"DRAINAGE FINGER ABSCESS, SIMP",$271.00 
DRAINAGE OF SCROTUM,"$3,920.00 "
DRAINAGE SCROTAL WALL ABSCESS,"$2,030.00 "
DRESS/DEBRIDE BURN 5-10% TBSA,$287.00 
DRESS/DEBRIDE BURN<5% TBSA,$287.00 
DRESS/DEBRIDE BURN>10% TBSA,$287.00 
"DRUG ABUSE SCREEN, BLOOD",$648.00 
"DRUG ABUSE SCREEN, URINE",$576.00 
"DRUG SCREEN, PRESC/OTC, UR",$83.00 
DRVVT,$55.00 
DTPA UP TO 25 MCI DX,$94.00 
"DULoxetine 20 mg capsule,delayed release", 17.50 
"DULoxetine 30 mg capsule,delayed release", 13.09 
"DULoxetine 60 mg capsule,delayed release", 5.46 
DUOD/JEJU REPLACE W/FLUORO,"$1,811.00 "
DUPLEX ARTERIAL FLOW; COMP-ABD,$502.00 
DUPLEX HEMODIALYSIS ACCESS,$354.00 
DUPLEX LE ART/BPG; BILAT,$429.00 
DUPLEX LE ARTI/BPG; UNIL-,$269.00 
DUPLEX UE ART/BPG; BILAT,$429.00 
DUPLEX UE ART/BPG; UNIL-,$269.00 
E&M-EST. PATIENT - LVL III,$42.00 
E&M-EST. PATIENT-LVL I,$37.00 
E&M-EST. PATIENT-LVL II,$37.00 
E&M-EST. PATIENT-LVL IV,$63.00 
E&M-EST. PATIENT-LVL V,$63.00 
E&M-NEW PATIENT-LVL I,$37.00 
E&M-NEW PATIENT-LVL II,$37.00 
E&M-NEW PATIENT-LVL III,$42.00 
E&M-NEW PATIENT-LVL IV,$63.00 
E&M-NEW PATIENT-LVL V,$63.00 
E. HISTOLYTICA AB,$71.00 
E.COLI SHIGA TOXIN #1,$67.00 
E.COLI SHIGA TOXIN #2,$67.00 
EAST EQUINE ENCEPH IGG AB,$75.00 
EAST EQUINE ENCEPH IGM AB,$75.00 
"EB VIRUS, EARLY ANTIGEN",$75.00 
"EB VIRUS, NUCLEAR ANTIGEN",$88.00 
"EB VIRUS, VCA IGG",$101.00 
"EB VIRUS, VCA IGM",$101.00 
EBV DNA QUANT BY PCR,$497.00 
EBV IGG,$101.00 
EBV-IGM,$101.00 
ECHINOCOCCUS AB,$78.00 
ECHO W/SPECT & COLOR DOPPLER,"$1,244.00 "
ECHOVIRUS 11 ANTIBODY,$74.00 
ECHOVIRUS 30 ANTIBODY,$74.00 
ECHOVIRUS 4 ANTIBODY,$74.00 
ECHOVIRUS 7 ANTIBODY,$74.00 
ECHOVIRUS 9 ANTIBODY,$74.00 
edrophonium chloride 10 mg/mL injection solution, 10.00 
EEG: AWAKE & ASLEEP,$448.00 
efavirenz 600 mg tablet, 98.06 
efavirenz 600 mg-emtricitabine 200 mg-tenofovir disoprox 300 mg tablet, 272.41 
EGD - REMOVAL OF FOREIGN BODY,"$1,626.00 "
EGD DX (INCL BRUSH/WASH),"$1,626.00 "
EGD W/ STENT PLCMENT INC DILATION,"$6,521.00 "
EGD W/BAND LIGATION,"$1,626.00 "
EGD W/BX SGL OR MULT (BITE/COL,"$1,626.00 "
EGD W/CONTROL BLEED ANY METH.,"$1,626.00 "
EGD W/DILAT OVER GUIDE WIRE,"$1,626.00 "
EGD W/DILATION BALLOON <30MM,"$1,626.00 "
EGD W/REMOVAL BY SNARE TECH,"$1,626.00 "
EGD W/SUBMUC INJECT(S),"$1,626.00 "
"EGD, W/DELIVERY THERMAL ENERGY, GERD TREATMT","$7,215.00 "
"EGD, W/DILAT OF GASTRIC/DUODENAL STRICTURE(S), ANY METH","$1,626.00 "
EGD-GASTRO TUBE PLCMNT (PEG),"$1,269.00 "
EGFR BY NGS,$420.00 
"EHRLICHIA AB, EACH",$57.00 
EJ AUTO AB,$66.00 
EKG,$74.00 
ELBOW AP / LAT,$248.00 
ELBOW MIN 3 VIEWS,$248.00 
"ELEC STIM, ATTENDED,15 MIN-OT",$39.00 
"ELEC. STIM, UNATTENDED, OT",$53.00 
"ELEC. STIM, UNATTENDED, PT",$53.00 
"ELECT. STIM, ATTENDED,15MIN-PT",$39.00 
ELECTROLYTE PANEL,$110.00 
electrolyte-R (pH 7.4) intravenous solution, 15.00 
electrolyte-S (pH 7.4) intravenous solution, 10.00 
ELECTRON MICROSCOPY,$600.00 
elviteg 150 mg-cob 150 mg-emtricit 200 mg-tenofo DISOPRO 300 mg tablet, 309.00 
EMBOLIC PROTECTN DEVICE (MOMA),"$4,866.00 "
EMBOLIZATON PROTECTION SYSTEM," 28,356.14 "
EMER ROOM LEVEL I,$141.00 
EMER ROOM LEVEL II,$231.00 
EMER ROOM LEVEL III,$365.00 
EMER ROOM LEVEL IV,$587.00 
EMER ROOM LEVEL V,$871.00 
EMG 1 EXTREMITY,$223.00 
EMG 2 EXTREMITY,$223.00 
"EMG EA EXT W/PS,NC,A/L/V,COM",$194.00 
"EMG EA EXT W-PS,NC ,A/L/V,LT",$194.00 
EMG-CRANIAL NERVE-BILATERAL TECHNICAL,$359.00 
EMG-CRANIAL NERVE-UNILATERAL TECHNICAL,$223.00 
EMG-LIMITED STUDY MUSCLES-1 EXTR/NONLIMB,$115.00 
EMG-THORACIC PARASPINAL MUSCLES,$115.00 
"EML4-ALK BY FISH, LUNG",$370.00 
emtricitabine 200 mg capsule, 53.65 
emtricitabine 200 mg-tenofovir disoproxil fumarate 300 mg tablet, 167.58 
enalapril maleate 10 mg tablet, 2.00 
enalapril maleate 2.5 mg tablet, 3.64 
enalapril maleate 5 mg tablet, 2.10 
enalaprilat 1.25 mg/mL intravenous solution, 10.00 
ENDO CLIP,$124.00 
ENDOMYSIAL AB IGG SCREEN,$102.00 
ENDOMYSIAL AB IGG TITER,$46.00 
"ENOLASE, NEURON SPECIFIC",$56.00 
enoxaparin 100 mg/mL subcutaneous syringe, 139.05 
enoxaparin 30 mg/0.3 mL subcutaneous syringe, 34.11 
enoxaparin 40 mg/0.4 mL subcutaneous syringe, 49.30 
enoxaparin 60 mg/0.6 mL subcutaneous syringe, 102.25 
enoxaparin 80 mg/0.8 mL subcutaneous syringe, 110.11 
ENTEROVIRUS RNA DETECT BY PCR,$191.00 
"ePHEDrine sulfate 50 mg/mL injection solution,ePHEDrine sulfate 50 mg/mL intravenous solution", 131.94 
ePHEDrine sulfate 50 mg/mL intravenous solution, 108.63 
"EPIDURAL INJECTION, INTERLAMINAR - CERV/THOR","$1,333.00 "
"EPIDURAL INJECTION, INTERLAMINAR, CONTINUOUS - CERV/THOR","$1,680.00 "
"EPIFIX/ EPICORD, PER SQ CM"," 6,916.90 "
EPINEPHrine 0.1 mg/mL injection syringe, 18.55 
EPINEPHrine 1 mg/mL (1 mL) injection solution, 21.63 
EPINEPHrine 1 mg/mL injection solution, 373.50 
EPINEPHrine HCl (PF) 1 mg/mL (1 mL) injection solution, 10.00 
"epinephrine HCl (PF) 1 mg/mL (1 mL) injection solution,epinephrine 1 mg/mL (1 mL) injection solution", 10.00 
epiRUBicin 50 mg/25 mL intravenous solution, 167.00 
"epoetin alfa 10,000 unit/mL injection solution", 308.66 
"epoetin alfa 2,000 unit/mL injection solution", 154.35 
"epoetin alfa 20,000 unit/mL injection solution"," 1,360.46 "
"epoetin alfa 4,000 unit/mL injection solution", 308.67 
"epoetin alfa 40,000 unit/mL injection solution"," 3,086.58 "
EPSTEIN BARR VIRUS DNA DETECT.,$199.00 
ER MORPHOMETRIC IHC,$128.00 
ERCP DX (INCL BRUSH/WASH),"$4,202.00 "
ERCP W/REMOVAL FOREIGN BODY/STENT FROM BILIARY/PANCREATIC DUCT,"$6,603.00 "
ERCP W/REMOVAL OF STONES/DEBRIS,"$5,208.00 "
ERCP W/SPHINCTEROT/PAPILOTOMY,"$4,202.00 "
ERCP W/STNT PLCMNT BILIARY/PANCRE DUCT INCL PRE&POST DILATION/GWIRE PASSAGE/SPHINCTEROTOM EA STNT,"$5,086.00 "
"ergocalciferol (vitamin D2) 50,000 unit capsule", 4.29 
eriBULin 1 mg/2 mL (0.5 mg/mL) intravenous solution," 3,377.00 "
ertapenem 1 gram solution for injection, 380.49 
"ertapenem 1 gram Solution for Injection,ertapenem 1 gram intravenous solution", 240.16 
"erythromycin 250 mg tablet,delayed release", 22.08 
erythromycin 5 mg/gram (0.5 %) eye ointment, 37.90 
erythromycin ethylsuccinate 200 mg/5 mL oral powder for suspension, 569.56 
erythromycin lactobionate 500 mg intravenous solution, 223.21 
ERYTHROPOIETIN,$107.00 
escitalopram 10 mg tablet, 4.30 
escitalopram 20 mg tablet, 2.82 
escitalopram 5 mg tablet, 11.28 
esmolol 100 mg/10 mL (10 mg/mL) intravenous solution, 30.02 
ESMOLOL 100MG/10ML IV SOLN,$10.00 
"esmolol 2,000 mg/100 mL (20 mg/mL) in sodium chloride (iso-osmotic) IV"," 1,511.75 "
"esmolol 2,500 mg/250 mL (10 mg/mL) in sodium chloride (iso-osmotic) IV"," 1,403.13 "
"esmolol in sodium chloride (iso-osmotic) 2,000 mg/100 mL (20 mg/mL) IV"," 1,511.75 "
"esmolol in sodium chloride (iso-osmotic) 2,500 mg/250 mL (10 mg/mL) IV"," 1,403.13 "
esomeprazole magnesium DR 10 mg granules delayed release for susp, 27.10 
ESOPH REFLX TST W/MUC TEL ELEC,"$2,176.00 "
ESOPHAGEAL MOTILITY STUDY,$760.00 
ESOPHAGRAM THORACIC,$242.00 
ESTRADIOL,$158.00 
estradiol cypionate 5 mg/mL intramuscular oil, 63.18 
estradiol valerate 10 mg/mL intramuscular oil, 79.64 
estradiol valerate 20 mg/mL intramuscular oil, 46.10 
"ESTROGEN, BLOOD",$123.00 
"ESTROGENS, FRACT-ESTRADIOL BLD",$199.00 
"ESTROGENS, FRACT-ESTRONE BLD",$122.00 
ethambutol 400 mg tablet, 2.11 
ethanol (ethyl alcohol) 98 % injection solution, 293.75 
ethyl chloride 100 % topical spray, 108.03 
ETHYL GLUCURONIDE SCREEN,$117.00 
ETHYLENE GLYCOL,$84.00 
etomidate 2 mg/mL intravenous solution, 21.57 
etoposide 20 mg/mL intravenous solution, 192.59 
EVAC SUBUNGUAL HEMATOMA,$101.00 
"EVAL BRONCHODILATION RESPONSE, PRE/POST ADMIN",$264.00 
EVAL OF SPEECH SOUND PROD W/ COMPH & EXPRESSION,$504.00 
EVAL USE/FIT VOICED PROSTH DEVICE,$248.00 
"EVAL, HIGH COMPLEXITY - OT",$471.00 
"EVAL, HIGH COMPLEXITY - PT",$471.00 
"EVAL, LOW COMPLEXITY - OT",$409.00 
"EVAL, LOW COMPLEXITY - PT",$409.00 
"EVAL, MOD COMPLEXITY - OT",$451.00 
"EVAL, MOD COMPLEXITY - PT",$451.00 
EVALUATION OF SPEECH FLUENCY EG STUTTERING,$303.00 
EVALUATION OF SPEECH SOUND PRODUCTION,$191.00 
EVENT MONITOR ANALYSIS,$303.00 
EVENT MONITOR RECORDING,$184.00 
"EVENT RECORDER, CARDIAC"," 12,042.11 "
"EVENT RECORDER, CARDIAC IMPLANTABLE","$14,149.00 "
"EXAM PARA, URINE/B.F.",$50.00 
"EXC CA LESION FACE,EARS,EYELD,NS,LP .6-1.0CM",$851.00 
"EXC CA LESION SCLP,NCK,HND,FT,GNTL .6-1.0CM",$781.00 
"EXC CA LESION SCLP,NCK,HND,FT,GNTL >4.0CM","$4,798.00 "
"EXC CA LESION SCLP,NCK,HND,FT,GNTL 1.0-2.0CM","$1,525.00 "
"EXC CA LESION SCLP,NCK,HND,FT,GNTL 2.1-3.0CM","$3,021.00 "
"EXC CA LESION SCLP,NCK,HND,FT,GNTL 3.1-4.0CM","$3,021.00 "
"EXC CA LESION TRUNK,ARMS,LEGS >4.0CM","$3,021.00 "
"EXC CA LESION TRUNK,ARMS,LEGS 1.1-2.0CM",$811.00 
"EXC CA LESION TRUNK,ARMS,LEGS 2.1-3.0CM","$1,525.00 "
"EXC CA LESION TRUNK,ARMS,LEGS 3.1-4.0CM","$1,526.00 "
"EXC LESION FACE,EARS,EYELD,NS,LP BGN .6-1.0CM",$811.00 
"EXC LESION FACE,EARS,EYELD,NS,LP BGN <.5CM",$811.00 
"EXC LESION FACE,EARS,EYELD,NS,LP BGN >4.0CM","$4,346.00 "
"EXC LESION FACE,EARS,EYELD,NS,LP BGN 1.1-2.0CM","$1,525.00 "
"EXC LESION FACE,EARS,EYELD,NS,LP BGN 3.1-4.0CM","$1,525.00 "
"EXC LESION SCLP,NCK,HND,FT,GNTL BGN .6-1.0CM","$1,525.00 "
"EXC LESION SCLP,NCK,HND,FT,GNTL BGN >4.0CM","$4,346.00 "
"EXC LESION SCLP,NCK,HND,FT,GNTL BGN 1.1-2.0CM","$1,525.00 "
"EXC LESION SCLP,NCK,HND,FT,GNTL BGN 2.1-3.0CM","$3,252.00 "
"EXC LESION SCLP,NCK,HND,FT,GNTL BGN 3.1-4.0CM","$3,252.00 "
"EXC LESION TRUNK,ARMS,LEGS BGN >4.0CM","$3,252.00 "
"EXC LESION TRUNK,ARMS,LEGS BGN 1.1-2.0CM",$811.00 
"EXC LESION TRUNK,ARMS,LEGS BGN 2.1-3.0CM","$1,525.00 "
"EXC LESION TRUNK,ARMS,LEGS BGN 3.1-4.0CM","$3,252.00 "
"EXC LESION TRUNK,ARMS,LEGS BGN.6-1.0 CM",$811.00 
EXC OF LESION OF EYELID W/O CLOSURE OR W/SIMPLE CLOSURE,"$1,421.00 "
EXC SKIN TAGS UP TO AND INC 15 LESIONS,$164.00 
"EXCHANGE NEPHROSTOMY CATH, INCL GUID, S&I","$1,379.00 "
"EXCISION CHALAZION; MULTIPLE, DIFF LIDS",$600.00 
"EXCISION CHALAZION; MULTIPLE, SAME LID","$1,421.00 "
EXCISION CHALAZION; SINGLE,$600.00 
EXCISION INGROWN TOENAIL,$851.00 
"EXCISION OF LESION, CONJUNCTIVA; UP TO 1CM","$2,888.00 "
EXCISION SOFT TISSUE OF BACK OR FLANK; 3CM OR GREATER,"$3,720.00 "
"EXCISION, TUMOR, SOFT TISSUE OF BACK OR FLANK/ < 3CM","$3,252.00 "
EXT CH WALL OSCILLAT VEST EACH SESSION,$490.00 
EXTENSOR TENDON REPAIR,"$3,550.00 "
EYE PHOTOGRAPHY EXTERNAL,$179.00 
FACIAL BONES 1-2 VIEWS,$124.00 
FACIAL BONES COMP MIN 3VIEWS,$124.00 
FACTOR EIGHT ASSAY,$102.00 
FACTOR ELEVEN ASSAY,$80.00 
FACTOR FIVE ASSAY,$80.00 
FACTOR NINE ASSAY,$109.00 
FACTOR SEVEN ASSAY,$80.00 
FACTOR TEN ASSAY,$80.00 
FACTOR TWELVE ASSAY,$80.00 
FACTOR TWO ASSAY,$73.00 
FACTOR V LEIDEN MUTATION,$219.00 
FACTOR XIII SCREEN,$91.00 
famotidine (PF) 20 mg/2 mL intravenous solution, 10.00 
famotidine (PF) 20 mg/50 mL in 0.9 % NaCl (iso) intravenous piggyback, 14.38 
famotidine 20 mg tablet, 3.94 
famotidine 40 mg/5 mL (8 mg/mL) oral suspension, 232.26 
famotidine 40 mg/5 mL oral suspension, 16.80 
fat emulsion 20 % intravenous, 60.94 
FAT-STAIN ON SMEAR,$25.00 
FECAL ELASTASE,$65.00 
"FECAL FAT, QUANT.",$96.00 
FECAL IMMUNOASSAY OCCULT BLOOD,$45.00 
"felodipine ER 5 mg tablet,extended release 24 hr", 2.39 
FEM/POPL REVAS W/ATHER,"$15,049.00 "
FEM/POPL REVAS W/TLA,"$4,410.41 "
FEM/POPL REVASC STNT & ATHER,"$38,877.00 "
FEM/POPL REVASC W/STENT,"$9,119.70 "
fentaNYL (PF) 50 mcg/mL injection solution, 10.00 
fentaNYL 100 mcg/hr transdermal patch, 165.09 
fentaNYL 25 mcg/hr transdermal patch, 53.18 
fentaNYL 50 mcg/hr transdermal patch, 82.55 
fentaNYL 75 mcg/hr transdermal patch, 122.78 
ferric carboxymaltose 50 mg iron/mL intravenous solution," 3,011.96 "
FERRIC CARBOXYMALTOSE 50 MG/ML IV SOLN," 2,731.26 "
ferric subsulfate (bulk) 20 to 22 gram/100 mL solution," 1,128.75 "
ferric subsulfate 259 mg/g topical solution, 37.12 
FERRITIN,$78.00 
ferrous gluconate 324 mg (38 mg iron) tablet, 2.00 
ferrous sulfate 15 mg iron (75 mg)/mL oral drops, 2.00 
ferrous sulfate 220 mg (44 mg iron)/5 mL oral elixir, 16.56 
ferrous sulfate 300 mg (60 mg iron)/5 mL oral liquid, 5.71 
"ferrous sulfate 324 mg (65 mg iron) tablet,delayed release", 2.00 
ferrous sulfate 325 mg (65 mg iron) tablet, 2.00 
"ferrous sulfate 325 mg (65 mg iron) tablet,delayed release", 2.05 
FFP BY PHERESIS PROC,$324.00 
FFP PROC,$324.00 
FGF23,$103.00 
FIBRINOGEN,$49.00 
filgrastim 300 mcg/mL injection solution, 944.49 
filgrastim 480 mcg/1.6 mL injection solution," 1,503.99 "
filgrastim-sndz 480 mcg/0.8 mL injection syringe," 1,345.94 "
FILTERWIRE PROTECTION SYS,"$6,005.00 "
finasteride 5 mg tablet, 7.83 
FINE NEEDLE ASP;W/O IMAGING GUIDANCE,$282.00 
FINE NEEDLE ASPIR -W/IMAGE GUIDANCE,$855.00 
FINGER OR FINGERS MIN 2VIEWS,$124.00 
FINGER STICK GLUCOSE,$9.00 
"FISH DNA PROBE, EACH, BL/BM - RL",$121.00 
FL SIG W/BX SGL OR MLT-BTE/CLD,"$1,295.00 "
FL SIG W/SUBMUC INJECT(S),"$1,298.00 "
flecainide 50 mg tablet, 6.40 
"FLEXHD/ALLOPATCHHD/MATRIXHD, PER SQ CM"," 9,607.61 "
FLEXIBLE SIGMOIDOSCOPY DX,"$1,074.00 "
FLEXIBLE SIGMOIDOSCOPY SCREENI,"$1,233.00 "
FLOURO FOR VASCULAR ACCESS S&I,$305.00 
"FLOUSESCEIN ANGIOGRAPHY, UNI OR BILATERAL",$365.00 
FLOW CYTO 1ST MARKER,$61.00 
FLOW CYTOMETRY MARKER-EACH,$61.00 
flu vacc qs 2018-19(6-35 mos)(PF) 30 mcg(7.5 mcgx4)/0.25 mL IM syringe, 55.53 
