Description, Amount 
ECHOVIRUS 11 ANTIBODY,$228.00 
ECHOVIRUS 30 ANTIBODY,$228.00 
ECHOVIRUS 4 ANTIBODY,$228.00 
ECHOVIRUS 7 ANTIBODY,$228.00 
ECHOVIRUS 9 ANTIBODY,$228.00 
efavirenz 600 mg-emtricitabine 200 mg-tenofovir disoprox 300 mg tablet, 381.37 
EGD - REMOVAL OF FOREIGN BODY,"$2,236.00 "
EGD DX (INCL BRUSH/WASH),"$2,271.00 "
EGD W/BAND LIGATION,"$4,282.00 "
EGD W/BX SGL OR MULT (BITE/COL,"$2,271.00 "
EGD W/CONTROL BLEED ANY METH.,"$3,313.00 "
EGD W/DILAT OVER GUIDE WIRE,"$2,100.00 "
EGD W/DILATION BALLOON <30MM,"$3,313.00 "
EGD W/REMOVAL BY SNARE TECH,"$4,282.00 "
EGD-GASTRO TUBE PLCMNT (PEG),"$3,313.00 "
EKG,$118.00 
EKG RHYTHM TRACING ONLY,$251.00 
ELBOW AP / LAT,$220.00 
ELBOW MIN 3 VIEWS,$212.00 
ELBOW WRIST HAND ORTH W/JOINT(S) CF,$702.00 
"ELEC STIM, ATTENDED,15 MIN-OT",$76.00 
"ELEC. STIM, UNATTENDED, OT",$70.00 
"ELEC. STIM, UNATTENDED, PT",$70.00 
"ELECT. STIM, ATTENDED,15MIN-PT",$76.00 
electrolyte-S (pH 7.4) intravenous solution, 33.00 
EMBOLIZATON PROTECTION SYSTEM," 32,345.41 "
EMER ROOM LEVEL I,$193.00 
EMER ROOM LEVEL II,$272.00 
EMER ROOM LEVEL III,$501.00 
EMER ROOM LEVEL IV,$667.00 
EMER ROOM LEVEL V,"$1,242.00 "
emollient combination no.92 topical lotion, 19.87 
emtricitabine 200 mg-tenofovir disoproxil fumarate 300 mg tablet, 234.61 
enalapril maleate 10 mg tablet, 2.00 
enalapril maleate 2.5 mg tablet, 2.00 
enalapril maleate 5 mg tablet, 2.01 
enalaprilat 1.25 mg/mL intravenous solution, 29.00 
ENDO CLIP,$453.00 
ENDO INTEST POUCH INCL BRUSH/W,"$2,130.00 "
ENDOMYSIAL AB IGG SCREEN,$102.00 
ENDOMYSIAL AB IGG TITER,$46.00 
enoxaparin 100 mg/mL subcutaneous syringe, 330.15 
enoxaparin 30 mg/0.3 mL subcutaneous syringe, 104.19 
enoxaparin 40 mg/0.4 mL subcutaneous syringe, 96.34 
enoxaparin 60 mg/0.6 mL subcutaneous syringe, 110.60 
enoxaparin 80 mg/0.8 mL subcutaneous syringe, 264.13 
entacapone 200 mg tablet, 17.29 
"ePHEDrine sulfate 50 mg/mL injection solution,ePHEDrine sulfate 50 mg/mL intravenous solution", 181.96 
ePHEDrine sulfate 50 mg/mL intravenous solution, 171.08 
"EPIDURAL INJ, INTERLAMINAR - LUM/SAC/CAUDAL W/OUT IMAGING","$1,521.00 "
"EPIDURAL INJECTION, INTERLAMINAR - CERV/THOR","$1,521.00 "
"EPIFIX/ EPICORD, PER SQ CM"," 7,890.00 "
EPINEPHrine 0.1 mg/mL injection syringe, 41.18 
"EPINEPHrine 0.15 mg/0.3 mL injection,auto-injector", 649.00 
"EPINEPHrine 0.3 mg/0.3 mL injection, auto-injector", 727.17 
EPINEPHrine 1 mg/mL (1 mL) injection solution, 23.21 
EPINEPHrine 1 mg/mL injection solution, 541.90 
EPINEPHrine 1 mg/mL nasal solution, 13.30 
EPINEPHrine HCl (PF) 1 mg/mL (1 mL) injection solution, 10.00 
"epinephrine HCl (PF) 1 mg/mL (1 mL) injection solution,epinephrine 1 mg/mL (1 mL) injection solution", 10.00 
"epoetin alfa 10,000 unit/mL injection solution", 374.34 
"epoetin alfa 2,000 unit/mL injection solution", 196.68 
"epoetin alfa 20,000 unit/mL injection solution"," 1,667.68 "
"epoetin alfa 3,000 unit/mL injection solution", 266.31 
"epoetin alfa 4,000 unit/mL injection solution", 348.74 
EPSTEIN BARR VIRUS DNA DETECT.,$189.00 
eptifibatide 0.75 mg/mL intravenous solution," 2,023.22 "
eptifibatide 2 mg/mL intravenous solution, 749.14 
"ergocalciferol (vitamin D2) 50,000 unit capsule", 7.11 
"ergocalciferol (vitamin D2) 8,000 unit/mL oral drops", 350.70 
ertapenem 1 gram solution for injection, 540.37 
"ertapenem 1 gram Solution for Injection,ertapenem 1 gram intravenous solution", 332.23 
"erythromycin 250 mg tablet,delayed release", 30.91 
erythromycin 5 mg/gram (0.5 %) eye ointment, 66.51 
erythromycin ethylsuccinate 200 mg/5 mL oral powder for suspension," 1,580.25 "
erythromycin ethylsuccinate 400 mg tablet, 51.13 
erythromycin lactobionate 500 mg intravenous solution, 331.49 
erythromycin stearate 250 mg tablet, 2.00 
ERYTHROPOIETIN,$219.00 
escitalopram 10 mg tablet, 16.98 
escitalopram 5 mg tablet, 14.47 
ESI-TRANSFORAMINAL C/T - 1ST LEVEL,"$1,988.00 "
ESI-TRANSFORAMINAL L/S - 1ST LEVEL,"$1,590.00 "
ESI-TRANSFORAMINAL L/S - EACH ADD'L LEVEL,$769.00 
esmolol 100 mg/10 mL (10 mg/mL) intravenous solution, 78.50 
"esmolol 2,000 mg/100 mL (20 mg/mL) in sodium chloride (iso-osmotic) IV"," 2,135.45 "
"esmolol in sodium chloride (iso-osmotic) 2,000 mg/100 mL (20 mg/mL) IV"," 2,135.45 "
"esmolol in sodium chloride (iso-osmotic) 2,500 mg/250 mL (10 mg/mL) IV"," 1,983.38 "
ESOPHAGRAM CERVICAL,$399.00 
ESOPHAGRAM THORACIC,$362.00 
esterified estrogens-methyltestosterone 0.625 mg-1.25 mg tablet, 16.80 
ESTRADIOL,$249.00 
estradiol 0.01% (0.1 mg/gram) vaginal cream," 1,322.39 "
estradiol 0.075 mg/24 hr weekly transdermal patch, 77.35 
estradiol 0.5 mg tablet, 2.00 
estradiol 1 mg tablet, 2.19 
"ESTROGEN, BLOOD",$245.00 
ESTRONE,$171.00 
estropipate 0.75 mg tablet, 3.85 
eszopiclone 1 mg tablet, 42.56 
ethambutol 400 mg tablet, 3.28 
ethanol (ethyl alcohol) 98 % injection solution, 430.25 
ETHYLENE GLYCOL,$338.00 
etodolac 200 mg capsule, 5.03 
etomidate 2 mg/mL intravenous solution, 56.56 
EVAC SUBUNGUAL HEMATOMA,$168.00 
"EVAL BRONCHODILATION RESPONSE, PRE/POST ADMIN",$425.00 
EVAL OF SPEECH SOUND PROD W/ COMPH & EXPRESSION,$289.00 
"EVAL, HIGH COMPLEXITY - OT",$471.00 
"EVAL, HIGH COMPLEXITY - PT",$471.00 
"EVAL, LOW COMPLEXITY - OT",$409.00 
"EVAL, LOW COMPLEXITY - PT",$409.00 
"EVAL, MOD COMPLEXITY - OT",$451.00 
"EVAL, MOD COMPLEXITY - PT",$451.00 
EVALUATION OF SPEECH FLUENCY EG STUTTERING,$383.00 
EVALUATION OF SPEECH SOUND PRODUCTION,$310.00 
"EVENT RECORDER, CARDIAC"," 13,736.25 "
"EXAM PARA, URINE/B.F.",$229.00 
"EXCHANGE WIRE, DOC",$428.00 
EXCISION INGROWN TOENAIL,$685.00 
EXHALED C02 TEST,$661.00 
EXTREMITY ROM ASSESSMENT,$47.00 
ezetimibe 10 mg tablet, 48.30 
FACIAL BONES 1-2 VIEWS,$209.00 
FACIAL BONES COMP MIN 3VIEWS,$320.00 
FACTOR EIGHT ASSAY,$380.00 
FACTOR V LEIDEN MUTATION,$551.00 
famciclovir 250 mg tablet, 11.61 
famotidine (PF) 20 mg/2 mL intravenous solution, 10.00 
famotidine (PF) 20 mg/50 mL in 0.9 % NaCl (iso) intravenous piggyback, 39.13 
famotidine 20 mg tablet, 4.96 
fat emulsion 20 % intravenous, 118.17 
FAT-STAIN ON SMEAR,$26.00 
FECAL ELASTASE,$58.00 
FECAL IMMUNOASSAY OCCULT BLOOD,$45.00 
FELBAMATE,$119.00 
felbamate 600 mg tablet, 13.96 
"felodipine ER 5 mg tablet,extended release 24 hr", 2.64 
FEM/POPL REVAS W/TLA,"$17,951.00 "
FEM/POPL REVASC STNT & ATHER,"$53,960.00 "
FEM/POPL REVASC W/STENT,"$2,282.00 "
fenofibrate 160 mg tablet, 24.95 
fenofibrate nanocrystallized 145 mg tablet, 18.03 
fenofibrate nanocrystallized 48 mg tablet, 6.69 
fentaNYL (PF) 50 mcg/mL injection solution, 10.00 
fentaNYL 100 mcg/hr transdermal patch, 428.86 
fentaNYL 25 mcg/hr transdermal patch, 74.44 
fentaNYL 50 mcg/hr transdermal patch, 233.76 
fentaNYL 75 mcg/hr transdermal patch, 185.30 
fentaNYL-ropivacaine-NaCl (PF) 5 mcg/mL-0.1% injection solution, 276.25 
ferric carboxymaltose 50 mg iron/mL intravenous solution," 4,216.75 "
FERRIC CARBOXYMALTOSE 50 MG/ML IV SOLN," 3,819.77 "
FERRITIN,$155.00 
ferrous gluconate 324 mg (38 mg iron) tablet, 2.00 
ferrous sulfate 220 mg (44 mg iron)/5 mL oral elixir, 11.59 
ferrous sulfate 220 mg (44 mg iron)/5 mL oral solution, 21.52 
ferrous sulfate 300 mg (60 mg iron)/5 mL oral liquid, 8.00 
ferrous sulfate 325 mg (65 mg iron) tablet, 2.00 
"ferrous sulfate 325 mg (65 mg iron) tablet,delayed release", 2.87 
fexofenadine 60 mg tablet, 2.45 
FFP PROC,$285.00 
FIBRINOGEN,$124.00 
filgrastim 300 mcg/0.5 mL injection syringe," 1,420.54 "
filgrastim 480 mcg/0.8 mL injection syringe," 2,251.01 "
FILTERWIRE PROTECTION SYS,"$6,015.00 "
finasteride 5 mg tablet, 10.99 
FINGER OR FINGERS MIN 2VIEWS,$156.00 
FINGER ORTH W/O JOINTS CF,$197.00 
FINGER STICK GLUCOSE,$56.00 
flavoxATE 100 mg tablet, 5.12 
flecainide 50 mg tablet, 8.96 
"FLEXHD/ALLOPATCHHD/MATRIXHD, PER SQ CM"," 10,959.25 "
FLEXIBLE SIGMOIDOSCOPY DX,"$2,130.00 "
FLOURO FOR VASCULAR ACCESS S&I,$215.00 
"FLOW B CELL ALLO XMATCH, INIT",$495.00 
FLOW B CELL ALLO XMATCH-EA ADD,$300.00 
FLOW CYTO 1ST MARKER,$183.00 
FLOW CYTOMETRY MARKER-EACH,$95.00 
"FLOW T CELL ALLO XMATCH, INIT",$495.00 
FLOW T CELL ALLO XMATCH-EA ADD,$300.00 
FLOW VOLUME LOOPS,$660.00 
flu vacc qs 2018-19(6-35 mos)(PF) 30 mcg(7.5 mcgx4)/0.25 mL IM syringe, 77.74 
"flu vacc qs2018-19 (36 mos up)(PF)60 mcg (15 mcg x4)/0.5 mL IM syringe,flu vaccine qs2018-19 (36 mos up)(PF)60 mcg (15 mcg x4)/0.5 mL IM susp", 72.32 
flu vaccine ts2018-19(65yr up)(PF)180 mcg/0.5 mL intramuscular syringe, 194.01 
fluconazole 10 mg/mL oral suspension, 125.32 
fluconazole 100 mg tablet, 15.32 
fluconazole 200 mg/100 mL in dextrose (iso-osm) intravenous piggyback, 69.75 
fluconazole 200 mg/100 mL in sod. chloride (iso) intravenous piggyback, 69.23 
fluconazole 400 mg/200 mL in dextrose (iso-osm) intravenous piggyback, 70.80 
fluconazole 400 mg/200 mL in sod. chloride(iso) intravenous piggyback, 49.80 
fluconazole 50 mg tablet, 19.56 
fludrocortisone 0.1 mg tablet, 4.11 
"FLUIDOTHERAPY, OT",$71.00 
flumazenil 0.1 mg/mL intravenous solution, 134.05 
fluocinonide 0.05 % topical cream, 159.44 
fluocinonide 0.05 % topical ointment, 247.64 
fluorescein 0.25 %-benoxinate 0.4 % eye drops, 2.00 
fluorescein 1 mg eye strips, 2.00 
FLUORO FOR NEEDLE PLACEMENT,$324.00 
"FLUOROSCOPY, UP TO 1HR",$251.00 
FLUOROSCOPY>1 HOUR,$581.00 
FLUoxetine 10 mg capsule, 2.00 
FLUoxetine 20 mg capsule, 2.00 
FLUoxetine 20 mg/5 mL (4 mg/mL) oral solution, 20.50 
fluPHENAZine 1 mg tablet, 2.02 
fluPHENAZine 2.5 mg tablet, 2.00 
fluPHENAZine 2.5 mg/mL injection solution, 57.41 
fluPHENAZine 5 mg tablet, 2.40 
fluPHENAZine decanoate 25 mg/mL injection solution, 84.09 
fluticasone 100 mcg-salmeterol 50 mcg/dose blistr powdr for inhalation, 45.52 
fluticasone 100 mcg-vilanterol 25 mcg/dose powder for inhalation, 21.79 
fluticasone 110 mcg/actuation HFA aerosol inhaler," 1,021.82 "
fluticasone 200 mcg-vilanterol 25 mcg/dose powder for inhalation, 21.79 
fluticasone 220 mcg/actuation HFA aerosol inhaler," 1,587.14 "
fluticasone 250 mcg-salmeterol 50 mcg/dose blistr powdr for inhalation, 45.52 
fluticasone 44 mcg/actuation HFA aerosol inhaler, 763.26 
"fluticasone 50 mcg/actuation nasal spray,suspension", 132.95 
fluticasone 500 mcg-salmeterol 50 mcg/dose blistr powdr for inhalation, 74.19 
fluticasone-salmeterol 115 mcg-21 mcg/actuation HFA aerosol inhaler, 2.00 
fluticasone-salmeterol 230 mcg-21 mcg/actuation HFA aerosol inhaler, 2.00 
fluticasone-salmeterol 45 mcg-21 mcg/actuation HFA aerosol inhaler, 892.39 
fluvastatin 20 mg capsule, 17.52 
fluvoxaMINE 25 mg tablet, 8.05 
"FOLATE, RBC",$219.00 
FOLIC ACID,$146.00 
folic acid 1 mg tablet, 2.00 
folic acid 5 mg/mL injection solution, 29.00 
folic acid-vit B6-vit B12 2.5 mg-25 mg-2 mg tablet, 4.21 
FOOT 2 VIEW,$307.00 
FOOT 3 VIEWS,$334.00 
"FORCEPS, HOT/COLD, DISP",$76.00 
FOREARM,$206.00 
fosinopril 10 mg tablet, 4.17 
fosphenytoin 100 mg PE/2 mL injection solution, 158.33 
fosphenytoin 500 mg PE/10 mL injection solution, 436.97 
FREE FATTY ACIDS,$94.00 
"FREE LIGHT CHAINS, KAPPA",$56.00 
"FREE LIGHT CHAINS, LAMBDA",$56.00 
FREEZE AND HOLD,$33.00 
FRUCTOSAMINE,$108.00 
FSH,$179.00 
FTA-ABS,$157.00 
FUNGAL ORG ID DEFIN MOLD-EACH,$83.00 
FUNGAL ORG ID DEFIN YEAST-EACH,$74.00 
"FUNGAL PRECIPITINS, EACH",$35.00 
furosemide 10 mg/mL injection solution, 29.00 
furosemide 20 mg tablet, 2.00 
furosemide 40 mg tablet, 2.00 
furosemide 40 mg/4 mL oral solution, 8.62 
gabapentin 100 mg capsule, 2.02 
gabapentin 300 mg capsule, 2.00 
gabapentin 400 mg capsule, 2.00 
gabapentin 600 mg tablet, 2.00 
"GAD65 ANTIBODY ASSAY, SERUM",$45.00 
gadobenate dimeglumine 529 mg/mL(0.1 mmol/0.2 mL) intravenous solution, 441.42 
gadobutrol 10 mmol/10 mL (1 mmol/mL) intravenous solution, 348.60 
gadobutrol 7.5 mmol/7.5 mL (1 mmol/mL) intravenous solution, 261.45 
GAIT TRAINING EA 15MIN - PT,$118.00 
galantamine 4 mg tablet, 13.41 
galantamine 8 mg tablet, 5.56 
GAMMA GT,$59.00 
GASTRIC EMPTYING IMAGING STUDY,$875.00 
GASTRIN,$164.00 
GASTRO TUBE CHECK PERC W/FLUOR,$962.00 
GASTRO TUBE EXCHANGE,"$2,230.00 "
GC BY AMPLIFIED PROBE,$255.00 
GC CULTURE,$74.00 
gemfibrozil 600 mg tablet, 7.75 
"GENERATOR, NEUROSTIM, HIGH FREQ, W/RECHARGEABLE BATTERY"," 28,688.73 "
"GENERATOR, NEUROSTIM, IMPLANTABLE, W/RECHGBLE BATT"," 39,926.00 "
"GENERATOR, NEUROSTIMULATOR, NONRECHARGEABLE"," 41,038.64 "
GENTAMICIN,$174.00 
gentamicin 0.1 % topical cream, 172.83 
gentamicin 0.1 % topical ointment, 172.83 
gentamicin 0.3 % (3 mg/gram) eye ointment, 124.04 
gentamicin 0.3 % eye drops, 108.56 
gentamicin 100 mg/100 mL in sodium chloride(iso) intravenous piggyback, 34.40 
gentamicin 40 mg/mL injection solution, 30.79 
gentamicin 60 mg/50 mL in sodium chloride(iso) intravenous piggyback, 32.83 
gentamicin 80 mg/100 mL in sodium chloride(iso) intravenous piggyback, 33.35 
GIARDIA AG BY EIA,$87.00 
"GLIADIN (DEAMIDATED) AB, IGA",$43.00 
"GLIADIN (DEAMIDATED) AB, IGG",$43.00 
GLIDEWIRE,$183.00 
GLIDEWIRE 260CM,$246.00 
glimepiride 1 mg tablet, 5.64 
glimepiride 2 mg tablet, 3.30 
glipiZIDE 5 mg tablet, 4.46 
"glipiZIDE ER 2.5 mg tablet, extended release 24 hr", 5.54 
"glipiZIDE ER 5 mg tablet, extended release 24 hr", 2.00 
GLOMERULAR BA MEM AB,$201.00 
"glucagon (human recombinant) 1 mg Injection Kit,glucagon (human recombinant) 1 mg solution for injec,glucagon (human recombinant) 1 mg Injection,glucagon HCl 1 mg solution for injection", 360.36 
glucagon (human recombinant) 1 mg/mL solution for injection, 379.36 
glucagon HCl 1 mg solution for injection, 735.10 
glucosamine sulfate 500 mg capsule, 2.00 
glucose 4 gram chewable tablet, 3.11 
GLUCOSE POST DOSE,$61.00 
GLUCOSE TOLERANCE 2 HRS,$116.00 
GLUCOSE TOLERANCE 3 SPECIMENS,$330.00 
"GLUCOSE, BLD BY MONITOR DEVICE",$36.00 
"GLUCOSE, BODY FLUID",$73.00 
"GLUCOSE, BODY FLUIDS - RL",$109.00 
"GLUCOSE, QUANTATIVE",$56.00 
glyBURIDE 2.5 mg tablet, 2.00 
glyBURIDE 2.5 mg-metformin 500 mg tablet, 3.70 
glyBURIDE 5 mg tablet, 2.00 
glyBURIDE 5 mg-metformin 500 mg tablet, 3.70 
glyBURIDE micronized 1.5 mg tablet, 2.00 
glyBURIDE micronized 3 mg tablet, 2.06 
glycerin (adult) rectal suppository, 2.00 
glycerin (child) rectal suppository, 2.00 
glycerin 99.5 % topical solution, 29.12 
glycopyrrolate 0.2 mg/mL injection solution, 139.32 
glycopyrrolate 1 mg tablet, 4.60 
glycopyrrolate 2 mg tablet, 3.16 
GLYCOSYLATED HB,$160.00 
GRAFT/PATCH VASCULAR," 2,268.15 "
"GRAFTJACKET, PER SQ CM"," 6,932.25 "
GRAM STAIN,$70.00 
GROWTH HORMONE,$118.00 
"GTT, EA ADD'L SPECIMEN >3",$110.00 
guaiFENesin 100 mg/5 mL oral liquid, 2.00 
"guaiFENesin ER 600 mg tablet, extended release 12 hr", 2.60 
guanFACINE 1 mg tablet, 2.00 
"GUIDE, LAUNCHER",$209.00 
GUIDELINER,"$1,397.00 "
GUIDEWIRE, 363.55 
GUIDEWIRE,$140.00 
GUIDEWIRE EXTRA SUPPORT,$333.00 
"GUIDEWIRE, 035X145",$51.00 
"GUIDEWIRE, 035X260",$189.00 
"GUIDEWIRE, CORONARY VIPERWIRE",$758.00 
H INFLUENZAE B AB (EIA),$55.00 
H&E STAINED SLIDE,$21.00 
haemoph b polysac conj-mening (PF) 7.5 mcg/0.5 mL intramuscular soln, 126.03 
haloperidol 0.5 mg tablet, 2.00 
haloperidol 1 mg tablet, 2.00 
haloperidol 10 mg tablet, 2.00 
haloperidol 2 mg/mL oral concentrate, 3.85 
haloperidol 5 mg tablet, 2.61 
haloperidol decanoate 50 mg/mL intramuscular solution, 137.61 
haloperidol lactate 5 mg/mL injection solution, 29.00 
HAND 2 VIEW,$188.00 
HAND COMPLETE,$216.00 
HAND FINGER ORTH W/JOINT(S) CF,$307.00 
HAND FINGER ORTH W/O JOINTS CF,$250.00 
HAPTOGLOBIN,$167.00 
HAV-AB-IGM,$99.00 
HB CHROMATOGRAPHY FRACT & QNT,$124.00 
"HB ELECT HB A2, QUANT",$158.00 
HBCAB,$63.00 
HBCAB-IGM,$86.00 
HBEAB,$109.00 
HBEAG,$135.00 
HBSAB,$73.00 
HBSAG,$72.00 
HBSAG NEUTRALIZATION,$87.00 
HBV GENOTYPE,$474.00 
HC FECAL MICROBIOTA," 1,785.00 "
HC ICD LUMAX DR-T 300/340, 676.36 
"HC ICD, PROTECTA/ EVERA XT DR", 863.89 
HC S ABLATION CATHETER," 2,051.45 "
HC S DESILETS-HOFFMAN INTRODUCER, 676.36 
HC S STENT BILIARY CORDIS 8X20," 4,882.41 "
HC SCRW HIP ASNI," 31,677.00 "
HC TRACH-ESOPH VOICE PROSTHESIS, 668.51 
HCG QUANTITATIVE,$149.00 
HCV FIBROSURE-A2 MACROGLOBULIN,$86.00 
HCV FIBROSURE-ALT (SGPT),$56.00 
HCV FIBROSURE-APOLIPOPROTEIN,$85.00 
HCV FIBROSURE-GGT,$52.00 
"HCV FIBROSURE-HAPTOGLOBIN, QNT",$111.00 
HCV FIBROSURE-TOTAL BILIRUBIN,$50.00 
HCV GENOTYPE,$389.00 
HCV QUALITATIVE RNA,$323.00 
HCV RNA ULTRAQUANT BY PCR,$612.00 
HCV-AB,$103.00 
HELICOBACTER PYLORI AG STOOL,$228.00 
HELICOBACTER PYLORI IGG,$108.00 
HEMATOCRIT,$41.00 
HEMATOLOGY PROFILE,$47.00 
HEMOCHROMATOSIS DNA,"$1,754.00 "
HEMODIALYSIS,"$1,658.00 "
HEMOGLOBIN,$54.00 
HEMOGLOBIN A2 & F - RL,$104.00 
"HEMOGLOBIN, URINE",$39.00 
"HEMOSIDERIN, URINE",$39.00 
"HEP B VIRAL DNA BY PRC, QUAL",$201.00 
"heparin (porcine) (PF) 1,000 unit/500 mL in 0.9 % sodium chloride IV", 36.50 
"heparin (porcine) 1,000 unit/mL injection solution", 10.00 
"heparin (porcine) 10,000 unit/mL injection solution", 33.70 
"heparin (porcine) 25,000 unit/250 mL (100 unit/mL) in dextrose 5 % IV", 54.88 
"heparin (porcine) 5,000 unit/mL injection solution", 29.00 
HEPARIN INDUC THROMBOCYTOPENIA,$296.00 
HEPARIN XA ASSAY,$119.00 
"heparin, porcine (PF) 10 unit/mL intravenous syringe", 29.00 
"heparin, porcine (PF) 100 unit/mL intravenous syringe", 29.00 
HEPATBIL IMG INC GLBDR W/INTVN,$791.00 
"HEPATIC FUNCTION PANEL,7 TESTS",$182.00 
HEPATITIS A ANTIBODY IGG,$83.00 
"hepatitis A virus vaccine (PF) 1,440 ELISA unit/mL IM suspension", 280.56 
HEPATITIS B DNA QUANT BY PCR,$212.00 
HEPATITIS B SURFACE AB TITER,$134.00 
"HEPATITIS B VIRAL DNA, QUANT",$339.00 
hepatitis B virus vaccine recomb (PF) 10 mcg/mL intramuscular susp, 277.47 
"hepatitis B virus vaccine recomb (PF) 10 mcg/mL intramuscular susp,hepatitis B virus vaccine recomb (PF) 10 mcg/mL intramuscular syringe", 256.22 
hepatitis B virus vaccine recomb (PF) 20 mcg/mL intramuscular susp, 256.30 
"HEPATITIS C RNA GENOTYPE, LIPA",$579.00 
HEPATITIS DELTA AB-RL A,$43.00 
"HEPATITIS PANEL, ACUTE",$481.00 
HEPATOBIL IMG INC GALLBLADDER,$966.00 
"HERPESVIRUS-6 HUMAN AB, EACH",$39.00 
hetastarch 6 % in 0.9 % sodium chloride intravenous solution, 87.25 
HETEROPHILE ANTIBODY SCREEN,$48.00 
HEXAGONAL PHOSPHOLIPID NEUTRAL,$155.00 
HGB ELECTROPHORESIS - RL,$71.00 
"HGB ELECTROPHORESIS, ACID",$74.00 
HIGH FLOW DELIVERY CANNULA,$14.00 
HIV PHENOTYPE-BY NA CULT 1-10,"$1,860.00 "
HIV PHENOTYPE-EACH ADD'L > 10,$149.00 
"HIV1 & HIV2, SGL ASSAY",$313.00 
HIV-1 DNA/RNA QUALITATIVE,$356.00 
HIV-1 GENOTYPE ANALYSIS,"$1,291.00 "
HIV-1 PHENOTYPIC RESIST PREDIC,$654.00 
HIV-1 RNA ULT QUANT BY PCR,$574.00 
HLA A LOCUS DNA LR,$380.00 
HLA AB SCREEN LUMINEX SA,$424.00 
HLA B LOCUS DNA LR,$380.00 
HLA B27 BY DNA,$491.00 
HLA C LOCUS DNA LR,$380.00 
HLA DQB1 LOCUS DNA LR,$416.00 
HLA DRB1 LOCUS DNA LR,$416.00 
HLA DRB3/4/5 LOCUS DNA LR,$416.00 
HLA SERUM ALIQUOT AND STORAGE,$45.00 
"HOMOCYSTINES, PLASMA",$638.00 
HOURLY OBSERVATION BED CHARGE,$157.00 
HSV 1 DNA PCR AMPLIFIED PROBE,$142.00 
HSV 2 DNA PCR AMPLIFIED PROBE,$142.00 
"HSV AB SCREEN, IGM, EIA",$38.00 
HSV BY RAPID PCR,"$1,169.00 "
HSV1 IGG,$91.00 
HSV2 IGG,$192.00 
HUMERUS ROUTINE,$198.00 
HUMORAL TETANUS TOXOID AB,$66.00 
hyaluronidase (ovine) 200 unit/mL injection solution, 29.00 
hydrALAZINE 10 mg tablet, 2.00 
hydrALAZINE 20 mg/mL injection solution, 29.00 
hydrALAZINE 25 mg tablet, 2.00 
hydrALAZINE 50 mg tablet, 2.00 
HYDRATION- EACH ADDITIONAL HOUR,$93.00 
hydroCHLOROthiazide 12.5 mg capsule, 2.00 
hydroCHLOROthiazide 12.5 mg tablet, 2.44 
hydroCHLOROthiazide 25 mg tablet, 2.00 
HYDROcodone 10 mg-acetaminophen 325 mg tablet, 3.36 
HYDROcodone 10 mg-chlorpheniramine 8 mg/5 mL oral susp extend.rel 12hr, 5.70 
HYDROcodone 5 mg-acetaminophen 325 mg tablet, 2.03 
HYDROcodone 7.5 mg-acetaminophen 325 mg tablet, 2.72 
HYDROcodone 7.5 mg-acetaminophen 325 mg/15 mL oral solution, 10.47 
hydrocortisone 0.5 % topical cream, 11.31 
hydrocortisone 1 % topical cream, 9.12 
hydrocortisone 1 % topical ointment, 14.01 
hydrocortisone 10 mg tablet, 2.00 
"hydrocortisone 100 mg solution for injection,hydrocortisone sod succinate (PF) 100 mg/2 mL solution for injection", 75.41 
hydrocortisone 2.5 % topical cream, 25.50 
hydrocortisone 2.5 % topical cream with perineal applicator, 311.57 
hydrocortisone acetate 25 mg rectal suppository, 79.26 
hydrocortisone butyrate 0.1 % topical cream, 214.99 
hydrocortisone sod succinate (PF) 100 mg/2 mL solution for injection, 75.41 
hydrocortisone sod succinate (PF) 250 mg/2 mL solution for injection, 123.33 
hydrocortisone sod succinate (PF) 500 mg/4 mL solution for injection, 39.87 
hydrocortisone sodium succinate 100 mg solution for injection, 39.87 
"hydromorphone (PF) 2 mg/mL injection solution,hydromorphone 2 mg/mL injection solution,hydromorphone 2 mg/mL injection syringe", 10.00 
HYDROmorphone 10 mg/50 mL (0.2 mg/mL) in 0.9 % NaCl IV PCA syringe, 57.15 
HYDROmorphone 2 mg tablet, 2.25 
HYDROmorphone 2 mg/mL injection solution, 29.00 
HYDROmorphone 2 mg/mL injection syringe, 29.00 
HYDROmorphone 6 mg/30 mL (0.2 mg/mL) in 0.9 % NaCl IV PCA syringe, 68.98 
"hydromorphone 6 mg/30 mL (0.2 mg/mL) in 0.9 % NaCl IV PCA syringe,hydromorphone (PF) 6 mg/30 mL (0.2 mg/mL) in 0.9% NaCl IV PCA syringe,hydromorphone 6 mg/30 mL in 0.9 % sodium chloride PCA intravenous soln", 62.95 
hydroxocobalamin 5 gram intravenous solution," 2,893.62 "
hydroxychloroquine 200 mg tablet, 14.84 
hydroxyurea 500 mg capsule, 3.08 
hydrOXYzine HCl 10 mg tablet, 2.00 
hydrOXYzine HCl 10 mg/5 mL oral solution, 70.53 
hydrOXYzine HCl 25 mg tablet, 2.40 
hydrOXYzine HCl 25 mg/mL intramuscular solution, 103.70 
hydrOXYzine pamoate 25 mg capsule, 2.00 
hyoscyamine 0.125 mg sublingual tablet, 2.92 
"hyoscyamine 0.125 mg sublingual tablet,hyoscyamine 0.125 mg disintegrating tablet", 3.84 
hyoscyamine 0.125 mg/mL oral drops, 139.28 
hypromellose 2.5 % eye drops, 2.00 
