Item Description, Price 
FRC OR RV BY GAS AND CLOSING VOLUME, $288.00 
"FROZEN SGL SP 1ST TB, SP CONSULT", $161.00 
"FROZEN SP ADDL TB, PATH CONSULT INTRAOP", $85.00 
FRUCTOSAMINE, $87.00 
FSH, $127.00 
FTA ANTIBODY, $61.00 
FUNGUS SMEAR, $65.00 
FUROSEMIDE TAB 20MG, $11.00 
FUROSEMIDE TAB 40MG, $11.00 
FUROSEMIDE TAB 80MG, $11.00 
FUROSEMIDE VIAL 40MG/4ML, $36.00 
FUROSEMIDE VIAL INJ 100MG/10ML, $36.00 
FUROSEMIDE VIAL INJ 20MG/2ML, $36.00 
FX/PERCUTANEOUS PINNING OF FINGER-MALLET," $4,715.00 "
GABAPENTIN (NEURONTIN) CAP 100MG, $11.00 
GABAPENTIN (NEURONTIN} CAP 300MG, $11.00 
"GABAPENTIN, DRUG QUANT NOS", $132.00 
GALACTOSEMIA NP, $45.00 
GALANTAMINE HBR  ER CAP 8MG, $18.00 
GALANTAMINE TAB (RAZADYNE) 12MG, $11.00 
GAMUNEX-C VIAL: 20GM/200ML," $2,664.00 "
GASTRIC INTUBATION ASPIRATION, $168.00 
GASTRIN, $152.00 
GASTROINTESTINAL PANEL BY PCR, $649.00 
GC DNA PROBE, $148.00 
GEMCITABIN (GEMZAR) VIAL 200MG, $69.00 
GEMCITABINE (GEMZAR) 1GM VIAL, $178.00 
GEMFIBROZIL TAB 600MG, $11.00 
GENTAMICIN PEAK, $138.00 
GENTAMICIN SULF VIAL 40MG/ML  20ML, $51.00 
GENTAMICIN SULFATE (GENTAK OPTH) OINT, $34.00 
GENTAMICIN SULFATE OPHTHALMIC DROPS, $31.00 
GENTAMICIN TROUGH, $138.00 
GENTAMICIN VIAL: 40MG/ML 2ML (80MG=1 UN), $36.00 
GGT, $72.00 
GHB, $110.00 
GI COCKTAIL 40ML ORAL SUSP, $20.00 
GIARDIA ANTIGEN, $55.00 
"GLIADIN ANTIBODY, IGA", $112.00 
"GLIADIN ANTIBODY, IGG", $112.00 
GLIMEPIRIDE (AMARYL) TAB 2MG, $11.00 
GLIPIZIDE ER TAB 2.5MG, $11.00 
GLUCAGON VIAL INJ 1MG, $311.43 
GLUCERNA SHAKE  DIETARY, $16.00 
GLUCOSE, $39.00 
GLUCOSE-6-PHOSPHATE DEHYDROGENASE(G6PD), $80.00 
GLUCOSE-CSF, $57.00 
GLUTAMIC ACID DECARBOXYLASE AB (GAD), $189.00 
GLYBURIDE TAB 5MG, $11.00 
GLYCERIN SUPP-PEDS, $11.00 
GLYCOPYRROLATE VIAL 0.4MG/2ML, $36.00 
GLYCOSYLATED A1C, $86.00 
GLYCOSYLATED A1C - ATLAS, $86.00 
GRAM STAIN, $45.00 
GROUP PSYCHOTHERAPY, $333.00 
GTT 1HR, $50.00 
GTT 2 HR, $109.00 
GTT 3 HR FASTING, $114.00 
GTT ADDITIONAL HR, $42.00 
GUAIFENESIN DM SYRUP 100MG/10MG 5ML CUP, $11.00 
GUAIFENESIN SYR 100MG/5ML - 5ML CUP, $11.00 
GUAIFENESIN XR TAB 600MG, $11.00 
H PYLORI ANTIGEN - STOOL, $164.00 
HALDOL / HALOPERIDOL, $138.00 
HALDOL DECANOATE INJ 50MG/ML, $73.17 
HALOPERIDOL DECANOATE VIAL 100MG/1ML, $115.65 
HALOPERIDOL LACTATE VIAL INJ 5MG/ML, $36.00 
HALOPERIDOL TABLET 0.5MG, $11.00 
HALOPERIDOL TABLET 1MG, $11.00 
HALOPERIDOL TABLET 5MG, $11.00 
"HAPTOGLOBIN, QUANT", $99.00 
HCG TUMOR MARKER, $104.00 
HCV NS3 DRUG RESISTANCE," $1,049.00 "
HCV NS5A DRUG RESISTANCE," $1,049.00 "
HDL CHOLESTEROL, $78.00 
HEALTH FAIR LIPID, $9.00 
HEMATOCRIT, $35.00 
HEMOGLOBIN, $36.00 
HEMOGLOBIN ELECTROPHORESIS, $201.00 
HEMOGLOBINOPATHY NP, $97.00 
HEMOGLOBINOPATHY/THALASSEMIA PANEL, $190.00 
HEMOGRAM, $70.00 
"HEPARIN 25,000 UNITS/250ML *PREMIX*", $49.00 
HEPARIN ANTI XA ASSAY, $102.00 
HEPARIN INDUCED THROMBOCYTOPENIA CONFIRM, $260.00 
HEPARIN INDUCED THROMBOCYTOPENIA SCREEN, $381.00 
HEPARIN LOCK FLUSH 100 UNIT/ML 5ML SYR, $36.00 
HEPARIN LOCK FLUSH: 10 UNIT/ML 5ML SYR, $26.00 
"HEPARIN VIAL INJ 5,000 UNITS/ML", $36.00 
HEPATITIS A AB IGG, $109.00 
HEPATITIS A AB IGM, $115.00 
HEPATITIS B CORE AB IGM, $82.00 
"HEPATITIS B CORE ANTIBODY, TOTAL", $91.00 
HEPATITIS B DNA QUANT, $510.00 
HEPATITIS B SURFACE AB QUAL AND QUANT, $92.00 
HEPATITIS B SURFACE AB QUANT, $116.00 
HEPATITIS B SURFACE AG, $114.00 
HEPATITIS B SURFACE AG CONFIRM, $114.00 
HEPATITIS B VAC. VIAL 0.5ML, $68.07 
HEPATITIS Be ANTIBODY, $93.00 
HEPATITIS Be ANTIGEN, $93.00 
HEPATITIS C AB, $112.00 
HEPATITIS C VIRUS (HCV) RNA QUANT, $514.00 
HEPATITIS C VIRUS GENOTYPE," $1,045.00 "
HEPATITIS C VIRUS PCR QUALITATIVE, $255.00 
HEPATITIS PROFILE ACUTE, $306.00 
HERPES SIMPLEX VIRUS AB IGM, $117.00 
HERPES SIMPLEX VIRUS PCR - NON BLOOD, $277.00 
HERPES SIMPLEX VIRUS TYPE 1 AB, $96.00 
HERPES SIMPLEX VIRUS TYPE 1 PCR, $172.00 
HERPES SIMPLEX VIRUS TYPE 2 AB, $66.00 
HERPES SIMPLEX VIRUS TYPE 2 PCR, $172.00 
"HISTOCHEMISTRY, ENZYME", $444.00 
HISTONE AUTOANTIBODIES, $107.00 
HISTOPLASMA ABS COMP FIXATION, $182.00 
"HISTOPLASMA ANTIGEN, SERUM", $255.00 
"HISTOPLASMA ANTIGEN, URINE", $255.00 
HISTOPLASMA IMMUNODIFFUSION, $97.00 
HIV 1 and 2 AB, $123.00 
HIV 1 ULTRA SENS VIRAL LOAD BY PCR, $509.00 
HIV WESTERN BLOT, $328.00 
HLA A29, $172.00 
HLA ANTIBODY ID CLASS I, $315.00 
"HLA ANTIBODY ID CLASS II HIGH, QUALITAT", $315.00 
HLA B27, $188.00 
HOLTER MON RECORD <=48 HRS ECG STORAGE, $855.00 
HOME SLEEP STUDY, $750.00 
HOMOCYSTEINE, $133.00 
"HONEYBEE VENOM, IGE", $43.00 
HUMAN GROWTH HORMONE, $90.00 
HYALURONATE (MONOVISC) 22MG/ML 4ML," $2,830.94 "
HYALURONATE (SYNVISC ONE) SYRN : 6ML," $1,332.09 "
HYDRALAZINE HCL TAB 10MG, $11.00 
HYDRALAZINE HCL TAB 25MG, $11.00 
HYDRALAZINE VIAL INJ 20MG/ML, $36.00 
HYDROCHLOROTHIAZIDE CAP 12.5MG, $11.00 
HYDROCHLOROTHIAZIDE TAB 25MG, $11.00 
HYDROCODONE / APAP TAB 10/325MG, $11.00 
HYDROCODONE / APAP TAB 7.5MG-325MG, $11.00 
HYDROCODONE /APAP TAB 5MG-325MG, $11.00 
HYDROCODONE AND APAP 7.5MG-325MG/15ML, $11.00 
HYDROCORTISONE ACETATE (ANUMED-HC) SUPP, $14.94 
HYDROCORTISONE CREAM 2.5% (RECTAL), $83.00 
HYDROCORTISONE NA SUCC VIAL INJ 100MG, $53.00 
HYDROCORTISONE TAB 20MG, $11.00 
HYDROMORPHONE 2MG TABLET, $11.00 
HYDROMORPHONE 2MG/ML 1 ML VIAL, $42.00 
HYDROMORPHONE HCL TAB 4MG, $11.00 
HYDROXYUREA 500MG, $36.00 
HYDROXYZINE TAB 25MG, $11.00 
HYDROXYZINE VIAL INJ 25MG/ML, $45.00 
HYPOTHYROIDISM NP, $138.00 
I & D OF VULVA OR PERINEAL ABSCESS, $173.00 
I&D COMP OR MULTIPLE ABSCESS, $244.00 
I&D PILONIDAL CYST SIMPLE, $233.00 
IBANDRONATE SYR 3MG/3ML," $1,126.00 "
IBD SPECIFIC PANCA AUTO AB ELISA, $160.00 
IBD SPECIFIC PANCA IFA PERINUCLEAR PATTE, $231.00 
"IBD SPECIFIC PANCA IFA, ADD", $116.00 
IBUPROFEN (ADVIL) SUSP 20MG/ML    10ML, $11.00 
IBUPROFEN LEVEL, $132.00 
IBUPROFEN TAB 800MG, $11.00 
ICAM-1 CHEMILUMINESCENT, $155.00 
ID MICRO, $63.00 
ID URINE, $71.00 
IDARUCIZUMAB (PRAXBIND) 5GM/100ML," $4,602.00 "
IGF-1 SOMATOMEDIN C, $153.00 
IGFBP-3, $189.00 
IMIPENEM /CILASTATIN(PRIMAXIN)250MG VIAL, $40.00 
IMIPRAMINE, $98.00 
IMIPRAMINE HCL TAB 10MG, $11.00 
IMIPRAMINE TAB 25MG, $11.00 
IMMUNIZATION ADMIN 1 VACCINE, $47.00 
"IMMUNOFIXATION, SERUM", $194.00 
"IMMUNOFIXATION, URINE", $211.00 
IMMUNOGLOBULIN A, $88.00 
IMMUNOGLOBULIN D, $88.00 
IMMUNOGLOBULIN E (IGE), $117.00 
IMMUNOGLOBULIN G, $88.00 
IMMUNOGLOBULIN G SUBCLASSES, $59.00 
IMMUNOGLOBULIN M, $88.00 
"IMMUNOHISTOCHEMISTRY, EA, AB, TUMOR", $279.00 
"IMMUNOPEROXIDASE, PATH", $244.00 
"IMMUNOPEROXIDASE, PATH EACH ADD'L", $244.00 
"IMMUNOPEROXIDASE, QUANT, AB", $414.00 
IMP DISP-2.0MM QUICK RELEASE DRILL BIT, $288.00 
IMP DISP-2.2MM QUICK RELEASE DRILL BIT, $298.00 
IMP DISP-2.5MM QUICK RELEASE DRILL BIT, $288.00 
IMP DISP-2.8MM QUICK RELEASE DRILL BIT, $311.00 
IMP DISP-2.8MM X 5  QUICK RELEASE DRILL, $204.00 
"IMP-3.5MM BONE SCREW, 24MM", $366.00 
"IMP-3.5MM BONE SCREW, 26MM", $366.00 
IMP-3D MAX LIGHT MESH LARGE LEFT, $352.00 
IMP-3D MAX LIGHT MESH LARGE RIGHT, $352.00 
IMP-3D MAX LIGHT MESH X-LARGE LEFT, $390.00 
IMP-3D MAX LIGHT MESH X-LARGE RIGHT, $390.00 
"IMP-4.5 MM BONE SCREW, 20MM", $256.00 
"IMP-4.5MM BONE SCREW, 35MM", $256.00 
IMP-4X24 LAG SCREW, $986.00 
IMP-5th METATARSAL HOOK PLATE," $2,058.00 "
IMP-ACHILLES SPEEDBRIDGE ANCHOR," $3,873.00 "
IMP-ALCON ANTERIOR LENS, $370.00 
IMP-ALCON POSTERIOR LENS, $285.00 
IMP-ANCHOR/SCREW BN/BN TIS/BN, $163.00 
IMP-ANCHOR/SCREW BN/BN TS/BN, $518.00 
IMP-ARTHREX FIBER TAPE 2MM 30, $85.80 
IMP-BARD MESH PERFIX LARGE PLUG, $446.00 
IMP-BARD MESH PERFIX X-LARGE PLUG, $630.00 
IMP-CANNULATED SCREW 3.0MMX38MM, $298.00 
IMP-CARPAL IMPLANT MED DEV JT," $5,479.00 "
"IMP-CARPAL POLY IMPLANT, MED STD DEV JT"," $2,272.00 "
IMP-CLAVICLEPLATE 100MM," $1,016.34 "
IMP-COMPRES SCREW 2.4MMX20MM," $1,282.00 "
IMP-DEPUY PLATE & SCREW SET," $2,058.00 "
IMP-DISP KIT FOR SWIVELOCK 3.5X13.5MM, $472.00 
IMP-DISP KIT FOR SWIVELOCK 3.5X13.5MM, $472.00 
IMP-DISTAL COMP INTEGRA JT METACARPOP," $2,464.00 "
IMP-DX SWIVELOCK ARTHREX 3.5X13.5MM, $730.00 
IMP-FIBERLOOP 2-0/3 METRIC ARTHREX, $86.00 
IMP-FOOT/ANKLE STRYKER/WARD," $5,334.00 "
IMP-HEADLESS SCREW 3.0X22, $298.00 
IMP-IGNITE PLATES AND SCREWS," $11,331.00 "
IMP-K WIRE 0.9 MM, $30.00 
IMP-K WIRE 1.0 W/INSTRUMENT, $510.00 
IMP-K WIRE 1.4 MM, $30.00 
IMP-K WIRE GUIDE .028X6, $57.00 
IMP-K WIRE GUIDE .035X9, $57.00 
IMP-K WIRE GUIDE .062X9, $57.00 
IMP-KUGEL HERNIA MESH SMALL OVAL, $375.00 
IMP-LOCKING SCREW 2.4X10.0, $307.00 
IMP-LOCKING SCREW 2.7X12.0, $307.00 
IMP-LOCKING SCREW 2.7X14.0, $307.00 
IMP-LOCKING SCREW 2.7X16.0, $307.00 
IMP-LOCKING SCREW 2.7X18.0, $307.00 
IMP-LOCKING SCREW 2.7X20.0, $307.00 
IMP-LOCKING SCREW 2.7X24.0, $307.00 
IMP-MD METACARPAL SCREW," $1,868.00 "
IMP-MPJ PLATE," $2,724.00 "
IMP-POWER PORT (VAP), $725.00 
IMP-PROXIMAL COMP INTEGRA JT METACARPOP," $3,639.00 "
"IMP-RADIAL IMPLANT, MED RT DEVICE JT"," $8,744.00 "
IMP-SOFT MESH 4X6, $291.00 
IMP-STENT NON-COR TEM W/O DEL, $163.00 
IMP-SURGIPRO MESH 3X5, $46.00 
IMP-SUTURE ANCHOR ARTHREX," $1,411.00 "
IMP-SUTURE ANCHOR CORKSCREW ARTHREX, $360.00 
IMP-SWIVELOCK ARTHREX 4.75X19.1 MM," $2,984.00 "
IMP-TEMPORARY PIN, $88.00 
"IMP-TIGHTROPE ABS, BUTTON", $171.00 
"IMP-TIGHTROPE ABS, IMP, OPEN", $232.00 
IMP-TORIC LENS-ASTIG-CORRECT FUNCTION, $809.00 
IMP-ULNAR OSTEOTOMY COMP PLATE DEVICE JT," $3,286.00 "
IMP-VENTRALEX MESH ST ELLIPSE 7X9," $2,358.00 "
IMP-VENTRALEX MESH ST ELLIPSE 8X10," $2,765.00 "
IMP-VENTRALEX ST MESH 59 & ECHO PS 6X8," $1,851.00 "
IMP-VENTRALEX ST MESH OVAL 6X10," $2,164.00 "
IMP-VENTRALEX ST MESH PATCH LRG CIRCLE, $943.00 
IMP-VENTRALEX ST MESH PATCH MED CIRCLE, $736.00 
IMP-VENTRALEX ST MESH PATCH SMA CIRCLE, $314.00 
IMP-VENTRIO ST HERNIA MESH 11CM X 14CM," $1,277.00 "
IMP-VENTRIO ST HERNIA PATCH MESH, $686.00 
IMP-WRIGHT ALLOMATRIX KIT & SCREWS," $3,065.00 "
IMP-WRIGHT MED T PLATE & SCREW SET," $3,016.00 "
INCENT SPIROMET INT, $109.00 
INCISION/REM FB-SUBQ TISSUE SIMPLE," $1,618.00 "
INDIGO CARMINE AMP 8MG/ML 5ML, $42.00 
INF BURSA I&D - UA/ELBOW, $195.00 
INFLIXIMAB (REMICADE) INJ VIAL 100MG," $1,757.80 "
INFLUENZA SCREEN A/B, $109.00 
INFLUENZA SCREEN A/B BY PCR, $254.00 
INFLUENZA VIRUS VACCINE, $69.12 
INFUSION-CONCURRENT-ER, $453.00 
INHIBIN A, $86.00 
INIT NUTRITION THER; EA 15M INDIV, $30.00 
INITIAL/DISCHARGE, $200.00 
INJ ANESTH; OTHR PERIPHERAL NRV/BRANCH, $315.00 
INJ NERVE BLOCK - TRIGEMINAL, $320.00 
INJ TRIGGER POINT 1.0-2.0 MUSCLES, $758.00 
INJECTION-IM/SQ, $129.00 
INJECTION-IM/SQ, $130.00 
INJ-HIP ANTHROGR W/O ANESTH, $326.00 
INJ-IM ANTIBIOTICIC, $130.00 
INS NON-TUNNEL CV CATH >=5 YEARS," $2,830.00 "
INSECT/ARTHROPOD ID, $54.00 
INSERTION OF CHEST TUBE FOR HEMOTHORAX, $308.00 
INSULIN  NOVOLIN N VIAL : 100UNIT/ML, $42.00 
INSULIN  PROT/ASPART 70/30 PEN, $79.00 
INSULIN ASPART (NOVOLOG) FLEX PEN, $144.81 
INSULIN DETEMIR (LEVEMIR) FLEX PEN, $117.56 
INSULIN GROWTH FACTOR, $159.00 
INSULIN HUMULIN R INJ VIAL 300U/3ML, $36.00 
INSULIN TOTAL, $87.00 
INSULIN TRAINING PER CLASS, $25.00 
INT REPAIR F/E/N/L/MM WND; 2.5CM OR LESS, $357.00 
INTERPRETATION 15 MIN, $32.00 
INTERPRETATION AND REPORT, $93.00 
INTMD WND REP S/A/T/EXT 2.60-7.5 CM, $303.00 
INTMD WND REP S/TR/EXT 7.6-12.5 CM, $303.00 
INTMD WND REPAIR FACE/MM 2.6-5.0 CM, $752.00 
INTMD WND REPAIR FACE/MM 5.1-7.5 CM, $288.00 
INTMD WND REPAIR N-HF/GENIT <=2.5 CM, $303.00 
INTMD WND REPAIR N-HF/GENIT 2.60-7.5 CM, $303.00 
INTMD WND REPAIR S/A/T/EXT <=2.50 CM, $303.00 
INTMD WND REPAIR S/TR/EXT > 30.00 CM, $384.00 
INTMD WND REPAIR S/TR/EXT 12.60-20.0 CM, $158.00 
INTRAABDOMINAL PRESSURE TEST, $92.00 
INTRAOP CYTO PATH CONSULT 1, $119.00 
INTRAOP CYTO PATH CONSULT 2, $93.00 
INTRINSIC FACTOR BLOCK  ANTIBODY, $117.00 
INTUBATION ET EMERGENT, $536.00 
INVOKANA ORAL TABLET 300MG, $35.00 
IOPAMIDOL VIAL 41%, $49.23 
IP PICC LINE INSERTION, $882.00 
IPRATROP/ALBUTEROL SOL 0.5MG-2.5MG/3ML, $11.00 
IPRATROPIUM BROMIDE NASAL SPRAY 0.03%, $83.00 
IPRATROPIUM BROMIDE NEB 0.5MG, $11.00 
IRBESARTAN TAB (AVAPRO) 150MG, $11.00 
IRON, $54.00 
IRON DEXTRAN (DEXFERRUM) VIAL 100MG/2ML, $73.00 
IRON SUCROSE COMPLEX (VENOFER) 20MG/ML, $101.00 
ISLET CELL ANTIBODY IGG, $134.00 
ISOSORBIDE MON (IMDUR) ER TAB 30MG, $11.00 
ISOSOURCE 1.5 CAL DIETARY, $16.00 
ITRACONAZOLE LEVEL QUANT, $196.00 
IVIG (FLEBOGAMMA) INJ  2.5GM IN 50ML, $594.00 
IVIG (FLEBOGAMMA) INJ VIAL 20GM IN 200ML," $4,360.00 "
IVIG (FLEBOGAMMA) INJ VIAL 5GM," $1,017.48 "
IVIG (FLEBOGAMMA) VIAL INJ 10GM," $1,660.00 "
JAK2 V617F MUTATION DETECTION, $556.00 
JO-1 AB, $70.00 
KEPPRA TABLET 500MG, $11.00 
"KEPPRA/LEVETIRACETAM, DRUG QUANT NOS", $221.00 
KETAMINE HCL INJ SOLN 100MG/ML  5ML, $48.14 
KETONES-URINE QUALITATIVE, $59.00 
KETOROLAC TROMETHAMINE VIAL 15MG/1ML, $36.00 
KETOROLAC TROMETHAMINE VIAL 60MG/2ML, $36.00 
KETOROLAC TROMETHAMINE VIAL INJ 30MG/ML, $36.00 
KOH EXAMINATION, $43.00 
LABETALOL  HCL VIAL 5MG/ML 20ML, $36.00 
LABETALOL TAB 100MG, $11.00 
LACTIC ACID, $127.00 
LACTULOSE (ENULOSE) SYRP 10GM/15ML, $11.00 
LAMOTRIGINE, $127.00 
LAMOTRIGINE  TAB:  25MG, $11.00 
LAMOTRIGINE (LAMICTAL) TAB 100 MG, $11.00 
LANTISEPTIC SKIN PROTECTANT OINTMENT, $29.00 
"LAPAROSCOPY, SURGICAL, APPENDECTOMY"," $10,433.00 "
LATANOPROST (XALATAN) DROPS BTL, $36.00 
LDH, $64.00 
LDH ISOENZYMES, $106.00 
LDL DIRECT MEASURE, $56.00 
LEAD CONFIRMATION WHOLE BLOOD, $73.00 
LEAD LEVEL SCREEN, $73.00 
"LEGIONELLA  ANTIGEN, URINE", $104.00 
LEGIONELLA AB IGG/IGM/IGA, $114.00 
LEGIONELLA PNEUMOPHILIA AB 1-6 IGM, $117.00 
LEUCOVORIN CALCIUM VIAL: 100MG, $51.00 
LEUCOVORIN CALCIUM VIAL: 350MG, $74.00 
LEUPROLID SYR 22.5MG," $4,872.00 "
LEUPROLID SYR 7.5MG," $1,964.00 "
LEUPROLIDE (ELIGARD) SYR 45MG," $1,624.00 "
LEUPROLIDE DEPOT SYR INJ 3.75MG," $1,296.00 "
LEUPROLIDE SYR 30MG," $6,777.60 "
LEVALBUTEROL HCL (XOPENEX) NEB 1.25MG, $13.00 
LEVALBUTEROL HCL NEB 0.63MG/3ML, $12.69 
LEVEL 1 STRAP/ANKLE, $130.00 
LEVEL 1 STRAP-TOES, $130.00 
LEVETIRACETAM ORAL SOLUTION 100MG/1ML, $60.00 
LEVOFLOXACIN (LEVAQUIN) BAG 500MG, $46.00 
LEVOFLOXACIN (LEVAQUIN) TAB 250MG, $11.00 
LEVOFLOXACIN (LEVAQUIN) TAB 500MG, $11.00 
LEVOFLOXACIN BAG 750MG, $47.00 
LEVOFLOXACIN INJ 250MG/50ML BAG, $46.00 
LEVOTHYROXIN {LEVOTHROID} TAB 88MCG, $11.00 
LEVOTHYROXINE (LEVOTHROID) TAB 112 MCG, $11.00 
LEVOTHYROXINE (SYNTHROID) TAB 100MCG, $11.00 
LEVOTHYROXINE {LEVOTHROID) TAB 25MCG, $11.00 
LEVOTHYROXINE {SYNTHROID} TAB 75MCG, $11.00 
LH, $123.00 
LIDOCAINE (LIDODERM) PATCH 5%, $12.81 
LIDOCAINE (LMX4) CREAM 4% 5GM, $34.00 
LIDOCAINE 2GM /D5W PREMIX  500ML 4MG/ML, $56.00 
LIDOCAINE HCL 2% (ABBOJECT) 100MG/5ML, $36.00 
LIDOCAINE HCL/D7.5W AMP 5-7.5%, $41.00 
LIDOCAINE JELLY 2% 5ML UROJECT, $26.00 
LIDOCAINE JELLY UROJET 2% 20ml, $32.00 
LIDOCAINE MPF VIAL 0.5% 50ML, $36.00 
LIDOCAINE VIAL 1% 50ML, $36.00 
LIDOCAINE VISCOUS 2% 15ML CUP, $11.00 
"LIDOCAINE/EPI  2%-1:100,000:", $36.00 
LIDOCAINE/EPI VIAL: 2% 50ML, $36.00 
LIGHT CHAINS QUANTITATIVE, $181.00 
LINEZOLID (ZYVOX) PREMIX IV 600MG/300ML, $176.00 
LIPASE, $76.00 
LIPID PANEL, $107.00 
LIPID PANEL - ATLAS, $107.00 
LIPOPROTEIN A, $114.00 
LISINOPRIL 5 MG TABLET, $11.00 
LISINOPRIL TAB 10MG, $11.00 
LISINOPRIL TAB 20MG, $11.00 
LITHIUM, $66.00 
LITHIUM CARBONATE CAP 150MG, $11.00 
LITHIUM CARBONATE TAB 300MG, $11.00 
LIVER KIDNEY MICROSOMAL ANTIBODY (LKM), $108.00 
LIVER PROFILE, $129.00 
LORAZEPAM, $116.00 
LORAZEPAM (ATIVAN) TAB 0.5MG, $11.00 
LORAZEPAM (ATIVAN) TAB 1MG, $11.00 
LORAZEPAM VIAL INJ 2MG/1ML, $42.00 
LOSARTAN POTASSIUM (COZAAR) TAB 25MG, $11.00 
LOSSARTAN/HCTZ (HYZAR) TAB 50MG/12.5MG, $10.00 
LOVASTATIN TAB 20MG, $11.00 
LOVASTATIN TAB: 10MG, $5.00 
LR  KCL 40MEQ 1000ML, $5.00 
LR 1000ML INFUSION, $52.00 
LR 500ML, $52.00 
LUBIPROSTINE  CAP 8MCG, $17.00 
LUBIPROSTONE (AMITIZA) CAP 24 MCG, $21.00 
LUPRON DEPOT  PWD FOR SUSP 11.25MG," $3,162.00 "
LUPRON DEPOT 6 MONTH 45MG," $8,719.00 "
LUPUS PTT MIX, $72.00 
LUPUS SENSITIVE PTT BLOOD, $147.00 
LYME DISEASE BY PCR, $246.00 
LYME WESTERN BLOT, $211.00 
LYMES AB IGG, $132.00 
LYMES AB IGM, $132.00 
LYSIS OR EXCISION OF PENILE POST CIRCUMC," $3,417.85 "
MAG OXIDE 400MG TAB, $11.00 
MAGIC MOUTH WASH, $26.00 
MAGNESIUM, $72.00 
MAGNESIUM SUL VIAL 5GM/10ML, $36.00 
MAGNESIUM SULFATE IV SOLN 4GM/100ML, $58.00 
MAGNESIUM SULF-D5% 1GM/100ML *PREMIX*, $52.00 
MALARIA SMEAR, $87.00 
MANNITOL VIAL INJ 25% IN 50ML, $36.00 
MASTOTOMY W EXPL DEEP ABSCESS, $741.00 
MECLIZINE HCL TAB 12.5MG, $11.00 
MEGESTROL ACETATE SUSP 40MG/1ML, $12.00 
MELOXICAM (MOBIC) TAB 15MG, $11.00 
MEMANTINE (NAMENDA) TAB 5MG, $11.00 
MEMANTINE {NAMENDA} TABS: 10MG, $11.00 
MEPERIDINE INJ 50MG, $42.00 
MERCURY, $104.00 
MEROPENEM 1GM VIAL, $52.00 
MESALAMINE DR (ASACOL HD) TABS 800MG, $21.00 
METABOLIC BASIC PANEL, $101.00 
"METANEPHRINES, PLASMA FREE", $263.00 
METFORMIN ER TAB 750MG, $11.00 
METFORMIN HCL TAB 500MG, $11.00 
METFORMIN HCL TAB 850MG, $11.00 
METHADONE AND METABOLITE, $110.00 
METHADONE HCL TAB 5MG, $11.00 
METHOCARBAMOL TAB: 500MG, $11.00 
METHOTREXATE SODIUM TAB 2.5MG, $35.00 
METHSUXIMIDE, $217.00 
METHYLMALONIC ACID - SERUM, $253.00 
METHYLNALTREXONE (RELISTOR) VIAL 12MG, $322.47 
METHYLPHENIDATE (RITALIN) TAB 5MG, $11.00 
METHYLPREDNISOLONE ACETATE 40MG *IM USE*, $39.14 
METHYLPREDNISOLONE ACETATE 80MG *IM USE*, $62.00 
METHYLPREDNISOLONE ACETATE TAB 4MG, $102.00 
METHYLPREDNISOLONE SODIUM 125MG/2ML INJ, $43.00 
METHYLPREDNISOLONE SODIUM 40MG/1ML INJ, $36.00 
METHYLPREDNISOLONE SODIUM INJ 1GM, $150.00 
METHYLPREDNISOLONE SODIUM INJ 500MG, $87.00 
METOCLOPRAMIDE HCL TAB 5MG, $11.00 
METOCLOPRAMIDE HCL VIAL INJ 10MG/2ML, $36.00 
METOLAZONE (ZAROXOLYN) TAB 2.5MG, $11.69 
METOPROLOL  VIAL 5MG/5ML, $36.00 
METOPROLOL SUC (XL) TAB 25MG, $11.00 
METOPROLOL SUC (XL) TAB 50MG, $11.00 
METOPROLOL TART TAB 25MG (NOT XL), $11.00 
METOPROLOL TART TAB 50MG (NOT XL), $11.00 
METRONIDAZOLE GEL 0.75% 45 GRAMS, $97.00 
METRONIDAZOLE PREMIX BAG IV INJ 500MG, $46.00 
METRONIDAZOLE TAB 250MG, $11.00 
MICROALBUMIN WITH CREA RATIO URINE, $65.00 
MIDAZOLAM  (VERSED) VIAL 2MG/2ML, $41.00 
MIDAZOLAM HCL SYRUP 2MG/ML (5 ML), $13.59 
MIDAZOLAM INJ VIAL 5MG/5ML, $41.00 
MIDODRINE HCL (PROAMATINE) TAB 2.5MG, $11.00 
MIDODRINE HCL ORAL TABLET 5MG, $11.00 
MINERAL OIL LIGHT TOP STERILE 25ML, $16.00 
MINOCYCLINE HCL TAB 50MG, $5.00 
MIRTAZAPINE (REMERON) SOLTAB 15MG, $11.00 
MITOCHONDRIAL ANTIBODY, $133.00 
MM BREAST NEEDLE LOCAL 1 LESION, $411.00 
MM BREAST SURG SPECIMN, $73.00 
MM DIGITAL DIAG MAMMO ADD COMP/PROTOCOL, $384.00 
MM MAMMO BILAT SCREEN 3D DIR- PER PROTO, $20.00 
MM MAMMO BILAT SCREEN DIG DIR- PER PROTO, $374.00 
MM MAMMO UNIL LT SCREEN 3D DIR- PER PROT, $20.00 
MM MAMMO UNIL RT SCREEN 3D DIR- PER PROT, $20.00 
MM MAMMO UNILAT SCREENING LT- PER PROTOC, $374.00 
MM MAMMO UNILAT SCREENING RT- PER PROTOC, $374.00 
MM UNILAT MAMMO LT DX DIG DIR- PER PROTO, $362.00 
MM UNILAT MAMMO RT DX DIG DIR- PER PROTO, $362.00 
