Procedure Description,Unit Price
HC DHEA,347
HC DHEA-S,305
HC DHEA-S-SO,305
HC DIAG BRONCHOSCOPE/CATHETER,2550
HC DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS,4243.3
HC Diagnostic mammo  including  (CAD) when performed; bilateral,627
HC Diagnostic mammo  including (CAD) when performed; unilateral,374
HC DIALYS CIRC EMBOLIZ/OCCL EV,8003.25
HC DIALYSIS ACUTE,1538
HC DIAZOXIDE UNRESPONSIVE HYPERINSULINISM PANEL,3050
HC DIFF CELL COUNT NOT BLOOD,77
HC DIFFERENTIAL MANUAL,21
HC DIFFERENTIAL MANUAL,21
HC DIGOXIN,186
HC DIHYDROTESTOSTERONE (DHT),353
HC DIL ESOPH UNGUID SND/BOUG,1954
HC DILAT BIL DUCT/AMPULLA EA DUCT,7064.7
HC DILAT NEPHROS URET URETH S&I,1795
HC DILAT SM INTEST VIA STOMA,2230
HC DILATE IC VASOSPASM ADD-ON,13215
HC DILATION ESO OVER GUIDEWIRE,1954
HC DILUTE RUSSELL VIPER VENON,201
HC DIPHTHERIA AB,209
HC DIPROPYLACETIC ACID,191
HC DIRECT COOMBS,76
HC DIRECT COOMBS,153
HC DIRECT COOMBS INVESTIGATION,279
HC DISP BX FORCEPS,79
HC DISTAL RADIOULNAR DISLOC W/MAN,411
HC DLYD PLMT XTN PROSTH 1ST VSL,4200
HC DLYD PLMT XTN PROSTH EA ADDL,4200
HC DM OP SMT INDIV PER 30 MIN,109
HC DNA CLASS I (ABC) AND CLASS II (DR/DQ/DR3 4 5) LOW RES,3593
HC DNA CLASS I (ABC) AND CLASS II (DRB1) HIGH RES,5211
HC DNA CLASS I (ABC) HIGH RES,1127
HC DNA CLASS I (ABC) LOW RES,349
HC DNA CLASS I SGL AG/LOCUS LOW RES,222
HC DNA CLASS I SGL ALLELE TYPING HIGH RES,222
HC DNA CLASS II (DR) ALLELE TYPING HIGH RES,210
HC DNA CLASS II (DR/DQ/DRB3 4 5) LR,225
HC DNA CLASS II DRB3  4 5,210
HC DNA CLASS II SING LOC HIGH RES (DQA1 DQB1 DPA1 DPB1 EA),229
HC DNA LUMINEX CLASS I,1746
HC DNA LUMINEX CLASS II,1955
HC DNA OR RNA EXTRACTION ONLY,88
HC DNA/RNA DIRECT PROBE EA,280
HC DONATH LANDSTEINER,106
HC DOPLR FETAL; UMBILICAL ART,317
HC DOPPLER COLOR FLOW,1387
HC DOPPLER ECHO F-UP OR LMTD,727
HC DOPPLER ECHO; COMPLETE,1464
HC DOSE COMPUTATIONS/ELECTRONS,1977
HC DRAIN ABSCESS DENTOAVEOLAR STR,384
HC DRAIN ABSCESS FINGER  COMPLIC,2674
HC DRAIN ABSCESS FINGER SIMPLE,372
HC DRAIN ABSCESS MOUTH SIMPLE,439
HC DRAIN ABSCESS PALATE UVULA,912
HC DRAIN BL W/CATH INSERTION,2587
HC DRAIN BL W/CATH INSERTION,2587
HC DRAIN INJ JOINT INTERMED LT,467
HC DRAIN INJECT JOINT BURSA BILAT,467
HC DRAIN/INJ INTERM JNT/BURSA,467
HC DRAIN/INJ JOINT/BURSA W/ US GUIDE,467
HC DRAIN/INJ MAJOR JNT/BURSA,467
HC DRAIN/INJ MAJOR JNT/BURSA,467
HC DRAINAGE ABSCESS OR HEMATOMA  NASAL SEPTUM,1450
HC DRAINAGE EXT EAR SIMPLE,354
HC DRAINAGE EXTERNAL AUDITORY CANAL  ABSCESS,1715.34
HC DRAINAGE OF NOSE LESION,380
HC DRESS/DEBRID P-THICK BURN M,391
HC DRESS/DEBRID P-THICK BURN S,467
HC DRNG HEMATOMA/SEROMA/FLUID COL,2578
HC DRNG SOFT TISS ABSCESS DEEP,5260
HC DROP LOCK KNEE JT,297
HC DROP LOCK RETAINER,95
HC DRUG ABUSE 6 PANEL,200
HC DRUG ABUSE SCREEN  BREAST MILK,180
HC DRUG ADMIN & HEMODYNMIC MEAS,245
HC DRUG QUANTITATION,188
HC DRUG QUANTITATION NES,188
HC DRUG SCREEN - 9 PANEL,200
HC DRUG SCREEN 7  SERUM,592
HC DRUG SCREEN 9 PANEL,200
HC DRUG SCREEN COMPONENT,190
HC DRUG SCREEN MULTI CLASS EA,200
HC DRUG SCREEN QUAL SINGLE DRUG,190
HC DRUG SCREEN QUANT CLOZAPINE,128
HC DRUG SCREENING BARBITURATES,85
HC DRVVT CONFIRM,226
HC DRVVT MIX,226
HC DRVVT TEST,201
HC DUEL HER2 ISH,857
HC DUPLEX A IVC IL/BPG; COMPL,2172
HC DUPLEX A IVC IL/BPG; UNIL/LIM,1510
HC DUPLEX ARTERIAL FLOW; COMPL,2718
HC DUPLEX CAROTID COMPLETE BILAT,2233
HC DUPLEX DOPPLER CARTOID LTD,1931
HC DUPLEX EXT VEINS COMP-BILAT,2233
HC DUPLEX HEMODIALYSIS ACCESS,1137
HC DUPLEX SCAN LE ART COMP-BIL,2114
HC DUPLEX SCAN UE ART COMP-BIL,2114
HC DUPLEX SCAN UE ART UNI OR LTD,1510
HC DUPLEX SCAN  PENILE VESSELS  C,3018
HC DUPLX EXT VEINS UNI OR LTD,1570
HC DUPLX LE ART UNIL OR LTD,1510
HC DX BRONCHOSCOPE/WASH,2263
HC DX COLONOSCOPY,2708
HC DXA BN DENS AXIAL W/VERT FX AS,1146
HC D-XYLOSE ABSORPTION TEST,166
HC E/R SERVICES (LEVEL I),176
HC E/R SERVICES (LEVEL II),874
HC E/R SERVICES (LEVEL III),1177
HC E/R SERVICES (LEVEL IV),1310
HC E/R SERVICES (LEVEL V),2520
HC EBNA-1 IGG,210
HC EBUS-TBNA NEEDLE 19G VIZISHOT,1392
HC EBV AB PANEL,389
HC ECG UP 48 HRS RCD SCN STR W/PHY R&I,399
HC ECHO EXAM OF HEAD,956
HC ECHO TRANSESOPHAGEAL COMPLETE,2664
HC ECHO TRANSESOPHAGEAL/TAVR,2237
HC ECMO DAILY MONITORING (ADULT),565
HC ECMO/ECLS INITIATION VENOUS,5500
HC ECMO/ECLS PERQ PERIPH TUBE 6+YRS,5500
HC ECT SUPPLIES,28
HC ED SERVICE TRAUMA LEVEL 1,9941
HC ED SERVICE TRAUMA LEVEL 2,13614
HC EEG 41-60 MINUTES,2286
HC EEG AWAKE & DROWSY,1686
HC EEG AWAKE & SLEEP,2203
HC EEG INTRAOP NEURO MONITORING,1123
HC EEG MONITORING/COMPUTER  EA 24 HOURS,455
HC EEG OVER 1 HOUR,1710
HC EEG; CEREBRAL SILENCE,1391
HC EEG-MULTIPLE SLEEP LATENCY TES,3764
HC EEG-POLYSOMNOGRAPHY W/CPAP,6392
HC EFTEKAR HIP ABDUCTION SPLINT,77
HC EGD ABLATION TPL PRE/POST WG DILA,2634
HC EGD BALLOON DIL ESOPH30 MM/>,4493.1
HC EGD ENDO MUCOSAL RESECTION,2339
HC EGD ENDOSCOPIC STENT PLACE,7236
HC EGD OPTICAL ENDOMICROSCOPY,7988.55
HC EGD US FNA/BX ESOPH/STOMACH/UPR SM BOWEL,4247.16
HC EGD US LTD TRANSORAL ESOPH/STOMACH/UPR SM BOWEL,4247.16
HC EGD US TRANSMURAL INJXN/MARK,3795
HC EGD W/ LIGATION ESOPHAGEAL VAR,4146
HC EGD W/BALL DILAT ESOPH <30MM,2388
HC EGD W/CONTROL ESOPHAG/STOMACH,4146
HC EGD W/DIR SUBMUCOSAL INJ,2388
HC EGD W/ENDOSCOPY ULTRASOUND,2634
HC EGD W/EUS/FNA,4339
HC EGD W/GUIDE WIRE/DILATION,2634
HC EGD W/PLACEMENT PEG TUBE,2310
HC EGD W/REM T/P/LES BY SNARE,2634
HC EGD W/REM T/P/LES-HOT BX/BIPOL,2634
HC EGD  THERA W/INJ VARICES,2310
HC EGD/UGI DIAG,2310
HC EGD/UGI  W/BX SGL/MULTI,2310
HC EGFR GENE ANALYSIS,1025
HC EHRLICHIA AB,141
HC EHRLICHIA AND ANAPLASMA AB,91
HC EHRLICHIA ANTIBODY PANEL (86666) 4,139
HC ELBOW ARTHROGRAM INJ,418
HC ELBOW BRACE,1513
HC ELBOW COMPLETE MIN 3V,637
HC ELECTROCOCHLEOGRAPHY,1301
HC ELECTROCONVULSIVE THERAPY,867
HC ELECTROCORTICOGRAM AT SURGERY,1179
HC ELECTRODE STIM BRAIN ADD-ON,2417
HC ELECTROLYTE PANEL,243
HC ELECTROMAGNETIC BRONCHOSCOPY,4118.19
HC ELECTROMYOGRAPHIC STUDIES,367
HC ELECTRON MICROSCOPY,1610
HC ELECTROPHORESIS NES,146
HC ELECTROPHYS MAP 3D ADD-ON,14941
HC ELISA HIV-1/HIV-2 SCREEN,233
HC EMG NEEDLE HEMIDIAPHRAGM,417
HC EMG REPETITIVE STIMULATION,831
HC EMG-CRANIAL NERVE BILATERAL,1965
HC EMG-CRANIAL NERVE UNILATERAL,907
HC EMG-THORACIC PARASPINAL MUSCLE,438
HC ENCEPHALITIS CALIF IGG,181
HC ENCEPHALITIS ST LOUIS IGG,181
HC ENCEPHALOPATHY-AUTOIMMUNE EVAL  CSF (PRICE PANEL CHARGE),4931.85
HC ENDO BOWEL POUCH W BX SINGLE OR MULTI,2234.85
HC ENDOLUMINAL BX BILIARY TREE,783
HC ENDOLUMINAL BX URTR/RNL PEL,336
HC ENDOMYOCARDIAL BX,4339
HC ENDOMYSIAL AB IGA,168
HC ENDOS CATH BILIARY DUCT SYS S&I,118
HC ENDOS CATH PANCREATIC DUCT SYS S&I,118
HC ENDOS W/TRANSENDO STENT PLACE,7236
HC ENDOSCOPY BOWEL POUCH,2234.85
HC ENDOVENOUS  ABLATION THERAPY OF INCOMPETENT VEIN  EXTREMITY  INCL IMAGING GUIDANCE  SUBSEQUENT VEIN(S) TREATED IN A SINGLE EXTREMITY  EACH THRU SEPARATE ACCESS SITES,6038
HC ENTAMOEB HIST DISPR AG EIA,155
HC ENTAMOEBA HISTOLYTICA GROUP,113
HC ENTEROSCOPY W/CONTROL BLEEDING,2650
HC ENTEROVIRUS,481
HC ENTEROVIRUS AB,179
HC ENTEROVIRUS PANEL  CF  CSF PANEL,725
HC ENTEROVIRUS PANEL  CF  CSF PANEL  (PRICE PANEL CHARGE),724.84
HC ENTEROVIRUS RNA  QUALITATIVE REAL-TIME PCR,504
HC ENZYME ACTIVITY,249
HC EOSINOPHIL CT  (B),81
HC EOSINOPHIL CT  (B)   (PRICE PANEL CHARGE),80.99
HC EP & ABLATE SUPRAVENT ARRHYT,25938
HC EP & ABLATE VENTRIC TACHY,17511
HC EP EVAL CD W/GEN TEST,7245
HC EP EVAL CD W/PACING,7245
HC EP F-UP STUDY W/PACING,3550
HC EPHYS EVAL SUBQ IMPLT DEFIB,168
HC EPSTEIN BARR VIRUS DNA  QUANTITATIVE REAL-TIME PCR,398
HC EPSTEIN-BARR VIRUS DNA  QUALITATIVE REAL-TIME PCR,323
HC ERCP DUCT STENT PLACEMENT  EACH,7477
HC ERCP LESION ABLATE W/ OR W/O DILATE,6046
HC ERCP REMOVE FORGN BODY OR STENT,7236
HC ERCP STENT EXCHANGE,13515.36
HC ERCP W LITHOTR OF CALC,6046
HC ERCP W SPHINCTER/PAPILLOTOMY,6046
HC ERCP W/ BALLOON DIL W/ OR W/O SPHINC,6046
HC ERCP W/BX,6046
HC ERCP W/ENDO REM TONES,6046
HC ERCP W/PRESSURE MEASUREMENT OF,6046
HC ERCP W/SPECIMEN COLLECTION  DIAG,6046
HC ERGONOVINE PROVOCATION TEST,1268
HC ERYTHROPOIETIN,239
HC ESOPH IMPED FUNCT TEST > 1H,1278
HC ESOPH IMPED FUNCTION TEST,533
HC ESOPH SCOPE W/SUBMUCOUS INJ,4493.1
HC ESOPH W/GUIDE WIRE/DILATION,2634
HC ESOPHAGOGASTRIC TAMPONADE W/BA,562
HC ESOPHAGOSC DILATE BALLOON 30>,2310
HC ESOPHAGOSCOP STENT PLACEMENT,7236
HC ESOPHAGOSCOPY ABLATE TUMOR LESION,4339
HC ESOPHAGOSCOPY FLEX BX BRUSH,2353
HC ESOPHAGOSCOPY FLEXIBLE BRUSH,2434
HC ESOPHAGOSCOPY W BALN DILAT < 30 MM,2426
HC ESOPHAGUS MOTILITY STUDY,1217
HC ESOPHAOSC FLEX TRNSN BIOPSY,2353
HC ESTABLISHED PT LEVEL 1,99
HC ESTABLISHED PT LEVEL 1,99
HC ESTABLISHED PT LEVEL 2,123
HC ESTABLISHED PT LEVEL 2,123
HC ESTABLISHED PT LEVEL 3,147
HC ESTABLISHED PT LEVEL 3,147
HC ESTABLISHED PT LEVEL 4,231
HC ESTABLISHED PT LEVEL 4,231
HC ESTABLISHED PT LEVEL 5,328
HC ESTABLISHED PT LEVEL 5,328
HC ESTRADIOL SERUM,391
HC ESTRIOL SERUM UNCONJUGATED,331
HC ESTROGEN TOTAL,255
HC ESTROGENS FRACTIONATED,442
HC ESTRONE,343
HC ETHANOL (ALCOHOL); NOT BREATH,148
HC ETHOSUXIMIDE,225
HC ETHYLENE GLYCOL,172
HC ETHYLENE GLYCOL  SERUM  BLOOD  OR PLASMA,172
HC EV IC ADM  RX AG NOT THROMB;1ST,25000
HC EV IC ADM RX AG NOT THROMB;ADD,1854
HC EV TEMP BALLOON ART OCCLUSION,12073
HC EVACUATION SUBUNGUAL HEMATOMA,144
HC EVAL AUD STATUS REHAB EA ADDL 15 MIN,144
HC EVALUATE PT USE OF INHALER,380
HC EVALUATE SPEECH PRODUCTION,324
HC EVALUATE SWALLOWING FUNCTION,303
HC EVALUATION OF AUDITORY REHAB,423
HC EVALUATION OF SPEECH FLUENCY,401
HC EVALUATION OF WHEEZING,1103
HC EVALUATION VOICE PROSTHEITIC DEVICE,250
HC EVOKED AUDITORY TEST LIMITED,649
HC EVOKED AUDITORY TST COMPLETE,649
HC EXAM SYNOVIAL FLUID CRYSTALS,100
HC EXCHANGE BILIARY DRNG CATH,7064
HC EXCHANGE NEPHROSTOMY CATH,1702
HC EXCHANGE TRANSFUSION BLOOD; NEWBORN,730
HC EXCISION BARTHOLINS GLAND/CYST,7154.19
HC EXCISION OLECRANON BURSA,5919
HC EXCL DEBRIDE BONE 20 SQCM OR LESS,2115
HC EXCL DEBRIDE MUSCLE > 20 SQ CM,679
HC EXCL DEBRIDE MUSCLE 20 SQCM OR LESS,679
HC EXCL DEBRIDE SUBQ > 20SQ CM,679
HC EXCL DEBRIDE SUBQ 20SQCM OR LESS,679
HC EXERCISE TEST BRONCHOSPASM,330.63
HC EXERCISE W/HEMODYNAMIC MEAS,245
HC EXHALED NITRIC OXIDE MEAS,93
HC EXT CEPHALIC VERSION,933
HC EXTREM VENOGRAM INJ,989
HC EXTREMITY ANGIO - BILAT S&I,5135
HC EXTREMITY ANGIOGRAM UNIL S&I,5018
HC EXTREMITY SPLINT,202
HC EYE MUSCLE EVAL >=1 MUSC  1-2 EYES,1153
HC FACIAL BONES <3V,355
HC FACTOR 13 SCREEN,109
HC FACTOR ASSAY VII,364
HC FACTOR ASSAY XII,364
HC FACTOR INHIBITOR TEST,537
HC FACTOR IX ASSAY,364
HC FACTOR V LEIDEN,373
HC FACTOR VIII ASSAY,364
HC FACTOR XI ATIVITY,364
HC FACTOR XIII,107
HC FAMILIAL MEDITERRANEAN FEVER MUTATION ANALYSIS,746
HC FAMILY THERAPY W PT,103
HC FASCIOTMY PERC NDL FOOT-PLTR F,4656
HC FATTY ACIDS VERY LONG CHAIN,249
HC FBP WO NON-STRESS,365
HC FC MRKR CD3/CD16 + 56,94
HC FC MRKR CD3/CD19,94
HC FC MRKR CD3/CD4,94
HC FC MRKR CD3/CD8,94
HC FC MRKR CD4/CD8,94
HC FC MRKR CD45/CD14 + 13,94
HC FC MRKR CD45/CD34,94
HC FC MRKR CD45/G1,94
HC FC MRKR CD45RA/CD4,94
HC FC MRKR CD45RO/CD4,94
HC FC MRKR CD5/CD19,94
HC FC MRKR CD8/CD28,94
HC FC MRKR CF25/CD3,94
HC FC MRKR IGGL/IGG2A,94
HC FC MRKR IGGL/IGGL,94
HC FECAL FAT,71
HC FECAL LEUKO CNT QUAL/SEMIQUAN,58
HC FEES W CINE OR VIDEO,610
HC FEM/POPL REVAS W/TLA,11728
HC FEM/POPL REVAS W/TLA,11728
HC FEM/POPL REVASC W/STENT,15437
HC FEM/POPL REVASC W/STENT,26047
HC FERRITIN,191
HC FERRITIN LEVEL,191
HC FETAL BIOPHYS W/NON STRT TSTG,1123
HC FETAL CARDIOVASC 2-D F/U US,1364
HC FETAL CONTRACTION STRESS TST OVER,846
HC FETAL FIBRONECTIN CV SEMIQUAN,902
HC FETAL FLUID DRAINAGE W US,821
HC FETAL INVAS PX W/US,459
HC FETAL MIDL CEREBR ARTERY ECHO,301
HC FETAL NON-STRESS TEST 91-120 M,791
HC FETAL SHUNT PLCMNT W US,821
HC FIBRILLARIN U3 RNP,159
HC FIBRIN DEGRAD SPLIT PRODUCT,95
HC FIBRINOGEN: CLOTTABLE,284
HC FIBRINOGEN; ACTIVITY,348
HC FIBRINOLYSIS PANEL,1314
HC FIBRINOLYSIS PANEL  (PRICE PANEL CHARGE),1313.93
HC FII AB TITER,435
HC FINE NEDL ASP W/IMAGING GUID,560
HC FISH ALL PRE-B PANEL (PRICE PANEL CHARGE),1853.88
HC FISH  SYNOVIAL SARC PNL,734
HC FISH  SYNOVIAL SARC PNL (PRICE PANEL CHARGE),733.98
HC FISH EWING/PNET EWSR1  22Q12 (PRICE PANEL CHARGE),496.98
HC FIX AB TITER,512
HC FLEX SIG W/ OR W/O BRUSH  DX,1509
HC FLEX SIG W/DIL BALLOON 1+STRIC,2474
HC FLEX SIG W/DIR SUBMUCOSAL INJ,2124
HC FLEX SIG W/EUS/FNA,2474
HC FLEXIBLE SIGMOIDOSCOPY W/BX,1509
HC FLOUR AB SCRN NEUROMYO OPT,661
HC FLOW CY CELL SURF FIRST MKR,275
HC FLOW CYTO PANEL DLI,937
HC FLOW CYTO PANEL IRP,1125
HC FLOW CYTO PANEL ISAGE,187
HC FLOW CYTOMETRY CROSSMATCH B CELL (MULTI-FIRST SERUM),438
HC FLOW CYTOMETRY CROSSMATCH B CELL SINGLE,438
HC FLOW CYTOMETRY CROSSMATCH T CELL (MULTI-ADDITIONAL SERUM),354
HC FLOW CYTOMETRY CROSSMATCH T CELL (MULTI-FIRST SERUM),438
HC FLOW CYTOMETRY CROSSMATCH T CELL SINGLE,438
HC FLOW CYTOMETRY EA ADDTL MARKER  PANEL (88185) 21,6
HC FLOW CYTOMETRY EA ADDTL MARKER PANEL (88185) 25,5
HC FLOW CYTOMETRY EA ADDTL MARKER PANEL 88185 (10),7
HC FLOW CYTOMETRY TC 1ST MARKER PANEL 88184 (1),69
HC FLOW VOLUME LOOP,775
HC FLT3 GENE ANALYSIS  INTERNAL T,269
HC FLT3 NGS MUTATION ANALYSIS,461
HC FLU A/B AND RSV PCR,1418
HC FLUIDS WASHINGS OR BRUSHINGS,163
HC FLUORESCENT AB; SCRN EA AB,219
HC FLUORESCENT AB; SCRN EA AB 0301,56
HC FLUORESCENT AB; TITER EA AB-AKT,121
HC FLUORESCENT AB; TITER EA AB-AMAT,121
HC FLUORESCENT AB; TITER EA AB-APAT,121
HC FLUORESCENT AB; TITER EA AB-ASMT,121
HC FLUORESCENT NONINFECT AB  EA,168
HC FLUORO EXAM OF G/COLON TUBE,380
HC FLUORODEOXYGLUCOSE,1254
HC FLUOROGUIDE FOR SPINE INJECT,1044
HC FLUOROGUIDE FOR VEIN DEVICE,351
HC FLUOROSCOPE EXAM EXTENSIVE,40.44
HC FLUOROSCOPE EXAMINATION =< 1 HR,524
HC Fluoroscopy (sep proc)  up to 1 hr phys or qualified professional time,124
HC FLUOROSCOPY UP TO 1HR.,524
HC FLURO GUID FOR NEEDLE PLCMT,934
HC FLUROSCENT NONINFECT AB TITER,121
HC FNA EVALUATION ADEQUACY,168
HC FNA INTER/ & REPT,349
HC FNA W/IMG GUIDE,560
HC FNA W/O IMG GUIDE,409
HC FOLIC ACID; RBC,242
HC FOLIC ACID; SERUM,207
HC FOLIC ACID; SERUM 0300,207
HC FOREARM 2 VIEW,460
HC FORESKIN MANIP,740
HC FRACTURE ASSESSMENT VIA DXA,345
HC FREE PROTEIN S AUTO IMMU,765
HC FREEZE/STORAGE BLOOD/BONE MAR,1740
HC FROZEN SECTION,349
HC FUNC MRI BRAIN PHYS NEUFNC TST,3618
HC FUNCTION PROTEIN C ASSAY,480
HC FUNCTIONAL BRAIN MAPPING,173
HC FUNCTIONAL PLASMINOGEN,90
HC FUNGITELL«(1-3)-?-D-GLUCAN ASSAY,469
HC FUNGUS ANTIBODY NES,169
HC FUNGUS CULTURE BLOOD,126
HC FUNGUS CULTURE DEF I.D YEAST EA,145
HC FUNGUS CULTURE NOT BLOOD,117
HC FUTURO WRIST IMMOBILIZER,310
HC FV AB TITER,371
HC FVII AB TITER,435
HC FVIII AB TITER,537
HC FX AB TITER,435
HC FXI AB TITER,512
HC FXII AB TITER,474
HC G/I RECOVERY ROOM,955
HC G6PD; QUAN,135
HC GABAPENTIN,188
HC GALACTOSE,115
HC GALACTOSE SCREEN,87
HC GALACTOSE  URINE,267
HC GAMMA GLUTAMYL TRANSPEPTIDASE,99
HC GAMMA GLUTAMYL TRANSPEPTIDASE-SO,99
HC GARDNERELLA DIR NA PROBE,229
HC GAST EMPTY W/SB&COLON MLT DAYS,2268
HC GASTRIC EMPTYING IMAG W/SM BWL,341
HC GASTRIC EMPTYING STUDY,1875
HC GASTRIC INTUBATION ASP/LAV TX,371
HC GASTRIN,243
HC GASTROESOPH REFLUX W NASAL PH,1786
HC GASTROESOPHEGEAL REFLUX STUDY,1798
HC GASTROSTOMY TUBE PERC W/GUID,1959
HC GENERAL HEALTH PANEL,785
HC GENET VIRUS ISOLATE HSV REFLEX,138
HC GENTAMICIN,230
HC G-ESOPH REFLUX W MUCOSAL PH,3170
HC GI TRACT IMAGING CAPSULE ENDO,3975
HC GI VALVES/BUTTONS,28
HC GI WATER CAP,41
HC GIARDIA,155
HC GLUCAGON,197
HC GLUCOSE,61
HC GLUCOSE BLOOD; MONITOR DEVICE,31
HC GLUCOSE BODY FLUID NOT BLOOD,52
HC GLUCOSE BODY FLUID   NOT BLOOD,52
HC GLUCOSE TOLERANCE TEST (GTT) 3 SPECM,179
HC GLUCOSE  URINE,52
HC GLUCOSE; QUAN BLOOD,52
HC Glucose-6Phosphate Dehydrogenase (G6PD),135
HC GLUTAMYLTRANSFERASE GAMMA,99
HC GLYCATED PROTEIN,200
HC GLYCOMARK,128
HC GLYCOSYLATED HEMOGLOBIN TEST,135
HC GONADOTROPIN; FSH,260
HC GONADOTROPIN; LUTEINIZING HORMONE,259
HC GONIOSCOPY,176
HC GRANULOCYTES PHERESIS UNIT,7156
HC GROUP THERAPEUTIC PROCEDURES,62
HC GROUP THERAPEUTIC PROCEDURES PT,62
HC GTT-ADDED SAMPLES,40
HC GUIDANCE FOR RADIATION TX DELIVERY-CONE BEAM,904
HC GUIDANCE FOR RADIATION TX DELIVERY-X-RAY GUID,904
HC GUIDE CATH FLUID DRAIN,1067
HC GYN TEMPLATE TRT DEVICE SIMPLE,2660
HC H PYLORI DRUG ADMIN,194
HC H PYLORI DRUG ADMIN,822
HC HALO VEST LINER,541
HC HAMS; AUTO SCRN EA DONATH LANDST,83
HC HAPTOGLOBIN HEP C VIRUS,44
HC HAPTOGLOBIN; QUAN,176
HC HARVEST ALLOGENEIC STEM CELLS(ALLO HPC PHERESIS),2003
HC HARVEST AUTO STEM CELLS(AUTO HPC PHERESIS),4338
HC HBG; METHEMOGLOBIN QUAN,68
HC HBOT  FULL BODY CHAMBER  30M,1254
HC HBV QUANTITATION,600
HC HC ESOPHAGOSCOPY FLEX W BX,4493.1
HC HC SIGMOIDOSCOPY FLEX W FB REMOVAL,2947.56
HC HC W/ANG DIAL CIR-INTVAS STNT,31948
HC HCG; QUAL,106
HC HCG; QUAN,200
HC HCV GENOTYPE LIPA(R),818
HC HCV QUANTITATION,600
HC HEAD/SHOULD THERMOPLASTIC MASK,1385
HC HEART TRANS PROCUREMENT,28155
HC HEARTMATE III LVAS W/ADD CONTR,276078
HC HEAVY METALS  QUANT  3-COMP,302
HC HELICOBACTER PYLORI AB,200
HC HELICOBACTER PYLORI AB  IGG,200
HC HELICOBACTER PYLORI STOOL,152
HC HELMINTH AB NOT SPEC,179
HC HEMATOCRIT,31
HC HEMODIALYSIS (DIALYSIS),3683
HC HEMODIALYSIS OUTPATIENT,4072
HC HEMODYALYSIS ONE EVALUATION,1811
HC HEMOGLOBIN,31
HC HEMOGLOBIN  URINE,52
HC HEMOGLOBIN/HEMATOCRIT,31
HC HEMOSIDERIN QUALITATIVE,67
HC HEP B CORE IGM,165
HC HEP FUNCT PANEL,333
HC HEPARIN-ASSAY (ANTI-10A),404
HC HEPATIC FUNCTION PANEL,364
HC HEPATIC VENOGRAM,2297
HC HEPATIC VENOGRAM WITH HEMODYNA,5338
HC HEPATITIS A (HAVRIX),217
HC HEPATITIS A IGM AB,158
HC HEPATITIS B CORE IGM,165
HC HEPATITIS B DELTA AB,236
HC HEPATITIS B SURFACE AG EIA,145
HC HEPATITIS B SURFACE ANTIGEN,145
HC HEPATITIS B-CORE ANTIBODY,169
HC HEPATITIS BE  ANTIGEN,159
HC HEPATITIS BE ANTIBODY,159
HC HEPATITIS B-SURFACE ANTIBODY,149
HC HEPATITIS C - DNA OR RNA,3603
HC HEPATITIS C ANTIBODY,200
HC HEPATITIS C VIRAL RNA  QUALITATIVE  TMA,347
HC HEPATITIS PANEL ACUTE,667
HC HEPB VACCINE ADOLESCENT 2 DOSE SCHEDULE IM,328
HC HEP-BIL IMG INC GB W/PHARM  QM,2250
HC HEP-BIL SYST IMG INCL GAL BLDR,1590
HC HER-2  IHC WITH REFLEX TO FISH,410
HC HER-2  IHC WITH REFLEX TO HER-2  FISH,398
HC HERPES S NA QUAN,178
HC HERPES SIMPLEX NON SPEC,199
HC HERPES SIMPLEX TYPE 1,181
HC HERPES SIMPLEX TYPE 2,267
HC HERPES SIMPLEX VIR INFECT AG,349
HC HERPES SIMPLEX VIRUS 1(HSV-1),481
HC HERPES SIMPLEX VIRUS 2(HSV-2),155
HC HERPES SIMPLEX VIRUS CULTURE,128
HC HERPES VIRUS 6 DNA  QUANTITATIVE REAL-TIME PCR,502
HC HERPES VIRUS 6 QUANT,572
HC HERPES VIRUS 8 DNA  QUANTITATIVE REAL-TIME PCR,491
HC HFE GENE,902
HC HGB CHROMATOGRAPHY,253
HC HGB FRACT & QUAN; EP,178
HC HGB; PLASMA,66
HC HIGH FLOW NASAL CANNULA,537
HC HIP ARTHROGRAPHY INJ WO ANESTH,419
HC HIP STRAPPING,338
HC HISTAMINE,406
HC HISTOPLASMA CAPSULATUM,152
HC HISTOPLASMA GALACTOMANNAN ANTIGEN  URINE,185
HC HIV WESTERN BLOT,267
HC HIV-1 GENOTYPE (FOCUS 45055) PANEL,946
HC HIV-1 GENOTYPE (RTI  PI  INTEGRASE INHIBITORS) PANEL,1764
HC HIV-1 GENOTYPE (RTI  PI  INTEGRASE INHIBITORS) PANEL (PRICE PANEL CHARGE),1763.98
HC HIV-1 GENOTYPING PR-RT  PANEL,895
HC HIV-1 GENOTYPING PR-RT  PANEL (PRICE PANEL CHARGE),894.84
HC HIV-1 INTEGRASE,931
HC HIV-1 INTEGRASE GENOTYPE,1014
HC HIV-1 INTEGRASE GENOTYPE,895
HC HIV-1 RNA (QUANT) PCR,1167
HC HIV-1 RNA ULTRAQUANT,481
HC HIV-1 TROFILE,3209
HC HIV-1/2 ANTIBODY,188
HC HIV-1/HIV-2 SINGLE RESULT,156
HC HIV-I QUANTIFICATION,1167
HC HLA ANTIBODY ID CLASS I,1120
