"The University of Texas MD Anderson Cancer Center
Hospital Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
1295,OPERATING ROOM SERVICES - MINOR SURGERY,50694,"Placement of stent of urinary duct (ureter), accessed through the skin with imaging including radiological supervision and interpretation","$7,998"
1296,OPERATING ROOM SERVICES - MINOR SURGERY,50705,Occlusion of urinary duct (ureter) using imaging guidance with radiological supervision and interpretation,"$7,995"
1297,OPERATING ROOM SERVICES - MINOR SURGERY,50706,Balloon dilation treatment of stricture of urinary duct (ureter) using imaging guidance with radiological supervision and interpretation,"$7,874"
1298,OPERATING ROOM SERVICES - MINOR SURGERY,54500,Needle biopsy of testis (testicle),"$2,551"
1299,OPERATING ROOM SERVICES - MINOR SURGERY,58999,Female genital system (nonobstetric) procedure,"$2,551"
1300,OPERATING ROOM SERVICES - MINOR SURGERY,60699,Endocrine system procedure,"$10,328"
1301,OPERATING ROOM SERVICES - MINOR SURGERY,61624,"Occlusion of abnormal artery, accessed through the skin","$20,248"
1302,OPERATING ROOM SERVICES - MINOR SURGERY,64561,"Insertion of sacral nerve neurostimulator electrodes, accessed through the skin","$13,435"
1303,OPERATING ROOM SERVICES - MINOR SURGERY,65778,Insertion of amniotic membrane to eye surface,"$2,967"
1304,OPERATING ROOM SERVICES - MINOR SURGERY,66761,"Creation of eye fluid drainage tracts in iris using laser, per session","$1,090"
1305,OPERATING ROOM SERVICES - MINOR SURGERY,66821,Removal of recurring cataract in lens capsule using laser,"$1,068"
1306,OPERATING ROOM SERVICES - MINOR SURGERY,67028,Injection of drug into eye,$685
1307,OPERATING ROOM SERVICES - MINOR SURGERY,67228,"Laser destruction of leaking retinal blood vessels, 1 or more sessions",$983
1308,OPERATING ROOM SERVICES - MINOR SURGERY,67299,Procedure at back of eye,"$8,134"
1309,OPERATING ROOM SERVICES - MINOR SURGERY,67345,Injection of chemical for destruction of eye muscle,$547
1310,OPERATING ROOM SERVICES - MINOR SURGERY,67515,Injection of medication or substance into membrane covering eyeball,$638
1311,OPERATING ROOM SERVICES - MINOR SURGERY,67710,Removal of sutures between upper and lower eyelids,"$1,619"
1312,OPERATING ROOM SERVICES - MINOR SURGERY,67810,Biopsy of eyelid,$851
1313,OPERATING ROOM SERVICES - MINOR SURGERY,67820,Removal of eyelashes by forceps,$845
1314,OPERATING ROOM SERVICES - MINOR SURGERY,67840,Removal of eyelid growth,"$1,530"
1315,OPERATING ROOM SERVICES - MINOR SURGERY,67875,Temporary closure of eyelids by suture,"$1,362"
1316,OPERATING ROOM SERVICES - MINOR SURGERY,67880,Creation of permanent eyelid margin scarring,"$2,967"
1317,OPERATING ROOM SERVICES - MINOR SURGERY,68100,Biopsy of sclera,"$1,092"
1318,OPERATING ROOM SERVICES - MINOR SURGERY,68761,Closure of tear duct opening using plug,$790
1319,OPERATING ROOM SERVICES - MINOR SURGERY,68810,Insertion of probe into the tear duct,$879
1320,OPERATING ROOM SERVICES - MINOR SURGERY,73525,Radiological supervision and interpretation X-ray of hip joint,"$1,290"
1321,OPERATING ROOM SERVICES - MINOR SURGERY,92950,Attempt to restart heart and lungs,$916
1322,OPERATING ROOM SERVICES - MINOR SURGERY,G0269,Occlusive device in vein art,$517
1323,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38206,Collection of stem cells for transplantation,"$3,494"
1324,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38207,"Freezing, preservation, and storage of stem cells for transplantation","$8,023"
1325,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38208,Thawing of previously frozen stem cells for transplantation,"$3,106"
1326,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38209,Thawing and washing of previously frozen stem cells for transplantation,"$5,844"
1327,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38212,Preparation of stem cells for transplantation with red blood cell removal,"$5,015"
1328,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38214,Preparation of stem cells for transplantation with reduction of excessive opening blood fluid (plasma) volume,"$5,346"
1329,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38215,Preparation of stem cells for transplantation with cell concentration,"$5,952"
1330,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38240,Transplantation of donor bone marrow or blood-derived stem cells,"$5,069"
1331,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38241,Transplantation of patient's bone marrow or blood-derived stem cells,"$3,966"
1332,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38242,Transplantation of donor stem cells from bone marrow or blood with infusion of donor white blood cells,"$4,136"
1333,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38243,Transplantation of donor bone marrow or blood-derived stem cells,"$4,311"
1334,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,38999,Lymph node procedure,"$8,023"
1335,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY,99199,"Procedure, service, or report","$1,315"
1336,ANESTHESIA - GENERAL CLASSIFICATION,99152,"Moderate sedation services by physician also performing a procedure, patient 5 years of age or older, first 15 minutes",$410
1337,ANESTHESIA - GENERAL CLASSIFICATION,99153,"Moderate sedation services by physician also performing a procedure, additional 15 minutes",$235
1338,ANESTHESIA - GENERAL CLASSIFICATION,99155,"Moderate sedation services by physician not performing a procedure, patient 5 years of age or older, first 15 minutes",$410
1339,ANESTHESIA - GENERAL CLASSIFICATION,99156,"Moderate sedation services by physician not performing a procedure, patient 5 years of age or older, first 15 minutes",$410
1340,ANESTHESIA - GENERAL CLASSIFICATION,99157,"Moderate sedation services by physician not performing a procedure, each additional 15 minutes",$243
1341,ANESTHESIA - GENERAL CLASSIFICATION,BLANK,HC ABORTED CASE,"$1,110"
1342,ANESTHESIA - GENERAL CLASSIFICATION,BLANK,HC ANESTHESIA BUNDLE 1 30 MIN EA,$194
1343,ANESTHESIA - GENERAL CLASSIFICATION,BLANK,HC ANESTHESIA BUNDLE 1 BASE,"$1,656"
1344,ANESTHESIA - GENERAL CLASSIFICATION,BLANK,HC ANESTHESIA BUNDLE 2 30 MIN EA,$169
1345,ANESTHESIA - GENERAL CLASSIFICATION,BLANK,HC ANESTHESIA BUNDLE 2 BASE,"$1,317"
1346,ANESTHESIA - GENERAL CLASSIFICATION,G0500,Mod sedat endo service >5yrs,$410
1347,ANESTHESIA - ACUPUNCTURE,97810,"Acupuncture 1 or more needles, first 15 minutes",$216
1348,ANESTHESIA - ACUPUNCTURE,97813,"Acupuncture 1 or more needles with electrical stimulation, first 15 minutes",$276
1349,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",P9012,Cryoprecipitate each unit,$96
1350,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",P9017,Plasma 1 donor frz w/in 8 hr,$139
1351,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",P9022,Washed red blood cells unit,$689
1352,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",P9032,"Platelets, irradiated",$259
1353,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",P9036,Platelet pheresis irradiated,"$1,051"
1354,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",P9037,Plate pheres leukoredu irrad,"$1,336"
1355,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",P9038,Rbc irradiated,$412
1356,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",P9040,Rbc leukoreduced irradiated,$454
1357,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",P9050,"Granulocytes, pheresis unit","$5,823"
1358,"ADMINISTRATION, PROCESSING, & STORAGE FOR BLOOD AND BLOOD COMPONENTS-ADMINISTRATION(E.G.TRANSFUSION)",36430,Transfusion of blood or blood products,"$1,152"
1359,"ADMINISTRATION, PROCESSING, & STORAGE FOR BLOOD AND BLOOD COMPONENTS-ADMINISTRATION(E.G.TRANSFUSION)",36455,Exchange blood transfusion,"$1,142"
1360,OTHER IMAGING SERVICES - DIAGNOSTIC MAMMOGRAPHY,19281,Placement of breast localization devices accessed through the skin with mammographic guidance,"$3,119"
1361,OTHER IMAGING SERVICES - DIAGNOSTIC MAMMOGRAPHY,19282,Placement of breast localization devices accessed through the skin with mammographic guidance,"$1,248"
1362,OTHER IMAGING SERVICES - DIAGNOSTIC MAMMOGRAPHY,77065,Mammography of one breast,$474
1363,OTHER IMAGING SERVICES - DIAGNOSTIC MAMMOGRAPHY,77066,Mammography of both breasts,$621
1364,OTHER IMAGING SERVICES - DIAGNOSTIC MAMMOGRAPHY,G0279,"Tomosynthesis, mammo ",$564
1365,OTHER IMAGING SERVICES - ULTRASOUND,0346T,Ultrasound elastography,"$1,130"
1366,OTHER IMAGING SERVICES - ULTRASOUND,19285,Placement of breast localization devices accessed through the skin with ultrasound guidance,"$2,988"
1367,OTHER IMAGING SERVICES - ULTRASOUND,19286,Placement of breast localization devices accessed through the skin with ultrasound guidance,"$1,195"
1368,OTHER IMAGING SERVICES - ULTRASOUND,37252,Ultrasound evaluation of blood vessel during diagnosis or treatment,"$1,542"
1369,OTHER IMAGING SERVICES - ULTRASOUND,76511,Ultrasound of eye disease or growth,$416
1370,OTHER IMAGING SERVICES - ULTRASOUND,76512,"Ultrasound of eye disease, growth, or structure",$495
1371,OTHER IMAGING SERVICES - ULTRASOUND,76513,Ultrasound of eye using water bath method,$320
1372,OTHER IMAGING SERVICES - ULTRASOUND,76514,Ultrasound of corneal structure and measurement,$46
1373,OTHER IMAGING SERVICES - ULTRASOUND,76519,Ultrasound of eye for determination of lens power,$391
1374,OTHER IMAGING SERVICES - ULTRASOUND,76641,Ultrasound of one breast,"$1,176"
1375,OTHER IMAGING SERVICES - ULTRASOUND,76642,Ultrasound of one breast,"$1,021"
1376,OTHER IMAGING SERVICES - ULTRASOUND,76700,Ultrasound of abdomen,$903
1377,OTHER IMAGING SERVICES - ULTRASOUND,76705,Ultrasound of abdomen,$561
1378,OTHER IMAGING SERVICES - ULTRASOUND,76770,Ultrasound behind abdominal cavity,$474
1379,OTHER IMAGING SERVICES - ULTRASOUND,76775,"Ultrasound behind abdominal cavity, limited",$432
1380,OTHER IMAGING SERVICES - ULTRASOUND,76801,Abdominal ultrasound of pregnant uterus (less than 14 weeks 0 days) single or first fetus,$378
1381,OTHER IMAGING SERVICES - ULTRASOUND,76805,Abdominal ultrasound of pregnant uterus (greater or equal to 14 weeks 0 days) single or first fetus,$378
1382,OTHER IMAGING SERVICES - ULTRASOUND,76817,Vaginal ultrasound of pregnant uterus,$486
1383,OTHER IMAGING SERVICES - ULTRASOUND,76830,Ultrasound pelvis through vagina,$654
1384,OTHER IMAGING SERVICES - ULTRASOUND,76856,Ultrasound of pelvis,$697
1385,OTHER IMAGING SERVICES - ULTRASOUND,76857,Ultrasound of pelvis,$342
1386,OTHER IMAGING SERVICES - ULTRASOUND,76870,Ultrasound of scrotum,$538
1387,OTHER IMAGING SERVICES - ULTRASOUND,76872,Ultrasound of rectum,$539
1388,OTHER IMAGING SERVICES - ULTRASOUND,76873,Ultrasound of prostate,$423
1389,OTHER IMAGING SERVICES - ULTRASOUND,76881,Complete ultrasound of joint of arm or leg,$563
1390,OTHER IMAGING SERVICES - ULTRASOUND,76882,Partial ultrasound of joint or other non-blood vessel structure of arm or leg,$462
1391,OTHER IMAGING SERVICES - ULTRASOUND,76930,Ultrasonic guidance for drainage of sac that covers the heart,$829
1392,OTHER IMAGING SERVICES - ULTRASOUND,76932,Ultrasonic guidance for biopsy of heart wall,$900
1393,OTHER IMAGING SERVICES - ULTRASOUND,76936,Ultrasound guidance for repair of blood vessel,$824
1394,OTHER IMAGING SERVICES - ULTRASOUND,76937,Ultrasound guidance for accessing into blood vessel,$811
1395,OTHER IMAGING SERVICES - ULTRASOUND,76940,Ultrasound guidance for tissue destruction,$617
1396,OTHER IMAGING SERVICES - ULTRASOUND,76942,Ultrasonic guidance imaging supervision and interpretation for insertion of needle,"$1,144"
1397,OTHER IMAGING SERVICES - ULTRASOUND,76965,Ultrasonic guidance for administration of radiation therapy,"$1,511"
1398,OTHER IMAGING SERVICES - ULTRASOUND,76998,Ultrasonic guidance during surgery,$976
1399,OTHER IMAGING SERVICES - ULTRASOUND,BLANK,HC NASA IMAGE PROCESSING,$25
1400,OTHER IMAGING SERVICES - ULTRASOUND,C9744,Abd us w/contrast,"$1,443"
1401,OTHER IMAGING SERVICES - ULTRASOUND,G0365,Vessel mapping hemo access,"$1,086"
1402,OTHER IMAGING SERVICES - SCREENING MAMMOGRAPHY,77063,Screening digital tomography of both breasts,$254
1403,OTHER IMAGING SERVICES - SCREENING MAMMOGRAPHY,77067,Mammography of both breasts,$509
1404,OTHER IMAGING SERVICES - POSITRON EMISSION TOMOGRAPHY,78608,Nuclear medicine study brain with metabolic evaluation,"$6,870"
1405,OTHER IMAGING SERVICES - POSITRON EMISSION TOMOGRAPHY,78812,Nuclear medicine imaging from skull base to mid-thigh,"$7,240"
1406,OTHER IMAGING SERVICES - POSITRON EMISSION TOMOGRAPHY,78815,Nuclear medicine study with CT imaging skull base to mid-thigh,"$7,240"
1407,OTHER IMAGING SERVICES - POSITRON EMISSION TOMOGRAPHY,78816,Nuclear medicine study with CT imaging whole body,"$7,240"
1408,OTHER IMAGING SERVICES - POSITRON EMISSION TOMOGRAPHY,99999,#N/A,"$4,566"
1409,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,94002,"Ventilation assistance and management, hospital inpatient or observation","$2,650"
1410,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,94003,"Ventilation assistance and management, hospital inpatient or observation","$2,168"
1411,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,94640,Respiratory inhaled pressure or nonpressure treatment to relieve airway obstruction or for sputum specimen,$277
1412,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,94642,Inhaled pneumonia treatment,$350
1413,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,94660,Initiation and management of continued pressured respiratory assistance by mask or breathing tube,$950
1414,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,94664,"Demonstration and/or evaluation of patient use of aerosol generator, nebulizer, metered dose inhaler or intermittent positive pressure breathing (IPPB) device",$277
1415,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,94667,Demonstration and/or evaluation of manual maneuvers to chest wall to assist movement of lung secretions,$271
1416,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,94668,Manual maneuvers to chest wall to assist movement of lung secretions,$91
1417,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,94799,Pulmonary service or operation,$548
1418,PHYSICAL THERAPY - GENERAL CLASSIFICATION,95833,Manual muscle testing of whole body,$125
1419,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97012,Application of mechanical traction to 1 or more areas,$49
1420,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97032,"Application of electrical stimulation to 1 or more areas, each 15 minutes",$74
1421,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97035,"Application of ultrasound to 1 or more areas, each 15 minutes",$73
1422,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97036,"Physical therapy treatment to 1 or more areas, Hubbard tank, each 15 minutes",$127
1423,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97110,"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",$95
1424,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97112,"Therapeutic procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",$91
1425,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97116,"Walking training to 1 or more areas, each 15 minutes",$87
1426,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97124,"Therapeutic massage to 1 or more areas, each 15 minutes",$106
1427,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97140,"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",$153
1428,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97150,Therapeutic procedures in a group setting,$65
1429,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97161,"Evaluation of physical therapy, typically 20 minutes",$261
1430,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97162,"Evaluation of physical therapy, typically 30 minutes",$359
1431,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97163,"Evaluation of physical therapy, typically 45 minutes",$507
1432,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97164,"Re-evaluation of physical therapy, typically 20 minutes",$140
1433,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97530,"Therapeutic activities to improve function, with one-on-one contact between patient and provider, each 15 minutes",$115
1434,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97533,"Sensory technique to enhance processing and adaptation to environmental demands, each 15 minutes",$109
1435,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97535,"Self-care or home management training, each 15 minutes",$115
1436,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97537,"Community or work reintegration training, each 15 minutes",$87
1437,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97542,"Wheelchair management, each 15 minutes",$85
1438,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97750,"Physical performance test or measurement with report, each 15 minutes",$101
1439,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97755,"Assistive technology assessment to enhance functional performance, each 15 minutes",$154
1440,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97760,"Training in use of orthotics (supports, braces, or splints) for arms, legs and/or trunk, per 15 minutes",$96
1441,PHYSICAL THERAPY - GENERAL CLASSIFICATION,97763,"Management and/or training in use of orthotics (supports, braces, or splints) for arms, legs, and/or trunk, per 15 minutes",$95
1442,PHYSICAL THERAPY - GENERAL CLASSIFICATION,G0283,Elec stim other than wound,$74
1443,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,29085,Application of cast to hand and lower forearm,$419
1444,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,29260,Strapping of elbow or wrist,$369
1445,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,29280,Strapping of hand or finger,$369
1446,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97018,Application of hot wax bath to 1 or more areas,$55
1447,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97032,"Application of electrical stimulation to 1 or more areas, each 15 minutes",$74
1448,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97110,"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",$95
1449,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97112,"Therapeutic procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",$91
1450,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97127,One-on-one therapeutic interventions focused on thought processing and strategies to manage activities,$110
1451,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97140,"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",$153
1452,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97150,Therapeutic procedures in a group setting,$65
1453,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97165,"Evaluation of occupational therapy, typically 30 minutes",$261
1454,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97166,"Evaluation of occupational therapy, typically 45 minutes",$359
1455,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97167,"Evaluation of occupational therapy established plan of care, typically 60 minutes",$458
1456,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97168,"Re-evaluation of occupational therapy established plan of care, typically 30 minutes",$140
1457,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97530,"Therapeutic activities to improve function, with one-on-one contact between patient and provider, each 15 minutes",$115
1458,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97533,"Sensory technique to enhance processing and adaptation to environmental demands, each 15 minutes",$109
1459,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97535,"Self-care or home management training, each 15 minutes",$115
1460,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97537,"Community or work reintegration training, each 15 minutes",$57
1461,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97542,"Wheelchair management, each 15 minutes",$85
1462,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97750,"Physical performance test or measurement with report, each 15 minutes",$101
1463,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97760,"Training in use of orthotics (supports, braces, or splints) for arms, legs and/or trunk, per 15 minutes",$96
1464,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,97763,"Management and/or training in use of orthotics (supports, braces, or splints) for arms, legs, and/or trunk, per 15 minutes",$95
1465,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,92507,"Treatment of speech, language, voice, communication, and/or hearing processing disorder",$381
1466,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,92508,"Group treatment of speech, language, voice, communication, and/or hearing processing disorder",$344
1467,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,92522,Evaluation of speech sound production,$631
1468,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,92523,Evaluation of speech sound production with evaluation of language comprehension and expression,$700
1469,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,92524,Behavioral and qualitative analysis of voice and resonance,$540
1470,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,92526,Treatment of swallowing and/or oral feeding function,$404
1471,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,92597,Evaluation for use and/or fitting of voice prosthetic device to supplement oral speech,$710
1472,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,92609,Therapeutic services for use of speech-generating device with programming,$505
1473,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,96125,"Standardized thought processing testing, interpretation, and report per hour",$381
1474,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,97127,One-on-one therapeutic interventions focused on thought processing and strategies to manage activities,$127
1475,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,97140,"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",$153
1476,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR RE-EVALUATION,92607,Evaluation of patient with prescription of speech-generating and alternative communication device,$824
1477,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR RE-EVALUATION,92610,Evaluation of swallowing function,$700
1478,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR RE-EVALUATION,92611,Fluoroscopic and video recorded motion evaluation of swallowing function,$791
1479,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR RE-EVALUATION,92612,Evaluation and recording of swallowing using an endoscope,$809
1480,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR RE-EVALUATION,96105,Assessment of expressive and receptive speech with interpretation and report per hour,$577
1481,EMERGENCY ROOM - GENERAL CLASSIFICATION,16000,First degree burn treatment,$313
1482,EMERGENCY ROOM - GENERAL CLASSIFICATION,29065,"Application of cast, shoulder to hand (long arm)",$400
1483,EMERGENCY ROOM - GENERAL CLASSIFICATION,29075,"Application of cast, elbow to finger (short arm)",$419
1484,EMERGENCY ROOM - GENERAL CLASSIFICATION,29105,Application of long arm splint (shoulder to hand),$416
1485,EMERGENCY ROOM - GENERAL CLASSIFICATION,29125,"Application of non-moveable, short arm splint (forearm to hand)",$459
1486,EMERGENCY ROOM - GENERAL CLASSIFICATION,29126,"Application of moveable, hinged short arm splint (forearm to hand)",$459
1487,EMERGENCY ROOM - GENERAL CLASSIFICATION,29130,"Application of non-moveable, hinged finger splint",$480
1488,EMERGENCY ROOM - GENERAL CLASSIFICATION,29131,"Application of moveable, hinged finger splint",$463
1489,EMERGENCY ROOM - GENERAL CLASSIFICATION,29405,Application of short leg cast (below knee to toes),$371
1490,EMERGENCY ROOM - GENERAL CLASSIFICATION,29505,Application of long leg splint (thigh to ankle or toes),$254
1491,EMERGENCY ROOM - GENERAL CLASSIFICATION,29515,Application of short leg splint (calf to foot),$306
1492,EMERGENCY ROOM - GENERAL CLASSIFICATION,30905,Control of nose bleed and insertion of packing,$447
1493,EMERGENCY ROOM - GENERAL CLASSIFICATION,30906,Control of nosebleed and insertion of packing,$491
1494,EMERGENCY ROOM - GENERAL CLASSIFICATION,31605,Emergent surgical opening of windpipe for insertion of breathing tube,"$2,872"
1495,EMERGENCY ROOM - GENERAL CLASSIFICATION,65220,"Removal of foreign body, external eye, cornea",$482
1496,EMERGENCY ROOM - GENERAL CLASSIFICATION,69200,Removal of foreign body from ear canal,$209
1497,EMERGENCY ROOM - GENERAL CLASSIFICATION,99281,"Emergency department visit, self limited or minor problem",$267
1498,EMERGENCY ROOM - GENERAL CLASSIFICATION,99282,"Emergency department visit, low to moderately severe problem",$322
1499,EMERGENCY ROOM - GENERAL CLASSIFICATION,99283,"Emergency department visit, moderately severe problem",$799
1500,EMERGENCY ROOM - GENERAL CLASSIFICATION,99284,"Emergency department visit, problem of high severity",$894
1501,EMERGENCY ROOM - GENERAL CLASSIFICATION,99285,"Emergency department visit, problem with significant threat to life or function",$989
1502,PULMONARY FUNCTION - GENERAL CLASSIFICATION,94010,Measurement and graphic recording of total and timed exhaled air capacity,$431
1503,PULMONARY FUNCTION - GENERAL CLASSIFICATION,94060,"Measurement and graphic recording of the amount and speed of breathed air, before and following medication administration",$601
