Description,Price,
PONTO 3 SUPER POWER STEEL GREY LEFT,10316.80,
PONTO 3 SUPER POWER STEEL GREY RIGHT,10316.80,
PONTO 3 SUPER POWER WHITE SILVER LEFT,10316.80,
PONTO 3 SUPER POWER WHITE SILVER RIGHT,10316.80,
PONTO 3 WHITE SILVER LEFT,9523.20,
PONTO 3 WHITE SILVER RIGHT,9523.20,
PONTO BHX IMPLANT 3mm,4804.38,
PONTO BHX IMPLANT 3mm W. ABUTMENT 6 mm,9786.70,
PONTO BHX IMPLANT 3mm W. ABUTMENT 9 mm,9786.70,
PONTO BHX IMPLANT 4mm,4804.38,
PONTO BHX IMPLANT 4MM W ABUTMENT 9 MM,9786.70,
PONTO BHX IMPLANT 4mm W. ABUTMENT 12 mm,9786.70,
PONTO BHX IMPLANT 4mm W. ABUTMENT 14 mm,9786.70,
PONTO BHX IMPLANT 4mm W. ABUTMENT 6 mm,9786.70,
PONTO PLUS LEFT CHROMA BEIGE,9139.11,
PONTO PLUS LEFT DIAMOND BLACK,9139.11,
PONTO PLUS LEFT MOCCA BROWN,9139.11,
PONTO PLUS LEFT WHITE SILVER,9139.11,
PONTO PLUS POWER LEFT CHROMA BEIGE,9610.00,
PONTO PLUS POWER LEFT DIAMOND BLACK,9610.00,
PONTO PLUS POWER LEFT MOCCA BROWN,9610.00,
PONTO PLUS POWER LEFT WHITE SILVER,9610.00,
PONTO PLUS POWER RIGHT CHROMA BEIGE,9610.00,
PONTO PLUS POWER RIGHT DIAMOND BLACK,9610.00,
PONTO PLUS POWER RIGHT MOCCA BROWN,9610.00,
PONTO PLUS POWER RIGHT WHITE SILVER,9610.00,
PONTO PLUS RIGHT CHROMA BEIGE,9139.11,
PONTO PLUS RIGHT DIAMOND BLACK,9139.11,
PONTO PLUS RIGHT MOCCA BROWN,9139.11,
PONTO PLUS RIGHT WHITE SILVER,9139.11,
PONTO PRO LEFT CHROMA BEIGE,9126.40,
PONTO PRO LEFT DIAMOND BLACK,9126.40,
PONTO PRO LEFT MOCCA BROWN,9126.40,
PONTO PRO LEFT WHITE SILVER,9126.40,
PONTO PRO POWER LEFT CHROMA BEIGE,9350.53,
PONTO PRO POWER LEFT DIAMOND BLACK,9350.53,
PONTO PRO POWER LEFT MOCCA BROWN,9350.53,
PONTO PRO POWER RIGHT CHROMA BEIGE,9350.53,
PONTO PRO POWER RIGHT DIMAOND BLACK,9350.53,
PONTO PRO POWER RIGHT MOCCA BROWN,9350.53,
PONTO PRO RIGHT  DIAMOND BLACK,9126.40,
PONTO PRO RIGHT CHROMA BEIGE,9126.40,
PONTO PRO RIGHT MOCCA BROWN,9126.40,
PONTON PRO RIGHT WHITE SILVER,9126.40,
PONTON PROP POWER LEFT WHITE SILVER,9350.53,
PONTON PROP POWER RIGHT WHITE SILVER,9350.53,
poractant alfa 120 mg/1.5 mL suspension 1.5 mL Vial,4747.73,
poractant alfa 240 mg/3 mL suspension 3 mL Vial,9361.73,
PORCELAIN ADJUSTMENT HP KIT PLASTIC,287.56,
PORT 24MM,4972.50,
PORT BASE DUAL LUM 3.9MM,2451.15,
PORT CLEANING ERCP TUBE SET,688.50,
PORT CSF VENTRICULAR,2486.25,
PORT HARMONY 19X70MM - NON IMP,2103.75,
PORT HARMONY 22X60MM STERILE,2103.75,
PORT HARMONY 26 X 40M STERILE,2103.75,
PORT HARMONY 26X100MM STERILE,2103.75,
PORT HARMONY 26X60MM LONG,2103.75,
PORT HARMONY 26X80MM LONG,2103.75,
PORT HARMONY 60MM,2103.75,
PORT HARMONY 80MM,2103.75,
PORT IDEASPORT ATTACHED,1058.85,
PORT ISP X-PORT 8.0 F SNGL LUMEN,1462.50,
PORT LAPBAND ACCESS 9.75-10CM,4387.50,
PORT MRI 9.6FR W/INTRODUCER,1627.76,
PORT MRI DUAL LUMEN 10FR,1667.25,
PORT MRI IMPLANT,1462.50,
PORT POWER 6 FR MRI SLIM BUMPLESS,1462.50,
PORT POWER 8FR MRI MEDIUM BUMPLESS,1462.50,
PORT POWER 8FR MRI SLIM BUMPLESS,1462.50,
PORT SECONDARY FLEX SOFT 5.5MM,192.24,
PORT SILS LAP 12MM,2570.40,
PORT SINGLE-SITE 8.5MM ENDOSCOPE FOR DAVINCI S/SI,1090.13,
PORT SYSTEM 19X60MM THORACOLUMBAR ACCESS HARMONY,2103.75,
PORT SYSTEM 22X100MM THORACOLUMBAR ACCESS HARMONY,2103.75,
PORT TRAY,302.94,
PORT TRI AUGMENT SZ7 10MM,6060.37,
PORT VAC CT LOW PROFILE POWER INJ,1462.50,
PORT VACCESS CT 6FR,971.28,
PORT W/14.3F PERI CATH TITAN,1462.50,
PORT Y SEEDING ADAPTER 20FR,41.54,
PORTACATH 5.8FR LOW PROF DUAL,2316.60,
PORTACATH 8FR SINGLE TITAN KIT,2316.60,
PORTACATH 9FR STD KIT,1439.10,
PORTACATH BASE VEN TITANIUM KT,1836.90,
PORTACATH II LOW PROFILE 1.9MM,2316.60,
PORTACATH II LOW PROFILE POWER PICC,3199.95,
"posaconazole 100 mg tablet,delayed release (DR/EC) 60 each Bottle",1903.27,
POSITIONER BODY 10X8X28IN UPHOSTERED FOAM,367.20,
POSITIONER BODY SMALL UNIVERSAL ALIGEL,492.58,
POSITIONER COVER ANGLED SPONGE 35 DEGREE 45 DEGREE,401.63,
POSITIONER DISTAL CENTRALIZER 13MM ECHO,819.00,
POSITIONER GEL CHEST ROLL 2X6,287.49,
POSITIONER GEL DONUT ADULT 8IN,605.88,
POSITIONER GEL HEEL-CUP ALIGEL,278.00,
POSITIONER LEG STERILE EXTERNAL FIXATION SALVATION,614.25,
POSITIONER ROLL 6X20 COVERED,535.35,
POSITIONER ROLL CHEST 6X16X6IN PATIENT,2065.50,
POSITIONER WEDGE 14X9.5X6.5IN SMALL TRIANGLE SANICOAT PLUS,696.15,
POSITIONING PAD MEDIUM,248.15,
POSITIONING PAD SIZE X SMALL,154.43,
POSITIONING PAD SZ SMALL,248.15,
POSITIONING SYSTEM STENT OSTIAL PRO,1216.35,
POST 30-DEGREE ANGLED 08MM HOFFMAN II MRI,593.19,
POST 30-DEGREES ANGLED 11MM HOFFMAN 3,700.25,
POST 30MM W/CROSS-ELEMENTS PANTERA,1901.25,
POST 35MM W/CROSS-ELEMENTS PANTERA,1901.25,
POST ANGLED 30-DEGREES HII COMPACT MRI,400.14,
POST FEMALE 4 HOLE,1016.15,
POST FIXATOR CIRCULAR MALE 2 HOLE,504.62,
POST FIXATOR CIRCULAR MALE 3 HOLE,577.75,
POST GLENOID MOD HYBRID POLYETHLENE COMPREHENSIVE,2228.85,
POST GLENOID MOD HYBRID SM COMPREHENSIVE,4650.00,
POST OUTRIGGER 11MM 30 DEG,977.44,
POST OUTRIGGER 11MM 90 DEG,1077.58,
POST OUTRIGGER 11MM STRAIGHT,977.44,
POST PERINEAL HANA TABLE W/PAD,1828.35,
POST STRAIGHT HII COMPACT MRI,400.14,
POST TRI AUGMENT SZ 3 5MM,6060.37,
POST TRI AUGMENT SZ 5 10MM,6060.37,
POST TRI AUGMENT SZ 8 10MM,6060.37,
POST TRI AUGMENT SZ2 5MM,6060.37,
POST TRI AUGMENT SZ4,6060.37,
POST TRI AUGMENT SZ4 10MM,6060.37,
POST TRI AUGMENT SZ5 5MM,6060.37,
POST TRI AUGMENT SZ6 10MM,6060.37,
POST TRI AUGNENT SZ 6 10MM,6060.37,
POST TRI AUGNENT SZ 7 5MM,6060.37,
potassium acetate 2 mEq/mL solution 20 mL Vial,33.05,
"potassium chlorid-D5-0.45%NaCl 10 mEq/L parenteral solution 1,000 mL Bag",19.44,
potassium chloride (20 mEq/250 mL) 250 mL Bag,14.58,
potassium chloride (40 mEq/250 mL) 250 mL Bag,0.10,
"potassium chloride 10 mEq tablet extended release 1,000 each Bottle",8.15,
"potassium chloride 20 mEq tablet,ER particles/crystals 1 each BLIST PACK",6.61,
"potassium chloride 20 mEq tablet,ER particles/crystals 100 each BLIST PACK",6.61,
"potassium chloride 20 mEq tablet,ER particles/crystals 100 each Bottle",6.09,
potassium chloride 20 mEq/15 mL liquid 15 mL Cup,180.79,
potassium chloride 20 mEq/15 mL liquid 473 mL Bottle,7.89,
"potassium chloride in 0.9%NaCl 20 mEq/L parenteral solution 1,000 mL Bag",77.76,
"potassium chloride in 0.9%NaCl 40 mEq/L parenteral solution 1,000 mL Flex Cont",29.16,
"potassium chloride in 5 % dex 20 mEq/L parenteral solution 1,000 mL Bag",29.16,
potassium chloride in water 10 mEq/100 mL piggyback 100 mL Bag,34.02,
potassium chloride per 2 mEq,31.10,
potassium chloride per 2 mEq of potassium,40.24,
"potassium chloride-D5-0.45%NaCl 20 mEq/L parenteral solution 1,000 mL Bag",29.16,
"potassium chloride-D5-0.45%NaCl 30 mEq/L parenteral solution 1,000 mL Bag",29.16,
"potassium chloride-D5-0.45%NaCl 40 mEq/L parenteral solution 1,000 mL Bag",29.16,
"potassium chloride-D5-0.9%NaCl 20 mEq/L parenteral solution 1,000 mL Bag",29.16,
"potassium chloride-D5-0.9%NaCl 40 mEq/L parenteral solution 1,000 mL Bag",77.76,
"potassium citrate-citric acid 1,100-334 mg/5 mL solution 473 mL Bottle",7.68,
potassium iodide 1 gram/mL solution 30 mL Bottle,0.37,
potassium phosphates 3 mmol/mL solution 15 mL Vial,141.57,
potassium phosphates 3 mmol/mL solution 5 mL Vial,143.95,
"potassium, sodium phosphates 280-160-250 mg powder in packet 1 each Packet",5.07,
"potassium, sodium phosphates 280-160-250 mg powder in packet 100 each Packet",5.07,
POUCH GENERATOR NEURO PAIN MGT,650.25,
POUCH TISSUE ENTRAPMENT 4X6IN LAPSAC,568.01,
POUCH TISSUE ENTRAPMENT 5X8IN LAPSAC,568.01,
povidone-iodine 10 % liquid in packet 30 mL Packet,4.67,
povidone-iodine 10 % ointment 28.35 g Tube,14.60,
povidone-iodine 5 % solution 30 mL Bottle,131.22,
POWDER ARGLAES 10GM,270.87,
POWDER HEMOSTATIC BIOSEAL LACERATIONS,197.40,
POWER PORT,1462.50,
POWER PORT DUAL LUMEN MRI 9.5FR INT,3071.25,
POWER PORT MRI DEVICE W/9.6 SIL CATH,1755.00,
pralidoxime per 1 g,842.72,
pramipexole 0.125 mg tablet 1 each BLIST PACK,17.50,
pramipexole 0.125 mg tablet 90 each Bottle,31.50,
pramipexole 0.5 mg tablet 90 each Bottle,8.12,
pramoxine 1 % foam 15 g CANISTER,509.57,
pramoxine-mineral oil-zinc 1-46.6-12.5 % ointment 28.3 g Tube,35.76,
prasugrel 10 mg tablet 1 each BLIST PACK,74.36,
prasugrel 10 mg tablet 90 each BLIST PACK,74.36,
prasugrel 5 mg tablet 1 each BLIST PACK,148.72,
prazosin 1 mg capsule 1 each BLIST PACK,17.61,
prazosin 1 mg capsule 100 each BLIST PACK,17.61,
prazosin 5 mg capsule 100 each Bottle,4.24,
"prednisoLONE acetate 0.12 % drops,suspension 5 mL DROP BTL",1348.07,
"prednisoLONE acetate 1 % drops,suspension 5 mL DROP BTL",537.71,
"prednisoLONE ODT 15 mg tablet,disintegrating 48 each BLIST PACK",158.83,
"prednisoLONE ODT 15 mg tablet,disintegrating 48 each Bottle",155.35,
prednisolone per 5 mg,723.34,
prednisone per 1 mg,6.15,
pregabalin 100 mg capsule 100 each BLIST PACK,79.45,
pregabalin 25 mg capsule 90 each Bottle,72.24,
pregabalin 75 mg capsule 100 each BLIST PACK,26.48,
"prenatal vit27,calcium-iron-FA 60 mg iron-1 mg tablet 100 each Bottle",2.80,
prenatal vits96-iron fum-folic 27 mg iron- 800 mcg tablet 100 each Bottle,0.25,
PRESURE MONITOR SYRINGE/2IN TUBING/3WAY STPCK,680.85,
PRIMALOK SP 10MM IMPLANT ASSEMBLY,17670.00,
PRIMALOK SP 12MM IMPLANT ASSEMBLY,17670.00,
PRIMALOK SP 8MM IMPLANT ASSEMBLY,17670.00,
primaquine 26.3 mg tablet 100 each Bottle,16.38,
PRIME AND BOND NT UNIT DOSE KIT,1646.66,
PRIME BOND NT DUAL CURE KIT,2178.64,
PRIME BOND NT ECONOMY KIT,2815.12,
primidone 250 mg tablet 100 each Bottle,1.94,
primidone 50 mg tablet 100 each Bottle,4.89,
PRO TOE HAMMERTOE 2.0X13MM 0-DEG FIXATION,2691.99,
PRO TOE HAMMERTOE 2.0X13MM 10-DEG FIXATION,2691.99,
PRO TOE HAMMERTOE 2.4X16MM 0-DEG FIXATION,2691.99,
PRO TOE HAMMERTOE 2.8X9MM DEG 3.0MM-BLADE,2691.99,
PRO TOE IMPL SM 10 DEG,2691.99,
PRO TOE VO INSTR KIT,1345.25,
PROBE  W/ STANDARD PRASS TIP,1382.10,
PROBE + CONNECTOR PACK GEN 2,5928.00,
PROBE 10CM CRYO-ABLATION MALLEABLE CRYOICE,8677.50,
PROBE AND CONNECTOR PACK GEN 2,8721.00,
PROBE ANKLE ARTHROSCOPY,2047.50,
PROBE ARGON SINGLE-MODE BEAMER,1874.25,
PROBE BALL BIL FOGARTY 5F 23CM,695.39,
PROBE BALL BIL FOGARTY 6F 23CM,473.00,
PROBE BALL-TIP 160MM,5355.00,
PROBE BICAP HEMOSTASIS 10FR,1147.50,
PROBE BICAP HEMOSTASIS 7FR,1147.50,
PROBE BLUNT 2MM MINISITE INST,583.01,
PROBE COMPART PRESSURE SYSTEM,17730.02,
PROBE COMPART PRESSURE TEST,1164.79,
PROBE CRYO RT ANGLE V PROBE 2.4MM,9180.00,
PROBE CRYO SLIMLINE PERC 1.7MM RD,8415.00,
PROBE CRYO SLIMLINE PERC 2.4MM RD,8415.00,
PROBE CURVED 15 DEGREE,1055.70,
PROBE DEBRIDEMENT CURRETTE-STYLE W/ASPIRATION SHARPVAC,3672.00,
PROBE DOPPLER 20MHZ STRAIGHT STERILE DISPOSABLE MI,1048.05,
PROBE DOPPLER LAPOROSCOPIC,1568.25,
PROBE EAR SENSOR,1221.86,
PROBE EHL 9F,6624.90,
PROBE FIAPC 7FR 220CM,1636.72,
PROBE FIAPC CIRCUMFERENTIAL,1682.62,
PROBE FINGER TRANSDUCER DURA,1892.61,
PROBE GI 2.3 X 270CM ABC,2294.24,
PROBE GOLD W/INJECTOR 10FR,1735.79,
PROBE GOLD W/INJECTOR 7FR,1735.79,
PROBE HEAT 2.8MM FOR HPU,3939.75,
PROBE HOOK,1093.95,
PROBE HOOK 23CMX3.5X122MM,1055.70,
PROBE HOOK 5.4MM,1285.20,
PROBE LITHOCLAST 3FRX1MM,6311.25,
PROBE LITHOCLAST 4.8FRX1.6MM,6311.25,
PROBE LITHOCLAST 6FRX2MM,6311.25,
PROBE LITHOTRIPT 1.9FR EHL,2346.00,
PROBE LITHOTRIPT 9FR EHL,2034.90,
PROBE LOW DUAL TEMP 88 INCH LONG RT ANGLE,1820.32,
PROBE MARGINPROBE DISP,7611.75,
PROBE MONOPOLAR LONG,5355.00,
PROBE NEURO ELECTRODE BIPOLAR,4793.87,
PROBE NEUROMONITORING,5622.75,
PROBE NEUROMONITORING ORACLE,10166.85,
PROBE ORAL SURETEMP 4' CORD,518.44,
PROBE PACE PARSONNET 1.5MM LF,506.05,
PROBE PACE PARSONNET 2.0MM LF,506.05,
PROBE PACE PARSONNET 3.0MM LF,506.05,
PROBE PACE PARSONNET 3.5MM LF,506.05,
PROBE PENCIL DOPPLER 9.1MH,1055.70,
PROBE PNEUMATIC 1.0X497MM DISP SWISS LITHO CLAST,2027.02,
PROBE RADIOFREQUENCY W/CABLE INTEGRATED DYONICS EF,4016.25,
PROBE RECTAL SURETEMP 4 FOOT CORD,340.35,
PROBE SET RENAL/BLADDER CYBER WAND 3BX,6480.19,
PROBE STIMULATION,6609.60,
PROBE SUCTION IRRIG 10MM 28CM,1233.18,
PROBE SUCTION IRRIG 10MM HOLES,1935.45,
PROBE TEMP ORAL BLUE TURBO,688.50,
PROBE TEMP ORAL TURBO,835.38,
PROBE TIP QUICK DISCONNECT 5MM 46CM W/HOLES,1002.15,
PROBE ULTRASONIC RENAL,1792.55,
PROBE ULTRASOUND 3.8X330MM LITHO CLAST ULTRA,4657.93,
PROBE URETEROSCOPIC RIGID,1761.80,
PROBE VULCAN EFLEX ABLATOR,3763.80,
PROBE VULCAN EFLEX ABLATOR TAC-S,4743.00,
PROBE WIDE HATCH ULTRASONIC DEBRIDEMENT SONICONE OR SONICVAC,3672.00,
probenecid 500 mg tablet 1 each BLIST PACK,15.88,
probenecid 500 mg tablet 100 each Bottle,11.14,
procainamide 100 mg/mL syringe 10 mL Syringe,82.62,
procainamide per 1 g,696.77,
PROCEDURE KIT 190-DEGREES EDGE,9608.86,
PROCEDURE KIT ENDOBRONCHIAL 180-DEGREES FIRM-TIP E,9608.86,
PROCEDURE KIT EXTREMITY,9337.21,
PROCEDURE KIT MEDIAL EDGE,9057.29,
PROCESSOR SOUND CHESTNUT BROWN BAHA 4 ATTRACT,10850.00,
PROCESSOR SOUND CHESTNUT BROWN BAHA POWER 3,10850.00,
PROCESSOR SOUND SILVER,12245.00,
prochlorperazine 25 mg suppository 12 each Box,119.15,
prochlorperazine edisylate per 10 mg,179.82,
prochlorperazine maleate per 5 mg,5.96,
PRODISC SPINE IMPLANT C LG DEEP 5MM,12710.00,
PRODISC SPINE IMPLANT C MED DEEP 5MM,12710.00,
PRODISC SPINE IMPLANT C MEDIUM 5MM,12710.00,
PRODISC SPINE IMPLANT C X-LG DEEP 5M,12710.00,
PRODISC SPINE IMPLANT LARGE DEEP 6MM,12710.00,
PRODISC SPINE IMPLANT LG 5MM,12710.00,
progesterone 100 mg capsule 100 each Bottle,20.72,
progesterone 100 mg insert 1 each BLIST PACK,109.03,
progesterone per 50 mg,3.77,
PROGRAMMER,6610.50,
PROGRAMMER GENESIS IPG PT,6739.20,
PROGRAMMER INTERSTIM ICON,8912.25,
PROGRAMMER PATIENT,3978.00,
PROGRAMMER PATIENT EON,7844.85,
PROGRAMMER PATIENT MRICS,6885.00,
PROGRAMMER PROCLAIM,10258.65,
promethazine (12.5 mg/50 mL) 50 mL Bag,4.37,
promethazine (25 mg/50 mL) 50 mL Bag,8.26,
promethazine (6.25 mg/50 mL) 50 mL Bag,1.94,
promethazine 12.5 mg suppository 1 each Box,172.09,
promethazine 25 mg suppository 1 each Box,43.41,
promethazine per 12.5 mg,216.09,
promethazine per 50 mg,25.66,
promethazine-codeine 6.25-10 mg/5 mL syrup 473 mL Bottle,1.68,
promethazine-codeine 6.25-10 mg/5 mL syrup 5 mL Syringe,1.68,
promethazine-DM 6.25-15 mg/5 mL syrup 118 mL Bottle,68.82,
promethazine-DM 6.25-15 mg/5 mL syrup 473 mL Bottle,137.93,
promethazine-phenyleph-codeine 6.25-5-10 mg/5 mL syrup 118 mL Bottle,12.93,
promethazine-phenyleph-codeine 6.25-5-10 mg/5 mL syrup 5 mL Syringe,12.93,
promethazine-phenylephrine 6.25-5 mg/5 mL syrup 473 mL Bottle,0.02,
propafenone 150 mg tablet 100 each BLIST PACK,9.12,
propafenone 225 mg tablet 100 each Bottle,15.09,
proparacaine 0.5 % drops 15 mL DROP BTL,426.47,
propofol 10 mg/mL emulsion 100 mL Vial,364.50,
propofol 10 mg/mL emulsion 20 mL Vial,58.32,
propranolol 10 mg tablet 100 each Bottle,3.97,
propranolol 20 mg tablet 100 each Bottle,2.48,
propranolol 20 mg/5 mL (4 mg/mL) solution 500 mL Bottle,641.52,
propranolol 40 mg tablet 100 each Bottle,1.74,
propranolol per 1 mg,77.76,
propylthiouracil 50 mg tablet 100 each Bottle,8.75,
PROSTATE KIT ITHAW PRECISE ICEROD,17550.00,
PROSTATE KIT REPLACEMENT ITHAW PRECISE ICEROD,17550.00,
PROSTHESES CAM CAP HYDROXYLAPATITE FULL 1MM 4X2.7M,2536.68,
PROSTHESIS HEAD/NECK 9.0MM 45 150MM CO-CR BI-METRI,17691.70,
PROSTHESIS OFFCENT HYDR 5.1MM,1842.40,
PROSTHESIS PHALANGEAL 18.5MM ANATOEMIC,4065.75,
PROSTHESIS STEM 8X6.0MM RADIAL HEAD,4935.20,
PROSTHESIS STEM 9X6.0MM RADIAL HEAD,4935.20,
PROSTOP ARTHROEREISIS 10X14MM IMPLANT,6085.46,
PROSTOP ARTHROEREISIS 10X14MM PLUS IMPLANT,7196.96,
PROSTOP ARTHROEREISIS 11X16MM IMPLANT,6085.46,
PROSTOP ARTHROEREISIS 12X16MM IMPLANT,6085.46,
PROSTOP ARTHROEREISIS 7X12MM IMPLANT,6085.46,
PROSTOP ARTHROEREISIS 7X14MM IMPLANT,6085.46,
PROSTOP ARTHROEREISIS 8 X 14MM IMPLANT,6405.75,
PROSTOP ARTHROEREISIS 9X14MM IMPLANT,6085.46,
PROSTOP PLUS 9 X 14MM IMPLANT,7196.96,
protamine sulfate per 10 mg,84.47,
PROTECTOR HEEL PILLOW LARGE,199.63,
PROTECTOR SOFT TISSUE (REUSE),730.88,
PROTECTOR ZEKRYA GINGIVAL,1633.96,
PROTEMP PLUS REFILL A2,1070.92,
PROTEMP PLUS REFILL A3,1070.92,
PROTHESIS MARX TEMPORARY CONDYLAR,7733.70,
PRO-TOE INSTRUMENT KIT CONSUMABLE VO,1345.25,
PROXIMAL BODY 60MM SZ-A STANDARD OFFSET +10 CALCAR,18702.30,
PROXIMAL BODY ANATOMIC SZ 6/8 135 DEG,6756.75,
PROXIMAL BODY ANATOMIC SZ12 135 DEG,6756.75,
PROXIMAL BODY ANATOMIC SZ14 135 DEG,6756.75,
PROXIMAL BODY ANATOMIC SZ16 138 DEG,6756.75,
PSA Total with Free (Free) PSA,42.00,
pseudoephedrine 30 mg tablet 100 each Bottle,0.20,
pseudoephedrine 60 mg tablet 100 each Bottle,0.15,
pseudoephedrine HCl 15 mg/5 mL liquid 118 mL Bottle,44.73,
PSN ASF CR 10MM PLY L 3-11 EF,3919.50,
PSN ASF CR 10MM PLY L 3-9CD,3919.50,
PSN ASF CR 10MM PLY L 7-12 GH,3919.50,
PSN ASF CR 10MM PLY R 3-11 EF,3919.50,
PSN ASF CR 10MM PLY R 3-9CD,3919.50,
PSN ASF CR 10MM PLY R 7-12 GH,3919.50,
PSN ASF CR 10MM VE L 3-11EF,6025.50,
PSN ASF CR 10MM VE L 3-9 CD,6025.50,
PSN ASF CR 10MM VE L 7-12GH,6025.50,
PSN ASF CR 10MM VE R 3-11EF,6025.50,
PSN ASF CR 10MM VE R 3-9 CD,6025.50,
PSN ASF CR 10MM VE R 7-12GH,6025.50,
PSN ASF CR 11MM PLY L 3-11 EF,3919.50,
PSN ASF CR 11MM PLY L 3-9CD,3919.50,
PSN ASF CR 11MM PLY L 7-12 GH,3919.50,
PSN ASF CR 11MM PLY R 3-11 EF,3919.50,
PSN ASF CR 11MM PLY R 3-9CD,3919.50,
PSN ASF CR 11MM PLY R 7-12 GH,3919.50,
PSN ASF CR 11MM VE L 3-11EF,6025.50,
PSN ASF CR 11MM VE L 3-9 CD,6025.50,
PSN ASF CR 11MM VE L 7-12GH,6025.50,
PSN ASF CR 11MM VE R 3-11EF,6025.50,
PSN ASF CR 11MM VE R 3-9 CD,6025.50,
PSN ASF CR 11MM VE R 7-12GH,6025.50,
PSN ASF CR 12MM PLY L 3-11 EF,3919.50,
PSN ASF CR 12MM PLY L 3-9CD,3919.50,
PSN ASF CR 12MM PLY L 7-12 GH,3919.50,
PSN ASF CR 12MM PLY R 3-11 EF,3919.50,
PSN ASF CR 12MM PLY R 3-9CD,2164.50,
PSN ASF CR 12MM PLY R 7-12 GH,3919.50,
PSN ASF CR 12MM VE L 3-11EF,6025.50,
PSN ASF CR 12MM VE L 3-9 CD,6025.50,
PSN ASF CR 12MM VE L 7-12GH,6025.50,
PSN ASF CR 12MM VE R 3-11EF,6025.50,
PSN ASF CR 12MM VE R 3-9 CD,6025.50,
PSN ASF CR 12MM VE R 7-12GH,6025.50,
PSN ASF CR 13MM PLY L 3-11 EF,3919.50,
PSN ASF CR 13MM PLY L 3-9CD,3919.50,
PSN ASF CR 13MM PLY L 7-12 GH,3919.50,
PSN ASF CR 13MM PLY R 3-11 EF,3919.50,
PSN ASF CR 13MM PLY R 3-9CD,3919.50,
PSN ASF CR 13MM PLY R 7-12 GH,3919.50,
PSN ASF CR 13MM VE L 3-11EF,6025.50,
PSN ASF CR 13MM VE L 3-9 CD,6025.50,
PSN ASF CR 13MM VE L 7-12GH,6025.50,
PSN ASF CR 13MM VE R 3-11EF,6025.50,
PSN ASF CR 13MM VE R 3-9 CD,6025.50,
PSN ASF CR 13MM VE R 7-12GH,6025.50,
PSN ASF CR 14MM PLY L 3-11 EF,3919.50,
PSN ASF CR 14MM PLY L 3-9CD,3919.50,
PSN ASF CR 14MM PLY L 7-12 GH,3919.50,
PSN ASF CR 14MM PLY R 3-11 EF,3919.50,
PSN ASF CR 14MM PLY R 3-9CD,3919.50,
PSN ASF CR 14MM PLY R 7-12 GH,3919.50,
PSN ASF CR 14MM VE L 3-11EF,6025.50,
PSN ASF CR 14MM VE L 3-9 CD,6025.50,
PSN ASF CR 14MM VE L 7-12GH,6025.50,
PSN ASF CR 14MM VE R 3-11EF,6025.50,
PSN ASF CR 14MM VE R 3-9 CD,6025.50,
PSN ASF CR 14MM VE R 7-12GH,6025.50,
PSN ASF CR 16MM PLY L 3-11 EF,3919.50,
PSN ASF CR 16MM PLY L 3-9CD,3919.50,
PSN ASF CR 16MM PLY L 7-12 GH,3919.50,
PSN ASF CR 16MM PLY R 3-11 EF,3919.50,
PSN ASF CR 16MM PLY R 3-9CD,3919.50,
PSN ASF CR 16MM PLY R 7-12 GH,3919.50,
PSN ASF CR 16MM VE L 3-11EF,6025.50,
PSN ASF CR 16MM VE L 3-9 CD,6025.50,
PSN ASF CR 16MM VE L 7-12GH,6025.50,
PSN ASF CR 16MM VE R 3-11EF,6025.50,
PSN ASF CR 16MM VE R 3-9 CD,6025.50,
PSN ASF CR 16MM VE R 7-12GH,6025.50,
PSN ASF CR 18MM PLY L 3-11 EF,3919.50,
PSN ASF CR 18MM PLY L 3-9CD,3919.50,
PSN ASF CR 18MM PLY L 7-12 GH,3919.50,
PSN ASF CR 18MM PLY R 3-11 EF,3919.50,
PSN ASF CR 18MM PLY R 3-9CD,3919.50,
PSN ASF CR 18MM PLY R 7-12 GH,3919.50,
PSN ASF CR 18MM VE L 3-11EF,6025.50,
PSN ASF CR 18MM VE L 3-9 CD,6025.50,
PSN ASF CR 18MM VE L 7-12GH,6025.50,
PSN ASF CR 18MM VE R 3-11EF,6025.50,
PSN ASF CR 18MM VE R 3-9 CD,6025.50,
PSN ASF CR 18MM VE R 7-12GH,6025.50,
PSN ASF PS 10MM PLY L 10-11 EF,3919.50,
PSN ASF PS 10MM PLY L 10-12 GH,3919.50,
PSN ASF PS 10MM PLY L 3-5CD,3919.50,
PSN ASF PS 10MM PLY L 3-5EF,3919.50,
PSN ASF PS 10MM PLY L 6-9CD,3919.50,
PSN ASF PS 10MM PLY L 6-9EF,3919.50,
PSN ASF PS 10MM PLY L 6-9GH,3919.50,
PSN ASF PS 10MM PLY R 10-11 EF,3919.50,
PSN ASF PS 10MM PLY R 10-12 GH,3919.50,
PSN ASF PS 10MM PLY R 3-5CD,3919.50,
PSN ASF PS 10MM PLY R 3-5EF,3919.50,
PSN ASF PS 10MM PLY R 6-9CD,3919.50,
PSN ASF PS 10MM PLY R 6-9EF,3919.50,
PSN ASF PS 10MM PLY R 6-9GH,3919.50,
PSN ASF PS 10MM VE L 10-11 EF,6025.50,
PSN ASF PS 10MM VE L 10-12 GH,6025.50,
PSN ASF PS 10MM VE L 3-5 CD,6025.50,
PSN ASF PS 10MM VE L 3-5 EF,6025.50,
PSN ASF PS 10MM VE L 6-9 CD,6025.50,
PSN ASF PS 10MM VE L 6-9 EF,6025.50,
