Category,Charge Code,Charge Description,CPT/HCPCS Code," Inpatient 
Price "," Outpatient 
Price "
Supplies,CC#57711185,"IMMOBILIZER KNEE 20"" (9307-03)",L1830,$238.08 ,$238.08 
Supplies,CC#57711183,"IMMOBILIZER KNEE 24"" (9307-04)",L1830,$282.96 ,$282.96 
Supplies,0814-2664,"IMMOBILIZER KNEE UNIVERSAL 24"" (0814-2664)",L1830,$282.96 ,$282.96 
Supplies,CC#57711186,"IMMOBILIZER KNEE 28"" (9307-05)",L1830,$311.04 ,$311.04 
Supplies,EX#000503720 (1236-1,"IMMOBILIZER KNEE 16"" (1236-16)",L1830,$325.80 ,$325.80 
Supplies,CC#57701125,IMMOBILIZER SHOULDER (331100),L3671,$113.40 ,$113.40 
Supplies,EX#79-96671,IMMOBILIZER SHOULDER UNIVERSAL (79-96671),L3671,$113.40 ,$113.40 
Supplies,350-3250,BREAST (MENTOR) SMOOTH HIGH PROFILE 250CC (350-325,L8600,"$3,300.00 ","$3,300.00 "
Supplies,CC#50027702,BREAST (MENTOR) SMOOTH MOD PLUS PROFILE 400CC (350,L8600,"$3,300.00 ","$3,300.00 "
Supplies,EX#3502600,BREAST (MENTOR) SMOOTH MOD PLUS PROFILE 600CC (350,L8600,"$3,300.00 ","$3,300.00 "
Supplies,CC#50001989,BREAST (MENTOR) SMOOTH MOD PROFILE 325CC (350-1650,L8600,"$3,300.00 ","$3,300.00 "
Supplies,354-5400,BREAST (MENTOR) MEMORYGEL SILTEX ROUND UH 400CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,350-5535BC,BREAST (MENTOR) MEMORYGEL SMOOTH ROUND UH 535CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,350-7190MC,BREAST (MENTOR) SMOOTH MOD CLASSIC GEL 190CC (350-,L8600,"$4,350.00 ","$4,350.00 "
Supplies,350-7235MC,BREAST (MENTOR) SMOOTH MOD CLASSIC GEL 235CC (350-,L8600,"$4,350.00 ","$4,350.00 "
Supplies,350-7300MC,BREAST (MENTOR) SMOOTH MOD CLASSIC GEL 300CC (350-,L8600,"$4,350.00 ","$4,350.00 "
Supplies,350-2004BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 200CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#350-2254BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 225CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3502754BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 275CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3503004BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 300CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3503504BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 350CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3504254BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 425CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3504504BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 450CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,350-4754BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 475CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3505004BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 500CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3506004BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 600CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3506504BC,BREAST (MENTOR) SMOOTH ROUND HIGH PROFILE 650CC (3,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3501001BC,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 100C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#350-2001BC,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 200C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,350-2501BC,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 250C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,CC#50027687,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 275C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,CC#50027688,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 300C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,CC#50027689,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 325C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,CC#50027690,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 350C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3503751BC,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 375C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,CC#50027692,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 400C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#350-4251BC,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 425C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,CC#50027694,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 475C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#350-5251BC,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 525C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,CC#50027696,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 550C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,350-5751BC,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 575C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#3506001BC,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 600C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,EX#350-6501BC,BREAST (MENTOR) SMOOTH ROUND MOD PLUS PROFILE 650C,L8600,"$4,350.00 ","$4,350.00 "
Supplies,350-4315M,EXPANDER TISSUE BREAST (MENTOR) CRESCENT 300CC (35,L8600,"$5,000.00 ","$5,000.00 "
Supplies,SMPX-440,BREAST (MENTOR) MEMORYGEL XTRA 440CC (SMPX-440),L8600,"$5,340.00 ","$5,340.00 "
Supplies,SMPX-295,MENTOR BREAST MEMORYGEL XTRA 295CC (SMPX-295),L8600,"$5,340.00 ","$5,340.00 "
Supplies,TEXP100RH,EXPANDER TISSUE BREAST (MENTOR) ARTOURA SILTEX HP,L8600,"$7,100.00 ","$7,100.00 "
Supplies,SMXP110RH,EXPANDER TISSUE BREAST (MENTOR) ARTOURA SMOOTH HP,L8600,"$7,100.00 ","$7,100.00 "
Supplies,BR125-400,AEROFORM TISSUE EXPANDER SMALL (BR125-400),L8600,"$9,764.00 ","$9,764.00 "
Supplies,CC#50041744,COAPTITE URETHRAL BULKING AGENT SYR (M0068903000),L8606,"$3,700.00 ","$3,700.00 "
Supplies,EX#10-92203,DEFLUX SYRINGE INJECTION (10-92203),L8606,"$8,348.60 ","$8,348.60 "
Supplies,EX#92-02,EYE BAND CIRCLING 0.60MM X 2.5MM X 125MM 240 SCLER,L8610,$144.00 ,$144.00 
Supplies,75238,EYE BUCKLE MERIDIONAL 10.5MM 106 (S2988),L8610,$236.40 ,$236.40 
Supplies,EX#276,EYE TIRE 07.0MM 2.5MM GROOVE-CONCAVE-ASYMMETRICAL,L8610,$240.00 ,$240.00 
Supplies,92-17,DORC TIRE CONVEX SCLERAL BUCKLE STYLE 287 (92-17),L8610,$408.00 ,$408.00 
Supplies,CC#50028583,FRONTALIS SUSPENSION PTOSIS (EYE) (585192),L8610,$490.68 ,$490.68 
Supplies,EX#41783,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +10.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41804,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +10.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41786,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +11.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41814,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +11.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41787,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +12.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41815,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +12.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41816,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +13.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41789,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +14.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41817,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +14.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41791,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +16.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41819,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +16.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41792,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +17.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41820,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +17.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41793,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +18.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41821,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +18.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41794,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +19.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41822,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +19.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41784,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +20.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41813,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +20.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41795,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +21.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41805,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +21.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41796,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +22.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41806,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +22.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41797,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +23.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41807,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +23.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41798,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +24.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41808,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +24.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41799,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +25.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41780,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +25.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41800,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +26.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41809,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +26.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41801,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +27.0D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41810,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +27.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41811,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +28.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,EX#41812,EYE ZA9003 13MM IOL ACRYLIC FOLDABLE +29.5D (ZA900,L8610,"$1,350.00 ","$1,350.00 "
Supplies,CC#59612010,TUTOPLAST PERICARDIUM 1.5 X 1.5CM ( EYE) (68250),L8610,"$2,850.00 ","$2,850.00 "
Supplies,CC#51000612,TANTALUM RINGS GRAGOUDAS (EYE) (175),L8610,"$4,250.00 ","$4,250.00 "
Supplies,CDM#70919824,MEMBRANE AMNIOTIC FRESH 1.5 X 1.0CM FRESH A (AG-15,L8610,"$4,280.00 ","$4,280.00 "
Supplies,EX#AD-5440,MEMBRANE AMNIOTIC AMBIODRY 4 X 4CM (AD-5440),L8610,"$4,350.00 ","$4,350.00 "
Supplies,80010,SPHERE SST EZ 18MM (80010),L8610,"$4,623.00 ","$4,623.00 "
Supplies,EX#AD-5230,MEMBRANE AMNIOTIC AMBIODRY 2 X 3CM (AD-5230),L8610,"$4,760.00 ","$4,760.00 "
Supplies,AG-3535F,MEMBRANE AMNIOTIC FROZEN SZC 3.5CM X 3.5CM (C) (AG,L8610,"$5,010.00 ","$5,010.00 "
Supplies,CDM#70987540,MEMBRANE AMNIOTIC FRESH 2.0 X 1.5CM FRESH B (AG-20,L8610,"$5,080.00 ","$5,080.00 "
Supplies,CC#50058880,EYE SPHERE MEDPOR SST EZ 22MM (80014),L8610,"$5,360.00 ","$5,360.00 "
Supplies,EX#80012,EYE SPHERE MEDPORE SST EZ 20MM (80012),L8610,"$5,360.00 ","$5,360.00 "
Supplies,80008,MEDPOR SST EZ SPHERE 16MM (80008),L8610,"$5,360.00 ","$5,360.00 "
Supplies,EX#68252,TUTOPLAST PERICARDIUM 4 X 5CM ( EYE) (68252),L8610,"$5,600.00 ","$5,600.00 "
Supplies,AG-5050F,MEMBRANE AMNIOTIC FROZEN SZC 5CM X 5CM FROZEN (AG-,L8610,"$8,370.00 ","$8,370.00 "
Supplies,CC#59615265,EYE BAERVELDT IMPLANT 250 (BG103-250),L8612,"$4,626.00 ","$4,626.00 "
Supplies,CC#50016362,EYE VALVE GLAUCOMA AHMED (FP7),L8612,"$4,760.00 ","$4,760.00 "
Supplies,CC#59615264,EYE BAERVELDT IMPLANT 350 (BG101-350),L8612,"$5,504.00 ","$5,504.00 "
Supplies,100/32397,CYPASS MICRO-STENT 241 US (100/32397),L8612,"$6,800.00 ","$6,800.00 "
Supplies,47053,GLAUCOMA MINI EX-PRESS SHUNT P-50 (47053),L8612,"$6,870.00 ","$6,870.00 "
Supplies,CC#54351136,MYRINGOTOMY SHEPARD GROMMET 1.14MM I.D. FLUROPLAST,L8613,$93.48 ,$93.48 
Supplies,CC#50000812,MYRINGOTOMY SHEPARD VENT TUBE 1MM I.D. ULTRASIL/SI,L8613,$121.80 ,$121.80 
Supplies,EX#10-38040,MYRINGOTOMY ACTIVENT SHEEHY (10-38040),L8613,$230.40 ,$230.40 
Supplies,240072,TUBE RICHARDS MODIFIED T1.32MM ID 4.8MM LENGTH SIL,L8613,$237.60 ,$237.60 
Supplies,CC#50001590,RICHARDS MODIFIED ULTRASIL T-TUBE 4.8MM-1.32MM (70,L8613,$244.08 ,$244.08 
Supplies,CC#54351150,MYRINGOTOMY TUBE VENT COLLAR BUTTON (1013301),L8613,$261.60 ,$261.60 
Supplies,10-13302,BUTTON SHEEHY COLLAR ACTIVENT TEFLON 1.27MM  (1013,L8613,$268.80 ,$268.80 
Supplies,CC#50001871,MYRINGOTOMY REUTER BOBBIN TI 0.39 (145215-ENT),L8613,$323.16 ,$323.16 
Supplies,145272-ENT,MYRINGOTOMY REUTER BOBBIN TI 1.52MM (145272-ENT),L8613,$323.16 ,$323.16 
Supplies,CC#57595115,MIDDLE EAR SHAH DISC LARGE SILICONE  (140176),L8613,$424.68 ,$424.68 
Supplies,EX#140175,MIDDLE EAR SHAH DISC SMALL SILICONE  (140175),L8613,$424.68 ,$424.68 
Supplies,CC#50045131,DORNHOFFER FOOTPLATE SHOE W/0.8MM SHAFT (636-080),L8613,"$1,161.00 ","$1,161.00 "
Supplies,EX#70145924,STAPES PISTON SMART 0.5 X 4.75MM (70145924),L8613,"$2,224.60 ","$2,224.60 "
Supplies,CC#50015693,STAPES PISTON SMART 0.5 X 4.25MM (70145922),L8613,"$2,287.30 ","$2,287.30 "
Supplies,CC#50015894,STAPES PISTON SMART 0.5 X 4.5MM (70145923),L8613,"$2,287.30 ","$2,287.30 "
Supplies,EX#70145920,STAPES PISTON SMART 0.5 X 3.75MM (70145920),L8613,"$2,387.00 ","$2,387.00 "
Supplies,50015685,INCUS STRUT KARTUSH 2.75MM (140853),L8613,"$2,797.80 ","$2,797.80 "
Supplies,CC#50004582,KARTUSCH INCUS STRUT LONG (140854),L8613,"$2,797.80 ","$2,797.80 "
Supplies,EX#140956,STAPES APPLEBAUM SM (140956),L8613,"$2,972.30 ","$2,972.30 "
Supplies,CC#50052948,PORP BLACK OVAL TOP (140857),L8613,"$3,249.50 ","$3,249.50 "
Supplies,CC#50015690,TORP TITANIUM MICRON II 10 X 3 (70142001),L8613,"$3,372.40 ","$3,372.40 "
Supplies,CC#50001872,PORP BLACK OVAL TOP (140859),L8613,"$3,507.20 ","$3,507.20 "
Supplies,CC#50015687,TORP BLACK OVAL TOP (140856),L8613,"$3,507.20 ","$3,507.20 "
Supplies,EX#675,PROTHESIS BOJRAB OSSICULAR HEAD PARTIAL (675),L8613,"$3,580.00 ","$3,580.00 "
Supplies,EX#625,PROTHESIS BOJRAB OSSICULAR HEAD TOTAL (625),L8613,"$3,580.00 ","$3,580.00 "
Supplies,CC#59617689,TORP/PROP UNIVERSAL BLACK OVAL (140861),L8613,"$3,852.00 ","$3,852.00 "
Supplies,CC#50011924,MIDDLE EAR UNIV ROUND HEAD /W SHOE TI  (11-50000),L8613,"$4,240.00 ","$4,240.00 "
Supplies,Z382660,COCHLEAR NUCLEUS 5 SLIM ELECTRO C-C1522 (Z382660),L8614,"$24,150.00 ","$24,150.00 "
Supplies,EX#31093,MED-EL SYNCHRONY FLEX 28 W/OUT PIN (31093),L8614,"$27,594.00 ","$27,594.00 "
Supplies,31094,MED-EL SYNCHRONY PIN FLIX 28 MI1200 (31094),L8614,"$27,594.00 ","$27,594.00 "
Supplies,Z209051,COCHLEAR NUCLEUS PROFILE WITH CONTOUR ADVANCE C151,L8614,"$33,025.50 ","$33,025.50 "
Supplies,Z285654,COCHLEAR NUCLEUS 5 W/ SLIM ELECTRODE CI532 (Z28565,L8614,"$34,870.50 ","$34,870.50 "
Supplies,CC#50015110,ENT COCHLEAR FREEDOM C124RE CA  (Z60353),L8614,"$41,625.00 ","$41,625.00 "
Supplies,EX#Z190574,ENT NUCLEUS COCHLEAR IMPLANT W/SLIM ELECTRODE CI42,L8614,"$41,625.00 ","$41,625.00 "
Supplies,CI-1600-04,ENT HIRES 90K ULTRA CI HIFOCUS MS ELECTRODE (CI-16,L8614,"$53,827.50 ","$53,827.50 "
Supplies,EX#AR8944CLL,MTP PLATE LOW PROFILE LONG LT TI (AR-8944CL-L),L8641,"$4,800.00 ","$4,800.00 "
Supplies,EX#AR8944CRL,MTP PLATE LOW PROFILE LONG RT TI (AR-8944CR-L),L8641,"$4,800.00 ","$4,800.00 "
Supplies,EX#AR8944CLP,MTP PLATE LOW PROFILE SHORT LT TI (AR-8944CL-P),L8641,"$4,800.00 ","$4,800.00 "
Supplies,EX#AR-8944CR-P,MTP PLATE LOW PROFILE SHORT RT TI (AR-8944CR-P),L8641,"$4,800.00 ","$4,800.00 "
Supplies,EX#AR8944CLS,MTP PLATE LOW PROFILE STAND LT TI (AR-8944CL-S),L8641,"$4,800.00 ","$4,800.00 "
Supplies,EX#AR8944CRS,MTP PLATE LOW PROFILE STAND RT TI (AR-8944CR-S),L8641,"$4,800.00 ","$4,800.00 "
Supplies,CC#50000814,VASCULAR HEMASHIELD FINESSE 0.3IN X 3IN (8MM X 75M,L8670,"$1,156.30 ","$1,156.30 "
Supplies,CC#50005684,VASCULAR HEMASHIELD FINESSE 0.24IN X 3IN (M0020201,L8670,"$1,377.80 ","$1,377.80 "
Supplies,019585P,PATCH FINESSE 0.8CM X 15 2CM (019585P),L8670,"$1,411.80 ","$1,411.80 "
Supplies,CC#50005685,VASCULAR HEMASHIELD FINESSE 8MM X 152MM (019585P),L8670,"$1,411.80 ","$1,411.80 "
Supplies,CC#50003959,GORETEX THINWALL 6MM X 10CM (ST0601),L8670,"$1,830.00 ","$1,830.00 "
Supplies,EX#1802009004,GORETEX CARDIOVAS PATCH 2CM X 9CM X 0.4MM  (180200,L8670,"$2,250.00 ","$2,250.00 "
Supplies,H060010A,GRAFT PROPATEN 6X10 STANDARD VASCULAR (H060010A),L8670,"$3,800.00 ","$3,800.00 "
Supplies,M002020951060,VASCULAR GRAFT 6MM X 15MM (M002020951060),L8670,"$4,043.04 ","$4,043.04 "
Supplies,M002020954060,VASCULAR HEMASHIELD STRAIGHT 06 X 30CM  (M00202095,L8670,"$4,043.04 ","$4,043.04 "
Supplies,CC#59617960,VASCULAR HEMASHIELD STRAIGHT LONG 08 X 30CM  (M002,L8670,"$4,043.04 ","$4,043.04 "
Supplies,CC#59617956,VASCULAR HEMASHIELD STRAIGHT LONG 16 X 30CM  (0952,L8670,"$4,043.04 ","$4,043.04 "
Supplies,CC#50000611,GORETEX STRETCH STD WALL 18 X 20 (SA1802),L8670,"$4,130.00 ","$4,130.00 "
Supplies,CC#59627019,GORETEX STRETCH STD WALL LG 20 X 20 (SA2002),L8670,"$4,130.00 ","$4,130.00 "
Supplies,CC#59617694,GRAFT HEMASHIELD WOVEN DBL VELOUR 30X30 (M00202175,L8670,"$4,441.50 ","$4,441.50 "
Supplies,CC#59617692,VASCULAR HEMASHIELD PLATINUM 26 X 30CM (M002021754,L8670,"$4,441.50 ","$4,441.50 "
Supplies,EX#175206P,VASCULAR HEMASHIELD PLATINUM 06 X 30CM (M002021752,L8670,"$4,568.80 ","$4,568.80 "
Supplies,CC#50016506,VASCULAR HEMASHIELD PLATINUM 08 X 30CM (M002021752,L8670,"$4,568.80 ","$4,568.80 "
Supplies,CC#50048653,GORE GRAFT VASCULAR RINGED 5 X 40 (SRRT05030040L),L8670,"$4,572.00 ","$4,572.00 "
Supplies,M002020851470,GRAFT HEMASHIELD MICROVEL BIFURCATED 14X7X40 (M002,L8670,"$4,640.46 ","$4,640.46 "
Supplies,CC#59627102,VASCULAR HEMASHIELD BIFURCATED 12 X 6 X 40 (M00202,L8670,"$4,640.46 ","$4,640.46 "
Supplies,CC#59617850,VASCULAR HEMASHIELD BIFURCATED 16 X 8 X 40 (M00202,L8670,"$4,640.46 ","$4,640.46 "
Supplies,CC#59617851,VASCULAR HEMASHIELD BIFURCATED 18 X 9 X 40 (M00202,L8670,"$4,640.46 ","$4,640.46 "
Supplies,CC#50004993,VASCULAR HEMASHIELD STRAIGHT LONG 24 X 30CM  (0952,L8670,"$4,872.00 ","$4,872.00 "
Supplies,CC#50016507,VASCULAR HEMASHIELD PLATINUM 12 X 30CM (M002021754,L8670,"$4,889.28 ","$4,889.28 "
Supplies,EX#175414P,VASCULAR HEMASHIELD PLATINUM 14 X 30CM (M002121754,L8670,"$4,889.28 ","$4,889.28 "
Supplies,CC#50016511,VASCULAR HEMASHIELD PLATINUM 24 X 30CM (M002021754,L8670,"$4,889.28 ","$4,889.28 "
Supplies,CC#50016512,GRAFT HEMASHIELD WOVEN DBL VELOUR 32X30 (M00202175,L8670,"$4,937.68 ","$4,937.68 "
Supplies,CC#59617695,GRAFT HEMASHIELD WOVEN DBL VELOUR 34X30 (175434P),L8670,"$4,937.68 ","$4,937.68 "
Supplies,EX#175428P,VASCULAR HEMASHIELD PLATINUM 28 X 30CM (M002021754,L8670,"$4,937.68 ","$4,937.68 "
Supplies,CC#59617852,VASCULAR HEMASHIELD BIFURCATED 20 X 10 X 40 (08520,L8670,"$5,080.00 ","$5,080.00 "
Supplies,EX#HPT350010A,GORETEX HEPARIN PEDIATRIC THIN WALL 3.5 X 10CM (HP,L8670,"$5,304.00 ","$5,304.00 "
Supplies,CC#59617954,VASCULAR HEMASHIELD BIFURCATED 22 X 11 X 40 (08522,L8670,"$5,576.00 ","$5,576.00 "
Supplies,CC#50005560,GORETEX REM.RING THINWALL 8MMX 50CM (SRRT08040050L,L8670,"$5,676.00 ","$5,676.00 "
Supplies,EX#HPT030010A,GORETEX HEPARIN PEDIATRIC THIN WALL 3 X 10CM (HPT0,L8670,"$5,712.00 ","$5,712.00 "
Supplies,EX#HPT040015A,GORETEX HEPARIN PEDIATRIC THIN WALL 4 X 10CM (HPT0,L8670,"$6,210.00 ","$6,210.00 "
Supplies,CC#5917907,GORETEX (RRT06100100L) RINGED 6MM X 100CM WITH 100,L8670,"$6,688.00 ","$6,688.00 "
Supplies,CC#50004451,GORETEX GRAFT VAS THIN WALL 8MM X 100CM (RRT081001,L8670,"$6,688.00 ","$6,688.00 "
Supplies,EX#HT084050A,GRAFT VASCULAR PROPATEN  HEP T8MM 40CM X 50CM (HT0,L8670,"$7,096.00 ","$7,096.00 "
Supplies,CC#51000668,GRAFT VASCULAR PROPATEN  HEP 4-7MM X 45CM (H470045,L8670,"$7,398.00 ","$7,398.00 "
Supplies,1125400-15,STENT XIENCE ALPINE RX 4.0X15 (1125400-15),L8670,"$8,940.00 ","$8,940.00 "
Supplies,EX#HT066080A,GRAFT VASCULAR PROPATEN  HEP T6MM 60CM X 80CM (HT0,L8670,"$10,908.00 ","$10,908.00 "
Supplies,EX#HT087080A,GRAFT VASCULAR PROPATEN  HEP T8MM 70CM X 80CM (HT0,L8670,"$11,236.00 ","$11,236.00 "
Supplies,CC#50047367,ENDOPROSTHESIS CONFORMABLE TAG 21MM X 10CM (TGU212,L8670,"$24,375.00 ","$24,375.00 "
Supplies,CC#50047369,ENDOPROSTHESIS CONFORMABLE TAG 26MM X 10CM (TGU262,L8670,"$24,375.00 ","$24,375.00 "
Supplies,CC#50047368,ENDOPROSTHESIS CONFORMABLE TAG 26MM X 21MM X10CM (,L8670,"$24,375.00 ","$24,375.00 "
Supplies,EX#TGU343410,ENDOPROSTHESIS CONFORMABLE TAG 34MM X 10CM (TGU343,L8670,"$24,375.00 ","$24,375.00 "
Supplies,CC#51000527,ENDOPROSTHESIS CONFORMABLE TAG 40MM X 15CM (TGU404,L8670,"$24,375.00 ","$24,375.00 "
Supplies,CC#50047371,ENDOPROSTHESIS CONFORMABLE TAG 45MM X 15CM (TGU454,L8670,"$24,375.00 ","$24,375.00 "
Supplies,CC#51000525,ENDOPROSTHESIS CONFORMABLE TAG 37MM X 15CM (TGU373,L8670,"$24,984.00 ","$24,984.00 "
Supplies,EX#TGU313115,ENDOPROSTHESIS CONFORMABLE TAG 31MM X 15CM (TGU313,L8670,"$24,984.38 ","$24,984.38 "
Supplies,EX#97740,MYSTIM EXTERNAL PATIENT PROGRAMMER (97740),L8681,"$6,270.00 ","$6,270.00 "
