Internal ID,Master Charge Description of Service,NS Charge Per Unit
80007196,HB TRICHOMONAS VAGINALIS DIRECT PRB,$84.00
80007199,"HB R CARDIOLIPIN (PHOSPHOLIPID) AB, EACH",$95.00
80007200,"HB R CORTISOL, SALIVA",$120.00
80007201,"HB R MYCOPLASMA PNEUMONIAE DETECTION, PCR",$382.00
80007202,"HB R INFECT AGENT DETECT, NUCL ACID, AMP PRB, EA ORG",$179.00
80007203,"HB R PHOSPHORUS, STOOL",$66.00
80007204,HB STIMUPLEX NEEDLE,$48.00
80007205,HB ATTN AT DELIVERY 1ST STABILIZATN OF NEWBORN,$450.00
80007206,HB DELIVERY/BIRTHING ROOM RESUSCITATION,$853.00
80007207,HB OVARIAN CYST ASPIRATION,"$2,549.00"
80007208,HB ALCOHOL ABLATION SUPRACLAVICULAR MASS,"$2,452.00"
80007209,HB DESTR MALIG LESION S/N/H/F/G 1.1-2.0CM,$518.00
80007226,HB EXCHNG TRANSFUSION BLOOD NEWBRN,"$1,093.00"
80007227,HB SINGLE/DUAL LUMEN CATHETER,$68.00
80007229,HB PRESS-ON LENS  FRESNELL PRISM PER LENS,$75.00
80007230,HB R CHEMILUMINESCENT ASSAY,$72.00
80007231,HB R IMMUNOASSAY QUANT NOS NONAB,$81.00
80007232,HB R C-REACTIVE PROTEIN,$32.00
80007233,HB EMU EEG 24 HR VIDEO,"$3,775.00"
80007236,HB ARESTIN PER TOOTH,$140.00
80007237,HB BIOSENTRY TRACT SEALANT SYSTEM,$975.00
80007238,HB CSF FLOW W/O MATL SHUNT EVAL,"$1,164.00"
80007239,HB TRANSLUMINAL BILIARY BIOPSY KIT,"$1,789.00"
80007240,HB ULTRA 90/CHANNEL CATHETER,"$6,026.00"
80007241,HB BONE DENSITY DXA 1/>SITES APPENDICLR,$210.00
80007243,HB INFLUENZA VAC QUADRIVALENT PRSRV FREE 3YRS + IM,$41.00
80007244,HB INFLUENZA VAC QUADRIVALENT PRSRV FRE 6-35 MO IM,$41.00
80007245,HB ALLERGEN SPECIFIC IGE QUANT OR QUAL EA,$22.00
80007246,HB GAMMAGLOBULIN IGE,$67.00
80007247,HB INFLUENZA VAC QUADRIVALENT LIVE INTRANASAL-VFC,$48.00
80007248,HB INFLUENZA VAC QUADRIVALENT PRSRV FRE 6-35 MO IM-VFC,$41.00
80007249,HB INFLUENZA VAC QUADRIVALENT PRSRV FREE 3YRS+IM-VFC,$41.00
80007250,HB R TISSUE CULTURE NON-NEOPLASTIC LYMPH,$264.00
80007251,HB R TISSUE CULTURE SKIN OR SOLID TIS,$446.00
80007252,"HB R TISSUE CULTURE NON NEOPLASTIC, AF OR CV",$606.00
80007253,"HB R CHROM ANLYS, 20-25 CELLS",$432.00
80007254,"HB R CHROM ANLYS, AF OR CV, 15 CELLS, 1 KARO",$371.00
80007255,"HB R CHROM ANLYS, IN SITU AF, 6-12 COL, KARO W BAND",$684.00
80007256,"HB R MOL CYTOGEN, DNA PRB, EA, FISH",$74.00
80007257,"HB R MOL CYTOGEN, IN SITU, 100-300 CELLS",$172.00
80007258,"HB R CHROM ANLYS,  ADD KARO, EA",$40.00
80007259,HB R CYTOGENETIC INTERP/REPORT,$88.00
80007260,"HB R CHROM ANLYS, 5 CELLS, 1 KARO W BAND",$455.00
80007261,"HB R CHROM ANLYS, 15-20 CELLS, 2 KARO W BAND",$429.00
80007262,"HB R CHROM ANLYS, ADD CELLS, EA",$60.00
80007263,HB PUNCTURE SHUNT TUBE/RESERVOIR ASPIRATION/INJ PX,"$1,463.00"
80007264,HB MALIGNANT HYPERTHERMIA-FILTERS (PER PKG OF 2),$225.00
80007265,HB CT SACROPLASTY-UNILATERAL,"$5,700.00"
80007266,HB ANTI-RIBOSOMAL P AB,$139.00
80007267,HB ANTI-RNP AB,$139.00
80007268,HB ANTI-JO 1 AB,$139.00
80007271,HB CRYSTALENS AO-IOL,"$2,903.00"
80007272,HB CRYSTALENS AO-IOL PT PORTION,$900.00
80007273,HB TRULIGN-IOL,"$3,058.00"
80007274,HB TRULIGN-IOL PT PORTION,$925.00
80007275,HB CEREBRAL OXIMETRY KIT,$888.00
80007276,"HB SYPHILIS AB, IGG",$54.00
80007277,HB PSYCH ASSESSMENT - 30MINUTES - MC,$410.00
80007278,HB PSYCH ASSESSMENT - 60MINUTES - MC,$462.00
80007279,HB PSYCH ASSESSMENT - 90MINUTES - MC,$508.00
80007280,HB GROUP PSYCHOTHERAPY - MC,$217.00
80007281,HB PSYCHOTHERAPY FAMILY W/PT - MC,$253.00
80007282,HB PSYCHOTHERAPY W/PT &/OR FAMILY 30 MINS - MC,$194.00
80007283,HB PSYCHOTHERAPY W/PT &/OR FAMILY 45 MINS - MC,$310.00
80007284,HB PSYCHOTHERAPY W/PT &/OR FAMILY 60 MINS - MC,$375.00
80007285,HB PSYCH INTERACTIVE COMPLEXITY - MC,$49.00
80007286,HB OPEN/PERQ PLACEMNT INTRAVASCULR STENT INITIAL,"$17,823.00"
80007287,HB OPEN/PERQ PLACEMNT INTRAVASCULR STENT EA ADDL,"$8,619.00"
80007288,HB OPEN/PERQ PLACEMNT INTRAVASCULR STENT SAME 1ST,"$19,605.00"
80007289,HB OPEN/PERQ PLACEMT INTRAVASCUL STENT SAME EA ADDL,"$9,481.00"
80007290,HB VASCULAR EMBOLIZATION OR OCCLUSION VENOUS S&I,"$20,906.00"
80007291,HB VASCULAR EMBOLIZATION OR OCCLUSION ARTERIAL S&I,"$19,009.00"
80007292,HB VASCULAR EMBOLIZE OR OCCLUDE ORGAN TUMOR INFARCT,"$19,009.00"
80007293,HB VASCULAR EMBOLIZE OR OCCLUSION HEMORRHAGE,"$17,281.00"
80007294,HB TRANSCATH MITRAL VALVE REP W/ PUNCT ADDL,"$20,866.00"
80007295,HB TRANSCATH MITRAL VALVE REP VIA CORONARY SINUS,"$47,702.00"
80007296,HB SP EVAL SPEECH FLUENCY (STUTTER CLUTTER),$272.00
80007297,HB SP EVAL SPEECH SOUND PRODUCTION ARTICULATE,$299.00
80007298,HB SP EVAL SPEECH SOUND PRODUCT LANG COMPREHENSION,$459.00
80007299,HB SP BEHAVIORAL & QUALIT ANALYSIS VOICE & RESONANCE,$234.00
80007300,HB BX BREAST W/DEV 1ST LESION STEREOTACTIC GUIDE,"$4,298.00"
80007301,HB BX BREAST W/DEV ADDL LESION STEREOTACTIC GUIDE,"$2,149.00"
80007302,HB BX BREAST W/DEV 1ST LESION US GUIDE,"$4,298.00"
80007303,HB BX BREAST W/DEV ADDL LESION US GUIDE,"$2,149.00"
80007304,HB BX BREAST W/DEV 1ST LESION MRI GUIDE,"$4,298.00"
80007305,HB BX BREAST W/DEV ADDL LESION MRI GUIDE,"$2,149.00"
80007306,HB PERQ DEVICE PLACEMT BREAST LOC 1ST LESN W GUIDE,"$1,681.00"
80007307,HB PERQ DEVICE PLACEMT BREAST LOC EA ADDL LESN W GUIDE,"$1,368.00"
80007308,HB PERQ BREAST LOC DEV PLACEMT 1ST LESN STRTCTC GUIDE,"$1,681.00"
80007309,HB PERQ BREAST LOC DEV PLACEMT EA ADDL LESN STRTCTC GUIDE,"$1,442.00"
80007310,HB PERQ BREAST LOC DEV PLACEMT 1ST LESION US GUIDE,"$1,681.00"
80007311,HB PERQ BREAST LOC DEV PLACEMT EACH ADDL LESN US GUIDE,"$1,505.00"
80007312,HB PERQ BREAST LOC DEV PLACEMT 1ST LESION MRI GUIDE,"$1,805.00"
80007313,HB PERQ BREAST LOC DEV PLACEMT EA ADDL LESION MRI GUIDE,"$1,442.00"
80007314,HB IMAGE-GUIDE FLUID COLLXN DRAIN CATH VISC PERQ,"$3,170.00"
80007315,HB IMG-GUIDE FLUID COLLXN DRAIN CATH PERITON PERQ,"$4,045.00"
80007316,HB IMAGE FLUID COLLXN DRAIN CATH TRANSREC/VAGINAL,"$4,428.00"
80007317,HB TRANSCATH RENAL SYMPATH DENERVATION UNILAT,"$5,595.00"
80007318,HB TRANSCATH RENAL SYMPATH DENERVATION BILAT,"$5,595.00"
80007320,HB IMAGE-GUIDED CATH FLUID COLLECT DRAINAGE,"$1,008.00"
80007321,HB CHEMODENERVATN  OF TRUNK MUSC 1-5 MUSCLE(S),"$1,560.00"
80007322,HB CHEMODENERVATN  OF TRUNK 6 OR MORE MUSC,"$1,716.00"
80007323,HB OTSC SYSTEM SET,"$2,726.00"
80007324,HB OTSC RELOADER,"$1,410.00"
80007325,HB OTSC ANCHOR,"$1,595.00"
80007326,HB OTSC TWIN GRASPER,"$2,258.00"
80007328,HB TOPICAL APPLICATION FLUORIDE VARNISH,$89.00
80007334,HB R IMMUNOASSAY; TREPONEMA PALLIDUM,$108.00
80007335,HB R CREATINE KINASE (CPK),$34.00
80007337,HB INFLUENZA-RSV DETECTION,$250.00
80007338,HB RESPIRATORY MOTION MANAGEMENT SIM,"$3,171.00"
80007339,HB INFLUENZA-RSV DETECTION,$250.00
80007340,HB PERC MITRACLIP VALVE REPAIR SYSTEM,"$131,040.00"
80007341,HB HAND CONTROL KIT (ANGIO) AT- P54,$78.00
80007342,HB TRANSDUCER KIT SNGL USE BT2000,$63.00
80007343,HB TRACHEOSTOMY PLANNED SEPRTE PROCDRE,"$3,460.00"
80007344,HB TRACHEOBRNCHSC THRU EST TRACHS INC,"$2,275.00"
80007345,HB RPLCMT/IRRG SUBARACHNOID/SUBDURAL CATH,"$2,876.00"
80007346,HB DONOR BREAST MILK PROCESSING PER OUNCE,$9.00
80007347,HB TECHNETIUM TC-99M TILMANOCEPT DX TO 0.5 MCI,"$1,062.00"
80007348,HB FLEXIBLE FIBEROPTIC LARYNGOSCOPY -DIAGNOSTIC,$376.00
80007349,HB INTUBATION ENDOTRACHEAL EMERGENCY PRCDURE,"$1,132.00"
80007350,HB ARCTIC FRONT CRYO CATHETER,"$17,160.00"
80007351,HB FLEXCATH STEERABLE SHEATH,"$4,290.00"
80007352,HB ACHIEVE MAPPING CATHETER/CABLE,"$2,925.00"
80007353,HB POSTPARTUM CARE ONLY,$410.00
80007354,HB HIPPO CAR SEAT (SPICA CAST),$497.00
80007355,HB R THYROGLOBULIN MS,$397.00
80007356,HB TISSUE TRANSGLUTAMINASE (TTG) AB,$47.00
80007357,HB DEAMIDATED (GLIADIN) AB,$47.00
80007358,HB CELIAC DISEASE IGA,$115.00
80007359,HB CHEMOTX ADMN CNS REQ SPINAL PUNCTURE,$941.00
80007360,HB EDWARDS SAPIENXT TRANSCATH HRT VLV ID G090216/S093,"$131,040.00"
80007361,HB ESOPHAGOSCOPY FLEX TRANSORAL DX,"$2,515.00"
80007362,HB ESOPHAGOSCOPY FLEX TRANSORAL W SUBMUCOUS INJ,"$2,178.00"
80007363,HB ESOPHAGOSCOPY FLEX TRANSORAL W BX,"$1,916.00"
80007364,HB ESOPHAGOSCOPY FLEX TRANSORAL INJ VARICES,"$1,916.00"
80007365,HB ESPHGOSCPY FLEX W/BAND LIGATN ESOPHGL VARICE,"$2,178.00"
80007366,HB ESOPHAGOSCPY TRANSORAL W/OPTIC ENDOMICROSCPY,"$2,178.00"
80007367,HB ESOPHAGOSCOPY FLEX TRANSORAL MUCOSAL RESEXN,"$1,916.00"
80007368,HB ESOPHAGOSCOPY TRANSORAL STENT PLACEMNT,"$5,097.00"
80007369,HB ESOPHAGOSCOPY RETROGRD DILATE BALLOON/OTH,"$2,178.00"
80007370,HB ESOPHAGOSCOPY DILATION ESOPHAG BALLOON 30MM,"$2,178.00"
80007371,HB ESPHGSC FLEX LESION REMV HOT BX FORCEP/CAUT,"$4,232.00"
80007372,HB ESOPHAGOSCOPY FLEX LESION REMV TUMOR SNARE,"$2,178.00"
80007373,HB ESOPHAGOSCOPY FLEX BALLOON DILAT<30 MM DIAM,"$2,178.00"
80007374,HB ESOPHAGOSCOPY FLEX GUIDE WIRE DILATION,"$2,178.00"
80007375,HB ESOPHAGOSCOPY FLEX W BLEEDING CONTROL,"$2,178.00"
80007376,HB ESOPHAGOSCOPY FLEX TRANSORAL LESION ABLATE,"$4,232.00"
80007377,HB ESOPHAGOSCOPY FLEX TRANSORAL US EXAM,"$2,178.00"
80007378,HB ESOPHAGOSCPY INTRA/TRANSMURAL NDLE ASPIR/BX,"$2,178.00"
80007382,HB LC BEADS-EMBOLIC AGENT,"$7,199.00"
80007385,HB LOWER GI ENDOSCOPIC FISTULA REPAIR,"$3,583.00"
80007386,HB ENTEROSCOPY LEVEL 4 - VIA DOUBLE BALLOON,"$4,300.00"
80007387,HB PRENATAL PANEL FISH,$716.00
80007388,HB TSTG ANS FUNCJ CARDIOVAGAL INNERVAJ PARASYMP,$222.00
80007389,HB TSTG ANS FUNCJ VASOMOTOR ADRENERGIC INNERVAJ,$222.00
80007390,HB TESTING AUTONOMIC NERVOUS SYSTEM FUNCTION,$277.00
80007391,HB DBE OVERTUBE,$883.00
80007392,HB DBE BALLOON,"$1,073.00"
80007394,"HB HRAS, FULL GENE SEQUENCE",$248.00
80007395,"HB KRAS GENE ANALYSIS,EXON 3",$248.00
80007396,HB MGMT METHYLATION ANALYSIS,$100.00
80007397,"HB KRAS GENE ANALYSIS, EXON 4",$248.00
80007398,"HB OCCULT BLOOD, OTHR THAN COLORECTAL NEOPLSM SCRN",$72.00
80007399,"HB PREVENTIVE VISIT,NEW,40-64",$314.00
80007400,"HB PREVENTIVE VISIT,EST,40-64",$270.00
80007401,HB HEPATITIS C GENOTYPE,$702.00
80007402,HB HIV-1 QUANTITATION,$348.00
80007404,HB ROS-1 TRANSLOCATION,$413.00
80007405,HB BAKRI BALLOON CATHETER,$932.00
80007406,HB TRANSESOPHAGEAL ECHO 2D LIMITED,"$3,190.00"
80007407,HB NRAS GENE ANALYSIS,$248.00
80007409,HB R CELIAC DISEASE HLA-DQ TYPING,$250.00
80007410,HB TSTG ANS FUNCJ PARASYMP&SYMP W/5 MIN PASIVE TILT,$537.00
80007413,"HB ALLRGN SPECIFIC IGE, QUANT/SEMI-QUANT, EA",$22.00
80007415,HB R BLASTOMYCES AB,$102.00
80007416,HB CARR LOCKE INJ NEEDLE,$137.00
80007417,"HB INJ TRIGGER PTS,1-2MUSCLE GROUPS",$829.00
80007418,"HB INJ TRIGGER PTS, 3+ MUSCLE GROUPS",$853.00
80007419,HB IMMUNOASSAY ANALYTE QUAL/SEMI QUANT NES,$47.00
80007420,HB CERVICAL EPIDURAL CATHETER,$202.00
80007421,HB R VOLATILES,$182.00
80007422,HB R PHENOBARBITAL,$47.00
80007425,HB ANESTHESIA TEAM EMERGENT INTUBATION-BEDSIDE,"$1,132.00"
80007426,HB ANESTHESIA TEAM EMERGENT A-LINE INSERTION-BEDSIE,$711.00
80007427,HB ANESTHESIA TEAM EMERGENT CENTRAL LINE CATH INSERTION-BEDSIDE,"$3,400.00"
80007428,HB ANESTHESIA TEAM EMERGENT PULM ART CATH INSERT (SWAN GANZ)-BEDSIDE,"$2,146.00"
80007429,HB R FECAL OCC BLD SCREENING IMMUNOCHEMICAL,$211.00
80007430,HB R IMMUNOASSAY NON-INFECT AB/AG; QL/SEMI-QN,$100.00
80007431,"HB R ETHYL GLUCURONIDE SCREEN, UR",$194.00
80007433,"HB R FIBROSPEC II; NEPHELOMETRY, EA",$234.00
80007434,"HB R FIBROSPEC II; IMMUNOASSAY, QN",$234.00
80007435,HB REPRISE III - LOTUS VALVE SYS IDE#G140090,"$102,375.00"
80007436,HB MYELOPEROXIDASE AB,$47.00
80007437,HB PROTEINASE-3 AB,$47.00
80007438,HB GLOMERULAR BASEMENT MEMBRAME AB,$47.00
80007439,HB BLOOD GAS DRAW - ARTERIAL PUNCTURE,$190.00
80007440,HB PICC INSERT W/O SUBQ PORT/PUMP > 5YRS (INCOMP),"$2,577.00"
80007441,HB OCCLUSION BALLOON LEVEL 2,"$6,037.00"
80007442,HB STENT COATED/COVERED W/ DEL SYS LEVEL 1,"$9,887.00"
80007443,HB STENT COATED/COVERED W/ DEL SYS LEVEL 2,"$16,380.00"
80007444,HB STENT NON-COATED/NON-COVE W/DEL SYS LEVEL 1,"$4,401.00"
80007445,HB STENT NON-COATED/NON-COVE W/DEL SYS LEVEL 2,"$22,482.00"
80007446,HB PICC CATHETER (1-3 LUMENS AND/TUNNELED) LEVEL 1,$546.00
80007447,HB PICC CATHETER (1-3 LUMENS AND/TUNNELED) LEVEL 2,"$1,267.00"
80007448,HB CATHETER TRANSLUMINAL ATHERECTOMY DIRECTIONAL,"$11,778.00"
80007449,HB THROMBECTOMY CATHETER LEVEL 2,"$28,495.00"
80007450,"HB CATHETER, HEMODIALYSIS/PERITONEAL, LONG TERM","$1,392.00"
80007451,"HB CATHETER, HEMODIALYSIS/PERITONEAL, SHORT TERM",$449.00
80007452,HB WIRE LEVEL 5,"$1,694.00"
80007453,"HB ANOSCOPY, DIRECT SUBMUCOSAL INJ ANY SUBS","$5,431.00"
80007457,HB CLTX DSTL RADIAL FX/EPIPHYSL SEP W/O MANJ,$849.00
80007458,HB CL TX RADIAL&ULNAR SHAFT FRACTURES W/O MAN,$530.00
80007459,"HB DEST NEURO AGENT, OTHER PERIPHERAL NRV/BRCH","$1,940.00"
80007460,HB INSERTION CERVICAL DILATOR,$950.00
80007461,HB R PH GLASS ELECTRODE,$35.00
80007462,HB R UREA NITROGEN UR,$35.00
80007463,HB R MICRO ALBUMIN UR,$35.00
80007464,HB EVAL&/FITG VOICE PROSTC DEV SUPLMNT ORAL SPEEC,$719.00
80007466,HB RADIAL COMPRESSION DEVICE,$105.00
80007467,HB R ISLET AG 2 AUTOAB,$81.00
80007468,HB R ZINC TRANSPORTER 8 AUTOAB,$80.00
80007469,HB BALLOON LEVEL 4,"$6,825.00"
80007471,"HB R ALLERGEN IGG, QUANT/SEMI-QUANT",$146.00
80007472,"HB R ATOMIC ADSORPTION SPECTROSCOPY, EA",$70.00
80007473,HB BI-WING ANCHOR ACCESSORY KIT,$825.00
80007474,HB ACTIVATED CLOTTING TIME/ACT-POC,$15.00
80007475,"HB R ANTIDEPRESSANTS, TRICYCLIC, OTHER CYCLICALS; 6 OR MORE",$54.00
80007476,"HB R METHYLENEDIOXYAMPHETAMINES (MDA, MDEA, MDMA)",$54.00
80007477,HB R OXYCODONE,$54.00
80007478,HB R SKELETAL MUSCLE RELAXANTS; 3 OR MORE,$54.00
80007479,"HB R ETHYL GLUCURONIDE CONFIMATION, UR",$255.00
80007480,HB R IN-SITU HYBRID; PER SPCMN; EA ADDTL SNGL STAIN PRBáá,$275.00
80007481,"HB IMMUNOPEROXIDASE, ADD'L AB PER SPEC",$151.00
80007482,"HB IMMUNOPEROXIDASE W FLOW, ADD'L AB PER SPEC",$151.00
80007483,"HB IMMUNOPEROXIDASE, MULTIPLEX AB, PER SPEC",$151.00
80007484,HB PERQ VERTEBRPLASTY UNI/BI INJ CERVICOTHORACIC,"$5,649.00"
80007485,HB PERQ VERTEBRPLASTY UNI/BI INJ LUMBOSACRAL,"$5,649.00"
80007486,HB VERTEBRPLASTY EA ADDL CERVICOTHOR/LUMBOSACRAL,"$2,746.00"
80007487,HB PERQ VERT AGMNTJ CAVITY CRTJ UNI/BI CANNLJ THORCIC,"$12,476.00"
80007488,HB PERQ VERT AGMNTJ CAVITY CRTJ UNI/BI CANULAT LMBR,"$13,724.00"
80007489,HB PERQ VERT AGMNTJ CAVITY CRTJ UNI/BI CANNLJ EA,"$9,199.00"
80007490,HB US BREAST UNI REAL TIME W/ IMAGE COMP,$275.00
80007491,HB US BREAST UNI REAL TIME W/ IMAGE LIM,$389.00
80007492,HB ECHO TEE GUID TCAT ICAR/VESSEL STRUCTURAL INTVN,"$1,453.00"
80007493,HB BRACHYTX ISODOSE PLN SMPL W/DOSIMETRY CALC,$504.00
80007494,HB BRACHYTX ISODOSE PLN INTERMD W/DOSIMETRY CALC,"$1,400.00"
80007495,HB BRACHYTX ISODOSE PLN CPLX W/DOSIMETRY CALC,"$1,728.00"
80007496,HB INTENSITY MODULATED RADIATION TX DLVR SMPL,"$2,260.00"
80007497,HB INTENSITY MODULATED RADIATION TX DLVR CPLX,"$3,379.00"
80007498,HB GUID LOC OF TARGT VOL RADIAJ TX DLVR,$150.00
80007499,HB RAD TREAT DEL=>1 MEV-SIMPLE,$611.00
80007500,HB RAD TREAT DEL=>1 MEV-INTERM,$919.00
80007501,HB RAD TREAT DEL=>1 MEV-COMPLEX,"$1,088.00"
80007502,HB INSRT UTERINE TANDEM/OVOIDS,"$2,981.00"
80007503,HB RADIUM RA-223 DICHLORIDE THERAP PER UCI,$493.00
80007504,"HB GENOMIC SEQ ANLYS, SOLID TUMOR 5-50 GENES","$1,600.00"
80007505,HB ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US,"$1,034.00"
80007506,HB ARTHROCNT ASPIR&/INJ INTERM JT/BURS W/US,"$1,034.00"
80007507,HB ARTHROCNT ASPIR&/INJ MAJOR JT/BURSA W/US,"$1,034.00"
80007508,HB MYELOGRAPHY VIA LUMBAR INJ RS&I CERVICAL,"$3,007.00"
80007509,HB MYELOGRAPHY VIA LUMBAR INJ RS&I THORACIC,"$3,007.00"
80007510,HB MYELOGRAPHY VIA LUMBAR INJ RS&I LUMBOSACRAL,"$3,007.00"
80007511,HB MYELOGRAPHY VIA LUMBAR INJ RS&I 2+ REGIONS,"$3,007.00"
80007512,HB DXA BONE DENSITY STDY AXIAL SKEL,$403.00
80007513,HB VERTEBRAL FX ASSESSMENT VIA DXA,$252.00
80007514,HB SCREEN DIGITAL BREAST TOMOSYNTHESIS BI,$100.00
80007515,HB INFLUENZA VACC QUADVLNT SPLIT VIRUS 3YRS+ IM,$37.00
80007516,HB PREVENTIVE VISIT EST 65 & OVER,$277.00
80007517,HB VASCULAR PLUG AVP2 OR AVP4,"$2,673.00"
80007518,HB EGD US GUIDED TRANSMURAL INJ/FIDUCIAL MARKER,"$4,931.00"
80007519,HB RETROGRADE ENTEROSCOPY,"$2,472.00"
80007521,HB ILEOSCOPY STOMA W/BALLOON DILATE,"$2,310.00"
80007530,"HB PARAVALVULAR LEAK CLOSURE AORTIC, 1ST OCCLUSN","$32,085.00"
80007531,HB PERCUTAN TRANSCATH CLOSURE PAT DUCT ARTERIOSUS,"$32,238.00"
80007532,HB INSERT VAGINAL RADIATION DEVICE,$891.00
80007533,HB CTV ABD & PELVIS W/ AND/OR W/O CONT,"$3,052.00"
80007534,"HB R HLA-B 1502 GENOTYPE, CARBAMAZEPINE","$1,035.00"
80007535,"HB R HLA-B 5701 GENOTYPE, ABACAVIR",$386.00
80007536,"HB R CANNABINOIDS, WHOLE BLOOD",$297.00
80007537,"HB R CANNABINOIDS, SYNTHETIC",$297.00
80007538,"HB EGD W/EUS LIMITED, ESOPH, STOMACH/DUOD, & ADJ STRXRS","$2,312.00"
80007539,HB EGD FLEX TRANSORL W/OPTICAL ENDOMICROSCPY,"$2,775.00"
80007540,HB ESOPHGL REFLX TEST W/INTRLUML IMPED ELTRD,$692.00
80007541,"HB ESOPHGL FUNC TEST, G-ESOP RFLX IMPD ELTRD PROLNG","$1,544.00"
80007542,"HB HLA TYPING, ONE LOCUS, EA",$455.00
80007543,"HB HLA TYPING, ONE AG EQUIVALENT, EA",$375.00
80007544,"HB R 17-KETOSTEROIDS, UR",$451.00
80007545,HB R HOMOCYSTEINE,$69.00
80007546,HB TAP BLOCK UNILATERAL INJ(S),"$1,085.00"
80007547,HB TAP BLOCK UNILATERAL CONT INFUSION(S),"$1,297.00"
80007548,HB TAP BLOCK BILATERAL INJ(S),"$1,275.00"
80007549,HB TAP BLOCK BILATERAL CONT INFUSION(S),"$1,731.00"
80007550,HB CT GUID CRYOABLAT CHEST WALL SUBQ MASS,"$6,542.00"
80007554,HB TRANSLUMINAL ANGIOPLASTY DRUG COATED CATH,"$6,825.00"
80007555,HB PACKED RED CELLS ALIQUOT,$362.00
80007556,HB FRESH FROZEN PLASMA ALIQUOT,$143.00
80007557,HB SLEEP STD AIRFLOW HRT RATE&O2 SAT EFFORT UNATT,$899.00
80007558,"HB RBC ANTIGEN TYPING, EA",$169.00
80007559,HB R CANDIDA ANTIGEN,$74.00
80007560,HB TENOTOMY SHOULDER AREA 1 TENDON,"$5,651.00"
80007561,HB TENOTOMY ELBOW LATERAL/MEDIAL PRQ,"$5,651.00"
80007562,HB TENOTOMY ADDUCTOR HIP PRQ SPX,"$3,606.00"
80007563,HB TENOTOMY PRQ ADDUCTOR/HAMSTRING 1 TENDON SPX,"$3,606.00"
80007564,HB TENOTOMY PRQ ACHILLES TENDON SPX LOC ANES,"$3,786.00"
80007565,HB FASCIOTOMY FOOT&/TOE,"$3,786.00"
80007566,HB TENEX DISP SUPPLY KIT - TX MICROTIP,"$2,984.00"
80007568,"HB R GAMMA-HYDROXYBUTYRIC ACID, SERUM/URINE",$297.00
80007569,"HB R KETAMINE W METABOLITES, CNFRM, URINE",$367.00
80007570,"HB R KETAMINE W METABOLITES SCREEN, SERUM",$297.00
80007571,"HB R FLUNITRAZEPAM W METABOLITES, SERUM/URINE",$216.00
80007572,"HB R INFCT AG DETCT,NUC ACID; HPV GENOTYP 16,18",$143.00
80007573,HB INJ EPIDL INDW CATH PLCMNT CRV/THR W/O IMG GUD,"$1,494.00"
80007574,HB INJ EPIDL INDW CATH PLCMNT LMB/SAC W/O IMG GUD,"$1,654.00"
80007575,HB RMVL SUBQ RSVR/PUMP INTRATHECAL/EPIDL INFUS,"$6,398.00"
80007576,HB INJ PARACERVICAL (UTERINE) NERVE BK,"$1,825.00"
80007577,"HB INJ SCIATIC NERVE BK, CONT INFUS","$3,140.00"
80007578,"HB INJ LUMBAR PLEXUS, POSTER APPRCH, CONT INFUS","$3,289.00"
80007579,HB INJ PLANTAR COMMON DIGITAL NERVE(S) BK,"$1,034.00"
80007580,"HB DESTR NUERO AG, TRIGEMNL NRV SUPRORB/INFRORB","$3,191.00"
80007581,HB DESTRUCT NEURO AG SUPERIOR HYPOGASTRIC PLEXUS,"$3,289.00"
80007582,HB COCCYX INJ (GANGLION IMPAR SYMPATHETIC),$940.00
80007583,HB PUMP REFILL KIT,$60.00
80007584,"HB INJ SCIATIC NERVE BK, SINGLE","$3,289.00"
80007585,"HB INJ POPLITEAL NERVE BK, SINGLE",$942.00
80007586,"HB INJ POPLITEAL NERVE BK, CONT INFUS","$3,140.00"
80007588,HB HEMODIALYSIS PROC W/ MD/QHP EVALUATION,"$2,088.00"
80007589,HB DIALYSIS OTHER THAN HEMOD SINGLE EVAL MD/QHP,"$2,050.00"
80007590,"HB CYTOMEGALOVIRUS DNA, QUANT, PCR",$175.00
80007591,"HB IDH1 GENE ANALYSIS, EXON 4",$290.00
80007592,"HB IDH2 GENE ANALYSIS, EXON 4",$444.00
80007593,HB INS/RPLCMT PERM SUBQ IMPLTBL DFB W/SUBQ ELTRD,"$66,920.00"
80007594,HB EXTENSIVE RETINOPATHY1/> SESS PRETERM INFANT,"$1,975.00"
80007595,HB LIPIODOL (ETHIODIZED OIL) 480MG IODINE/10ML AMP INJ,"$3,081.00"
80007596,HB AMNIOTIC MEMBRANE SURG RECONSTR PER PX,"$3,354.00"
80007597,HB PLACE AMNIOTIC MEMBRA OCULAR SURFACE W/O SUTURES,"$3,088.00"
80007598,HB R PLASMINOGEN,$86.00
80007599,HB R ALPHA 2 ANTIPLASMIN,$89.00
80007600,HB R POSACONAZOLE,$354.00
80007601,"HB R GAMMA-HYDROXYBUTYRIC ACID CNFRM, URINE OR SERUM",$74.00
80007602,HB PROSTHETIC TRAIN UP&/LOW EXTRM EA 15 MIN,$105.00
80007603,HB RHC W/IMPLANT WIRELESS PRESS SENS PULM ART,"$32,670.00"
80007604,HB IMPL WIRELES PULM ARTRY PRESS SENSR DEL CATH SYS,"$87,750.00"
