MS-DRG,MS-DRG DESCRIPTION, Total            (All Payor) Discharges , Total                 (All Payor) Charges , Average Charge Per Discharge 
708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,64,"$5,026,616 ","$78,541 "
710,PENIS PROCEDURES W/O CC/MCC,1,"$44,510 ","$44,510 "
711,TESTES PROCEDURES W CC/MCC,5,"$678,237 ","$135,647 "
712,TESTES PROCEDURES W/O CC/MCC,2,"$112,527 ","$56,264 "
713,TRANSURETHRAL PROSTATECTOMY W CC/MCC,19,"$1,703,442 ","$89,655 "
714,TRANSURETHRAL PROSTATECTOMY W/O CC/MCC,2,"$108,563 ","$54,282 "
715,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC FOR MALIGNANCY W CC/MCC,3,"$196,734 ","$65,578 "
717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC,2,"$663,272 ","$331,636 "
722,MALIGNANCY MALE REPRODUCTIVE SYSTEM W MCC,1,"$91,209 ","$91,209 "
723,MALIGNANCY MALE REPRODUCTIVE SYSTEM W CC,3,"$79,418 ","$26,473 "
725,BENIGN PROSTATIC HYPERTROPHY W MCC,1,"$43,469 ","$43,469 "
726,BENIGN PROSTATIC HYPERTROPHY W/O MCC,6,"$257,155 ","$42,859 "
727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC,6,"$251,423 ","$41,904 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,21,"$775,160 ","$36,912 "
729,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W CC/MCC,2,"$32,949 ","$16,475 "
730,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W/O CC/MCC,2,"$46,211 ","$23,106 "
734,PELVIC EVISCERATION RAD HYSTERECTOMY  RAD VULVECTOMY W CC/MCC,4,"$367,961 ","$91,990 "
736,UTERINE  ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W MCC,9,"$1,198,751 ","$133,195 "
737,UTERINE  ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC,15,"$1,395,358 ","$93,024 "
738,UTERINE  ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W/O CC/MCC,1,"$64,292 ","$64,292 "
739,UTERINEADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W MCC,3,"$450,889 ","$150,296 "
740,UTERINEADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC,15,"$1,425,377 ","$95,025 "
741,UTERINEADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W/O CC/MCC,3,"$188,881 ","$62,960 "
742,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,91,"$8,413,526 ","$92,456 "
743,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,102,"$6,423,385 ","$62,974 "
744,DC CONIZATION LAPAROSCOPY  TUBAL INTERRUPTION W CC/MCC,22,"$2,480,486 ","$112,749 "
745,DC CONIZATION LAPAROSCOPY  TUBAL INTERRUPTION W/O CC/MCC,3,"$193,394 ","$64,465 "
746,VAGINA CERVIX  VULVA PROCEDURES W CC/MCC,5,"$310,840 ","$62,168 "
747,VAGINA CERVIX  VULVA PROCEDURES W/O CC/MCC,4,"$224,775 ","$56,194 "
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,2,"$845,573 ","$422,787 "
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC,5,"$477,974 ","$95,595 "
754,MALIGNANCY FEMALE REPRODUCTIVE SYSTEM W MCC,7,"$580,491 ","$82,927 "
755,MALIGNANCY FEMALE REPRODUCTIVE SYSTEM W CC,14,"$666,820 ","$47,630 "
756,MALIGNANCY FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC,1,"$174,359 ","$174,359 "
757,INFECTIONS FEMALE REPRODUCTIVE SYSTEM W MCC,5,"$223,397 ","$44,679 "
758,INFECTIONS FEMALE REPRODUCTIVE SYSTEM W CC,11,"$365,105 ","$33,191 "
759,INFECTIONS FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC,18,"$481,626 ","$26,757 "
760,MENSTRUAL  OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC,8,"$190,642 ","$23,830 "
761,MENSTRUAL  OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC,6,"$87,298 ","$14,550 "
765,CESAREAN SECTION W CC/MCC,408,"$14,446,530 ","$35,408 "
766,CESAREAN SECTION W/O CC/MCC,170,"$4,218,747 ","$24,816 "
767,VAGINAL DELIVERY W STERILIZATION /OR DC,56,"$1,216,544 ","$21,724 "
768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL /OR DC,10,"$1,087,855 ","$108,786 "
769,POSTPARTUM  POST ABORTION DIAGNOSES W O.R. PROCEDURE,14,"$852,755 ","$60,911 "
770,ABORTION W DC ASPIRATION CURETTAGE OR HYSTEROTOMY,10,"$361,638 ","$36,164 "
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,401,"$7,054,488 ","$17,592 "
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,798,"$12,336,617 ","$15,459 "
776,POSTPARTUM  POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,74,"$2,197,453 ","$29,695 "
777,ECTOPIC PREGNANCY,20,"$1,251,094 ","$62,555 "
778,THREATENED ABORTION,37,"$529,070 ","$14,299 "
779,ABORTION W/O DC,11,"$366,364 ","$33,306 "
780,FALSE LABOR,20,"$229,106 ","$11,455 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,514,"$15,554,255 ","$30,261 "
782,OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS,26,"$297,970 ","$11,460 "
789,NEONATES DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY,16,"$7,320,634 ","$457,540 "
790,EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME NEONATE,80,"$39,123,760 ","$489,047 "
791,PREMATURITY W MAJOR PROBLEMS,81,"$12,728,741 ","$157,145 "
792,PREMATURITY W/O MAJOR PROBLEMS,84,"$6,444,523 ","$76,721 "
793,FULL TERM NEONATE W MAJOR PROBLEMS,224,"$21,633,653 ","$96,579 "
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,907,"$12,574,908 ","$13,864 "
795,NORMAL NEWBORN,519,"$5,810,082 ","$11,195 "
800,SPLENECTOMY W CC,2,"$179,898 ","$89,949 "
801,SPLENECTOMY W/O CC/MCC,1,"$53,872 ","$53,872 "
802,OTHER O.R. PROC OF THE BLOOD  BLOOD FORMING ORGANS W MCC,1,"$122,141 ","$122,141 "
803,OTHER O.R. PROC OF THE BLOOD  BLOOD FORMING ORGANS W CC,2,"$142,692 ","$71,346 "
804,OTHER O.R. PROC OF THE BLOOD  BLOOD FORMING ORGANS W/O CC/MCC,8,"$501,344 ","$62,668 "
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W MCC,28,"$2,981,815 ","$106,493 "
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W CC,77,"$5,053,715 ","$65,633 "
810,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W/O CC/MCC,11,"$880,712 ","$80,065 "
811,RED BLOOD CELL DISORDERS W MCC,101,"$5,798,218 ","$57,408 "
812,RED BLOOD CELL DISORDERS W/O MCC,315,"$10,264,352 ","$32,585 "
813,COAGULATION DISORDERS,44,"$17,045,615 ","$387,400 "
814,RETICULOENDOTHELIAL  IMMUNITY DISORDERS W MCC,7,"$441,526 ","$63,075 "
815,RETICULOENDOTHELIAL  IMMUNITY DISORDERS W CC,11,"$733,042 ","$66,640 "
816,RETICULOENDOTHELIAL  IMMUNITY DISORDERS W/O CC/MCC,3,"$60,964 ","$20,321 "
820,LYMPHOMA  LEUKEMIA W MAJOR O.R. PROCEDURE W MCC,10,"$2,986,370 ","$298,637 "
821,LYMPHOMA  LEUKEMIA W MAJOR O.R. PROCEDURE W CC,14,"$1,744,573 ","$124,612 "
822,LYMPHOMA  LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC,16,"$1,287,463 ","$80,466 "
823,LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W MCC,18,"$3,974,768 ","$220,820 "
824,LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W CC,14,"$1,722,109 ","$123,008 "
825,LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W/O CC/MCC,13,"$1,232,306 ","$94,793 "
826,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC,11,"$2,136,320 ","$194,211 "
827,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC,14,"$1,748,919 ","$124,923 "
828,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC,14,"$1,762,101 ","$125,864 "
829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER PROCEDURE W CC/MCC,12,"$2,721,774 ","$226,815 "
830,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER PROCEDURE W/O CC/MCC,5,"$372,569 ","$74,514 "
834,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,70,"$22,779,631 ","$325,423 "
835,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,15,"$1,637,792 ","$109,186 "
836,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,1,"$42,154 ","$42,154 "
837,CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,24,"$3,728,578 ","$155,357 "
838,CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,33,"$1,917,287 ","$58,100 "
839,CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,48,"$1,982,426 ","$41,301 "
840,LYMPHOMA  NON-ACUTE LEUKEMIA W MCC,52,"$9,201,921 ","$176,960 "
841,LYMPHOMA  NON-ACUTE LEUKEMIA W CC,46,"$3,324,971 ","$72,282 "
842,LYMPHOMA  NON-ACUTE LEUKEMIA W/O CC/MCC,13,"$633,386 ","$48,722 "
843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,11,"$1,361,060 ","$123,733 "
844,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,5,"$244,447 ","$48,889 "
845,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,1,"$41,611 ","$41,611 "
846,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,38,"$2,648,669 ","$69,702 "
847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,261,"$9,970,601 ","$38,202 "
848,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,8,"$321,029 ","$40,129 "
849,RADIOTHERAPY,3,"$282,161 ","$94,054 "
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC,302,"$82,265,070 ","$272,401 "
854,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W CC,110,"$11,807,357 ","$107,340 "
855,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W/O CC/MCC,5,"$770,324 ","$154,065 "
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,55,"$13,968,591 ","$253,974 "
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,93,"$9,436,121 ","$101,464 "
858,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W/O CC/MCC,19,"$1,211,416 ","$63,759 "
862,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W MCC,103,"$7,486,869 ","$72,688 "
863,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC,68,"$2,775,335 ","$40,814 "
864,FEVER AND INFLAMMATORY CONDITIONS,63,"$2,959,251 ","$46,972 "
865,VIRAL ILLNESS W MCC,13,"$1,073,068 ","$82,544 "
866,VIRAL ILLNESS W/O MCC,40,"$2,060,448 ","$51,511 "
867,OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W MCC,15,"$2,768,115 ","$184,541 "
868,OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W CC,13,"$891,612 ","$68,586 "
869,OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W/O CC/MCC,3,"$88,779 ","$29,593 "
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),61,"$16,449,979 ","$269,672 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"1,097","$99,247,734 ","$90,472 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,521,"$22,710,570 ","$43,590 "
876,O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,2,"$170,692 ","$85,346 "
880,ACUTE ADJUSTMENT REACTION  PSYCHOSOCIAL DYSFUNCTION,128,"$4,882,341 ","$38,143 "
881,DEPRESSIVE NEUROSES,99,"$2,098,465 ","$21,197 "
882,NEUROSES EXCEPT DEPRESSIVE,38,"$1,009,692 ","$26,571 "
883,DISORDERS OF PERSONALITY  IMPULSE CONTROL,30,"$1,055,300 ","$35,177 "
884,ORGANIC DISTURBANCES  INTELLECTUAL DISABILITY,67,"$4,715,434 ","$70,380 "
885,PSYCHOSES,536,"$32,628,241 ","$60,874 "
887,OTHER MENTAL DISORDER DIAGNOSES,5,"$210,947 ","$42,189 "
894,ALCOHOL/DRUG ABUSE OR DEPENDENCE LEFT AMA,23,"$535,635 ","$23,288 "
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,32,"$2,434,659 ","$76,083 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,240,"$7,962,595 ","$33,177 "
901,WOUND DEBRIDEMENTS FOR INJURIES W MCC,9,"$2,122,398 ","$235,822 "
902,WOUND DEBRIDEMENTS FOR INJURIES W CC,20,"$2,609,018 ","$130,451 "
903,WOUND DEBRIDEMENTS FOR INJURIES W/O CC/MCC,8,"$618,268 ","$77,284 "
904,SKIN GRAFTS FOR INJURIES W CC/MCC,22,"$4,109,538 ","$186,797 "
905,SKIN GRAFTS FOR INJURIES W/O CC/MCC,7,"$548,959 ","$78,423 "
906,HAND PROCEDURES FOR INJURIES,40,"$3,821,139 ","$95,528 "
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,53,"$10,455,341 ","$197,271 "
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,76,"$7,325,553 ","$96,389 "
909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,34,"$2,002,864 ","$58,908 "
913,TRAUMATIC INJURY W MCC,2,"$296,473 ","$148,237 "
914,TRAUMATIC INJURY W/O MCC,6,"$228,494 ","$38,082 "
915,ALLERGIC REACTIONS W MCC,6,"$324,284 ","$54,047 "
916,ALLERGIC REACTIONS W/O MCC,35,"$872,763 ","$24,936 "
917,POISONING  TOXIC EFFECTS OF DRUGS W MCC,137,"$9,617,409 ","$70,200 "
918,POISONING  TOXIC EFFECTS OF DRUGS W/O MCC,125,"$4,291,942 ","$34,336 "
919,COMPLICATIONS OF TREATMENT W MCC,51,"$5,066,244 ","$99,338 "
920,COMPLICATIONS OF TREATMENT W CC,87,"$5,147,243 ","$59,164 "
921,COMPLICATIONS OF TREATMENT W/O CC/MCC,31,"$886,451 ","$28,595 "
922,OTHER INJURY POISONING  TOXIC EFFECT DIAG W MCC,7,"$951,124 ","$135,875 "
923,OTHER INJURY POISONING  TOXIC EFFECT DIAG W/O MCC,16,"$838,726 ","$52,420 "
927,EXTENSIVE BURNS OR FULL THICKNESS BURNS W MV >96 HRS W SKIN GRAFT,3,"$840,755 ","$280,252 "
928,FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W CC/MCC,21,"$4,392,005 ","$209,143 "
929,FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W/O CC/MCC,14,"$1,487,758 ","$106,268 "
933,EXTENSIVE BURNS OR FULL THICKNESS BURNS W MV >96 HRS W/O SKIN GRAFT,1,"$39,366 ","$39,366 "
934,FULL THICKNESS BURN W/O SKIN GRAFT OR INHAL INJ,7,"$224,460 ","$32,066 "
935,NON-EXTENSIVE BURNS,44,"$1,440,903 ","$32,748 "
939,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC,5,"$1,029,584 ","$205,917 "
940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,16,"$1,411,729 ","$88,233 "
941,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC,16,"$1,452,394 ","$90,775 "
945,REHABILITATION W CC/MCC,36,"$3,016,913 ","$83,803 "
946,REHABILITATION W/O CC/MCC,4,"$135,270 ","$33,818 "
947,SIGNS  SYMPTOMS W MCC,41,"$2,106,788 ","$51,385 "
948,SIGNS  SYMPTOMS W/O MCC,144,"$5,246,166 ","$36,432 "
949,AFTERCARE W CC/MCC,61,"$5,169,347 ","$84,743 "
950,AFTERCARE W/O CC/MCC,10,"$551,736 ","$55,174 "
951,OTHER FACTORS INFLUENCING HEALTH STATUS,13,"$407,451 ","$31,342 "
955,CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA,1,"$56,534 ","$56,534 "
956,LIMB REATTACHMENT HIP  FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA,16,"$3,971,285 ","$248,205 "
957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC,26,"$8,856,066 ","$340,618 "
958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC,25,"$5,163,390 ","$206,536 "
959,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,3,"$366,350 ","$122,117 "
963,OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,5,"$514,563 ","$102,913 "
964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,18,"$911,864 ","$50,659 "
965,OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,5,"$93,520 ","$18,704 "
969,HIV W EXTENSIVE O.R. PROCEDURE W MCC,8,"$1,556,074 ","$194,509 "
970,HIV W EXTENSIVE O.R. PROCEDURE W/O MCC,1,"$276,989 ","$276,989 "
974,HIV W MAJOR RELATED CONDITION W MCC,31,"$4,118,011 ","$132,839 "
975,HIV W MAJOR RELATED CONDITION W CC,25,"$1,372,912 ","$54,916 "
976,HIV W MAJOR RELATED CONDITION W/O CC/MCC,8,"$385,948 ","$48,244 "
977,HIV W OR W/O OTHER RELATED CONDITION,17,"$889,991 ","$52,352 "
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,99,"$22,556,556 ","$227,844 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,129,"$15,069,606 ","$116,819 "
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,34,"$2,539,676 ","$74,696 "
984,PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,1,"$206,505 ","$206,505 "
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,57,"$13,220,207 ","$231,933 "
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,40,"$4,064,850 ","$101,621 "
989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,5,"$208,328 ","$41,666 "
