"The University of Texas MD Anderson Cancer Center
Professional Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
1701,50555,"PR RENAL ENDOSCOPY,BIOPSY","$2,250.00",
1702,50561,"PR RENAL ENDOSCOPY,REMV FB/STONE","$2,247.00",
1703,50590,PR FRAGMENT KIDNEY STONE/ ESWL,"$5,701.00",
1704,50592,PR ABLTJ 1/> RENAL TUMOR PRQ UNI RADIOFREQUENCY,"$3,038.00",
1705,50593,PR ABLATION RENAL TUMOR UNILATERAL PERQ CRYOTHERAPY,"$7,035.14",
1706,50605,PR URETEROTOMY TO INSERT STENT,"$3,668.00",
1707,50606,PR ENDOLUMINAL BX URTR &/RNL PELVIS NONENDOSCOPIC,"$1,383.00",
1708,50650,"PR REMOVAL URETER,BLADDER CUFF","$5,131.00",
1709,50684,"PR INJECT INDWELL CATH,URETER X-RAY",$260.00,
1710,50688,PR CHANGE OF URETEROSTOMY TUBE VIA ILEAL CONDUIT,$500.00,
1711,50690,PR INJECT RETROGRADE/CONDUIT X-RAY,"$1,215.00",
1712,50693,PR PLMT URTRL STENT PRQ PRE-EXISTING NFROS TRACT,"$2,623.19",
1713,50694,PR PLMT URTRL STNT PRQ NEW ACESS W/O SEP NFROS CATH,"$3,069.66",
1714,50705,PR URETERAL EMBOLIZATION/OCCLUSION W/IMG GID RS&I,"$4,471.79",
1715,50706,PR BALLOON DILAT URETERAL STRICTURE W/IMG GID RS&I,"$1,663.00",
1716,50715,"PR RELEASE URETER,RETROPER FIBROSIS","$5,131.00",
1717,50727,PR REVISE URINARY-CUTAN ANAST,"$3,421.00",
1718,50728,PR REVISE URINARY-CUTAN ANAST+REPAIR,"$4,561.00",
1719,50760,PR ANASTOMSIS OF URETER,"$5,986.00",
1720,50770,PR ANASTOMSIS OPPOSITE URETERS,"$6,272.00",
1721,50780,"PR REIMPLANT URETER,SINGLE URETER","$5,986.00",
1722,50783,"PR REIMPLANT URETER,EXTENSIVE TAILORING","$6,842.00",
1723,50785,"PR REIMPLANT URETER,VESICOPSOAS HITCH","$7,484.00",
1724,50800,PR IMPLANT URETER IN BOWEL,"$5,986.00",
1725,50820,"PR URETEROILEAL CONDUIT,W/BOWEL ANASTOMOSIS","$9,122.00",
1726,50825,"PR CONTINENT DIVERSION,W/BOWEL ANASTOMOSIS","$9,978.00",
1727,50830,PR URINARY UN-DIVERSION,"$8,944.00",
1728,50840,"PR REPLACEMENT,URETER,BOWEL SEGMENT","$7,885.00",
1729,50845,PR APPENDICO-VESICOSTOMY,"$6,500.00",
1730,50900,PR REPAIR OF URETER,"$5,131.00",
1731,50947,"PR LAP,REIMPLANT URETER W/CYSTO,STENT","$5,444.00",
1732,50949,"PR UNLISTED LAPAROSCOPY PROCEDURE, URETER (ROBOTIC ASSISTED BILATERAL TOTAL URETERECTOMY)",$2560-$8944,
1733,50951,PR URETER ENDOSCOPY THRU URETEROSTOMY,"$1,078.00",
1734,50953,PR URETER ENDOSCOPY THRU URETEROSTOMY W URETERAL CATH,$986.00,
1735,50961,PR URETER ENDOSCOPY THRU URETEROSTOMY REMV FB OR CALCULUS,"$2,420.00",
1736,51102,PR ASPIRATION BLADDER INSERT SUPRAPUBIC CATHETER,$898.00,
1737,51500,PR REMOVAL URACHAL CYST,"$5,834.00",
1738,51550,"PR PART REMV BLADDER,SIMPLE","$6,283.00",
1739,51555,"PR PART REMV BLADDER,COMPLICATED","$8,078.00",
1740,51565,"PR PART REMV BLADDER,REIMPLNT URETER","$9,873.00",
1741,51590,"PR CYSTECTOMY,ILEAL CONDUIT/SIGMOID BLADDER","$20,464.00",
1742,51595,"PR REMV BLADDER/NODES,ILEAL CONDUIT","$23,516.00",
1743,51596,"PR CYSTECTOMY,W/CONTINENT DIVERSION","$22,439.00",
1744,51597,"PR PELVIC EXENTERATION COMPLETE, OTHER MALIG","$25,580.00",
1745,51600,PR INJECTION FOR BLADDER X-RAY,"$1,200.00",
1746,51610,PR INJECT FOR RETROGRADE URETHOCYSTO,"$1,251.00",
1747,51700,PR IRRIGATION OF BLADDER,$382.00,
1748,51701,"PR INSERT,NON-INDWELLING BLADDER CATHETER",$200.00,
1749,51702,"PR INSERT,TEMP INDWELLING BLAD CATH,SIMPLE",$254.00,
1750,51703,"PR INSERT,TEMP INDWELLING BLAD CATH,COMP",$331.00,
1751,51705,"PR CHANGE OF BLADDER TUBE,SIMPLE",$395.00,
1752,51710,"PR CHANGE OF BLADDER TUBE,COMPLICATED","$1,189.00",
1753,51715,PR ENDOSCOPIC INJECTION/IMPLANT,"$2,154.00",
1754,51720,PR INSTILL ANTICANCER AGENT IN BLADDER,$696.00,
1755,51726,PR COMPLEX CYSTOMETROGRAM,$661.00,
1756,51728,PR COMPLEX CYSTOMETROGRAM VOIDING PRESSURE STUDIES,$904.00,
1757,51736,PR SIMPLE UROFLOWMETRY,$160.00,
1758,51741,PR COMPLEX UROFLOWMETRY,$267.00,
1759,51784,PR ANAL/URINARY MUSCLE STUDY,$600.00,
1760,51785,"PR ANAL/URINARY MUSCLE STUDY,NEEDLE",$549.00,
1761,51797,PR VOIDING PRESS STUDY INTRA-ABDOMINAL VOID,$938.00,
1762,51798,"PR MEAS,POST-VOID RES,US,NON-IMAGING",$425.98,
1763,51800,PR REVISION OF BLADDER/URETHRA,"$5,581.00",
1764,51860,"PR REPAIR BLADDER WOUND/INJ,SIMPLE","$3,906.00",
1765,51865,"PR REPAIR BLADDER WOUND/INJ,COMPLIC","$5,022.00",
1766,51880,PR CLOSE CYSTOSTOMY,"$2,512.00",
1767,51960,"PR ENTEROCYSTOPLASTY,W/BOWEL ANASTOMOSIS","$8,928.00",
1768,51999,PB UNLISTED LAPAROSCOPY PROCEDURE BLADDER ,$2866-$33254,
1769,52000,PR CYSTOURETHROSCOPY,$626.00,
1770,52001,PR CYSTOURETHROSCOPY W/IRRIG & EVAC CLOTS,"$1,032.00",
1771,52005,"PR CYSTOURETHROSCOPY,URETER CATHETER","$1,005.00",
1772,52007,"PR CYSTOURETHROSCOPY,URETERAL BIOPSY","$1,478.00",
1773,52204,"PR CYSTOURETHROSCOPY,BIOPSY",$993.00,
1774,52214,"PR CYSTOURETHROSCOPY,FULGURATN","$1,520.00",
1775,52224,"PR CYSTOURETHROSCOPY,FULGUR <0.5 CM LESN","$1,376.00",
1776,52234,"PR CYSTOURETHROSCOPY,FULGUR 0.5-2 CM LESN","$1,681.00",
1777,52235,"PR CYSTOURETHROSCOPY,FULGUR 2-5 CM LESN","$2,614.00",
1778,52240,"PR CYSTOURETHROSCOPY,FULGUR >5 CM LESN","$3,658.00",
1779,52260,"PR CYSTOSCOPY,DIL BLADDER,GEN ANESTH",$941.00,
1780,52276,"PR CYSTOSCOPY,DIR VIS INT URETHROTOMY","$1,933.00",
1781,52281,"PR CYSTOSCOPY,DIL URETHRAL STRICTURE","$1,252.00",
1782,52287,PR CYSTOURETHROSCOPY INJ CHEMODENERVATION BLADDER,"$1,288.00",
1783,52310,"PR CYSTOSCOPY,REMV CALCULUS,SIMPLE","$1,461.00",
1784,52315,"PR CYSTOSCOPY,REMV CALCULUS,COMPLIC","$1,833.00",
1785,52317,"PR REMOVE BLADDER STONE,<2.5 CM","$2,866.00",
1786,52318,"PR REMOVE BLADDER STONE,>2.5 CM","$2,875.00",
1787,52332,"PR CYSTOSCOPY,INSERT URETERAL STENT","$2,560.00",
1788,52334,"PR CYSTOSCOPY,GUIDE,PERCUT NEPHROS","$1,134.00",
1789,52341,"PR CYSTOSCOPY,TX URETERAL STRICTURE","$2,098.00",
1790,52344,"PR CYSTO/URETEROSCOPY,TX URETER STRICT","$2,304.00",
1791,52351,"PR CYSTO/URETERO/PYELOSCOPY, DX","$2,304.00",
1792,52352,"PR CYSTO/URETERO/PYELOSCOPY, CALCULUS TX","$4,093.00",
1793,52353,PR CYSTO/URETERO/PYELOSCOPY W/LITHOTRIPSY,"$4,826.52",
1794,52354,"PR CYSTO/URETERO/PYELOSC,BX &/OR FULG LESN","$2,763.00",
1795,52355,"PR CYSTO/URETERO/PYELOSCOPY,W/RESECT TUMOR","$3,275.00",
1796,52356,PR CYSTO/URETERO W/LITHOTRIPSY &INDWELL STENT INSRT,"$3,383.00",
1797,52450,PR TRANSURETHRAL INCISION OF PROSTATE,"$1,406.00",
1798,52500,PR TRANSURETHRAL RESEC BLADDER NECK,"$2,383.00",
1799,52601,PR TRANSURETHRAL ELEC-SURG PROSTATECTOM,"$3,956.00",
1800,52630,"PR REMV RESID OBSTRUC PROSTATE,>1 YR","$4,289.00",
1801,52640,PR RELIEVE POSTOP BLADDER CONTRACTURE,"$2,288.00",
1802,52648,"PR LASER VAPORIZATION SURGERY PROSTATE, COMPLETE","$4,317.00",
1803,53200,PR BIOPSY OF URETHRA,$834.00,
1804,53215,"PR REMOVAL OF URETHRA,MALE","$6,671.00",
1805,53220,PR EXCIS CANCER URETHRA,"$4,170.00",
1806,53235,"PR EXCIS URETHRAL TIC,MALE","$5,003.00",
1807,53260,PR EXCIS URETHRAL POLYP(S),$801.00,
1808,53440,"PR SLING OPERATION,CORRECTION,MALE INCONT","$7,505.00",
1809,53444,PR INSERTION TANDEM CUFF (DUAL),"$5,726.00",
1810,53445,"PR INSERT,INFLATABLE SPHINCTER","$7,900.00",
1811,53446,"PR REMOVAL,INFLATABLE SPHINCTER","$5,507.00",
1812,53447,"PR REMOVAL & REPLACE,INFLATABLE SPHINCTER","$5,837.00",
1813,53448,"PR REMOV & REPLACE INFLAT SPHINCTER,INFECT","$8,501.00",
1814,53510,"PR REPAIR URETHRA INJ,PENILE,PERINEAL","$4,548.00",
1815,53600,"PR DIL URETHRA STRIC,MALE,INITIAL",$438.00,
1816,53661,"PR DIL URETHRA,FEMALE,SUBSEQUENT",$367.00,
1817,53899,PB UNLISTED LAPAROSCOPY PROCEDURE BLADDER ,$1478-$6500,
1818,54001,PR SLITTING OF PREPUCE,$718.00,
1819,54050,"PR DESTR PENIS LESN,SIMPL,CHEMICAL",$350.00,
1820,54056,"PR DESTR PENIS LESN,SIMPL,CRYOSURG",$382.00,
1821,54057,"PR DESTR PENIS LESN,SIMPL,LASER SURG","$1,221.00",
1822,54060,"PR DESTR PENIS LESN,SIMPL,SURG EXCIS",$794.00,
1823,54065,"PR DESTR PENIS LESN,EXTENSIVE","$1,649.00",
1824,54100,"PR BX,PENIS (SEPARATE PROCEDURE)",$525.00,
1825,54105,"PR BIOPSY OF PENIS,DEEP STRUCT",$886.00,
1826,54110,PR EXCIS PENILE PLAQUE,"$2,564.00",
1827,54111,"PR EXCIS PENILE PLAQUE,GRAFT <5 CM","$3,785.00",
1828,54112,"PR EXCIS PENILE PLAQUE,GRAFT >5 CM","$5,006.00",
1829,54120,"PR REMOVAL PENIS,PARTIAL","$3,053.00",
1830,54125,"PR REMOVAL PENIS,TOTAL","$4,115.00",
1831,54130,"PR REMOVAL PENIS,RADICAL+NODES","$7,326.00",
1832,54135,"PR REMOVAL PENIS,RAD+EXTENSV NODES","$9,158.00",
1833,54150,"PR CIRCUMCISION,CLAMP,NEWBORN",$808.00,
1834,54161,"PR CIRCUMCISION,OTHR","$1,808.00",
1835,54200,PR INJECT PROC PENILE PLAQUE,$324.00,
1836,54235,"PR INJECT CORPORA CAVERN,PHARM AGNT",$438.00,
1837,54300,PR STRAIGHTEN PENIS,"$3,384.00",
1838,54360,"PR PENIS PLASTIC SURG,CORRECT ANGULATN","$4,416.00",
1839,54401,PR INSERT SELF-CONTD PENILE PROSTHESIS,"$4,500.00",
1840,54405,"PR INSERT,INFLATABLE PENILE PROSTHESIS","$4,916.00",
1841,54406,"PR REMVL,INFLAT PENILE PROSTH W/O REPLACMT","$3,627.00",
1842,54410,"PR REPLACE,INFLATABLE PENILE PROSTHESIS","$4,029.00",
1843,54411,"PR REPLACE,INFLAT PENILE PROSTH,INFECTED","$5,597.00",
1844,54416,"PR REPLACE,PENILE PROSTHESIS","$3,152.99",
1845,54450,PR PREPUTIAL STRETCHING,$325.00,
1846,54500,"PR BIOPSY OF TESTIS,NEEDLE",$413.00,
1847,54520,"PR REMOVAL TESTIS,SIMPLE","$2,405.00",
1848,54530,"PR REMOVAL TESTIS,RADICAL","$3,362.00",
1849,54535,"PR REMOVAL TESTIS,RADICAL+ABD EXPLOR","$3,917.00",
1850,54620,PR FIXATN OF TESTIS OPP TORSN,"$1,564.00",
1851,54640,"PR ORCHIOPEXY,INGUNIAL APPROACH","$3,917.00",
1852,54650,"PR ORCHIOPEXY,ABD APPRCH,ABD TESTIS","$4,192.00",
1853,54660,PR INSERT TESTICULAR PROSTHESIS,"$1,375.00",
1854,54690,"PR LAP,ORCHIECTOMY","$3,917.00",
1855,54860,"PR REMOVAL OF EPIDIDYMIS,UNILAT","$2,400.00",
1856,55000,"PR DRAINAGE OF HYDROCELE,TUNICA",$526.00,
1857,55040,"PR REMOVAL OF HYDROCELE,TUNICA,UNILAT","$2,749.00",
1858,55041,"PR REMOVAL OF HYDROCELE,TUNICA,BILAT","$3,835.00",
1859,55060,"PR REPAIR OF HYDROCELE,TUNICA","$2,062.00",
1860,55110,PR EXPLORE SCROTUM,"$2,062.00",
1861,55150,PR REMOVAL OF SCROTUM,"$3,436.00",
1862,55175,"PR REVISION OF SCROTUM,SIMPLE","$2,749.00",
1863,55500,"PR REMV HYDROCELE,SPERM CORD,UNILAT","$1,545.00",
1864,55520,PR REMOVAL OF SPERM CORD LESION,"$1,655.00",
1865,55650,PR EXCISE DEMINAL VESICLE,"$4,179.00",
1866,55700,"PR BIOPSY OF PROSTATE,NEEDLE/PUNCH",$710.00,
1867,55706,"PR BIOPSY OF PROSTATE,NEEDLE,TRANSPERINEAL","$2,635.00",
1868,55821,"PR REMV PROSTATE,SUPRAPUBIC,SUBTOTAL","$4,923.69",
1869,55840,"PR REMV PROSTATE,RETROPUB,RADICAL","$6,964.00",
1870,55842,"PR REMV PROSTATE,RETROPUB,RAD,LTD NODES","$6,571.00",
1871,55845,"PR REMV PROSTATE,RETROPUB,RAD,TOT NODES","$8,593.00",
1872,55866,"PR LAP,PROSTATECTOMY,RADICAL,W/NERVE SPARE,INCL ROBOTIC","$9,921.00",
1873,55873,PR CRYOSURG ABLATION OF PROSTATE,"$6,100.00",
1874,55874,PR TRANSPERINEAL PLMT BIODEGRADABLE MATRL 1/MLT NJX,"$1,363.00",
1875,55875,"PR PERCUT/NEEDLE INSERT,PROSTATE,RADIOISOT","$3,474.00",
1876,55876,"PR PLACE RADIOTHER DEVICE/MARKER, PROSTATE","$1,015.00",
1877,55899,PB UNLISTED PROCEDURE MALE GENITAL SYSTEM ,$710-$8358,
1878,55920,PR PLACEMENT NEEDLE PELVIC ORGAN RADIOELEMENT APPL,"$3,562.00",
1879,56420,PR I&D BARTHOLIN GLAND ABSCESS,$694.00,
1880,56501,"PR DESTRUCTION,LESION(S),VULVA,SIMPLE",$643.00,
1881,56515,"PR DESTRUCTION,LESION(S),VULVA;EXTENSIVE","$1,591.00",
1882,56605,"PR BIOPSY VULVA/PERINEUM,ONE LESN",$400.00,
1883,56606,"PR BX,VULVA/PERINEUM,ADDL LESION",$234.00,
1884,56620,PR PART SIMPLE REMV VULVA,"$3,182.00",
1885,56630,"PR VULVA RESECT,RADICAL,PARTIAL","$5,485.00",
1886,56631,"PR VULVA RESECT,RAD,PART,UNI NODES","$6,856.00",
1887,56632,"PR VULVA RESECT,RAD,PART,BILAT NODES","$8,228.00",
1888,56820,"PR COLPOSCOPY,VULVA",$528.00,
1889,56821,"PR COLPOSCOPY,VULVA,W/BIOPSY(S)",$792.00,
1890,57000,PR EXPLORATION OF VAGINA,"$1,494.00",
1891,57061,"PR DESTRUCT,VAGINAL LESION(S),SIMPLE",$897.00,
1892,57065,"PR DESTRUCT,VAGINAL LESION(S),EXTENSIVE","$1,793.00",
1893,57100,"PR BIOPSY OF VAGINA,SIMPLE",$534.00,
1894,57105,"PR BIOPSY OF VAGINA,EXTENSIVE","$1,536.00",
1895,57106,"PR REMOVE VAGINA WALL, PARTIAL","$3,108.00",
1896,57107,PR REMOVE VAGINA TISSUE/PARTIAL,"$5,439.00",
1897,57120,PR CLOSURE OF VAGINA,"$3,466.00",
1898,57130,PR EXCIS VAGINAL SEPTUM,"$1,554.00",
1899,57135,PR EXCIS VAGINAL CYST/TUMOR,"$1,195.00",
1900,57155,PR INSERTION UTERINE TANDEM&/VAGINAL OVOIDS,"$3,018.00",
1901,57160,PR FIT/INSERT INTRAVAG SUPPORT DEVICE,$246.00,
1902,57180,PR TREAT VAGINAL BLEEDING,$538.00,
1903,57200,"PR COLPORRHAPHY, SUTURE VAGINAL INJURY, NON-OB","$1,759.00",
1904,57240,PR ANTERIOR COLPORRAPHY RPR CYSTOCELE W/CYSTO,"$2,638.00",
1905,57267,PR INSERT MESH/PELVIC FLR ADDON,"$1,948.00",
1906,57270,"PR REPAIR ENTEROCELE,ABD APPRCH","$3,276.00",
1907,57284,PR PARAVAGINAL DEFECT REPAIR OPEN ABDOMINAL APPROACH,"$4,337.00",
1908,57287,PR REMV/REVS SLING FOR STRES INCONTINENCE,"$3,866.00",
1909,57288,PR SLING OPER STRES INCONTINENCE,"$4,514.00",
1910,57320,"PR CLOSE BLAD-VAG FISTULA,VAG APPRCH","$4,250.00",
1911,57410,PR PELVIC EXAMINATION W ANESTH,$558.00,
1912,57415,PR REMOVAL VAGINAL FOR.BODY W ANESTH,$690.00,
1913,57420,"PR COLPOSCOPY,ENTIRE VAGINA",$509.00,
1914,57421,"PR COLPOSCOPY,ENTIRE VAGINA,W/BIOPSY(S)",$761.00,
1915,57423,PR PARAVAGINAL DEFECT REPAIR LAPAROSCOPIC APPROACH,"$6,857.00",
1916,57452,"PR COLPOSCOPY,CERVIX W/ADJ VAGINA",$461.00,
1917,57454,"PR COLPOSC,CERVIX W/ADJ VAG,W/BX & CURRETAG",$660.00,
1918,57455,"PR COLPOSCOPY,CERVIX W/ADJ VAGINA,W/BX",$412.00,
1919,57456,"PR COLPOSCOPY,CERVIX W/ADJ VAGINA, CURETTAG",$378.00,
1920,57460,"PR COLPOSCOPY,CERVIX W/ADJ VAG,W/LOOP BX","$1,641.00",
1921,57461,"PR COLPOSCOPY,CERVIX W/ADJ VAG,W/LOOP CONIZ","$1,798.00",
1922,57500,"PR BIOPSY CERVIX, 1 OR MORE, OR EXCISION OF LESION",$486.00,
1923,57505,PR ENDOCERVICAL CURETTAGE,$381.00,
1924,57520,"PR CONIZATION CERVIX,KNIFE/LASER","$1,825.00",
1925,57522,"PR CONIZATION CERVIX,LOOP ELECTRD","$1,825.00",
1926,57530,PR REMOVAL OF CERVIX,"$1,445.00",
1927,57800,PR DILATION OF CERVICAL CANAL,$373.00,
1928,58100,PR BIOPSY OF UTERUS LINING,$402.00,
1929,58110,PR ENDOMET BIOPSY DONE W/COLPOSCOPY,$347.00,
1930,58120,"PR DILATION/CURETTAGE,DIAGNOSTIC","$1,149.00",
1931,58140,"PR MYOMECTOMY 1-4,W/TOT 250GMS/<,ABD APPRCH","$4,654.00",
1932,58150,PR TOTAL ABDOM HYSTERECTOMY,"$4,868.00",
1933,58180,PR SUPRACERV ABD HYSTERECTOMY,"$4,494.00",
1934,58200,PR TOTAL ABD HYSTEREC+LTD NODES,"$6,715.00",
1935,58210,PR RADICAL ABD HYSTEREC+PELV NODES,"$9,487.00",
1936,58240,"PR PELVIC EXENTERATN,GYN MALIGNANCY","$10,485.00",
1937,58262,"PR VAG HYST,RMV TUBE/OVARY","$5,043.00",
1938,58300,PR INSERT INTRAUTERINE DEVICE,$567.00,
1939,58301,PR REMOVE INTRAUTERINE DEVICE,$308.00,
1940,58542,"PR LAP, SUPRACERVIAL HYSTERECTOMY W/ TUBE&OV, <250G","$7,623.00",
1941,58548,"PR LAP, RADICAL HYST W/ TUBE&OV, NODE BX","$13,493.00",
1942,58558,"PR HYSTEROSCOPY,W/ENDO BX","$2,849.00",
1943,58563,"PR HYSTEROSCOPY,W/ENDOMETRIAL ABLATION","$4,850.00",
1944,58570,PR LAPAROSCOPY W TOT HYSTERECT UTERUS 250 GRAM OR LESS,"$6,750.00",
1945,58571,PR LAPAROSCOPY W TOT HYSTERECTUTERUS <=250 GRAM  W TUBE/OVARY,"$7,525.00",
1946,58572,PR LAPAROSCOPY TOTAL HYSTERECTOMY UTERUS > 250 GRAM,"$8,554.00",
1947,58573,PR LAPAROSCOPY TOT HYSTERECTOMY UTERUS >250 GRAM W TUBE/OVARY,"$9,848.00",
1948,58578,PB UNLISTED  LAPAROSCOPY PROCEDURE UTERUS,$1445-$15584,
1949,58661,"PR LAP,RMV  ADNEXAL STRUCTURE","$3,524.00",
1950,58662,"PR LAP,FULGURATE/EXCISE LESIONS","$4,027.00",
1951,58679,"PR UNLISTED LAPAROSCOPY PROCEDURE, OVIDUCT, OVARY (LAPAROSCOPIC BILATERAL OVARIAN TRANSPOSITION)",$3864-$9472,
1952,58700,PR REMOVAL OF FALLOPIAN TUBE,"$3,796.00",
1953,58720,PR REMOVAL OF OVARY/TUBE(S),"$3,449.00",
1954,58925,PR REMOVAL OF OVARIAN CYST(S),"$4,186.00",
1955,58940,PR REMOVAL OF OVARY(S),"$4,186.00",
1956,58943,"PR OOPHORECTORMY FOR MALIG, W/BX","$6,890.00",
1957,58950,PR RESEC OVAR MALIG+BILAT OVAR+OMENTUM,"$6,440.00",
1958,58951,PR RESEC OVAR MALIG+TAH+PELV NODES,"$10,239.00",
1959,58952,PR OOPH W/RADIC DISSECT FOR DEBULKING,"$12,428.00",
1960,58953,"PR BIL SALP-OOPH W/OMENTECT,TAH,RAD DISSECT","$15,584.00",
1961,58954,"PR BIL SAL-OOPH W/OMENTECT,TAH,RAD DIS,LYMP","$16,935.00",
1962,58956,"PR BSO, OMENTECTOMY W/TAH","$9,472.00",
1963,58957,PR RESECT RECURRENT GYN MALIG,"$11,180.00",
1964,58958,PR RESECT RECURRENT GYN MALIG W/ NODES,"$12,467.00",
1965,58999,PB UNLISTED PX FEMALE GENITAL SYSTEM NONOBSTETRICAL,$923-$5528,
1966,59840,PR INDUCED ABORTN BY D&C,"$1,851.00",
1967,59841,PR INDUCED ABORTN BY DIL/EVAC,"$1,967.00",
1968,60000,"PR I&D,THYROGLOSSAL CYST,INFECTED",$419.00,
1969,60100,"PR BIOPSY OF THYROID,PERCUT",$535.00,
1970,60200,PR REMOVE BENIGN THYROID LESION,"$3,395.00",
1971,60210,"PR PARTIAL EXCISION THYROID,UNILAT",$4630-$6019,
1972,60220,"PR THYROID LOBECTOMY,UNILAT",$4506-$5858,
1973,60240,PR THYROIDECTOMY,$5405-$7223,
1974,60252,"PR THYROIDECTOMY,MALIG,LTD NECK SURG","$7,909.00",
1975,60260,PR THYROIDECTOMY POST PREV THYR SURG,$6562-$6660,
1976,60270,"PR THYROIDECTOMY,SUBSTERNAL,TRANSTHOR APP","$8,337.00",
1977,60271,"PR THYROIDECTOMY=SUBSTERNAL,TRANSCERV","$6,332.00",
1978,60280,PR EXCIS THYROID DUCT CYST/SINUS,"$3,703.00",
1979,60500,PR EXPLORE PARATHYROID GLANDS,"$5,962.00",
1980,60502,PR RE-EXPLORE PARATHYROIDS,"$6,234.00",
1981,60512,"PR AUTOTRANSPLANT, PARATHYROID","$1,592.00",
1982,60520,"PR THYMECTOMY,TRANSCERVICAL","$6,358.00",
1983,60521,"PR THYMECTOMY,TRANSTHORACIC","$6,481.00",
1984,60522,"PR THYMECTOMY,RADICAL MEDIAST DISSSEC","$9,141.00",
1985,60540,PR EXCISE ADRENAL GLAND,"$6,018.00",
1986,60545,PR EXCISE ADRENAL+ADJ RETROPER TUMOR,"$7,716.00",
1987,60600,PR EXCISE CAROTID BODY LESION,"$6,172.00",
1988,60605,PR EXCISE CAROTID BODY+CAROTID ARTERY,"$7,341.88",
1989,60650,"PR LAP,ADRENALECTOMY",$6018-$7823,
1990,60699,PB UNLISTED PROCEDURE ENDOCRINE SYSTEM,$535-$4481,
1991,61020,PR VENTRICULAR PUCTURE,$811.00,
1992,61026,"PR VENTRICULAR PUNCTURE,PREV BURR HOLE",$811.00,
1993,61055,PR CISTERNAL/LATERAL C1-C2 PUNCTURE W/INJECTION,"$1,016.00",
1994,61070,PR BRAIN SHUNT TUBE/RESERV INJECTN,"$1,251.53",
1995,61108,PR TWIST DRILL HOLE SKULL FOR DRAINAGE,"$5,887.00",
1996,61140,PR BURR HOLE FOR BIOPSY,"$6,475.00",
1997,61154,PR BURR HOLE EVAC SUBDUR/EXTRA HEMATOMA,"$7,996.00",
1998,61210,PR BURR HOLE IMPLANT CATH/DEVICE,"$4,174.00",
1999,61215,PR INSERT SUBCUT RESERV/PUMP/DEV,"$3,827.00",
2000,61250,"PR BURR HOLE SUPRATENTOR, EXPLORE","$3,827.00",
2001,61304,PR OPEN SKULL SUPRATENT EXPLORE,"$9,919.00",
2002,61312,"PR OPEN SKULL EVAC HEMATOMA, SUPRATENTORIAL, SUB/ EXTRADURAL","$10,821.00",
2003,61313,"PR OPEN SKULL EVAC HEMATOMA, SUPRATENTORIAL, INTRACEREBRAL","$10,597.00",
2004,61314,"PR OPEN SKULL EVAC HEMATOMA, INFRATENTORIAL, SUB/ EXTRADURAL","$10,138.00",
2005,61315,"PR OPEN SKULL EVAC HEMATOMA, INFRATENTORIAL, INTRACEREBELLAR","$10,008.00",
2006,61320,PR OPEN SKULL DRAIN SUPRATENT ABSC,"$10,302.00",
2007,61333,PR EXPLORE/REMOVE ORBIT LESION,"$8,948.00",
2008,61458,PR CRANIECT EXPL/DECOM CRANIAL NER,"$11,832.00",
2009,61500,PR CRANIECT EXCIS SKULL BONE LESN,"$11,190.00",
2010,61501,PR CRANIECT EXCIS INFECT BONE,"$7,694.00",
2011,61510,PR EXCIS SUPRATENT BRAIN TUMOR,"$13,245.00",
2012,61512,PR EXCIS SUPRATENT MENINGIOMA,"$16,202.00",
2013,61516,PR EXCIS SUPRATENT BRAIN CYST,"$11,185.00",
2014,61518,PR EXCIS INFRATENT BRAIN TUMOR,"$13,245.00",
2015,61519,PR EXCIS INFRATENT MENINGIOMA,"$14,007.00",
2016,61520,PR EXCIS INFRATENT CP ANGLE TUMOR,"$15,463.00",
2017,61521,PR EXCIS INFRATENT MIDLINE TUMOR,"$23,358.00",
2018,61524,PR EXCIS INFRATENT BRAIN CYST,"$11,185.00",
