DESCRIPTION,,PRICE
BONE SURVEY OSSEOUS COMPL RDG,,$455.00
BONE SURVEY OSSEOUS INFANT RDG,,$291.00
BONE DENSITY SCAN AXIAL,,$875.00
BONE DENSISTY SCAN PERIPH NUC,,$164.00
SINUS/JUGULAR VENOGRAM NIR,,"$3,145.00"
SUPER SAGG SINUS VENOGRAM NIR,,"$2,716.00"
EPIDURAL VENOGRAM NIR,,"$1,855.00"
TRANSCATH EMBOLIZATION NIR,,"$10,671.00"
FLUOROSCOPY MAX 1 HOUR NIR,,"$1,157.00"
"CT COLONOGRAPHY, SCREEN",,"$1,621.00"
"CT COLONOGRAPHY, W/O DYE",,"$1,621.00"
"CT COLONOGRAPHY, W/DYE",,"$1,621.00"
FLUOROSCOPY 1ST HOUR,,"$1,157.00"
THROACIC SPINE 4 VIEW RDG,,"$1,196.00"
MANUAL APPL STRESS PFRMD PHYS/QHP JOINT FILMS,,$437.00
"Peritoneogram, radiological supervision and interp",,$911.00
"Urethrocystography, retrograde, radiological super",,"$2,150.00"
"Urethrocystography, voiding, radiological supervis",,"$1,646.00"
"Radiologic examination, renal cyst study",,$927.00
"Adrenal, Bilateral",,"$4,471.00"
Shuntogram for investigation,,$862.00
MECHANICAL REMOVAL OF INTRALUMINAL (INTRACATHETER),,"$1,027.00"
"Transcatheter biopsy, radiological supervision and",,"$3,058.00"
Change of Percutaneous tube or drainage catheter w,,"$2,270.00"
Radiological guidance for percutaneous drainage,,"$3,905.00"
"Abscess, fistula, sinus tract study",,$874.00
"ULTRASOUND GUIDANCE FOR, AND MONITORING OF, PARENC",,$912.00
"Intravascular Stent, perc, initial vessel",,"$11,876.00"
"Intravascular Stent, perc, ea add'l vessel",,"$11,316.00"
FLUROSCOPY PROCEDURE,,$524.00
XR T-L SPINE 2 OR 3 VIEWS,,$645.00
XR T-L SPINE INCL SKULL 1 VIEW,,$388.00
XR T-L SPINE 4 OR 5 VIEWS,,"$1,228.00"
XR T-L SPINE INCL SKLL 6+ VIEW,,"$1,228.00"
XR HIP UNILAT W/PELVIS 1 VIEW,,$280.00
XR HIP UNILAT W/PELVIS 2-3 VW,,$280.00
XR HIP UNILAT W/PELVIS 4+ VW,,$465.00
XR HIP BILAT W/PELVIS 2 VIEWS,,$465.00
XR HIP BILAT W/PELVIS 3-4 VIEW,,$465.00
XR HIP BILAT W/PELVIS 5+ VIEWS,,$886.00
XR FEMUR 1 VIEW,,$300.00
XR FEMUR MIN 2 VIEWS,,$300.00
RADIOGRAPHIC PROCEDURE,,$149.00
FLUORO ADDITIONAL HOUR,," $1,157.00 "
SHOULDER ARTHROGRAPHY RDG,,"$1,216.00"
THORACIC ARCH ANGIO SPN,,"$5,669.00"
AORTOGRAM ABD CATHETER SPV,,"$5,623.00"
AORTOGRAPHY BILAT LOWER,,"$6,944.00"
ANGIO SPINAL SELECTIVE SPN,,"$9,955.00"
ANGIO EXTREMITY UNILAT SPV,,"$7,076.00"
ANGIO EXTREMITY BILAT SPV,,"$7,430.00"
ANGIO VISCERAL,,"$8,171.00"
ANGIO ADRENAL UNILAT SPV,,"$4,204.00"
ANGIO PELVIC SELECTIVE SPV,,"$6,403.00"
ANGIO PULMONARY UNILAT SPV,,"$4,368.00"
ANGIO PULMONARY BILATERAL SPV,,"$4,417.00"
ANGIO SELECTIVE ADD'L VESS SPV,,"$3,302.00"
ANGIO W/EXIST CATH FU STDY SPV,,"$2,531.00"
ANGIO SPINAL SELECTIVE NIR,,"$9,955.00"
INJECT: ILLIAC ANGIO,,"$7,430.00"
"TRANSCATHETER RETRIEVAL,PERCUTANEOUS OF INTRAVAS F",,"$28,818.00"
CHEST X-RAY,,$623.00
CHEST X-RAY 1 VIEW RDG,,$623.00
LINE PLACEMENT-CHEST,,$623.00
CHEST 2 VIEW(PA & LATERAL) RDG,,$653.00
CHEST 2VIEW W/APICAL LORDO RDG,,$672.00
CHEST X-RAY 4+VIEW RDG,,$723.00
CHEST X-RAY 3VW DECUBITUS RDG,,$689.00
IV CHEMO PUSH-EA ADDTL MED,,$357.00
IV CHEMO PUSH-1ST MED INITL1VS,,$620.00
IV CHEMO PUSH1ST MED DUR INFUS,,$357.00
IV CHEMO PUSH-1 MED DUR INFUS,,$357.00
INJECT CHEMO-IM/SQ NON HORMONA,,$370.00
INJECT CHEMO-IM/SQ HORMONAL,,$462.00
SIMULATION-SIMPLE,,"$1,408.00"
SIMULATION-INTERMEDIAT,,"$1,894.00"
SIMULATION-COMPLEX,,"$2,546.00"
3D RADIOTHERAPY PLAN W/ VOL HISTO,,"$9,251.00"
CENTRAL AXIS CALCULATION,,$685.00
IMRT,,"$5,273.00"
TELETHER PLAN SPECIAL,,"$1,459.00"
TLD/MICRODOSIMETRY,,$665.00
BLOCK SIMPLE,,$765.00
BOLUS SIMPLE,,$765.00
BLOCK INTERMED,,"$1,056.00"
BOLUS INTER.,,"$1,056.00"
Device complex,,"$1,113.00"
COMPENSATOR FILTER,,"$1,113.00"
POSITIONING MOLD,,"$1,113.00"
CONTINUING PHYSICS/WK,,$720.00
SPEC MEDICAL PHYSICS CONSULT,,$855.00
"RAD DELIVERY, SUPERF &/OR ORTHOVOLT, PER DAY",,$899.00
TELETHER PLAN SIMPLE,,$892.00
TELETHER PLAN COMPLEX,,"$1,495.00"
BRACHYTHER PLAN COMPLEX,,"$1,572.00"
"RAD TX DEL >= 1 MEV, INTERMED",,"$1,214.00"
"RAD TX DEL >= 1 MEV, COMPLEX",,"$1,325.00"
IMRT TX DELIVERY SIMPLE,,"$3,342.00"
IMRT TX DELIVERY COMPLEX,,"$3,342.00"
GUIDANCE FOR RADIATION TX DLVR,,$752.00
PORT IMAGE(S),,$472.00
"RAD TX DEL >= 1 MEV, SIMPLE",,$899.00
SPECIAL TREATMENT,,"$4,953.00"
INTRACAVITARY COMPLEX,,"$2,833.00"
IMRT TREATMENT DEVICE,,$505.00
Cranial Only X 1,,"$8,000.00"
Robt Lin-Radsurg Fract 1-5,,"$5,291.00"
CBCT INFUSION RADIOACTIVE MAT,,"$1,094.00"
INS VAG BRACHYTX DEVICE,,"$1,138.00"
RESP MOTION MGMT SIM,,$874.00
IV CHEMO INTO CNS W/SPINAL PUN,,"$1,005.00"
"CHEMO TX ADMN IV NFS TQ UP 1 HR, SNG OR 1ST SBST/D",,$906.00
IV CHEMO INF PROLONGED GTR8HRS,,"$1,005.00"
IV CHEMO INF MED EA ADDTL HR,,$252.00
IV CHEMO INF EA NEW MED 16-90,,$395.00
IV CHEM INF PROLONG GTR 8HR PU,,"$1,005.00"
NUCLEARRX INTRA-ARTICULAR NUC,,"$1,139.00"
NM GASTRIC EMPTYING IMG STD,,$832.00
THYROID CA/METS IMAGE WHOL NUC,,"$1,645.00"
THYROID CARCINOMA METATASES UP,,"$1,093.00"
PARATHYROID SCAN NUC,,"$1,885.00"
ADRENAL SCAN CORTX&/MEDU NUC,,"$12,363.00"
BONE MARROW LIMITED NUC,,"$1,469.00"
BONE MARROW WHOLE BODY NUC,,"$1,469.00"
RBC LABELED SEQ LIVER NUC,,"$1,312.00"
SPLEEN SCAN W/ W/O FLOW NUC,,"$1,410.00"
LYMPHOSCINTIGRAPHY NUC,,"$1,645.00"
LIVER IMAGING SPECT NUC,,"$1,469.00"
LIVER & SPLEEN IMAGING STATIC,,"$1,469.00"
LIVER/SPLEEN W/VASCU FLOW NUC,,"$1,469.00"
GI REFLUX NUC,,"$2,128.00"
GASTRIC EMPTYING NUC,,"$2,869.00"
ACUTE GI BLEEDING IMAGING NUC,,"$2,301.00"
BOWEL IMAGING MECKLES SCAN NUC,,"$2,213.00"
SHUNT PATENCY LEVEEN/DENV  NUC,,"$2,255.00"
BONE IMAGING LIMITED NUC,,"$1,496.00"
BONE IMAGING WHOLE BODY NUC,,"$2,765.00"
BONE IMAGING 3 PHASE STUDY NUC,,"$2,765.00"
BONE SPECT (TOMOGRAPHIC) NUC,,"$2,196.00"
CERETEC VASCULAR FLOW IMAGING,,"$1,584.00"
CARDIAC SCAN THALLIUM (PLANAR),,"$5,102.00"
CARDIAC PERFUSION SINGLE NUC,,"$6,142.00"
CARDIAC SCAN,,"$8,323.00"
CARDIAC SCAN GATED NUC,,"$3,660.00"
PULM (LUNG) PERFUSION IMAG,,"$2,912.00"
BRAIN SCAN W/VASCULAR FLO NUC,,"$2,283.00"
BRAIN SPECT(TOMOGRAPHIC) NUC,,"$2,770.00"
CISTERNOGRAPHY NUC,,"$1,521.00"
KIDNEY IMAG W/VASCUL FLO NUC,,"$4,099.00"
KID.IMG.MOR.W/VAS.SINGLEW/O PH,,"$3,444.00"
KID.IMG.MOR.W/VAS.SINGLEW/PHAR,,"$3,715.00"
KID.IMG.MOR.W/VAS.MULTI W&W/O,,"$3,716.00"
VOIDING CYSTOGRAM NUC,,"$3,569.00"
RADIONUCLIDE TUMOR LIMITED NUC,,"$1,370.00"
GALLIUM MULT AREAS,,"$1,295.00"
TUMOR SINGLE DAY,,"$1,385.00"
NM TUMOR LOCALALIZATION SPECT,,"$4,831.00"
"RADIOPHARM,CERETEC,WBC BONE",,"$1,564.00"
CERETEC SPECT BONE SCAN RADIO,,"$1,646.00"
MYOCARDIAL EJECTION FRACTION,,"$6,142.00"
TUMOR IMAGING WHOLE BODY NUC,,"$2,525.00"
HEPATOBILIARY IMAG W GLBLDR,,"$2,615.00"
HEPATOBIL IMAG PHARMA W GLBLDR,,"$2,615.00"
PULMONARY VENTILATION IMAGING,,"$1,089.00"
PULMON VENT IMAG W PERFUS,,"$1,700.00"
QUANT DIFF PULM PERFU + VENT,,"$1,700.00"
QUANT DIFF PULM PERFUSION,,"$1,089.00"
SHUNT EVALUATION,,$922.00
THYROID UPTAKE SING/MULTI INC SUPRES DISCH,,"$4,484.00"
THYROID IMAGING,,"$2,223.00"
THYROID IMAGING W/MULTI DETERM INC SUPRS/DC,,"$4,893.00"
PARATHYRD PLANAR W/WO SUBTRJ,,"$1,132.00"
PARATHYRD PLANAR W/SPECT&CT,,"$3,017.00"
INIT HYPERTHYROID THERAPY NUC,,"$2,988.00"
BRACHYTHER PLAN SIMPLE,,$913.00
BRACHYTHER PLAN INTER,,"$1,208.00"
NUCLEAR RX INTRA-ARTERIAL,,"$1,324.00"
HDR BRACHYTX 1 CHANNEL,,"$4,567.00"
HDR BRACHYTX 2-12 CHANNEL,,"$5,579.00"
HDR BRACHYTX OVER 12 CHAN,,"$6,946.00"
TC-99M SESTAMBI/CARDIOLITE NU,,$516.00
TETROFOSMIN MYOVIEW NUC,,$812.00
99MTC MDP NUC,,$312.00
TI-201 THALLOUS CHLORIDE NUC,,$131.00
I-123 IODINE CAPSULE NUC,,"$2,008.00"
99MTC CERETEC-LABLD - WBC,,"$1,888.00"
99MTC HEPAT-BILIARY-UNPREP NU,,$335.00
99MTC MAAUC,,$425.00
TC-99M S COLLOID NUC,,$335.00
99MTC CERETEC-BD,,$809.00
"I123-MIBG,10 MCI",,"$8,951.00"
INDIUM IN-111 PENTETREOTIDE,,"$4,304.00"
"LYMPHOSEEK, DIAG, UP TO 0.5MCI",,$828.00
"IODINE I-125, SODIUM IODIDE, PER MILLICURIE",,$207.00
UPP EXT CT W/O DYE BILAT ECT,,"$7,981.00"
UPP EXT CT W/DYE BILAT ECT,,"$8,891.00"
UPP EXT CT W&WO DYE BILAT ECT,,"$9,863.00"
LOW EXT CT W/O DYE RT ECT,,"$3,488.00"
LOW EXT CT W/DYE RT ECT,,"$4,789.00"
LOW EXT CT W&WO DYE LT ECT,,"$5,577.00"
ABD AORTA&ILLIOFEMORAL CTA ECT,,"$6,097.00"
3DRENDERING W/O POSTPROCESS,,"$1,659.00"
3D RENDERING W/POSTPROCESS,,"$3,118.00"
CT GUIDED STEREOTAT LOC NCT,,"$1,725.00"
CT GUIDANCE NEEDLE PLC BCT,,"$2,389.00"
"CT, VISCERAL TISSUE ABLATION",,"$2,762.00"
UPP EXT CTA W&WO DYE RT ECT,,"$3,509.00"
ABLATION BONE TUMOR PERC W/IMG,,"$12,445.00"
UPP EXT CT W/DYE LT/RT ECT,,"$4,446.00"
UPP EXT CT W&WO DYE LT/RT ECT,,"$4,933.00"
CT HRT W/O DYE W/CA TEST,,$147.00
CT HRT W/3D IMAGE,,"$1,534.00"
"CT HRT W/3D IMAGE, CONGEN",,"$1,268.00"
CT ANGIO HRT W/3D IMAGE,,"$2,105.00"
CT HEART W/O DYE;QUAL CALC OCT,,$147.00
LOW EXT CT W/O DYE BILAT ECT,,"$6,983.00"
LOW EXT CT W/DYE BILAT ECT,,"$9,578.00"
LOW EXT CT W&WO DYE BILAT ECT,,"$11,163.00"
LOW EXT CTA W&WO DYE BILAT ECT,,"$12,088.00"
UPP EXT CTA W&WO DYE BILAT ECT,,"$7,023.00"
"CT, ABD AND PELVIS W/O CONTRAST",,"$6,815.00"
"CT, ABD AND PELVIS W/CONTRAST",,"$9,348.00"
ILIAC REVASC,,"$9,279.00"
ILIAC REVASC W/STENT,,"$27,325.00"
ILIAC REVASC ADD-ON,,"$27,325.00"
ILIAC REVASC W/STENT ADD-ON,,"$27,325.00"
FEM/POPL REVAS W/TLA,,"$19,531.00"
FEM/POPL REVAS W/ATHER,,"$41,457.00"
FEM/POPL REVASC W/STENT,,"$41,457.00"
FEM/POPL REVASC STNT & ATHER,,"$71,801.00"
TIB/PER REVASC W/TLA,,"$19,531.00"
TIB/PER REVASC W/ATHER,,"$41,457.00"
TIB/PER REVASC W/STENT,,"$41,457.00"
TIB/PER REVASC STENT & ATHER,,"$55,833.00"
TIB/PER REVASC ADD-ON,,"$19,531.00"
TIBPER REVASC W/ATHER ADD-ON,,"$41,457.00"
REVSC OPN/PRQ TIB/PERO STENT,,"$19,531.00"
TIB/PER REVASC STNT & ATHER,,"$19,531.00"
"CT, ABD AND PELVIS W&W/O CONTRAST",,"$10,895.00"
HEAD/BRAIN CT W/O DYE ECT,,"$3,714.00"
HEAD/BRAIN CT W/ DYE ECT,,"$5,094.00"
HEAD/BRAIN CT W&WO DYE ECT,,"$5,933.00"
ORBIT/SELLA/EAR W/O DYE ECT,,"$4,361.00"
ORBIT/SELLA/EAR W/DYE ECT,,"$5,980.00"
ORB/SELLA/EAR W&WO DYE ECT,,"$6,965.00"
MAXILLOFAC CT W/O DYE ECT,,"$4,361.00"
MAXILLOFAC CT W/DYE ECT,,"$5,980.00"
MAXILLOFAC CT W&WO DYE ECT,,"$6,965.00"
SOFT TISS NECK CT W/O DYE ECT,,"$3,597.00"
SOFT TISS NECK CT W/DYE ECT,,"$4,933.00"
SOFT TISS NECK CT W&WO DYE ECT,,"$5,747.00"
HEAD CTA W & W/O DYE ECT,,"$6,229.00"
NECK CTA W & W/O DYE ECT,,"$6,229.00"
"BRAIN PERFUSION W/CONT CT, ECT",,"$5,548.00"
THORAX CT W/O DYE BCT,,"$3,258.00"
THORAX CT W/DYE BCT,,"$4,471.00"
THORAX CT W&WO DYE BCT,,"$5,207.00"
THORAX CTA W&WO DYE BCT,,"$5,644.00"
CERVICAL SPINE CT W/O DYE ECT,,"$5,302.00"
CERVICAL SPINE CT W/DYE ECT,,"$7,268.00"
CERVICAL SPINE CT W&WO DYE ECT,,"$8,162.00"
THORACIC SPINE CT W/O DYE ECT,,"$4,107.00"
THORACIC SPINE CT W/DYE ECT,,"$5,632.00"
THORACIC SPINE CT W&WO DYE ECT,,"$6,324.00"
LUMBAR SPINE CT W/O DYE ECT,,"$3,577.00"
LUMBAR SPINE CT W/DYE ECT,,"$4,906.00"
LUMBAR SPINE CT W&WO DYE ECT,,"$5,509.00"
PELVIS CTA W&WO DYE BCT,,"$6,194.00"
ORTHO PELVIS CT W/O DYE BCT,,"$3,667.00"
PELVIS CT W/O DYE BCT,,"$3,667.00"
PELVIS CT W/DYE BCT,,"$5,032.00"
PELVIS CT W&WO DYE BCT,,"$5,858.00"
UPP EXT CT W/O DYE BILAT BCT,,"$7,981.00"
UPP EXT CT W/O DYE LT BCT,,"$3,990.00"
UPP EXT CT W/O DYE RT BCT,,"$3,990.00"
UPP EXT CT W/DYE BILAT BCT,,"$8,891.00"
UPP EXT CT W/DYE LT,,"$4,446.00"
UPP EXT CT W/DYE RT BCT,,"$4,446.00"
UPP EXT CT W&WO DYE BILAT BCT,,"$9,863.00"
UPP EXT CT W&WO DYE LT BCT,,"$4,933.00"
UPP EXT CT W&WO DYE RT BCT,,"$4,933.00"
UPP EXT CTA W&WO DYE BILAT BCT,,"$7,023.00"
UPP EXT CTA W&WO DYE LT BCT,,"$3,509.00"
UPP EXT CTA W&WO DYE RT BCT,,"$3,509.00"
LOW EXT CT W/O DYE BILAT BCT,,"$6,983.00"
LOW EXT CT W/O DYE LT BCT,,"$3,488.00"
LOW EXT CT W/O DYE RT BCT,,"$3,488.00"
LOW EXT CT W/DYE BILAT BCT,,"$9,578.00"
LOW EXT CT W/DYE LT BCT,,"$4,789.00"
LOW EXT CT W/DYE RT BCT,,"$4,789.00"
LOW EXT CT W&WO DYE BILAT BCT,,"$11,163.00"
LOW EXT CT W&WO DYE LT BCT,,"$5,577.00"
LOW EXT CT W&WO DYE RT BCT,,"$5,577.00"
LOW EXT CTA W&WO DYE BILAT BCT,,"$12,088.00"
LOW EXT CTA W&WO DYE LT BCT,,"$6,042.00"
LOW EXT CTA W&WO DYE RT BCT,,"$6,042.00"
ABDOMEN CT W/O DYE BCT,,"$3,661.00"
ABDOMEN CT W/O DYE LIMITED BCT,,"$3,661.00"
"STONE PROTOCOL, BCT",,"$3,661.00"
ABDOMEN CT W/DYE BCT,,"$5,025.00"
ABDOMEN CT W/DYE LIMITED BCT,,"$5,025.00"
ABDOMEN CT W&WO DYE BCT,,"$5,851.00"
ABDOMEN CTA W&WO DYE BCT,,"$6,341.00"
ABD AORTA&ILLIOFEMOR CTA BCT,,"$6,097.00"
FOLLOW UP STUDY CT LIMITED BCT,,"$1,494.00"
"CTA, ABDOMEN AND PELVIS, W DYE",,"$7,757.00"
CT ABD AND PELVIS W/CONTRAST,,"$9,348.00"
LOW DOSE CT SCAN FOR LUNG,,$627.00
"TUBAL LIGATION, POST PARTUM",,"$1,000.00"
LIGATE OVIDUCT(S) ADD-ON,,$475.00
BREAST SURGERY PROCEDURE CBC,,"$6,124.00"
PLACEMENT OF A NEEDLE FOR INTRAOSSEOUS INFUSION,,$581.00
FNA; W/O IMAGING,,"$1,247.00"
BIOPSY OF EXTERNAL EAR,,"$2,074.00"
PERCUT VERTEBROPLASTY THOR,,"$7,794.00"
PERCUT VERTEBROPLASTY LUMB,,"$7,794.00"
PERCUT VERTEBROPLASTY ADD'L,,"$7,794.00"
"PERCUT KYPHOPLASTY, THOR",,"$21,747.00"
ACNE SURGERY,,$457.00
ABSCESS SIMPLE/SINGLE,,"$1,073.00"
HYPOTHERMIA (CRITICAL CARE) 1ST 30-74 MIN,,"$4,042.00"
HYPOTHERMIA (CRITICAL CARE) ADDL 30 MIN,,"$1,110.00"
"PERCUT KYPHOPLASTY, LUMB",,"$21,747.00"
"PERCUT KYPHOPLASTY, ADD-ON",,"$21,747.00"
MYELOGRAPHY VIA LUMBAR INJECTION;LUMBOSACRAL;INCLU,,"$1,643.00"
ABCESS COMPLICATED/MULTIPLE,,"$1,122.00"
DRAIN/INJECT SMALL JOINT OR BURSA W/US GUIDANCE,,$500.00
DRAIN/INJECT INTERMEDIATE  JOINT OR BURSA W/US GUI,,"$3,575.00"
DRAIN/INJECT MAJOR  JOINT OR BURSA W/US GUIDANCE,,$573.00
PERCUTANEOUS TIBIAL NERVE STIMULATION,,$597.00
ANOSCOPY HRA W/BIOPSY,,"$3,335.00"
PILONIDAL CYST SIMPLE,,$573.00
REMOVE FB; SQ SIMPLE,,$618.00
"REMOVAL OF FB, SC TISSUE COMPL",,"$5,768.00"
"I&D HEMATOMA, SEROMA",,"$5,242.00"
CYSTOSCOPY W/DIOPSY (S),,"$13,064.00"
CYSTOURETERO W/DIOPSY,,"$6,056.00"
ASP ABSCESS/CYST/HEMATOMA,,$519.00
"TRACHEOSTOMY, PLANNED",,"$4,879.00"
ENDOVEN ABLTJ INCMPTNT VEIN MCHNCHEM 1ST VEIN,,"$5,627.00"
ENDOVEN ABLTJ INCMPTNT VEIN MCHN SBSQ VEINS-ADD ON,,"$1,407.00"
CHEMODENERV PAROTID/SUBM SALIVARY GLANDS BILATERAL,,$472.00
I&D COMPLEX POST OP WOUND INF,,"$5,040.00"
CYSTOSCOPY AND TREATMENT,,"$8,119.00"
DEBRIDEMENT OF SKIN,,"$2,928.00"
"DEBRIDE, EACH ADD 10% OF BODY",,"$1,665.00"
ACTIVE WOUND CARE/20 CM OR <,,$674.00
INSERTION OF TUNNELED INTRAPERITONEAL CATHETER,,"$7,039.00"
DEBRIDEMENT OPEN WOUND EA ADDITIONAL 20 SQ CM,,$561.00
"DEBRIDEMENT SKIN,AND SUBCUTANE",,"$2,058.00"
DEBRIDEMENT SKIN/SQ/MUSCLE,,"$4,119.00"
"DEBRIDEMENT, BONE",,"$5,062.00"
CALLOUS REMOVAL,,$365.00
"PARE WART/CALLUS, ONE LESION",,$365.00
"PARE WART/CALLUS, 2-4 LESIONS",,$365.00
"PARE WART/CALLUS, >4 LESIONS",,$926.00
REMOVAL OF SKIN TAGS(1-15),,$711.00
REMOVAL OF SKIN TAGS;EA ADD 10,,"$1,015.00"
SHAVE LES TRUNK ARM LEG <0.5CM,,$365.00
SHAVE TRUNK ARM LEG 0.6-1.0CM,,$365.00
SHAVE TRUNK ARM LEG 1.1-2.0CM,,$752.00
SHAVE TRUNK ARM LEG >2.0CM,,"$1,135.00"
SHAV SCAP GENITAL HAND FT NEC,,$752.00
SHAVE SCALP/NECK/HAND/FEET <0.,,$752.00
SHAVE SCALP/NECK/HND/FT 0.6-1.,,$752.00
SHAVE SCALP/NECK/HND/FT 1.1-2.,,$670.00
SHAVE SCALP/NECK/HND/FEET >2.0,,$720.00
SHAVING FAC EAR NOS LIP <.5CM,,$720.00
MANIPULATION KNEE JOINT UNDER GENERAL ANES,,"$4,221.00"
SHAV FAC/EAR/EYE/NOS/LIP 0.6-1,,$752.00
SHAV FAC/EAR/EYE/NOS/LIP 1.1-2,,$752.00
SHAV FACE/EAR/EYE/NOSE/LIP >2.,,"$1,483.00"
"EXC.BENIGN,T/A/L<0.5CM",,"$2,071.00"
UNLISTED NERVOUS SYSTEM,,"$4,438.00"
EXC BENIGN TRNK/ARM/LEG .6-1.0,,"$2,324.00"
"EXC.BENIGN,TR/A/L,0.6-1.0CM",,"$2,324.00"
EXC BENIGN TRNK/ARM/LEG 1.1-2.,,"$2,324.00"
"EXC.BENIGN,TR//A/L,1.1-2.0 CM",,"$2,324.00"
EXC BENIGN TRNK/ARM/LEG 2.1-3.,,"$6,022.00"
"EXC.BENIGN,TR/A/L,2.1-3.0 CM",,"$6,022.00"
EXC BENG TR ARM LEG 3.1-4.0CM,,"$10,492.00"
EXC BENIGN TRNK/ARM/LEG 3.1-4.,,"$10,492.00"
"EXC, BENIGN,>4.0 CM, T/A/L",,"$11,757.00"
N BLOCK SPENOPALATINE GANGL,,"$2,348.00"
EXC BENIGN SCALP GENIT HAND FT,,"$6,022.00"
RESECT INFERIOR TURBINATE SUBMUCOUS BILATERAL,,"$5,043.00"
EXC BENIGN SCALP GENIT HND FT,,"$6,022.00"
EXC BEN SCAL GENT HD FT NECK,,"$5,534.00"
EXC BENG SCP GENT HD FT NK,,"$6,022.00"
SINUS ENDO W/BALLOON DIL,,"$6,390.00"
"EXC BENG SC, GENIT HD FT NECK",,"$4,845.00"
INJECTION INTO VOCAL CORD,,"$6,225.00"
"EXC,BENIGN,>4.0 CM,SCLP/H/F",,"$15,291.00"
EXC BENIGN FACE EAR NOSE MUC,,"$1,774.00"
EXC BENIGN FACE EAR NOSE MUC,,"$3,289.00"
"EXC, BENG FC, ER,NOS,MUC 1.1-2",,"$3,242.00"
EXC BEGN FA EAR NOS MUC MEM,,"$6,022.00"
EXC BENIGN LESION FACE 2.1-3.0,,"$6,022.00"
EXC FAC/EAR/EYE/NOS/LIP 2.1-3.,,"$6,022.00"
EXC BENIGN LESION FACE 3.1-4.0,,"$2,481.00"
EXC FAC/EAR/EYE/NOS/LIP 3.1-4.,,"$2,481.00"
"EXC, BENG, FC ER NO MUC MEM",,"$2,481.00"
"EXC BENIGN,>4.0 CM,F/E/MEM",,"$15,291.00"
"EXC.MALIG,TR/A/L,0.6-1.0CM",,"$2,232.00"
"EXC.MALIG,TR/A/L,1.1-2.0CM",,"$2,324.00"
"EXC.MALIG TR/A/L,2.1-3.0CM",,"$5,169.00"
EXC MALIGN TR ARM LEG 3.1-4.0,,"$5,169.00"
"EXC MALIG>4.0 CM,TRNK/A/L",,"$10,492.00"
"EXC MALIGN SCAP GENT HD,FT NK",,"$3,289.00"
EXC MAL SCLP/NCK/HND/FT 1.1-2.,,"$6,022.00"
"EXC.MALIGNT,SCALP,GENIT,HAND,F",,"$6,022.00"
EXC MAL SCLP/NCK/HND/FT 2.1-3.,,"$11,307.00"
EXC MALIGN SCPL GENT HD FT NK,,"$11,307.00"
EXC MALIGN SCP GENT HD FT NK,,"$10,091.00"
"EXCIS MALIG,>4.0 CM,SCP/H/FT",,"$13,133.00"
EXC MALIG LESION FACE.5CM/LESS,,"$3,164.00"
EXC MALIGN FC ER NOSE MUC MEM,,"$3,164.00"
EX ML FAC/EAR/EYE/NOS/LIP.6-1.,,"$3,044.00"
EXC MALGIN FA ER NOS MUC MEM,,"$3,044.00"
EXC MALIG LESION FACE.6CM-1.0C,,"$3,044.00"
EX ML FAC/EAR/EYE/NOS/LIP1.1-2,,"$6,022.00"
EXC MALIGN FA EAR NOS MUC MEM,,"$6,022.00"
EXC MALIGN FC EAR NOSE MUS MEM,,"$5,789.00"
EXC MALIGN FC EAR NOSE MUC MEM,,"$10,091.00"
"EXC,MALIG,>4.0 CM,F/E/MEM",,"$13,656.00"
NAIL TRIM ANY METHOD,,$288.00
TRIM OF NONDYSTROPHIC NAIL(S),,$288.00
"DEBRIDE NAILS, ANY METHOD, <6",,$201.00
"DEBRIDEMENT NAIL, 1-5",,$201.00
"DEBRIDEMENT NAILS, 1-5",,$201.00
"DEBRIDEMENT NAIL, 6 OR MORE",,$201.00
"AVULS NAIL PLATE, SIMP/SINGLE",,$431.00
"AVULSION OF NAIL, SINGLE",,$431.00
REMOVAL OF NAIL PLATE,,$431.00
"AVULS NAIL PLATE, EA ADD'L",,$209.00
AVULSION EACH ADD. NAIL PLATE,,$209.00
EVAC OF SUBUNGUAL HEMATOMA,,$250.00
EVAC OG SUBUNGUAL HEMATOMA,,$250.00
"EXC NAIL&NAIL MATRIX, PART/COM",,"$1,410.00"
"WEDGE EXC NAIL FOLD, INGROWN",,$559.00
"WEDGE EXC OF NAIL, INGROWN",,$559.00
WEDGE EXC./SKIN OF NAIL FOLD,,$559.00
INTRALESIONAL INJ UP TO 7 LES,,$341.00
INTRALESIONAL INJ MORE THAN 7,,$279.00
"INTRALESIONAL INJECTION, >7",,$279.00
SALINE INJECTION < 10.0CC,,$562.00
SALINE INJECTION > 10.0CC,,$562.00
INSERT TISSUE EXPANDER(S),,"$5,416.00"
"INSERT,IMPLANT CONTRACEPTIVE",,$265.00
"REMOVE,IMPLANT CONTRACEPTIVE",,"$1,301.00"
"LAC REPAIR, S,N,H,F <2.5CM",,$695.00
LAC REPR SCLP NCK HND FT <2.6C,,$695.00
LAC REPR SCLP NCK HND FT<2.6CM,,$695.00
"LAC REPAIR, S,N,H,F 2.6-7.5CM",,$867.00
LAC REPR FCE EAR LP 2.6-5.0,,$867.00
LAC REPR SCLP NCK HND FT 2.6-7,,$867.00
REP SC/NK/AX/GEN/TK 7.6-12.5,,$957.00
