Service Area,Description,Revenue Code,Patient Pay Charge
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,INTRODUCER KITS 6FR,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],29
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,INTUBATION,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],153
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IONIZED CALCIUM (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IONIZED CALCIUM (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IONTOPHORESIS 15 MIN,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION [0430],58
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IONTOPHORESIS EA 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],54
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IP HEMODIALYSIS ADULT,INPATIENT RENAL DIALYSIS - INPATIENT HEMODIALYSIS [0801],340
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IRON ASSAY,LABORATORY - CHEMISTRY [0301],9
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IRON ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],9
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IRRIG OF IMPLANT VENOUS ACC DE PBC,IV THERAPY - GENERAL CLASSIFICATION [0260],59
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IRRIGATE CORPORA CAVERNOSA FOR PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],150
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IRRIGATION OF BLADDER PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],146
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ISLET CELL - DIABETES AUTOIMMUNE TEST GRP,LABORATORY - IMMUNOLOGY [0302],23
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ISLET CELL AUTOANTIBODIES, IG",LABORATORY - GENERAL CLASSIFICATION [0300],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ISOENZYME PATTERN,LABORATORY - GENERAL CLASSIFICATION [0300],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ISOVUE 200-20ML,PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING (A) [0636],1
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ISOVUE 300-15ML PER ML,PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING (A) [0636],1
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ISOVUE M-200(COVERED),PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING (A) [0636],1
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ITEM #16585 CATHETER SUPRAPUBIC 12 F SET,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],90
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ITEM #1988 PNEUMOTHORAX SET 10F CHEST DRAIN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],310
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ITEM #20059 DRAINAGE CATHETER 10F (PIGTAIL),MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],124
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ITEM #35280 BIOPSY KIT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],45
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ITEM #35281 CT DRAINAGE KIT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],113
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IV INFUS (NON CHEMO) ADDL SEQ,IV THERAPY - GENERAL CLASSIFICATION [0260],149
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IV INFUS (NON CHEMO) CONCURREN PBC,IV THERAPY - GENERAL CLASSIFICATION [0260],73
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IV INFUS (NON CHEMO) EA ADDL H,IV THERAPY - GENERAL CLASSIFICATION [0260],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IV INFUS (NON CHEMO) EA ADDL H PBC,IV THERAPY - GENERAL CLASSIFICATION [0260],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IV INFUSION HYDRATION 31-60 MIN,IV THERAPY - GENERAL CLASSIFICATION [0260],139
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IV INFUSION UP TO 1 HOUR PBC,IV THERAPY - GENERAL CLASSIFICATION [0260],199
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IV PUSH EACH ADD SAME DRUG PBC,IV THERAPY - GENERAL CLASSIFICATION [0260],50
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IV THERAPY INITIAL UP TO 1 HOUR,IV THERAPY - GENERAL CLASSIFICATION [0260],199
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,IVP W/OR W/O TOMO& W/OR W/O KU,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],341
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"JAK2 V617F MUT DETECTION, QUANT BLOOD - JAK2B",LABORATORY - CHEMISTRY [0301],246
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,JAK2 V617F mutation,LABORATORY - CHEMISTRY [0301],99
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,JO-1 ANTIBODY,LABORATORY - GENERAL CLASSIFICATION [0300],44
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KAPPA LIGHT CHAINS,LABORATORY - CHEMISTRY [0301],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KEPPRA (LEVETIRACETAM),LABORATORY - GENERAL CLASSIFICATION [0300],37
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KEPPRA (LEVETIRACETAM) (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],37
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KETONE ASSAY,LABORATORY - CHEMISTRY [0301],8
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KIDNEY IMAGING - CAPTOPRIL,NUCLEAR MEDICINE - GENERAL CLASSIFICATION [0340],697
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KIT MULTI LUMEN CATH 16CM ARRO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],107
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KLEIHAUER-BETKE STAIN (BEAKER),LABORATORY - HEMATOLOGY [0305],19
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KNEE ARTHROGRAM,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],280
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"KNEE, 1 OR 2 VIEWS",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],115
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"KNEE, 3 VIEWS",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],115
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KNEE-COMPL 4 OR MORE VI,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],139
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KOH PREP,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],11
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,KUB INFANT FB,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],42
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LABOR EPIDURAL,ANESTHESIA - GENERAL CLASSIFICATION [0370],769
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LACTATE ASSAY, CSF/BF",LABORATORY - CHEMISTRY [0301],14
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LACTIC ACID ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],14
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LACTIC DEHYDROENASE ASSAY, BF",LABORATORY - CHEMISTRY [0301],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LACTIC DEHYDROGENASE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"Lactoferrin, Qualitative, Stool (Beaker)",LABORATORY - CHEMISTRY [0301],46
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LAMBDA LIGHT CHAINS,LABORATORY - CHEMISTRY [0301],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LAMOTRIGINE, MAILOUT (Beaker)",LABORATORY - GENERAL CLASSIFICATION [0300],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LAYER CLOSURE FACE,EARS,NOSE<2",EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],169
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LAYER CLOSURE NECK,HANDS<2.5CM",EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],100
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LAYER CLSRE FACE,EARS,NOSE2.6-",SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],122
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LDH ISOENZYMES,LABORATORY - GENERAL CLASSIFICATION [0300],11
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LDL CHOLESTEROL, DIRECT",LABORATORY - CHEMISTRY [0301],18
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LEAD,BLOOD",LABORATORY - GENERAL CLASSIFICATION [0300],16
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LEAD,URINE",LABORATORY - GENERAL CLASSIFICATION [0300],16
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LEGIONELLA ANTIGEN, URINE",LABORATORY - GENERAL CLASSIFICATION [0300],41
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Legionella DNA PCR Qual Amplified Probe(Beaker),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],81
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Legionella DNA PCR Qual Detected Agent Qual (Beaker),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],81
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LIGA DIV AND/OR EXC VARI VEIN,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],1607
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LIPASE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],19
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LIPID PANEL,LABORATORY - CHEMISTRY [0301],36
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LIPID PROFILE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],36
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Lipoprotein(a)-Cardio IQ (Beaker),LABORATORY - CHEMISTRY [0301],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LITHIUM ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],11
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LITHOTRIPSY,EXTRA-CORPOREAL SHOCK WAVE THERAPY (FORMERLY LITHOTRIPSY) - GENERAL CLASSIFICATION [0790],2845
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LIVER BIOPSY - IMG,OTHER IMAGING SERVICES - ULTRASOUND [0402],484
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LIVER/KIDNEY MICROSOMAL/AUTOAB,LABORATORY - GENERAL CLASSIFICATION [0300],34
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LOW COST SKIN SUBSTITUTE APP,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],158
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LOW COST SKIN SUBSTITUTE APP,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],158
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LOW COST SKIN SUBSTITUTE APP,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],158
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LOW COST SKIN SUBSTITUTE APP,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],158
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LOW COST SKIN SUBSTITUTE APP,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],527
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LOWER EXT ANY JOINT W/O & W,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],1277
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LOWER EXT ANY JOINT WITHOUT - IMG,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],798
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LOWER EXT NOT JOINT W/O & W,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],1244
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LOWER EXT NOT JOINT WITH,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],908
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LOWER EXTREM, INFANT",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],42
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LUMBAR SPINE AP & LAT,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],147
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LUMBAR SPINE COMP W/BEND VIEW,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],146
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Lumbar Spine Min 4 Views,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],186
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LUMBAR SPINE W&W/O INFUSION,CT SCAN - GENERAL CLASSIFICATION [0350],719
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LUMBAR SPINE W/O INFUSION,CT SCAN - GENERAL CLASSIFICATION [0350],464
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LUMBAR SPINE WITH INFUSION,CT SCAN - GENERAL CLASSIFICATION [0350],612
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"Lumbar Spine; Bending Vws Only, 2 or 3 views",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],117
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LUNG BIOPSY ASST,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],862
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LUPUS INHIBITOR - DRV VT,LABORATORY - HEMATOLOGY [0305],35
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LUPUS INHIBITOR (BEAKER),LABORATORY - HEMATOLOGY [0305],35
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LUTEINIZING HORMONE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],38
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LWR EXT NOT JOINT W/O,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],784
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LYME AB, WBA",LABORATORY - GENERAL CLASSIFICATION [0300],29
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"LYME AB, WBA (Beaker)",LABORATORY - GENERAL CLASSIFICATION [0300],29
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LYME DISEASE AB - LYME,LABORATORY - GENERAL CLASSIFICATION [0300],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LYME DISEASE AB (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LYMPH NODE SCAN,NUCLEAR MEDICINE - GENERAL CLASSIFICATION [0340],548
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LYMPHOCYTE PROLIFERATION MITOGENS AND ANTIGENS(BEAKER),LABORATORY - IMMUNOLOGY [0302],86
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,LYSOZYME (BEAKER),LABORATORY - HEMATOLOGY [0305],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MAGNESIUM ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],13
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"MAGNESIUM, URINE",LABORATORY - GENERAL CLASSIFICATION [0300],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MAJOR DRESSING CHANGE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],116
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MALARIAL SMEAR,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],11
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Mammo guide Needle Loc Perc,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],435
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MAMMOMARK FOR MAMMOTOME 11G,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],87
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MANDIBLE,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],42
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Mandible Min 4 Views,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],42
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MANDIBLE PORTABLE,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],42
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MANGANESE BLOOD (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],33
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"MANIPULATION CHEST WALL, MANUAL (INITIAL)",RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],41
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"MANIPULATION CHEST WALL, SUBSE",RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MANUAL THERAPY EACH 15 MIN,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION [0430],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MANUAL THERAPY EACH 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MANUAL THERAPY EACH 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MASSAGE EA 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],38
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MASSAGE EACH 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],43
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MASTOID PARTIAL,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],58
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MAX INSP & EXPIR FORCE,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],14
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MDI,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],49
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MDI SPON,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],49
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MEAS POS VOID URIN BLAD N-IMAG PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],74
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MEASLES SCREEN,LABORATORY - IMMUNOLOGY [0302],30
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MECKELS DIVERTICULUM,NUCLEAR MEDICINE - GENERAL CLASSIFICATION [0340],484
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Meconium Comprehensive Drug Screen 9(Beaker),LABORATORY - CHEMISTRY [0301],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MECONIUM DRUG SCREEN,LABORATORY - GENERAL CLASSIFICATION [0300],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MEDFIX ADHESIVE TAPE 3 IN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MEDIFIX EZ TAPE 6 IN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],45
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"MEPERIDINE/NORMEP (GC/MS), URINE (SENDOUT-REFLEX) - LC",LABORATORY - CHEMISTRY [0301],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"METANEPHRINE, FRACT URINE-24 H",LABORATORY - GENERAL CLASSIFICATION [0300],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"METANEPHRINES, PLASMA (Beaker)",LABORATORY - CHEMISTRY [0301],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"METHADONE (GC/MS), URINE (SENDOUT-REFLEX) - LC",LABORATORY - CHEMISTRY [0301],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"METHADONE,MS,WB/SP RFXá-RFLX - SERUM",LABORATORY - CHEMISTRY [0301],50
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,METHEMOGLOBIN ASSAY,LABORATORY - CHEMISTRY [0301],30
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"METHYLENEDIOXYAMPHETAMINES (MDA, MDEA, MDMA)",LABORATORY - CHEMISTRY [0301],12
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"METHYLMALONIC ACID,QUANT,BLOOD (Beaker)",LABORATORY - GENERAL CLASSIFICATION [0300],23
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MICRO HMA TREPONEEMA P,LABORATORY - IMMUNOLOGY [0302],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"MICROALBUMIN ASSAY, URINE (Beaker)",LABORATORY - CHEMISTRY [0301],11
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"MICROALBUMIN, CREAT",LABORATORY - CHEMISTRY [0301],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MINIMAL EXERCISE TEST,PULMONARY FUNCTION - GENERAL CLASSIFICATION [0460],135
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MOD BARIUM SWALLOW STUDY,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],62
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MOD BARIUM SWALLOW STUDY,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],62
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MOD SEDAT PHYS/QHP 5YRS/> INITIAL 15 MIN. PROC/SED BY SAME PROFESSIONAL,ANESTHESIA - GENERAL CLASSIFICATION [0370],124
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MOD SEDAT PHYS/QHP EA 15 MIN PROC/SED BY SAME PROFESSIONAL,ANESTHESIA - GENERAL CLASSIFICATION [0370],55
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MONO SEROLOGY (Beaker),LABORATORY - IMMUNOLOGY [0302],19
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MONOLAYER PAP SMEAR,LABORATORY PATHOLOGICAL - CYTOLOGY [0311],45
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MORGAN LENS,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],35
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MR ANGIO HEAD W/O & W CONTRAST,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],1015
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MR ANGIO NECK W/CONTRAST,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],834
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MR ANGIO NECK W/O & W CONTRAST,MAGNETIC RESONANCE TECHNOLOGY (MRT) - MRA - HEAD AND NECK [0615],1027
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MR ANGIOGRAPHY NECK W/O CONTRA,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],642
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MR L SPINE W/O,MAGNETIC RESONANCE TECHNOLOGY (MRT) - MRI - SPINAL CORD/SPINE) [0612],976
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MR T SPINE W/O,MAGNETIC RESONANCE TECHNOLOGY (MRT) - MRI - SPINAL CORD/SPINE) [0612],900
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MRA HEAD W/O CONTRAST,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],730
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"MRA W/O FOL W/CONT, ABD",MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],343
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MRI ABD. W/O INFUSION,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],755
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MRI ABDOMEN W/CONTRAST,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],971
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MRI ABDOMEN W/O & W CONTRAST,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],1199
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MRI ANG LWR EXT W/W/O INF,MAGNETIC RESONANCE TECHNOLOGY (MRT) - MRA - LOWER EXTREMITIES [0616],1347
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MRI BRAIN W/INF,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],1052
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MRI BRAIN W/O INF,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],835
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MRI BRAIN W/WO INFUSION,MAGNETIC RESONANCE TECHNOLOGY (MRT) - GENERAL CLASSIFICATION [0610],1119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,MRI CERV SPINE W/ & W/O ADD SE,MAGNETIC RESONANCE TECHNOLOGY (MRT) - MRI - SPINAL CORD/SPINE) [0612],1143
