DRG_Definition,Average Charges
841-LYMPHOMA & NON-ACUTE LEUKEMIA W CC,"$80,392.18 "
842-LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,"$47,938.39 "
843-OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,"$81,347.99 "
844-OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,"$38,514.31 "
845-OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,"$43,023.04 "
846-CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,"$96,980.04 "
847-CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,"$49,353.61 "
848-CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,"$25,215.58 "
853-INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"$287,042.77 "
854-INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"$105,407.23 "
855-INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W/O CC/MCC,"$102,169.45 "
856-POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,"$215,523.23 "
857-POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,"$73,769.19 "
858-POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W/O CC/MCC,"$22,571.35 "
862-POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,"$56,621.90 "
863-POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"$32,593.18 "
864-FEVER AND INFLAMMATORY CONDITIONS,"$30,553.88 "
865-VIRAL ILLNESS W MCC,"$50,348.47 "
866-VIRAL ILLNESS W/O MCC,"$37,587.09 "
867-OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC,"$111,341.93 "
868-OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC,"$31,061.82 "
869-OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W/O CC/MCC,"$27,219.19 "
870-SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"$348,154.49 "
871-SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"$94,442.31 "
872-SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"$42,261.16 "
876-O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,"$79,168.68 "
880-ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"$38,661.58 "
881-DEPRESSIVE NEUROSES,"$21,415.66 "
882-NEUROSES EXCEPT DEPRESSIVE,"$38,228.50 "
883-DISORDERS OF PERSONALITY & IMPULSE CONTROL,"$33,767.40 "
884-ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,"$72,511.40 "
885-PSYCHOSES,"$49,435.95 "
886-BEHAVIORAL & DEVELOPMENTAL DISORDERS,"$198,628.51 "
887-OTHER MENTAL DISORDER DIAGNOSES,"$31,959.52 "
"894-ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","$30,494.64 "
896-ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"$53,541.00 "
897-ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"$34,055.81 "
901-WOUND DEBRIDEMENTS FOR INJURIES W MCC,"$183,616.86 "
902-WOUND DEBRIDEMENTS FOR INJURIES W CC,"$77,108.81 "
903-WOUND DEBRIDEMENTS FOR INJURIES W/O CC/MCC,"$80,848.54 "
904-SKIN GRAFTS FOR INJURIES W CC/MCC,"$111,551.84 "
905-SKIN GRAFTS FOR INJURIES W/O CC/MCC,"$44,862.52 "
906-HAND PROCEDURES FOR INJURIES,"$70,699.30 "
907-OTHER O.R. PROCEDURES FOR INJURIES W MCC,"$201,175.14 "
908-OTHER O.R. PROCEDURES FOR INJURIES W CC,"$91,445.81 "
909-OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,"$57,588.16 "
913-TRAUMATIC INJURY W MCC,"$64,325.88 "
914-TRAUMATIC INJURY W/O MCC,"$72,910.36 "
915-ALLERGIC REACTIONS W MCC,"$91,937.45 "
916-ALLERGIC REACTIONS W/O MCC,"$33,105.41 "
917-POISONING & TOXIC EFFECTS OF DRUGS W MCC,"$64,085.96 "
918-POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"$31,299.25 "
919-COMPLICATIONS OF TREATMENT W MCC,"$87,508.72 "
920-COMPLICATIONS OF TREATMENT W CC,"$38,323.07 "
921-COMPLICATIONS OF TREATMENT W/O CC/MCC,"$26,174.30 "
"922-OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC","$134,997.68 "
"923-OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC","$52,887.38 "
927-EXTENSIVE BURNS OR FULL THICKNESS BURNS W MV >96 HRS W SKIN GRAFT,"$905,499.01 "
928-FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W CC/MCC,"$248,971.33 "
929-FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W/O CC/MCC,"$84,589.80 "
933-EXTENSIVE BURNS OR FULL THICKNESS BURNS W MV >96 HRS W/O SKIN GRAFT,"$367,087.41 "
934-FULL THICKNESS BURN W/O SKIN GRAFT OR INHAL INJ,"$74,599.04 "
935-NON-EXTENSIVE BURNS,"$82,957.53 "
939-O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC,"$231,380.38 "
940-O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,"$91,512.96 "
941-O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC,"$55,147.63 "
947-SIGNS & SYMPTOMS W MCC,"$54,777.96 "
948-SIGNS & SYMPTOMS W/O MCC,"$27,212.56 "
949-AFTERCARE W CC/MCC,"$37,022.43 "
950-AFTERCARE W/O CC/MCC,"$19,374.48 "
951-OTHER FACTORS INFLUENCING HEALTH STATUS,"$31,879.06 "
955-CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA,"$718,786.75 "
"956-LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA","$333,092.30 "
957-OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC,"$404,228.12 "
958-OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC,"$248,526.84 "
959-OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,"$165,476.38 "
963-OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,"$124,770.55 "
964-OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,"$96,784.12 "
965-OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,"$73,067.90 "
969-HIV W EXTENSIVE O.R. PROCEDURE W MCC,"$257,404.96 "
970-HIV W EXTENSIVE O.R. PROCEDURE W/O MCC,"$65,630.22 "
974-HIV W MAJOR RELATED CONDITION W MCC,"$142,614.32 "
975-HIV W MAJOR RELATED CONDITION W CC,"$50,104.75 "
976-HIV W MAJOR RELATED CONDITION W/O CC/MCC,"$36,863.99 "
977-HIV W OR W/O OTHER RELATED CONDITION,"$55,939.44 "
981-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$197,617.73 "
982-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$110,396.97 "
983-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"$69,032.53 "
987-NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$226,685.18 "
988-NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$114,929.05 "
989-NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"$167,444.13 "
998-PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS,"$6,449.88 "
999-UNGROUPABLE,"$104,053.84 "
