Service Area|Px Code|Procedure Description|Supply #|Unit Price
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32819|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3282|667.28
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32820|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32821|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32822|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32823|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32824|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32825|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32826|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32827|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32828|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32829|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3283|667.28
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32830|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32831|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32832|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32833|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32834|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32835|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32836|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32837|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32838|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32839|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3284|667.28
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32840|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32848|474.12
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32849|474.12
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3285|625.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32850|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32851|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32852|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32853|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32854|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32855|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32856|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32857|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32858|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32859|40,685.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3286|625.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32860|474.12
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32861|474.12
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32862|2,907.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32863|3,286.40
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32864|3,262.70
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32865|3,697.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32866|3,262.70
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32867|3,697.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32868|4,672.85
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32869|3,697.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3287|625.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32870|3,697.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32871|2,907.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32872|3,286.40
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32873|3,262.70
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32874|3,697.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32875|3,262.70
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32876|3,697.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32877|4,672.85
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32878|3,697.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32879|3,697.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3288|667.28
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32884|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32885|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32886|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32887|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32888|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32889|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3289|667.28
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32890|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32891|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32892|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32893|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32894|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32895|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32896|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32897|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3290|667.28
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32900|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32901|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32902|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32903|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32904|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32905|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32906|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32907|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32908|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32909|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3291|667.28
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32910|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32911|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32912|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32914|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32915|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32916|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32917|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32918|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32919|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3292|667.28
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32920|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32921|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32922|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32923|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32924|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32925|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32926|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32927|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32928|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32929|2,370.00
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3293|708.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32933|3,678.04
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32934|3,678.04
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32935|3,678.04
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32936|3,678.04
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32937|3,678.04
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32938|3,678.04
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32939|3,678.04
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3294|708.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32940|3,678.04
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32943|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32944|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32945|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32946|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32947|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32948|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32949|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3295|625.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32950|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32951|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32952|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32953|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32954|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32955|618.99
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32956|153.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32958|533.39
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3296|625.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32962|831.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32963|489.88
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32964|489.88
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32965|489.88
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32966|592.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32967|489.88
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32968|489.88
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32969|489.88
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3297|625.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32970|489.88
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32971|398.26
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32972|398.26
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32973|398.26
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32974|398.26
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32975|398.26
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32977|535.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32978|535.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32979|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3298|625.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32980|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32981|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32982|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32983|474.12
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32984|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32985|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32986|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32987|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32988|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32989|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3299|604.72
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32990|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32991|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32992|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32993|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32994|728.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32995|474.12
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32996|7,883.57
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32997|9,859.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32998|9,859.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|32999|9,859.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|3300|667.28
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33000|9,859.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33001|9,859.20
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33002|1,918.43
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33003|1,918.43
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33004|1,918.43
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33005|1,918.43
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33006|1,031.65
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33007|1,119.45
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33008|566.31
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|33010|829.71
