Item, Amount 
MESH VAGINAL PROLAPSE 10X15CM," 1,010.00 "
MESH VENTRAL HERNIA 10X10CM, 620.00 
MESH VENTRAL HERNIA 12X15CM," 1,010.00 "
MESH VENTRAL HERNIA 15X25CM," 4,470.00 "
MESH VENTRALIGHT ST 10X13IN," 4,470.00 "
MESH VENTRALIGHT ST 4 X 6," 1,407.73 "
MESH VENTRALIGHT ST 4.5IN CIR," 1,010.00 "
MESH VENTRALIGHT ST 4X6IN," 1,010.00 "
MESH VENTRALIGHT ST 6IN CIR," 1,720.00 "
MESH VENTRALIGHT ST 6X10 OVAL, 620.00 
MESH VENTRALIGHT ST 6X8IN," 2,751.00 "
MESH VENTRALIGHT ST 7X9IN," 2,751.00 "
MESH VENTRALIGHT ST 8IN CIR," 2,751.00 "
MESH VENTRALIGHT ST 8X10IN," 4,470.00 "
MESH VICRYL 6 X 6," 1,010.00 "
MESH VICRYL KNITTED 12X12IN," 1,720.00 "
MESH VNTRIO ST XL 10X13IN OVAL," 4,470.00 "
MESH WOUND MATRIX 7X10CM, 827.20 
MESH WOVEN 6 X 6," 1,010.00 "
"METANEPHRINE, URINE", 78.00 
"METANEPHRINES, PLASMA", 147.00 
METASTATIC SURVEY COMPLETE, 540.00 
metaxalone 800 mg tablet, 16.32 
metformin 500 mg Tab, 4.22 
metFORMIN 500 mg tablet, 2.04 
metFORMIN 850 mg tablet, 2.08 
"metFORMIN ER 500 mg tablet,extended release 24 hr", 2.12 
methadone 10 mg tablet, 2.00 
methadone 40 mg soluble tablet, 2.00 
"METHADONE CONFIRM, UR", 100.00 
methazolAMIDE 25 mg tablet, 11.49 
methazolAMIDE 50 mg tablet, 11.49 
methenamine 81.6 mg-sod phos 40.8 mg-methylene blue 0.12mg-hyos tablet, 11.11 
methIMAzole 5 mg tablet, 2.00 
methocarbamol 500 mg tablet, 2.00 
methocarbamol 750 mg tablet, 2.00 
methotrexate sodium (PF) 25 mg/mL injection solution, 39.00 
methotrexate sodium 2.5 mg tablet, 18.71 
methotrexate sodium 25 mg/mL injection solution, 54.78 
methscopolamine 2.5 mg tablet, 7.82 
methyldopa 250 mg tablet, 2.00 
methylene blue (antidote) 1 % (10 mg/mL) intravenous solution, 604.08 
METHYLENEDIOXYAMPHETAMINES - RL, 43.00 
"METHYLENEDIOXYAMPHETAMINES, MECONIUM", 66.00 
methylergonovine 0.2 mg tablet, 209.08 
methylergonovine 0.2 mg/mL (1 mL) injection solution, 71.20 
"METHYLMALONIC ACID, BLD", 64.58 
methylphenidate 5 mg tablet, 2.21 
methylprednisolone 4 mg tablets in a dose pack, 3.07 
methylprednisolone acetate 40 mg/mL suspension for injection, 10.00 
methylprednisolone acetate 80 mg/mL suspension for injection, 66.02 
"methylprednisolone sod succ (PF) 1,000 mg/8 mL intravenous solution", 204.48 
methylprednisolone sod succ (PF) 125 mg/2 mL solution for injection, 28.60 
methylprednisolone sod succ (PF) 40 mg/mL solution for injection, 21.66 
methylprednisolone sod succ (PF) 500 mg/4 mL intravenous solution, 140.58 
"methylprednisolone sodium succ 1,000 mg intravenous solution,methylprednisolone sod succ (PF) 1,000 mg/8 mL intravenous solution", 159.49 
"methylprednisolone sodium succ 125 mg solution for injection,methylprednisolone sod succ (PF) 125 mg/2 mL", 34.88 
"methylprednisolone sodium succ 40 mg/mL solution for injection,methylprednisolone sod succ (PF) 40 mg/mL solution for injection,methylprednisolone sodium succ 40 mg solution for injection", 21.66 
methylprednisolone sodium succinate 125 mg solution for injection, 41.94 
methylprednisolone sodium succinate 500 mg intravenous solution, 83.23 
metipranolol 0.3 % eye drops, 2.00 
metoclopramide 5 mg tablet, 2.36 
metoclopramide 5 mg/5 mL oral solution, 13.47 
"metoclopramide 5 mg/mL injection solution,metoclopramide 5 mg/mL injection syringe", 10.00 
metOLazone 2.5 mg tablet, 9.86 
metoprolol succinate ER 25 mg 24 hr Tab, 3.16 
"metoprolol succinate ER 25 mg tablet,extended release 24 hr", 2.00 
"metoprolol succinate ER 50 mg tablet,extended release 24 hr", 2.00 
metoprolol tartrate 100 mg tablet, 2.00 
metoprolol tartrate 25 mg Tab, 2.00 
metoprolol tartrate 25 mg tablet, 2.00 
metoprolol tartrate 5 mg/5 mL intravenous solution, 10.00 
metoprolol tartrate 50 mg tablet, 2.00 
metroNIDAZOLE 0.75 % vaginal gel, 473.76 
metroNIDAZOLE 1 % topical gel," 1,355.22 "
metroNIDAZOLE 250 mg tablet, 2.00 
metroNIDAZOLE 500 mg tablet, 2.00 
metroNIDAZOLE 500 mg/100 mL-sodium chloride(iso) intravenous piggyback, 11.60 
miconazole nitrate 2 % topical cream, 13.99 
miconazole nitrate 2 % topical ointment, 29.83 
miconazole nitrate 2 % topical powder, 14.46 
miconazole nitrate 2 % vaginal cream, 34.29 
miconazole nitrate 200 mg vaginal suppository, 52.57 
MICRO INTRODUCR SHEATH 7F 11CM, 206.00 
MICROALBUMIN URINE QUANT, 23.00 
MICROCATH HEADWAY 17 ADV J TIP," 1,720.00 "
MICROCOIL EMBO HILAL .018 MULT, 137.67 
MICROCOIL EMBO HILAL .018 SNGL, 137.67 
MICROCOIL EMBOLIZATION HILAL, 137.67 
MICROLITE FIBEROPTIC PROBE," 1,195.43 "
MICROPUNCTURE, 9.00 
MICROPUNCTURE PEDIATRIC, 206.00 
MICROSPHERE BEAD BLOCK PURPLE, 687.50 
MICROSPHERES SIR-SPHERES," 45,375.00 "
MICROSPHERES V VIAL, 79.75 
MICROSPHR HYDROPEARL 200UM 2ML, 330.00 
MICROSPHR HYDROPEARL 400UM 2ML, 660.00 
MICROSPHR HYDROPEARL 600UM 2ML, 660.00 
MICROSPHR HYDROPEARL 75UM 2ML, 660.00 
MICROSPHR HYDROPEARL 800UM 2ML, 660.00 
MICROSPHR HYDROPEARL1100UM 2ML, 660.00 
MICROWIRE GUIDE APPROACH, 620.00 
midazolam (PF) 1 mg/mL injection solution, 10.00 
midazolam (PF) 5 mg/mL injection syringe, 10.00 
midazolam 1 mg/mL injection solution, 10.00 
"midazolam 1 mg/mL injection solution,midazolam (PF) 1 mg/mL injection solution", 10.00 
midazolam 5 mg/mL injection solution, 10.00 
midodrine 2.5 mg tablet, 5.08 
miglitol 25 mg tablet, 9.89 
MILAGRO SCREW 10X35, 206.00 
MILAGRO SCREW 11X30, 206.00 
MILAGRO SCREW 12X30, 206.00 
MILAGRO SCREW 12X35, 206.00 
milnacipran 50 mg tablet, 5.23 
mineral oil lotion, 41.15 
mineral oil oral, 6.84 
MINI QUICKANCHOR," 1,010.00 "
MINIFIX QA ORTHOCORD," 1,010.00 "
MINILOC QA ORTHOCORD," 1,010.00 "
minoxidil 10 mg tablet, 2.00 
mirtazapine 15 mg disintegrating tablet, 7.07 
mirtazapine 30 mg disintegrating tablet, 3.64 
mirtazapine 45 mg disintegrating tablet, 2.72 
mirtazapine 7.5 mg tablet, 7.90 
misoprostol 100 mcg Tab, 2.00 
miSOPROStol 100 mcg tablet, 3.94 
miSOPROStol 200 mcg tablet, 2.08 
MIXER BONE CEMENT, 122.38 
MIXER CR PRISM W/BREAK OFF NOZ, 482.65 
MLH1 GENE FULL SEQ," 1,910.00 "
MODULAR HEAD RADIAL 4," 2,751.00 "
MODULE INTRAOSSEOUS GREEN, 123.75 
MODULE INTRAOSSEOUS ORANGE, 123.75 
MODULE INTRAOSSEOUS PURPLE, 123.75 
MOISTURE TRAP-END TIDAL C02, 36.00 
MONITOR CONFIRM RX CARDIAC," 12,718.75 "
MONOKA SELF THREADING, 265.84 
MONOSPOT, 34.00 
montelukast 10 mg tablet, 5.24 
montelukast 4 mg chewable tablet, 13.51 
montelukast 5 mg chewable tablet, 11.89 
morphine 10 mg/5 mL oral solution, 2.00 
morphine 10 mg/mL injection solution, 10.00 
"morphine 10 mg/mL injection solution,morphine 10 mg/mL injection syringe,morphine 10 mg/mL intravenous cartridge,morphine 10 mg/mL intravenous solution,morphine 10 mg/mL intravenous syringe", 10.00 
morphine 10 mg/mL intravenous cartridge, 10.00 
morphine 15 mg immediate release tablet, 2.73 
morphine 2 mg/mL injection solution, 10.00 
morphine 2 mg/mL injection syringe, 10.00 
"morphine 2 mg/mL injection syringe,morphine 2 mg/mL intravenous syringe,morphine 2 mg/mL intravenous cartridge,morphine 2 mg/mL (1 mL) in 0.9 % sodium chloride intravenous syringe,morphine (PF) 2 mg/mL in 0.9% sodium chloride intravenous syringe,morphine 2 mg/mL injection solution", 10.00 
morphine 2 mg/mL intravenous cartridge, 10.00 
"morphine 30 mg/30 mL (1 mg/mL) intravenous PCA syringe,morphine 30 mg/30 mL (1 mg/mL) in 0.9% sodium chloride IV PCA syringe,morphine (PF) 30 mg/30 mL PCA intravenous solution", 43.20 
morphine 4 mg/mL injection solution, 10.00 
"morphine 4 mg/mL injection syringe,morphine 4 mg/mL intravenous solution,morphine 4 mg/mL intravenous syringe,morphine 4 mg/mL intravenous cartridge,morphine 4 mg/mL injection solution", 10.00 
morphine 5 mg/mL injection solution, 10.00 
morphine 50 mg/50 mL (1 mg/mL) in 0.9 % sodium chloride IV PCA syringe, 32.70 
"morphine ER 15 mg tablet,extended release", 5.57 
"MORPHOMETRIC IHC, EACH", 100.00 
MORSEL BLOCK 1.2CC, 620.00 
MORSEL BLOCKS 10CC," 1,720.00 "
MOTION FLUORO SWALLOW;CINE/VID, 185.00 
moxifloxacin 0.5 % eye drops, 13.14 
moxifloxacin 400 mg/250 mL-sodium chloride(iso) intravenous piggyback, 183.75 
"moxifloxacin 400 mg/250 mL-sodium chloride(iso) intravenous piggyback,moxifloxacin 400 mg/250 mL-sodium acet,sul-water intravenous piggyback", 183.75 
MRA ABD W/W0 CONTRAST," 1,153.00 "
MRA HEAD W/AND/WO CONTRAST," 2,090.00 "
MRA HEAD W/O CONTRAST," 1,300.00 "
MRA NECK W/AND/WO CONTRAST," 2,090.00 "
MRA NECK W/O CONTRAST," 1,300.00 "
MRI ABDOMEN W/O CONTRAST," 1,153.00 "
MRI ABDOMEN W/WO CONTRAST," 2,310.00 "
MRI BRAIN INCL BRAIN STEM W/CONTRAST," 1,396.00 "
MRI BRAIN W/O CONTRAST," 1,300.00 "
MRI BRAIN W/WO CONTRAST," 2,090.00 "
MRI CHEST WITHOUT CONTRAST," 1,300.00 "
MRI LO EXT W&W/O CONTRAS," 2,090.00 "
MRI LOW EXT JT W/CONTRAST BOTH," 1,396.00 "
MRI LOW EXT JT W/O CONTR," 2,600.00 "
MRI LOW EXT JT W/WO CONT," 2,310.00 "
MRI LOW EXT W/O CONTRAST," 2,600.00 "
MRI ORB/FACE/NECK W&W/O CONTR," 2,090.00 "
MRI PELVIS W & W/O CONTRAST," 2,310.00 "
MRI PELVIS W/O CONTRAST," 1,300.00 "
MRI PELVIS WITH CONTRAST," 1,518.00 "
MRI SPINE CERVICAL W/O CONTRAS," 1,300.00 "
MRI SPINE CERVICAL W/WO CONTR," 2,090.00 "
MRI SPINE LUMBAR W/WO CONTRA," 1,878.00 "
MRI SPINE LUMBAR WITH CONTRAST," 1,396.00 "
MRI SPINE LUMBAR WITHOUT CONTRAST," 1,300.00 "
MRI SPINE THORACIC W/ CONTRAST," 1,396.00 "
MRI SPINE THORACIC W/O CONTRAS," 1,300.00 "
MRI SPINE THORACIC W/WO CONT," 1,878.00 "
MRI UP EXT JT W&W/O CONT," 2,310.00 "
MRI UP EXT JT W/CONTRAST," 1,396.00 "
MRI UP EXT JT W/O CONTRAS," 1,300.00 "
MRI UP EXT W&W/O CONTRAS," 1,650.00 "
MRI UP EXT W/O CONTRAST," 1,300.00 "
MRSA SCREEN ONLY, 60.00 
MSH2 GENE FULL SEQ, 556.00 
MSH6 GENE FULL SEQ, 318.00 
"MUCOPOLYSACCHARIDES, QUANT", 78.87 
MULTIPLE SLEEP LATENCY TEST," 3,140.00 "
multivit and minerals-ferrous gluconate 9 mg iron/15 mL oral liquid, 18.60 
multivit with mins no.20-ferrous fum 27 mg iron-folic acid 1 mg tablet, 2.52 
multivitamin oral liquid, 2.00 
multivitamin-iron 9 mg-folic acid 400 mcg-calcium and minerals tablet, 2.00 
"MUMPS AB, IGG", 87.00 
MUMPS ANTIBODIES IGM (EIA), 50.00 
mupirocin 2 % topical ointment, 74.93 
"mvi, adult no.4, vit K (vial 2 of 2) 600 mcg-60 mcg-5 mcg/5 mL IV soln", 36.41 
"mvi,adult no.4 with vit K 3300 unit-150 mcg/10 mL intravenous solution", 72.83 
"mvi,adult no.4,vit K,comp(vial 1 of 2) 3,300 unit-150 mcg/5 mL IV soln", 36.41 
MYCOBAC CULTURE(AFB), 64.00 
"MYCOBAC ORG ID DEFIN, EACH", 16.73 
MYCOBACTERIUM ID BY PROBE-EACH, 63.00 
MYCOPLASMA PNEUMONIAE AB IGM BY IFA, 65.00 
MYCOPLASMA PNEUMONIAE IGG-RL, 50.00 
MYCOPLASMA PNEUMONIAE IGM, 50.00 
MYELOPEROXIDASE ANTIBODIES, 44.00 
"N BLOCK, TRANSNASAL SPHENOPALATINE GANGLION", 686.00 
nadolol 20 mg tablet, 13.52 
NAIL," 1,010.00 "
NAIL 10 X 345," 2,751.00 "
NAIL 12ML 130 DE X 170M," 2,751.00 "
NAIL 130-DEG 9X420MM RIGHT STR, 206.00 
NAIL 130-DEG INTRAMED 11X230MM," 4,470.00 "
NAIL CANNULATED TIBIAL 12MM TI," 4,470.00 "
NAIL DRILL VALOR LONG 4.3X120M, 620.00 
NAIL DRILL VALOR SHORT 4.3X80M, 620.00 
NAIL ELASTIC 3.5MM BLUE, 620.00 
NAIL ELASTIC TITANIUM 2.0MM, 620.00 
NAIL ELASTIC TITANIUM 2.5MM, 620.00 
NAIL ELASTIC TITANIUM 3.0MM, 620.00 
NAIL ELASTIC TITANIUM 4.0MM," 1,010.00 "
NAIL FEM CANN RETRO 15X380 STE," 4,470.00 "
NAIL FEM CANN RETRO 15X400 STE," 4,470.00 "
NAIL FEM INTERTAN 10S 10X18CM," 2,751.00 "
NAIL FEM ITST 11MMX42CM LEFT, 206.00 
NAIL FEM PROX 12MMX42CM RIGHT, 206.00 
NAIL FEM RECON ENTRY 10X360 RT," 4,470.00 "
NAIL FEM RECON ENTRY 13X420 LF," 4,470.00 "
NAIL FEM RECON LAT 11X400 RT," 4,470.00 "
NAIL FEM RECONSTR 12MMX36CM SS, 206.00 
NAIL FEMORAL, 206.00 
NAIL FEMORAL 11MM, 206.00 
NAIL FEMORAL 13 X 44MM, 206.00 
NAIL FEMORAL 380MM," 4,470.00 "
NAIL FEMORAL RIGHT 12X380MM," 6,876.00 "
NAIL FIX CANN 10X180MM RIGHT," 4,470.00 "
NAIL FIXATION 11 X 380MM," 4,470.00 "
NAIL FIXATION TRACH 11 X 420," 4,470.00 "
NAIL GAMMA 125 DEG 10X170MM," 4,470.00 "
NAIL GAMMA 125 DEG 10X360MM," 4,470.00 "
NAIL GAMMA 125 DEG 10X380MM," 4,470.00 "
NAIL GAMMA 125 DEG 10X400MM," 4,470.00 "
NAIL GAMMA 130 DEG 10X340MM," 4,470.00 "
NAIL GAMMA 130 DEG 11X180MM," 2,751.00 "
NAIL GAMMA 130 DEG 11X360MM," 4,470.00 "
NAIL GAMMA 130 DEG 11X380MM," 4,470.00 "
NAIL GAMMA 130 DEG 13X380MM," 4,470.00 "
NAIL GAMMA 3 125D ANG 11X180," 2,751.00 "
NAIL GAMMA 3 125D LONG 11X360," 4,470.00 "
NAIL GAMMA 3 125D LONG 11X380," 4,470.00 "
NAIL GAMMA 3 125D LONG 11X420," 4,470.00 "
NAIL GAMMA3 LNG 125DEG 11X340," 6,876.00 "
NAIL HUM CAN TI 9X230MM STERIL," 4,470.00 "
NAIL HUM PROX CANN 9X220 STER," 4,470.00 "
NAIL HUM PROX CANN 9X260 STER," 4,470.00 "
NAIL HUMERAL, 206.00 
NAIL HUMERAL 9MMX24CM, 206.00 
NAIL HUMERL 7X250," 4,470.00 "
NAIL I/M TIBIA 280MMX9.3MM, 206.00 
NAIL I/M TIBIA 340MMX10MM," 2,751.00 "
NAIL I/M TIBIA 360MMX10MM, 206.00 
NAIL I/M TIBIA 380MMX10MM, 206.00 
NAIL IM 1.5 125DEG 11.5X40CM R," 2,751.00 "
NAIL IM 3R1.5 125DEG 10 X 340," 4,470.00 "
NAIL IM CANN 130 DEG 10X170," 4,470.00 "
NAIL IM CANN 130 DEG 11X170," 4,470.00 "
NAIL IM CANN 130 DEG 11X340 L," 4,470.00 "
NAIL IM CANN 130 DEG 11X340 R," 4,470.00 "
NAIL IM CANN 130 DEG 11X360 L," 4,470.00 "
NAIL IM CANN 130 DEG 11X360 R," 4,470.00 "
NAIL IM CANN 130 DEG 11X380 R," 4,470.00 "
NAIL IM CANN 130 DEG 11X400 L," 4,470.00 "
NAIL IM CANN 130 DEG 11X400 R," 4,470.00 "
NAIL IM CANN 130 DEG 11X420 L," 4,470.00 "
NAIL IM CANN 130 DEG 11X420 R," 4,470.00 "
NAIL IM CANN 130 DEG 12X360 L," 4,470.00 "
NAIL IM CANN 130 DEG 12X400 R," 4,470.00 "
NAIL IM CANN 130 DEG 12X420 R," 4,470.00 "
NAIL IM FEM 125DEG 10MMX18CM," 2,751.00 "
NAIL IM FEM 125DEG 10MMX34CM L," 2,751.00 "
NAIL IM FEM 125DEG 10MMX36CM L," 2,751.00 "
NAIL IM GAMMA 10X300MM TI R," 4,470.00 "
NAIL IM GAMMA 130 DEG 11X380MM," 4,470.00 "
NAIL IM HIP AFFIXUS  9X180MM," 2,751.00 "
NAIL IM HUMERAL CANN 10X360," 4,470.00 "
NAIL IM HUMERAL CANN 9X240," 4,470.00 "
NAIL IM POLARUS 3 150 MM RIGHT," 4,470.00 "
NAIL IM VALOR MED 11.5X200MM R," 6,876.00 "
NAIL INTRAMED SMALL BONE 1.6X8, 620.00 
NAIL NATURAL PIN 3.2MM X 508, 206.00 
NAIL RECON ZMS, 206.00 
NAIL SHORT 11X 180MM," 2,751.00 "
NAIL T2 STD. TIBIAL 11X330MM," 2,751.00 "
NAIL TFNA 12MM 130DEG 170MM ST," 4,470.00 "
NAIL TFNA 130DEG 11MM L STRL," 4,470.00 "
NAIL THRC CANN 130DEG 11X420 L," 4,470.00 "
NAIL THRC CANN 130DEG 11X420 R," 4,470.00 "
NAIL TIB CANN 10X330 TTNM STER," 4,470.00 "
NAIL TIB CANN 10X345 TTNM STER," 4,470.00 "
NAIL TIB CANN 11X285 TTNM STER," 4,470.00 "
NAIL TIB CANN 12X330 TTNM STER," 4,470.00 "
NAIL TIBAL 10.0X315," 4,470.00 "
NAIL TIBIA 9 X 300," 2,751.00 "
NAIL TIBIA 9 X 345," 2,751.00 "
NAIL TIBIAL, 206.00 
NAIL TIBIAL 10 X 330MM," 2,751.00 "
NAIL TIBIAL 11X360," 4,470.00 "
NAIL TIBIAL 12 X 375," 2,751.00 "
NAIL TIBIAL 300MM," 4,470.00 "
NAIL TIBIAL INTRA STND T2 10X3," 2,751.00 "
NAIL TIBIAL T2 11X345MM TI STR," 2,751.00 "
NAIL TIBIAL T2 11X360MM TI STR," 2,751.00 "
NAIL TIBIAL T2 12X360MM STD," 4,470.00 "
NAIL TIBIAL T2 8-11MM ELASTIC, 206.00 
NAIL TROCHNTRC L 11MMX36X125D," 4,470.00 "
nalbuphine 10 mg/mL injection solution, 13.04 
naloxone 0.4 mg/mL injection solution, 28.28 
"naloxone 0.4 mg/mL injection solution,naloxone 0.4 mg/mL injection syringe", 28.28 
naltrexone 50 mg tablet, 6.47 
naphazoline 0.025 %-pheniramine 0.3 % eye drops, 20.67 
naproxen 250 mg tablet, 2.33 
naproxen 500 mg tablet, 2.00 
naproxen sodium 275 mg tablet, 8.32 
naproxen sodium 550 mg tablet, 5.96 
NASAL BONES COMP 3VIEWS, 185.00 
NASAL PACK/CAUTERY ANT COM, 380.00 
NASAL PACKING/CAUTERY ANT, 380.00 
NASO-GASTRIC TUBE PLACEMENT, 625.00 
nateglinide 120 mg tablet, 2.59 
nateglinide 60 mg tablet, 5.86 
NATRIURETIC PEPTIDE ASSAY, 175.00 
NAVITRACKER KIT KNEE SPINE, 687.50 
NDL ADULT BRK TRANSSEPTAL, 605.00 
NDL APPLICATOR SEED IMPLANT, 19.25 
NDL ASPIRATING VIZISHOT 20-40M, 195.72 
NDL ASPIRATION 8X150MM, 206.25 
NDL AVAFLEX PLUS CURVED," 1,168.75 "
NDL AVAFLEX VERTEBRAL 11G CRV," 1,168.75 "
NDL BIOPSY ASPIRATION 21G, 301.70 
NDL BONE CEM 12GX7.5CM, 133.84 
NDL BONE FILLER 12GX10CM, 133.84 
NDL BONE MARROW 8GX6IN, 309.38 
NDL BONE MARROW FEN 8GX6IN, 327.25 
NDL BROCKENBROUGH ADULT, 605.00 
NDL CONCEPT SUTURE PASSING., 412.50 
NDL EMG MODULE," 2,887.50 "
NDL EYE SNARE 16FR 13MM W/1," 3,300.00 "
NDL ICEEDGE 2.4 90 DEGREE," 3,300.00 "
NDL ICEFORCE 2.1 CX 90 DEG," 3,987.50 "
NDL ICEFORCE 2.1 CX L 90DEG," 4,125.00 "
NDL ICEFORCE 2.1CX CRYO," 4,540.25 "
NDL ICEPEARL 2.1 CX 90 DEG," 3,987.50 "
NDL ICEPEARL 2.1 CX L 90DEG," 4,125.00 "
NDL ICEROD PLUS," 3,162.50 "
NDL ICESPHERE," 3,162.50 "
NDL ICESPHERE 90 DEGREE," 3,162.50 "
NDL ICESPHERE S 90 DEGREE," 3,300.00 "
NDL INTRODUCER 11 G X 6 IN, 206.00 
NDL NRG TRNSPTAL 18GAX56CM," 1,361.25 "
NDL NRG TRNSPTAL C0 18GAX71CM," 1,361.25 "
NDL NRG TRNSPTAL C1 18GAX71CM," 1,361.25 "
NDL ONQ QUICKBLOC NON STIM, 77.00 
NDL ONQ QUICKBLOC STIM 100MM, 88.00 
NDL SCORPIAN SUTURE PASSER, 385.00 
NDL SIDEKICK RIGID 21GA, 117.56 
NDL SLIDER 25 DEG LEFT, 624.80 
NDL SLIDER 25 DEG RIGHT, 624.80 
NDL SLIDER 30 DEG STRAIGHT, 624.80 
NDL SLIDER 45 DEG LEFT, 624.80 
NDL SLIDER 45 DEG RIGHT, 624.80 
NDL SPECTRUM AUTOPASS, 721.05 
NDL SUREFIRE SCORPION RC, 385.00 
NDL SUTURE CAPTURE FIRSTPASS, 481.25 
NDL SUTURE FLEXIBLE, 419.10 
NDL SUTURE PASSER, 405.35 
NDL TRANSEPTAL ADULT 71.0, 380.35 
NDL TRANSEPTAL BRK1 18GA 89CM, 605.00 
NDL TRANSEPTAL PEDATRIC 56.0, 547.25 
NDL TRNSSPTL BRK-1 18GA 71CM, 605.00 
NDL TRNSSPTL BRK-1 18GA 98CM, 605.00 
NDL VL ICEROD CX 90 DEGREE," 3,712.50 "
NDL W/PD103 SEEDS STERILE, 96.25 
nebivolol 2.5 mg tablet, 15.70 
nebivolol 5 mg tablet, 10.61 
NECK SOFT TISSUE, 185.00 
NEEDLE CEM CF SYS 8GX10CM, 620.00 
"NEG PRESS WOUND TX, UTILIZE DME,  >50CM", 805.00 
"NEG PRESS WOUND TX, UTILIZE DME, <= 50CM", 254.00 
"neomycin 1.75 mg-polymyxin 10,000 unit-gramicidin 0.025mg/mL eye drops", 2.00 
"neomycin 3.5 mg/g-polymyxin B 10,000 unit/g-dexameth 0.1 % eye oint", 59.94 
"neomycin 3.5 mg-polymyxin 10,000 unit-hydrocort 10 mg/mL eye drop,susp", 4.15 
neomycin 500 mg tablet, 2.44 
"neomycin-bacitracin-polymyxn 3.5 mg-400 unit-10,000 unit/gram eye oint", 170.85 
"neomycin-bacitracn Zn-polymyx 3.5 mg-400 unit-5,000 unit/gram top oint", 10.56 
"neomycin-bacitracn Zn-polymyxn 3.5 mg-400 unit-5,000 unit top oint pkt", 2.00 
neomycin-polymyxin B-bacitracin-hydrocortisone 1 % top ointment, 572.18 
"neomycin-polymyxin-hydrocort 3.5 mg-10,000 unit/mL-1 % ear drops,susp", 291.68 
neostigmine methylsulfate 1 mg/mL intravenous solution, 66.09 
neostigmine methylsulfate 5 mg/5 mL (1 mg/mL) intravenous syringe, 102.27 
NERVE BLOCK - IMPAR GANGLION," 1,904.00 "
NERVE BLOCK INJ - CELIAC PLEXUS," 2,070.00 "
"NERVE BLOCK INJ - INTERCOSTAL, MULTIPLE"," 1,138.00 "
NERVE BLOCK INJ - OTHER PERIPHERAL, 485.00 
NERVE BLOCK INJ - SYMPATHETIC (THOR OR LUM)," 1,259.00 "
nesiritide 1.5 mg intravenous solution," 3,810.64 "
NET DISP 2.5MM ROTH RETRIEVAL, 250.25 
NEURAWRAP 10X4CM," 5,172.20 "
NEURAWRAP 3X4CM," 5,172.20 "
NEURAWRAP 7X4CM," 5,172.20 "
NEUROSTIMULATOR IMPL MULTI ACT," 48,126.00 "
NEUTROPHIL SPECIFIC ANTIBODIES, 81.00 
"niacin ER 500 mg capsule,extended release", 2.00 
"niacin ER 500 mg tablet,extended release", 2.00 
NIACIN LEVEL, 120.00 
niCARdipine 40 mg/200 mL in dextrose (iso-osm) intravenous piggyback, 732.00 
niCARdipine 40 mg/200 mL in sodium chloride(iso) intravenous piggyback, 807.90 
"NICOTINE & COTININE, BLD OR UR", 68.00 
nicotine (polacrilex) 2 mg buccal mini lozenge, 2.00 
nicotine 14 mg/24 hr daily transdermal patch, 6.58 
nicotine 21 mg/24 hr daily transdermal patch, 6.21 
nicotine 7 mg/24 hr daily transdermal patch, 7.18 
NIFEdipine 10 mg capsule, 3.77 
NIFEdipine 20 mg capsule, 4.48 
"NIFEdipine ER 30 mg tablet,extended release 24 hr", 4.00 
"NIFEdipine ER 60 mg tablet,extended release 24 hr", 3.42 
niMODipine 30 mg capsule, 55.23 
nitrofurantoin monohydrate/macrocrystals 100 mg capsule, 12.44 
nitroglycerin 0.2 mg/hr transdermal 24 hour patch, 3.47 
nitroglycerin 0.4 mg sublingual tablet, 3.03 
nitroglycerin 0.4 mg/hr transdermal 24 hour patch, 12.83 
nitroglycerin 2 % transdermal ointment, 3.13 
nitroglycerin 400 mcg/spray translingual, 2.00 
nitroglycerin 50 mg/250 mL (200 mcg/mL) in 5 % dextrose intravenous, 69.75 
"NMO/AQP4 FACS, CSF - RL", 320.00 
"NMO/AQP4 FACS, S - RL", 320.00 
NON-FILTERED TC99M SULF COLL UP TO 20MCI DX, 115.00 
NON-STRESS TEST, 230.00 
norepinephrine bitartrate 1 mg/mL intravenous solution, 56.61 
norepinephrine bitartrate 4 mg/250 mL (16 mcg/mL) in dextrose 5 % IV, 91.13 
norethindrone acetate 5 mg tablet, 3.97 
norflurane-pentafluoropropane topical spray, 120.63 
NOROVIRUS GROUP #1, 43.00 
NOROVIRUS GROUP #2, 43.00 
nortriptyline 10 mg capsule, 2.21 
nortriptyline 25 mg capsule, 2.00 
NOSE TO RECTUM/FOREIGN BODY, 185.00 
NOVASHIELD PACKING, 345.95 
NOVOCUT SUTURE MANAGER, 192.50 
NSL WD/S DEB W/O ANES, 450.00 
"N-TELEOPEPTIDE, SERUM", 154.00 
N-TYPE CALCIUM CHANNEL AB, 18.00 
NUCLEUS 5 SYSTEM," 68,049.11 "
NUCLEUS PROF MODIOLAR ELECTRD," 39,471.85 "
NUCLEUS PROFILE CI522 KANSO BL," 38,096.85 "
NUCLEUS SOUND PROCESSOR CHRCL," 15,881.25 "
NUCLEUS SOUND PROCESSOR SAND," 15,881.25 "
NUDT15 GENOTYPE, 215.00 
NURSERY ROOM CHARGE, 290.00 
NUT 11MM FOR 4.5MM SCREW, 206.00 
NUT BONE SCREW CPS," 1,010.00 "
NUT DISTRACTOR MR SAFE, 206.00 
NUT EXT FIX MR SAFE SINGLE, 206.00 
NUT SPINAL OUTER CONNECTOR, 206.00 
