SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
Radiology and Other Imaging,T-SPINE THORACOLUMBAR MIN 2 VIEWS,$344.00 
Radiology and Other Imaging,T-SPINE THORACOLUMBAR MIN 2 VIEWS,$334.00 
Radiology and Other Imaging,TEMPOROMANDIBULAR JOINT ARTHROGRAPHY,$431.00 
Radiology and Other Imaging,TIBIA & FIBULA 2 VIEWS,$298.75 
Radiology and Other Imaging,TMJ OPEN & CLOSED MOUTH BILATERAL,$426.50 
Radiology and Other Imaging,TMJ OPEN & CLOSED MOUTH UNILATERAL,$298.00 
Radiology and Other Imaging,TOE 2+ VIEWS,$227.25 
Radiology and Other Imaging,TPA OPEN/PERCT BRACH TRNK/BRNCH EA VESS,"$17,864.75 "
Radiology and Other Imaging,TPA OPEN/PERCUT ABDOMINAL AORTA,"$17,864.75 "
Radiology and Other Imaging,TPA OPEN/PERCUT ILIAC ARTERY EA VESSEL,"$17,864.75 "
Radiology and Other Imaging,TPA OPEN/PERCUT RENAL ARTERY,"$17,864.75 "
Radiology and Other Imaging,TPA OPEN/PERCUT VISCERAL ARTERY EA VESS,"$17,864.75 "
Radiology and Other Imaging,TRANSCATH THERAPY EMBOLIZATION S&I,"$5,433.00 "
Radiology and Other Imaging,TRANSCATHETER BIOPSY S&I,"$2,616.25 "
Radiology and Other Imaging,TRANSCERV CATH FALLOPIAN TUBE S&I,$952.25 
Radiology and Other Imaging,TRANSHEPAT PORTO PERC W/HEMO EVAL S&I,"$4,306.75 "
Radiology and Other Imaging,TRANSHEPAT PORTO PERC W/O HEMO EVL S&I,"$4,080.50 "
Radiology and Other Imaging,UGI AIR/BARIUM SBFT,$921.75 
Radiology and Other Imaging,UGI AIR/BARIUM W/ KUB,$800.25 
Radiology and Other Imaging,UGI AIR/BARIUM W/O KUB,$730.00 
Radiology and Other Imaging,UGI W/SMALL INTESTINES W/SERIES,$826.25 
Radiology and Other Imaging,ULTRASONIC GUIDED MULTIFETAL REDUCTION,"$1,020.00 "
Radiology and Other Imaging,ULTRASOUND ELASTOGRAPHY,$105.00 
Radiology and Other Imaging,"ULTRASOUND,ABDOMINAL WITH CONTRAST","$1,502.75 "
Radiology and Other Imaging,UNLISTED DX RADIOGRAPHIC PROCEDURE,$479.00 
Radiology and Other Imaging,UNLISTED FLUOROSCOPIC PROCEDURE,$778.50 
Radiology and Other Imaging,UPPER EXTREMITY INFANT 2+ VIEWS,$270.25 
Radiology and Other Imaging,UPPER GI W/ KUB,$817.50 
Radiology and Other Imaging,UPPER GI W/O KUB,$604.50 
Radiology and Other Imaging,URETHROCYSTOGRAPHY RETROGRADE S&I,$743.50 
Radiology and Other Imaging,URETHROCYSTOGRAPHY VOIDING S&I,$601.50 
Radiology and Other Imaging,UROGRAM ANTEGRADE S&I,$795.25 
Radiology and Other Imaging,UROGRAM INTRAVENOUS,$644.75 
Radiology and Other Imaging,UROGRAPHY RETROGRADE W/W/O KUB,$872.25 
Radiology and Other Imaging,US ABDL AORTA SCREEN AAA,$504.00 
Radiology and Other Imaging,US ABDOMEN COMPLETE,"$1,202.75 "
Radiology and Other Imaging,US ABDOMEN LIMITED,$710.50 
Radiology and Other Imaging,US ABDOMEN LIMITED,$710.50 
Radiology and Other Imaging,US BREAST UNI RT INCLD AXILLA COMPLETE,$442.00 
Radiology and Other Imaging,US BREAST UNI RT INCLD AXILLA LIMITED,$398.00 
Radiology and Other Imaging,US CHEST B-SCAN &/R-T IMAGE,$525.25 
Radiology and Other Imaging,US COMPLETE JOINT/PERI-ARTICULAR SOFT TISSUE,$282.75 
Radiology and Other Imaging,US DX B SCAN & QUANTITATIVE A SCAN,$568.75 
Radiology and Other Imaging,US ECHOENCEPHALOGRAPY B-SCAN&/R-T IMAGE,$440.50 
Radiology and Other Imaging,US ELASTOGRAPHY; EA ADDL TARGET LESION,94.5
Radiology and Other Imaging,US EYE DX CORNEAL PACHYMETRY UNI/BIL,$263.00 
Radiology and Other Imaging,US FETAL RT IMAGE DOC 1ST GESTATION,$307.00 
Radiology and Other Imaging,US FETAL RT IMAGE DOC EA ADDL GESTATION,$185.75 
Radiology and Other Imaging,US GUIDANCE INTRAOPERATIVE,$880.25 
Radiology and Other Imaging,US GUIDE AMNIOCENTESIS S&I,$622.25 
Radiology and Other Imaging,US GUIDE ASPIRATION OF OVA S&I,$875.75 
Radiology and Other Imaging,US GUIDE ENDOMYOCARDIAL BIOPSY S&I,"$1,800.25 "
Radiology and Other Imaging,US GUIDE INTERSTITIAL RADIOELEMNT,"$1,369.50 "
Radiology and Other Imaging,US GUIDE NEEDLE PLACEMENT S&I,$854.00 
Radiology and Other Imaging,US GUIDE NEEDLE PLACEMENT S&I,$854.00 
Radiology and Other Imaging,US GUIDE PERICARDIOCENTESIS S&I,"$1,148.00 "
Radiology and Other Imaging,US GUIDE VAD SITE PATENCY,$793.00 
Radiology and Other Imaging,US GUIDE VAD SITE PATENCY,$792.50 
Radiology and Other Imaging,US GUIDE VISCERAL TISSUE ABLATION,$900.50 
Radiology and Other Imaging,US INFANT HIPS DYNAMIC,$646.25 
Radiology and Other Imaging,US INFANT HIPS LIMITED/STATIC,$496.50 
Radiology and Other Imaging,US KIDNEY TRANSPLANTED W/ DOPPLER,$965.00 
Radiology and Other Imaging,US LIMITED JOINT/PERI-ARTICULAR SOFT TISSUE,$183.00 
Radiology and Other Imaging,US PELVIC NON-OB COMPLETE,$811.00 
Radiology and Other Imaging,US PELVIC NON-OB LIMITED/FOLLOW-UP,$627.25 
Radiology and Other Imaging,US RETROPERITONEAL COMPLETE,$820.75 
Radiology and Other Imaging,US RETROPERITONEAL LIMITED,$682.00 
Radiology and Other Imaging,US SCROTUM & CONTENTS,$730.25 
Radiology and Other Imaging,US SOFT TISSUE HEAD & NECK,$837.75 
Radiology and Other Imaging,US SOFT TISSUE HEAD & NECK,$837.75 
Radiology and Other Imaging,US SONOHYSTEROGRAPHY W/ COLOR FLOW DOP,$781.50 
Radiology and Other Imaging,US SPINAL CANAL & CONTENTS,$434.25 
Radiology and Other Imaging,US TARGETED CONTRAST 1ST LES,105
Radiology and Other Imaging,"US TARGETED CONTRAST ADDL LES,SEP INJ",94.5
Radiology and Other Imaging,US TRANSRECTAL,"$1,145.00 "
Radiology and Other Imaging,US TRANSRECTAL,"$1,145.00 "
Radiology and Other Imaging,US TRANSRECTAL PROSTATE VOL STUDY,$902.50 
Radiology and Other Imaging,US TRANSVAGINAL NON-OB,$587.50 
Radiology and Other Imaging,US TRANSVAGINAL NON-OB,$587.50 
Radiology and Other Imaging,US UTERUS FOLLOW-UP PER FETUS,$494.75 
Radiology and Other Imaging,US UTERUS FOLLOW-UP PER FETUS,$494.75 
Radiology and Other Imaging,US UTERUS LIMITED 1 OR MORE FETUSES,$641.00 
Radiology and Other Imaging,US UTERUS LIMITED 1 OR MORE FETUSES,$641.00 
Radiology and Other Imaging,US UTERUS PREGNANT <14 WKS 1 GEST,$671.25 
Radiology and Other Imaging,US UTERUS PREGNANT <14 WKS EA ADD GEST,$498.50 
Radiology and Other Imaging,US UTERUS PREGNANT >= 14WKS 1 GEST,$718.50 
Radiology and Other Imaging,US UTERUS PREGNANT >= 14WKS 1 GEST,$718.50 
Radiology and Other Imaging,US UTERUS PREGNANT >= 14WKS EA ADD GEST,$441.50 
Radiology and Other Imaging,US UTERUS PREGNANT TRANSVAGINAL,$434.75 
Radiology and Other Imaging,US UTERUS PREGNANT TRANSVAGINAL,$434.75 
Radiology and Other Imaging,US UTERUS W/DETAIL FETAL EXAM 1 GEST,$387.00 
Radiology and Other Imaging,"US, ELASTOGRAPHY; 1ST TARGET LESION",105
Radiology and Other Imaging,"US, ELASTOGRAPHY; PARENCHYMA (EG, ORGAN)",105
Radiology and Other Imaging,VEIN SAMPLING CATH W/W/O ANGIO S&I,"$3,808.75 "
Radiology and Other Imaging,VENOGRAM ADRENAL SELECTIVE BILAT S&I,"$3,007.75 "
Radiology and Other Imaging,VENOGRAM ADRENAL SELECTIVE UNILAT S&I,"$2,795.00 "
Radiology and Other Imaging,VENOGRAM CAVAL INFERIOR W/SERIAL S&I,"$3,830.25 "
Radiology and Other Imaging,VENOGRAM CAVAL SUPERIOR W/SERIAL S&I,"$3,982.00 "
Radiology and Other Imaging,VENOGRAM EPIDURAL S&I,"$2,795.00 "
Radiology and Other Imaging,VENOGRAM EXTREMITY BILATERAL S&I,"$2,172.25 "
Radiology and Other Imaging,VENOGRAM EXTREMITY UNILATERAL S&I,"$2,031.25 "
Radiology and Other Imaging,VENOGRAM LIVER WDG/FR W/O HEMODYN S&I,"$2,823.00 "
Radiology and Other Imaging,VENOGRAM LIVER WEDG/FREE W/HEMODYN S&I,"$4,207.25 "
Radiology and Other Imaging,VENOGRAM ORBITAL S&I,"$2,795.00 "
Radiology and Other Imaging,VENOGRAM RENAL SELECTIVE BILAT S&I,"$3,486.00 "
Radiology and Other Imaging,VENOGRAM RENAL SELECTIVE UNILAT S&I,"$2,772.00 "
Radiology and Other Imaging,VENOGRAM SUPERIOR SAGIT SINUS S& I,"$1,318.00 "
Radiology and Other Imaging,VENOGRAM VENOUS SINUS/JUGULAR CATH S&I,"$2,795.00 "
Radiology and Other Imaging,VERTEBRAL FRACTURE ASSESS VIA DXA,$121.25 
Radiology and Other Imaging,WRIST 2 VIEWS,$238.25 
Radiology and Other Imaging,WRIST ARTHROGRAM S&I,$666.25 
Radiology and Other Imaging,WRIST COMPLETE 3+ VIEWS,$281.75 
Radiology and Other Imaging,X-RAY EXAM ABDOMEN 1 VIEW,$362.00 
Radiology and Other Imaging,X-RAY EXAM ABDOMEN 2 VIEWS,$425.25 
Radiology and Other Imaging,X-RAY EXAM ABDOMEN 3+ VIEWS,$420.25 
Radiology and Other Imaging,X-RAY EXAM CHEST 1 VIEW,$428.00 
Radiology and Other Imaging,X-RAY EXAM CHEST 2 VIEWS,$518.00 
Radiology and Other Imaging,X-RAY EXAM CHEST 3 VIEWS,$553.25 
Radiology and Other Imaging,X-RAY EXAM CHEST 4+ VIEWS,$681.50 
Radiology and Other Imaging,X-RAY INTERNAL AUDITORY MEATI COMPLETE,$222.75 
Radiology and Other Imaging,X-RAY OPTIC FORAMINA,$302.50 
Radiology and Other Imaging,X-RAY STELLA TURCICA,$161.00 
Rehab Therapy Services,ACOUSTIC IMMITTANCE TESTING,$580.50 
Rehab Therapy Services,ACOUSTIC REFLEX TESTING THRESHOLD,$193.75 
Rehab Therapy Services,ANALY DX COCHLEAR IML >7 YO SUBSQ PROG,$400.00 
Rehab Therapy Services,ANALY DX COCHLEAR IMPL <7 YO SUBSQ PROG,$491.75 
Rehab Therapy Services,ANALY DX COCHLEAR IMPL <7 YO W/ PROGRM,$484.25 
Rehab Therapy Services,ANALY DX COCHLEAR IMPL >7 YO W/ PROGRM,$400.00 
Rehab Therapy Services,ASSESSMENT OF APHASIA PER HOUR,$454.00 
Rehab Therapy Services,AUDIOLOGY 15 MIN PROGRAM (MONAURAL),$150.00 
Rehab Therapy Services,AUDIOLOGY 30 MIN PROGRAM (BINAURAL),$274.00 
Rehab Therapy Services,AUDIOLOGY TRIAL PERIOD FEE,$400.00 
Rehab Therapy Services,AUDIOMETRY COMPREHENSIVE W/ SPEECH,$338.25 
Rehab Therapy Services,AUDIOMETRY PURE TONE AIR ONLY,$129.75 
Rehab Therapy Services,AUDIOMETRY PURE TONE AND BONE,$252.25 
Rehab Therapy Services,AUDIOMETRY SPEECH THRESHOLD,$93.00 
Rehab Therapy Services,AUDITORY EVOKED POTENTIALS COMPREHENS,$740.00 
Rehab Therapy Services,AUDITORY EVOKED POTENTIALS LIMITED,$304.50 
Rehab Therapy Services,AUDITORY EVOKED POTENTIALS LIMITED,$304.50 
Rehab Therapy Services,AUDITORY REHAB POSTLINGUAL HEAR LOSS,$312.00 
Rehab Therapy Services,AUDITORY REHAB PRELINGUAL HEAR LOSS,$287.00 
Rehab Therapy Services,BAHA EVALUATION AND FITTING,$312.00 
Rehab Therapy Services,BASIC VESTIBULAR EVALUATION,"$1,264.75 "
Rehab Therapy Services,BEHAVRAL QUALIT ANALYS VOICE/RESONANCE,$653.00 
Rehab Therapy Services,BINOCULAR MICROSCOPY,$78.50 
Rehab Therapy Services,CALORIC VEST W/RECRD BIL MONOTHERMAL,$606.50 
Rehab Therapy Services,CALORIC VEST W/RECRD BILAT BITHERMAL,$674.00 
Rehab Therapy Services,CANALITH REPOSITIONING PROCEDURE,$358.75 
Rehab Therapy Services,CHECK HEARING AID BINAURAL,$30.00 
Rehab Therapy Services,CHECK HEARING AID MONAURAL,$15.00 
Rehab Therapy Services,CONDITIONING PLAY AUDIOMETRY,$261.75 
Rehab Therapy Services,CONFORMITY EVALUATION,129.72
Rehab Therapy Services,DEVELOPMENTAL SCREENING W/ SCORE,$350.50 
Rehab Therapy Services,DEVELOPMENTAL TESTING BY INSTRUMENT,$560.50 
Rehab Therapy Services,EAR PROTECTOR EVALUATION,$87.00 
Rehab Therapy Services,ELECTOACOUSTIC EVAL HEARING AID BINAURL,$30.00 
Rehab Therapy Services,ELECTOACOUSTIC EVAL HEARING AID MONAURL,$15.00 
Rehab Therapy Services,ELECTROCOCHLEOGRAPHY,$624.00 
Rehab Therapy Services,EVAL AUDITORY REHAB STATUS 1ST HR,$572.50 
Rehab Therapy Services,EVAL AUDITORY REHAB STATUS EA ADL 15M,$104.00 
Rehab Therapy Services,EVAL CENTRAL AUDITORY FUNC 1ST 60 MINS,$281.00 
Rehab Therapy Services,EVAL CENTRAL AUDITORY FUNC EA ADL 15 MN,$60.50 
Rehab Therapy Services,EVAL FLEX FLUORO CINE/VIDEO,$520.00 
Rehab Therapy Services,EVAL MOTION FLUORO CINE/VIDEO,$719.00 
Rehab Therapy Services,EVAL ORAL/PHARYNGEAL SWALLOW  FUNCTION,$511.75 
Rehab Therapy Services,EVAL USE/FIT VOICE PROSTHETIC,$719.00 
Rehab Therapy Services,EVAL USE/FIT VOICE PROSTHETIC,$719.00 
Rehab Therapy Services,EVALUATE SPEECH SOUND PRODUCTION,$653.00 
Rehab Therapy Services,EVALUATION OF SPEECH FLUENCY,$653.00 
Rehab Therapy Services,EVOKED OAE SCREENING,$99.50 
Rehab Therapy Services,EXAM/SELECTION HEARING AID BINAURAL,$200.00 
Rehab Therapy Services,EXAM/SELECTION HEARING AID MONAURAL,$200.00 
Rehab Therapy Services,FACIAL NERVE FUNCTION STUDIES,$837.50 
Rehab Therapy Services,FISTULA TEST,$150.00 
Rehab Therapy Services,HEARING AID REMAKE,$450.00 
Rehab Therapy Services,HEARING AID REPAIR,$300.00 
Rehab Therapy Services,HEARING AID REPAIR/MODIFYING,259.09
Rehab Therapy Services,NASOPHARYNGOSCOPY WITH ENDOSCOPE,$287.00 
Rehab Therapy Services,NEUROMUSCULAR RE EDUCATION EA 15 MIN,$146.50 
Rehab Therapy Services,NIM AUDITORY EVOKED POTENTIALS COMPREH,$740.00 
Rehab Therapy Services,OAE COMPREHENSIVE (>= 12 FREQ),$229.25 
Rehab Therapy Services,OAE LIMITED (3-6 FREQ),$225.00 
Rehab Therapy Services,OPTOKINETIC NYSTAGMUS TEST BIDIRECTIONL,$283.50 
Rehab Therapy Services,OSCILLATING TRACKING TEST,$299.00 
Rehab Therapy Services,OT COMMUNITY/WORK REINTEGRAT EA 15 MINS,$150.50 
Rehab Therapy Services,OT CONTRAST BATH EA 15 MINS,$98.00 
Rehab Therapy Services,OT DEVELOP COGNITIVE SKILLS DIRECT EA 15 MINS,$145.00 
Rehab Therapy Services,OT EVAL HIGH COMPLEX,$470.00 
Rehab Therapy Services,OT EVAL LOW COMPLEX,$388.00 
Rehab Therapy Services,OT EVAL MOD COMPLEX,$427.00 
Rehab Therapy Services,OT HOT/COLD PACK APPLICATION,$88.50 
Rehab Therapy Services,OT IONTOPHORESIS EA 15 MINS,$159.00 
Rehab Therapy Services,OT MANUAL THERAPY EA 15 MINS,$144.50 
Rehab Therapy Services,OT MASSAGE EA 15 MIN,$136.00 
Rehab Therapy Services,OT MED CONFERENCE W/ PAT >30 MIN,$93.00 
Rehab Therapy Services,OT MED CONFERENCE W/O PAT >30 MIN,$93.00 
Rehab Therapy Services,OT NEUROMUSCULAR RE EDUCATION EA 15 MIN,$146.50 
Rehab Therapy Services,OT ORTHC/PROSTC MGMT SBSQ ENC,$148.50 
Rehab Therapy Services,OT ORTHOTIC MANAGE/TRAIN EA 15 MINS,$148.50 
Rehab Therapy Services,OT PARAFFIN BATH,$99.75 
Rehab Therapy Services,OT PROSTHETIC TRAINING EA 15 MINS,$141.25 
Rehab Therapy Services,OT RE-EVAL EST PLAN CARE,$309.75 
Rehab Therapy Services,OT SELF CARE/HOME MANAGEMENT EA 15 MINS,$124.25 
Rehab Therapy Services,OT SENSORY INTEGRATION EA 15 MINS,$141.75 
Rehab Therapy Services,OT THER IVNTJ W/FOCUS COG FUNCJ,$145.00 
Rehab Therapy Services,OT THERAPEUTIC ACTIVITIES EA 15 MINS,$139.50 
Rehab Therapy Services,OT THERAPEUTIC EXERCISE EA 15 MINS,$153.50 
Rehab Therapy Services,OT THERAPEUTIC PROCEDURE GROUP,$146.50 
Rehab Therapy Services,OT ULTRASOUND EA 15 MINS,$124.50 
Rehab Therapy Services,OT WHIRLPOOL,$109.50 
Rehab Therapy Services,POSITIONAL NYSTAGMUS MIN 4 POSITIONS,$302.25 
Rehab Therapy Services,PT CANALITH REPOSITIONING PROCEDURE,$358.75 
Rehab Therapy Services,PT DEBRIDE OPEN WOUND <= 20 SQ CM,$272.50 
Rehab Therapy Services,PT DEBRIDE OPEN WOUND EA ADDL 20 SQ CM,$328.50 
Rehab Therapy Services,PT DEBRIDEMENT NON SELECTIVE EA SESSION,$199.75 
Rehab Therapy Services,PT ELECTRICAL STIMULATION MANUAL 15 MIN,$127.50 
Rehab Therapy Services,PT ELECTRICAL STIMULATION UNATTENDED,$127.50 
Rehab Therapy Services,PT EVAL HIGH COMPLEX 45 MIN,$418.00 
Rehab Therapy Services,PT EVAL LOW COMPLEX 20 MIN,$345.00 
Rehab Therapy Services,PT EVAL MOD COMPLEX 30 MIN,$380.00 
Rehab Therapy Services,PT GAIT TRAINING EA 15 MIN,$139.00 
Rehab Therapy Services,PT HOT/COLD PACK APPLICATION,$88.50 
Rehab Therapy Services,PT HUBBARD TANK/HYDROTHERAPY EA 15 MINS,$111.00 
Rehab Therapy Services,PT IONTOPHORESIS EA 15 MINS,$159.00 
Rehab Therapy Services,PT MANUAL THERAPY EA 15 MINS,$144.50 
Rehab Therapy Services,PT MASSAGE EA 15 MIN,$136.00 
Rehab Therapy Services,PT MECHANICAL TRACTION,$115.00 
Rehab Therapy Services,PT MED CONFERENCE W/ PAT >30 MIN,$93.00 
Rehab Therapy Services,PT MED CONFERENCE W/O PAT >30 MIN,$93.00 
Rehab Therapy Services,PT NEUROMUSCULAR RE EDUCATION EA 15 MIN,$146.50 
Rehab Therapy Services,PT ORTHC/PROSTC MGMT SBSQ ENC,$148.50 
Rehab Therapy Services,PT ORTHOTIC MANAGE/TRAIN EA 15 MINS,$148.50 
Rehab Therapy Services,PT PHYSICAL PERFORMANCE TEST EA 15 MINS,$138.00 
Rehab Therapy Services,PT PROSTHETIC TRAINING EA 15 MINS,$141.25 
Rehab Therapy Services,PT RE-EVAL EST PLAN CARE,$182.25 
Rehab Therapy Services,PT THERAPEUTIC ACTIVITIES EA 15 MINS,$139.50 
Rehab Therapy Services,PT THERAPEUTIC EXERCISE EA 15 MINS,$153.50 
Rehab Therapy Services,PT THERAPEUTIC PROCEDURE GROUP,$146.50 
Rehab Therapy Services,PT ULTRASOUND EA 15 MINS,$124.50 
Rehab Therapy Services,PT WHEELCHAIR MANAGEMENT EA 15 MINS,$84.50 
Rehab Therapy Services,PT WHIRLPOOL,$109.50 
Rehab Therapy Services,SCREENING TEST PURE TONE AIR ONLY,$112.75 
Rehab Therapy Services,SCREENING TEST PURE TONE AIR ONLY,$112.75 
Rehab Therapy Services,SELECT PICTURE AUDIOMETRY,$138.00 
Rehab Therapy Services,SPEECH SOUND LANG COMPREHEN/EXPRESS,$653.00 
Rehab Therapy Services,SPONTANEOUS NYSTAGMUS W/ GAZE/FIXATION,$381.00 
Rehab Therapy Services,ST DEVELOP COGNITIVE SKILLS DIRECT EA 15 MINS,145
Rehab Therapy Services,ST THER IVNTJ W/FOCUS COG FUNCJ,$145.00 
Rehab Therapy Services,STANDARDIZED COGNITIVE TEST PER HR,$280.00 
Rehab Therapy Services,STENGER TEST PURE TONE,$88.50 
Rehab Therapy Services,STENGER TEST SPEECH,$414.00 
Rehab Therapy Services,THERAPEUTIC PROCEDURE GROUP,$146.50 
Rehab Therapy Services,TINNITUS ASSESSMENT PTCH & LDNSS MTCH,$327.00 
Rehab Therapy Services,TONE DECAY TEST,$169.00 
Rehab Therapy Services,TREAT SPEECH/LANG/VOICE/AUDITORY GROUP,$538.75 
Rehab Therapy Services,TREAT SPEECH/LANG/VOICE/AUDITORY IND,$296.50 
Rehab Therapy Services,TREAT SPEECH/LANG/VOICE/AUDITORY IND,$296.50 
Rehab Therapy Services,TREAT SPH/LNG/VOICE/AUD IND EA 15 MCAID,$74.00 
Rehab Therapy Services,TREAT SWALLOWING/ORAL DYSFUNCTION,$422.25 
Rehab Therapy Services,TYMPANOMETRY,$193.75 
Rehab Therapy Services,TYMPANOMETRY REFLEX THRESHOLD MEASURE,$215.75 
Rehab Therapy Services,USE OF VERTICAL ELECTRODES,$246.50 
Rehab Therapy Services,VISUAL REINFORCEMENT AUDIOMETRY,$227.50 
Respiratory and Pulmonary Services,ASSIST/MANAGE VENT FIRST DAY,"$1,816.25 "
Respiratory and Pulmonary Services,ASSIST/MANAGE VENT SUBSEQUENT DAYS,"$1,276.75 "
Respiratory and Pulmonary Services,BRONCHODILATION PRE/POST ADMINISTRATION,$673.00 
Respiratory and Pulmonary Services,BRONCHOSPASM PROVOCATION EVAL,"$1,075.00 "
Respiratory and Pulmonary Services,CAR SEAT/BED TESTING 1ST 60 MINUTES,$140.00 
Respiratory and Pulmonary Services,CAR SEAT/BED TESTING 1ST 60 MINUTES,$140.00 
Respiratory and Pulmonary Services,CAR SEAT/BED TESTING EACH ADDL 30 MIN,$70.00 
Respiratory and Pulmonary Services,CARDIOPULMONARY EXERCISE,"$1,242.25 "
Respiratory and Pulmonary Services,CO2 EXPIRED GAS DETERMINATION,$247.50 
Respiratory and Pulmonary Services,CONT TX INHALATION OBSTRUCT EA ADDL HR,$172.25 
Respiratory and Pulmonary Services,CONT TX INHALATION OBSTRUCTION 1ST HR,$221.25 
Respiratory and Pulmonary Services,DEMO/EVAL PT USE NEB/MDI/IPPB,$155.00 
Respiratory and Pulmonary Services,DIFFUSION CAPACITY,$300.00 
Respiratory and Pulmonary Services,EAR/PULSE OXIMETRY MULT DETERMINATION,$187.25 
Respiratory and Pulmonary Services,ED CONT TX INHALAT OBSTRUCT EA ADDL HR,$172.25 
Respiratory and Pulmonary Services,ED CONT TX INHALATION OBSTRUCT 1ST HR,$221.25 
Respiratory and Pulmonary Services,ED EAR/PULSE OXIMETRY SINGLE DETERMINAT,$101.00 
Respiratory and Pulmonary Services,ED SPIROMETRY W/ PEAK FLOW,$384.00 
Respiratory and Pulmonary Services,ED SUBSEQUENT TX INHALATION OBSTRUCT/DX,$199.75 
Respiratory and Pulmonary Services,ED TREATMENT INHALATION OBSTRUCTION/DX,$199.75 
Respiratory and Pulmonary Services,EXERCISE TST BRNCSPSM,$715.00 
Respiratory and Pulmonary Services,GAS DILUT/WASHOUT LUNG VOL/ VENT/CLOSE,$200.00 
Respiratory and Pulmonary Services,HIGH ALTITUDE SIMULATION TEST,$272.50 
Respiratory and Pulmonary Services,HIGH ALTITUDE SIMULATION TEST W OXYGEN,$330.50 
Respiratory and Pulmonary Services,IMPULSE OSCILLOMETRY AIRWAY RESISTANCE,$227.00 
Respiratory and Pulmonary Services,INITIATION & MANAGEMENT CPAP,"$1,211.75 "
Respiratory and Pulmonary Services,INTRAPULMONARY SURFACTANT ADMIN,$170.00 
Respiratory and Pulmonary Services,MANIPULATE CHEST WALL INITIAL DEMO/EVAL,$216.50 
Respiratory and Pulmonary Services,MANIPULATE CHEST WALL SUBSEQUENT,$155.50 
Respiratory and Pulmonary Services,MECHANICAL CHESTWALL OSCILL PER SESSION,$169.00 
Respiratory and Pulmonary Services,NITRIC OXIDE EXPIRED GAS DETERMINATION,$113.00 
Respiratory and Pulmonary Services,OXYGEN UPTAKE ANALYSIS REST INDIRECT,$337.25 
Respiratory and Pulmonary Services,PLETHYSMOGRAPHY LUNG VOL/AIR RESISTANCE,$476.00 
Respiratory and Pulmonary Services,PULMONARY STRESS TESTING,$436.25 
Respiratory and Pulmonary Services,PUNCTURE ARTERIAL DIAGNOSIS OF BLOOD,$170.00 
Respiratory and Pulmonary Services,RESP MUSCLE STRENGTH,$271.75 
Respiratory and Pulmonary Services,RESPIRATORY FLOW VOLUME LOOP,$380.00 
Respiratory and Pulmonary Services,SPIROMETRY W/ PEAK FLOW,$384.00 
Respiratory and Pulmonary Services,SUBSEQUENT TX INHALATION OBSTRUCTION/DX,$199.75 
Respiratory and Pulmonary Services,TREATMENT INHALATION OBSTRUCTION/DX,$199.75 
Respiratory and Pulmonary Services,TREATMENT INHALATION PENTAMIDINE,$361.75 
Respiratory and Pulmonary Services,VITAL CAPACITY TOTAL,$246.25 
Room Charges,INTENSIVE CORONARY CARE ROOM,"$4,867.00 "
Room Charges,INTENSIVE MEDICAL ROOM,"$4,867.00 "
Room Charges,INTENSIVE PEDIATRIC ROOM,"$4,867.00 "
Room Charges,INTENSIVE SURGICAL ROOM,"$4,867.00 "
Room Charges,INTERMEDIATE INTENSIVE PEDIATRIC ROOM,"$2,987.00 "
Room Charges,INTERMEDIATE INTENSIVE ROOM,"$2,987.00 "
Room Charges,NEONATAL INTENSIVE CARE LEVEL III,"$4,200.00 "
Room Charges,NEONATAL INTENSIVE CARE LEVEL IV,"$5,467.00 "
Room Charges,NEWBORN LEVEL I,"$1,210.00 "
Room Charges,OBSERVATION DAY 1 HOURS,$56.00 
Room Charges,OBSERVATION EA ADD HOUR,$56.00 
Room Charges,PRIVATE OB ROOM,"$2,315.00 "
Room Charges,PRIVATE PEDIATRIC PSYCHIATRIC ROOM,"$2,350.00 "
Room Charges,PRIVATE PEDIATRIC ROOM,"$2,315.00 "
Room Charges,PRIVATE PSYCHIATRIC ROOM,"$2,315.00 "
Room Charges,PRIVATE REHAB ROOM,"$2,315.00 "
Room Charges,PRIVATE ROOM,"$2,315.00 "
Room Charges,SEMI-PRIVATE OB ROOM,"$2,315.00 "
Room Charges,SEMI-PRIVATE PEDIATRIC PSYCH 3-4 ROOM,"$2,350.00 "
Room Charges,SEMI-PRIVATE PEDIATRIC PSYCHIATRIC ROOM,"$2,350.00 "
Room Charges,SEMI-PRIVATE PEDIATRIC ROOM,"$2,315.00 "
Room Charges,SEMI-PRIVATE PSYCHIATRIC 3-4 ROOM,"$2,315.00 "
Room Charges,SEMI-PRIVATE PSYCHIATRIC ROOM,"$2,315.00 "
Room Charges,SEMI-PRIVATE REHAB ROOM,"$2,315.00 "
Room Charges,SEMI-PRIVATE ROOM,"$2,315.00 "
Room Charges,SPECIAL CARE LEVEL II,"$2,515.00 "
Supplies,ADVANTAGE PROSTHESIS,$941.75 
Supplies,AMNIOTIC MEMBRANE SURG RECONSTRUCT,"$3,701.25 "
Supplies,ATOS  POST OP LARYNGECTOMY KIT,$876.00 
Supplies,ATOS LARY BUTTON,$342.00 
Supplies,ATOS LARY TUBE BLUE RING,$408.00 
Supplies,ATOS LARY TUBE FENESTRATED,$366.00 
Supplies,ATOS LARY TUBE NON FENESTRATED,$324.00 
