,CODE,NAME,LAKELAND,LAKELAND INPATIENT LABS,LAKELAND OUTPATIENT LABS,LAKELAND BLOOD BANK,LAKELAND REFERENCE LAB,LAKELAND RESPIRATORY THERAPY LAB,WATERVLIET,WATERVLIET INPATIENT LABS,WATERVLIET OUTPATIENT LABS,WATERVLIET BLOOD BANK
,HC3500019,HC ABLATION RENAL CRYO RIGHT,"$9,975.00 ",,,,,,"$9,975.00 ",,,
,HC3500020,HC ABLATION RENAL CRYO BILATERAL,"$9,975.00 ",,,,,,"$9,975.00 ",,,
,HC3500021,HC ABLATION BONE CRYO,"$8,673.00 ",,,,,,"$8,673.00 ",,,
,HC3500022,HC ABLATION LUNG CRYO,"$8,892.00 ",,,,,,"$8,892.00 ",,,
,HC3500023,HC MUSCLE NDL BX SURG CODE,$448.00 ,,,,,,$448.00 ,,,
,HC3500024,HC BONE NEEDLE BX SURG CODE,$948.00 ,,,,,,$948.00 ,,,
,HC3500025,HC DEEP BONE NDL BX SURG CDE,$948.00 ,,,,,,$948.00 ,,,
,HC3500028,HC ABDOMEN NDL BX SURG CODE,"$1,046.00 ",,,,,,"$1,046.00 ",,,
,HC3500031,HC RENAL CYST ASPIRATION,$996.00 ,,,,,,$996.00 ,,,
,HC3500032,HC UNLISTED PROC ENDOCRINE,"$7,086.00 ",,,,,,"$7,086.00 ",,,
,HC3500033,HC CT PARACENTESIS,"$2,153.00 ",,,,,,"$2,153.00 ",,,
,HC3510001,HC CT ANGIO HEAD,"$1,394.00 ",,,,,,"$1,394.00 ",,,
,HC3510002,HC CT ANGIO NECK,"$1,394.00 ",,,,,,"$1,394.00 ",,,
,HC3510003,HC CT HEAD W & W/O CONTRAST,"$1,795.00 ",,,,,,"$1,795.00 ",,,
,HC3510004,HC CT HEAD W/CONTRAST,"$1,430.00 ",,,,,,"$1,430.00 ",,,
,HC3510005,HC CT HEAD W/O CONTRAST,"$1,430.00 ",,,,,,"$1,430.00 ",,,
,HC3510006,HC CT MAXIFACIAL W&W/O CONT,"$1,795.00 ",,,,,,"$1,795.00 ",,,
,HC3510007,HC CT MAXIFACIAL W/CONT,"$1,646.00 ",,,,,,"$1,646.00 ",,,
,HC3510008,HC CT MAXIFACIAL W/O CONT,"$1,574.00 ",,,,,,"$1,574.00 ",,,
,HC3510009,HC CT ORB IAC SEL PIT W/CONT,"$1,562.00 ",,,,,,"$1,562.00 ",,,
,HC3510010,HC CT ORB IAC SEL PIT W/O,"$1,291.00 ",,,,,,"$1,291.00 ",,,
,HC3510011,HC CT ORB IAC SEL PIT W/WO,"$1,795.00 ",,,,,,"$1,795.00 ",,,
,HC3510012,HC CT SINUSES LIMITED,"$1,574.00 ",,,,,,"$1,574.00 ",,,
,HC3520001,HC CT SOFT TIS NECK W/O CONT,"$1,325.00 ",,,,,,"$1,325.00 ",,,
,HC3520002,HC CT SOFT TISS NECK W/CONT,"$1,711.00 ",,,,,,"$1,711.00 ",,,
,HC3520003,HC CT SOFT TIS NECK W&W/O CON,"$1,957.00 ",,,,,,"$1,957.00 ",,,
,HC3520004,HC CT THORAX W/O CONTRAST,"$1,610.00 ",,,,,,"$1,610.00 ",,,
,HC3520005,HC CT THORAX W/CONTRAST,"$1,795.00 ",,,,,,"$1,795.00 ",,,
,HC3520006,HC CT THORAX W&W/O CONTRAST,"$2,222.00 ",,,,,,"$2,222.00 ",,,
,HC3520007,HC CT ANGIO CHEST,"$2,222.00 ",,,,,,"$2,222.00 ",,,
,HC3520008,HC CT CERVICAL SPINE W/O CONT,"$1,523.00 ",,,,,,"$1,523.00 ",,,
,HC3520009,HC CT CERVICAL SPINE W/CONT,"$1,753.00 ",,,,,,"$1,753.00 ",,,
,HC3520010,HC CT CERV SPINE W/WO CONT,"$1,957.00 ",,,,,,"$1,957.00 ",,,
,HC3520011,HC CT THORACIC SPINE W/O CONT,"$1,523.00 ",,,,,,"$1,523.00 ",,,
,HC3520012,HC CT THORACIC SPINE W/CONT,"$1,691.00 ",,,,,,"$1,691.00 ",,,
,HC3520013,HC CT THORACIC SPINE W/WO CONT,"$1,795.00 ",,,,,,"$1,795.00 ",,,
,HC3520014,HC CT LUMBAR SPINE W/O CONT,"$1,523.00 ",,,,,,"$1,523.00 ",,,
,HC3520015,HC CT LUMBAR SPINE W/CONT,"$1,691.00 ",,,,,,"$1,691.00 ",,,
,HC3520016,HC CT LUMBAR SPINE W/WO CONT,"$1,795.00 ",,,,,,"$1,795.00 ",,,
,HC3520017,HC CT ANGIO PELVIS,"$1,394.00 ",,,,,,"$1,394.00 ",,,
,HC3520018,HC CT PELVIS W/O CONTRAST,"$1,586.00 ",,,,,,"$1,586.00 ",,,
,HC3520019,HC CT PELVIS W/O LIMITED,"$1,043.00 ",,,,,,"$1,043.00 ",,,
,HC3520020,HC CT PELVIS W/CONTRAST,"$1,923.00 ",,,,,,"$1,923.00 ",,,
,HC3520021,HC CT PELVIS W&W/O CONTRAST,"$2,071.00 ",,,,,,"$2,071.00 ",,,
,HC3520022,HC CT UPPER EXTR W/O CONT RT,"$1,395.00 ",,,,,,"$1,395.00 ",,,
,HC3520023,HC CT UPPER EXTR W/O CONT LT,"$1,395.00 ",,,,,,"$1,395.00 ",,,
,HC3520024,HC CT UPPER EXTREM W/CONT LT,"$1,499.00 ",,,,,,"$1,499.00 ",,,
,HC3520025,HC CT UPPER EXTREM W/CONT RT,"$1,499.00 ",,,,,,"$1,499.00 ",,,
,HC3520026,HC CT UPPER EXTR W&W/O CONT LT,"$1,693.00 ",,,,,,"$1,693.00 ",,,
,HC3520027,HC CT UPPER EXTR W&W/O CONT RT,"$1,693.00 ",,,,,,"$1,693.00 ",,,
,HC3520028,HC CT ANGIO UPPER EXT LT,"$1,418.00 ",,,,,,"$1,418.00 ",,,
,HC3520029,HC CT ANGIO UPPER EXT RT,"$1,418.00 ",,,,,,"$1,418.00 ",,,
,HC3520030,HC CT LOWER EXTR W/O CONT LT,"$1,395.00 ",,,,,,"$1,395.00 ",,,
,HC3520031,HC CT LOWER EXTR W/O CONT RT,"$1,395.00 ",,,,,,"$1,395.00 ",,,
,HC3520032,HC CT LOWER EXTREM W/CONT LT,"$1,499.00 ",,,,,,"$1,499.00 ",,,
,HC3520033,HC CT LOWER EXTREM W/CONTRAST RT,"$1,499.00 ",,,,,,"$1,499.00 ",,,
,HC3520034,HC CT LOWER EXTR W&W/O CON LT,"$1,693.00 ",,,,,,"$1,693.00 ",,,
,HC3520035,HC CT LOWER EXTR W&W/O CON RT,"$1,693.00 ",,,,,,"$1,693.00 ",,,
,HC3520036,HC CT ANGIO LOWER EXT LT,"$1,394.00 ",,,,,,"$1,394.00 ",,,
,HC3520037,HC CT ANGIO LOWER EXT RT,"$1,394.00 ",,,,,,"$1,394.00 ",,,
,HC3520038,HC CT ABDOMEN W/O CONTRAST,"$1,794.00 ",,,,,,"$1,794.00 ",,,
,HC3520039,HC CT ABDOMEN W/CONTRAST,"$2,345.00 ",,,,,,"$2,345.00 ",,,
,HC3520040,HC CT ABDOMEN W&W/O CONTRAST,"$2,499.00 ",,,,,,"$2,499.00 ",,,
,HC3520041,HC CT ANGIO ABDOMEN,"$2,039.00 ",,,,,,"$2,039.00 ",,,
,HC3520042,HC CT ABD/PELVIS W/O,"$3,109.00 ",,,,,,"$3,109.00 ",,,
,HC3520043,HC CT ABD/PELVIS W/CONTRAST,"$3,381.00 ",,,,,,"$3,381.00 ",,,
,HC3520044,HC CT ABD/PELVIS W&W/O,"$3,609.00 ",,,,,,"$3,609.00 ",,,
,HC3520045,HC CT COLON DIAG W/O CONTRAST,"$1,572.00 ",,,,,,"$1,572.00 ",,,
,HC3520046,HC CT COLON DIAG W/CONTRAST,"$1,595.00 ",,,,,,"$1,595.00 ",,,
,HC3520047,HC CT COLON SCREEN,$919.00 ,,,,,,$919.00 ,,,
,HC3520048,HC CT CALCIUM SCORING,$202.00 ,,,,,,$202.00 ,,,
,HC3520049,HC CT HEART STRXR,"$1,152.00 ",,,,,,"$1,152.00 ",,,
,HC3520050,HC CT HEART CONGNTL STRXR,"$1,035.00 ",,,,,,"$1,035.00 ",,,
,HC3520051,HC CCTA ONLY,"$1,035.00 ",,,,,,"$1,035.00 ",,,
,HC3520052,HC CT ANGIO AORTA AND RUNOFF,"$2,210.00 ",,,,,,"$2,210.00 ",,,
,HC3520053,HC CT ABD W/O LIMITED,"$1,611.00 ",,,,,,"$1,611.00 ",,,
,HC3520054,HC CT ANGIO ABD & PELVIS,"$3,801.00 ",,,,,,"$3,801.00 ",,,
,HC3520056,HC CT LOW-DOSE CHEST,$120.00 ,,,,,,$120.00 ,,,
,HC3520057,HC CT UPPER EXTREMITY W/O CONTRAST BILATERAL,"$2,790.00 ",,,,,,"$2,790.00 ",,,
,HC3520058,HC CT UPPER EXTREMITY W/CONTRAST BILATERAL,"$2,998.00 ",,,,,,"$2,998.00 ",,,
,HC3520059,HC CT UPPER EXTREMITY W & W/O CONTRAST BILATERAL,"$3,386.00 ",,,,,,"$3,386.00 ",,,
,HC3520060,HC CT LOWER EXTREMITY W/O CONTRAST BILATERAL,"$2,790.00 ",,,,,,"$2,790.00 ",,,
,HC3520061,HC CT LOWER EXTREMITY W/CONTRAST BILATERAL,"$2,998.00 ",,,,,,"$2,998.00 ",,,
,HC3520062,HC CT LOWER EXTREMITY W & W/O CONTRAST BILATERAL,"$3,386.00 ",,,,,,"$3,386.00 ",,,
,HC3600001,HC OR PER MINUTE,$72.10 ,,,,,,$72.10 ,,,
,HC3600002,HC OR MINUTES-OB,$56.00 ,,,,,,,,,
,HC3600003,HC IP DELIVERY & C/S MINUTES,$46.00 ,,,,,,,,,
,HC3600004,HC CARDIAC SURGERY/MIN,$72.10 ,,,,,,,,,
,HC3600005,HC SURGERY/MIN X1,$72.10 ,,,,,,,,,
,HC3600016,HC ADDL NURSE PER MINUTE,$5.00 ,,,,,,$5.00 ,,,
,HC3600017,HC ADDL SCRUB TECH PER MINUTE,$3.40 ,,,,,,$3.40 ,,,
,HC3600020,HC PROCEDURE ROOM/MIN,$11.70 ,,,,,,$11.70 ,,,
,HC3600021,HC BRONCHOSCOPY PROC/MIN,$26.40 ,,,,,,,,,
,HC3600022,HC PAIN PROCEDURE ROOM EA 15 MIN,$102.90 ,,,,,,,,,
,HC3600057,HC LITHOTRIPSY SHOCK WAVE,"$2,175.00 ",,,,,,,,,
,HC3600068,HC LUMENIS CO2 LASER,$950.00 ,,,,,,,,,
,HC3600089,HC NERVE BLOCK,"$1,178.00 ",,,,,,"$1,178.00 ",,,
,HC3600090,HC INTRA OPERATIVE NEURO MONITORING,$750.00 ,,,,,,,,,
,HC3600094,HC PROSTATE CRYO TECH/EQUIP,$750.00 ,,,,,,,,,
,HC3600096,HC RENAL CRYO TECH/EQUIP,$750.00 ,,,,,,,,,
,HC3600105,HC FACET INJ C/T UNI SGL LVL,"$1,640.00 ",,,,,,,,,
,HC3600106,HC FACET INJ C/T BIL SGL LVL,"$3,122.00 ",,,,,,,,,
,HC3600107,HC FACET INJ C/T UNI 2ND LVL,$548.00 ,,,,,,,,,
,HC3600108,HC FACET INJ C/T BIL 2ND LVL,"$1,097.00 ",,,,,,,,,
,HC3600109,HC FACET INJ C/T UNI 3RD+LVL,$548.00 ,,,,,,,,,
,HC3600110,HC FACET INJ C/T BIL 3RD+LVL,"$1,097.00 ",,,,,,,,,
,HC3600111,HC FACET INJ L/S UNI SGL LVL,"$1,640.00 ",,,,,,,,,
,HC3600112,HC FACET INJ L/S BIL SGL LVL,"$2,973.00 ",,,,,,,,,
,HC3600113,HC FACET INJ L/S UNI 2ND LVL,$548.00 ,,,,,,,,,
,HC3600114,HC FACET INJ L/S BIL 2ND LVL,"$1,097.00 ",,,,,,,,,
,HC3600115,HC FACET INJ L/S UNI 3RD+LVL,$548.00 ,,,,,,,,,
,HC3600116,HC FACET INJ L/S BIL 3RD+LVL,"$1,097.00 ",,,,,,,,,
,HC3600118,HC ANKLE ARTHROGRAPHY INJ,$133.00 ,,,,,,,,,
,HC3600119,HC INSERT HEPATIC SHUNTS (TIPS),"$22,244.00 ",,,,,,,,,
,HC3600120,HC REVISION HEPATIC SHUNTS (TIPS),"$22,244.00 ",,,,,,,,,
,HC3600121,HC CHOLECYSTOSTOMY PERCUTANEOUS,"$4,422.00 ",,,,,,,,,
,HC3600122,HC NEEDLE BX SUPERFICIAL LYMPH NODE,"$1,191.00 ",,,,,,,,,
,HC3600123,HC ARTHROGRAM ELBOW,$149.00 ,,,,,,,,,
,HC3600124,HC INJECT EPIDURAL L/S 1ST LEVEL,"$1,374.00 ",,,,,,,,,
,HC3600125,HC BIOPSY DISC SPACE,"$1,777.00 ",,,,,,,,,
,HC3600126,HC LUMBAR DISCOGRAM INJECT,$690.00 ,,,,,,,,,
,HC3600127,HC DISKOGRAPHY CERV/THOR,$657.00 ,,,,,,,,,
,HC3600128,HC ASPIRATE PLEURA W/O IMAGING,$614.00 ,,,,,,,,,
,HC3600129,HC ASPIRATE PLEURA W/IMAGING,$896.00 ,,,,,,,,,
,HC3600130,HC INJECT SCLEROSING AGENT,$187.00 ,,,,,,,,,
,HC3600131,HC INJECT EPIDURAL L/S ADDL,$509.00 ,,,,,,,,,
,HC3600132,HC INJECT EPIDURAL C/T ADDL,$509.00 ,,,,,,,,,
,HC3600134,HC INJECT SACROILIAC JOINT,"$1,119.00 ",,,,,,,,,
,HC3600138,HC IMAGE CATH DRAIN SOFT TISSUE,$378.00 ,,,,,,,,,
,HC3600139,HC IMAGE CATH DRAINAGE VISC,"$2,206.00 ",,,,,,,,,
,HC3600140,HC IMAGE CATH DRAIN PERI/RETRO,"$2,206.00 ",,,,,,,,,
,HC3600141,HC IMAGE CATH DRAIN TRNA/VGNL,"$2,101.00 ",,,,,,,,,
,HC3600142,HC STEREOTACTIC BREAST BX 1ST LESION,"$2,160.00 ",,,,,,,,,
,HC3600143,HC STEREOTACTIC BREAST BX ADD LESION,"$2,160.00 ",,,,,,,,,
,HC3600144,HC US BREAST BX 1ST LESION,"$4,234.00 ",,,,,,,,,
,HC3600145,HC US BREAST BX ADD LESION,"$2,449.00 ",,,,,,,,,
,HC3600146,HC MRI BREAST BX 1ST LESION,"$3,296.00 ",,,,,,,,,
,HC3600147,HC MRI BREAST BX ADD LESION,"$3,139.00 ",,,,,,,,,
,HC3600148,HC BREAST LOC DEVICE PLC MAMMO 1ST LESION,"$1,004.00 ",,,,,,,,,
,HC3600149,HC BREAST LOC DEVICE PLC MAMMO ADD LES,"$1,004.00 ",,,,,,,,,
,HC3600150,HC BREAST LOC DEVICE PLC STEREO 1ST LES,$816.00 ,,,,,,,,,
,HC3600151,HC BREAST LOC DEVICE PLC STEREO ADD LES,$532.00 ,,,,,,,,,
,HC3600152,HC BREAST LOC DEVICE PLC US 1ST LESION,"$1,083.00 ",,,,,,,,,
,HC3600153,HC BREAST LOC DEVICE PLC US ADD LESION,$734.00 ,,,,,,,,,
,HC3600154,HC TREATMENT OF MISCARRIAGE,"$5,712.00 ",,,,,,,,,
,HC3600162,HC EXC B9 LES MRGN XCP SK TG T/A/LO >4.0 CM,"$2,400.00 ",,,,,,,,,
,HC3600163,HC ABLATION BONE TUMOR RF PERC CT,"$9,335.00 ",,,,,,,,,
,HC3600164,HC ABLATION BONE TUMOR RF PERC US,"$9,499.00 ",,,,,,,,,
,HC3600165,HC ABLATION BONE TUMOR CRYO PERC  CT,"$9,280.00 ",,,,,,,,,
,HC3600166,HC ABLATION BONE TUMOR CRYO PERC  US,"$9,499.00 ",,,,,,,,,
,HC3600167,HC ABLATION PULMONARY TUMORS + EXTNSN CRYO CT,"$8,699.00 ",,,,,,,,,
,HC3600168,HC ABLATION PULMONARY TUMORS + EXTNSN CRYO US,"$8,918.00 ",,,,,,,,,
,HC3600169,HC  PERC CRYOABLATION ABLATE LIVER TUMOR,"$8,918.00 ",,,,,,,,,
,HC3600170,HC INJ CONTRAST FOR KNEE ARTHROG,$317.00 ,,,,,,,,,
,HC3600171,HC MYELOGRAM INJ LUMBAR,$743.00 ,,,,,,,,,
,HC3600172,HC MYELOGRAM CERVICAL  VIA LUMBAR INJECTION,"$1,895.00 ",,,,,,,,,
,HC3600173,HC MYELOGRAM THORACIC  VIA LUMBAR INJECTION,"$1,895.00 ",,,,,,,,,
,HC3600174,HC MYELOGRAM LUMBOSACRAL VIA LUMBAR INJECTION,"$1,895.00 ",,,,,,,,,
,HC3600175,HC MYELOGRAM INJ LUMBAR 2 OR MORE REGIONS,"$1,895.00 ",,,,,,,,,
,HC3600176,HC PERC VERTEBROPLASTY THORACIC,"$5,262.00 ",,,,,,,,,
,HC3600177,HC PERC VEREBROPLASTY LUMBOSACRAL,"$5,262.00 ",,,,,,,,,
,HC3600178,HC EA ADDL VERTEB BODY PLAST,"$5,262.00 ",,,,,,,,,
,HC3600179,HC KYPHOPLASTY THORACIC SURG COMP,"$8,272.00 ",,,,,,,,,
,HC3600180,HC KYPHOPLASTY LUMBAR SURG COMP,"$8,272.00 ",,,,,,,,,
,HC3600181,HC KYPHOPLASTY SC EA ADDL,"$8,272.00 ",,,,,,,,,
,HC3600182,HC IR SACRALPLASTY UNILAT,"$3,147.00 ",,,,,,,,,
,HC3600183,HC IR SACRALPLASTY BILAT,"$3,147.00 ",,,,,,,,,
,HC3600184,HC ARTHROCENTESIS ASPIR/INJ SMALL JT/BURSA W/O US,$507.00 ,,,,,,$507.00 ,,,
,HC3600185,HC ARTHROCENTESIS ASPIR/INJ SMALL JT/BURSA W/US,$713.00 ,,,,,,$713.00 ,,,
,HC3600186,HC ARTHROCENTESIS ASPIR/INJ INTERM JT/BURS W/US,$713.00 ,,,,,,$713.00 ,,,
,HC3600187,HC ARTHROCENTESIS ASPIR/INJ MAJOR JT/BURS W/O US,$507.00 ,,,,,,$507.00 ,,,
,HC3600188,HC ARTHROCENTESIS ASPIR/INJ MAJOR JT/BURS W/US,$713.00 ,,,,,,$713.00 ,,,
,HC3600189,HC INJECT PORT,$448.00 ,,,,,,,,,
,HC3600190,HC INJECT SCLEROSING AGENT SINGLE VEN,$616.00 ,,,,,,,,,
,HC3600191,HC TRASCERVICAL UTERINE FIBROID ABLATION W/US,"$11,890.00 ",,,,,,,,,
,HC3600200,HC OR 1ST 30 MIN,"$1,519.00 ",,,,,,"$2,688.00 ",,,
,HC3600205,HC OR 1ST 30 MIN X1,"$1,519.00 ",,,,,,,,,
,HC3600206,HC CIRCUMCISION 1ST 30 MIN,"$1,519.00 ",,,,,,,,,
,HC3600207,HC CIRCUMCISION W/REGIONAL BLOCK,"$1,713.00 ",,,,,,,,,
,HC3600208,HC CIRCUMCISION NEONATE,"$1,749.00 ",,,,,,,,,
,HC3600209,HC CIRCUMCISION 28 DAYS OR OLDER,"$1,749.00 ",,,,,,,,,
,HC3600220,HC IR CHOLANGIOGRAM EXISTING CATH,$822.00 ,,,,,,,,,
,HC3600221,HC IR CHOLANGIOGRAM NEW ACCESS,"$5,089.00 ",,,,,,,,,
,HC3600222,HC IR BILIARY DRAIN CATH PLACEMENT EXT,"$5,089.00 ",,,,,,,,,
,HC3600223,HC IR BILIARY DRAIN CATH PLACEMENT INT-EXT,"$5,089.00 ",,,,,,,,,
,HC3600224,HC IR BILIARY DRAIN/TUBE CONV INT-EXT,"$5,089.00 ",,,,,,,,,
,HC3600225,HC IR BILIARY DRAIN/TUBE EXCHANGE,"$5,089.00 ",,,,,,,,,
,HC3600226,HC IR BILIARY DRAIN/TUBE REMOVAL,"$1,129.00 ",,,,,,,,,
,HC3600227,HC IR BILIARY STENT PLACEMENT EXISTING ACCESS,"$8,730.00 ",,,,,,,,,
,HC3600228,HC IR BILIARY STENT PLACEMENT NEW ACCESS,"$8,730.00 ",,,,,,,,,
,HC3600229,HC IR BILIARY STENT PLACEMENT W/DRAINAGE,"$8,730.00 ",,,,,,,,,
,HC3600230,HC IR REMOVAL BILIARY DUCT/GALLBLADDER CALCULI,$564.00 ,,,,,,,,,
,HC3600231,HC IR NEPHROSTOGRAM  NEW ACCESS,"$1,225.00 ",,,,,,,,,
,HC3600232,HC IR NEPHROSTOGRAM  EXISTING,"$3,521.00 ",,,,,,,,,
,HC3600234,HC IR NEPHROSTOMY TUBE PLACEMENT,"$3,521.00 ",,,,,,,,,
,HC3600235,HC IR NEPHROURETERAL NEW ACCESS,"$3,521.00 ",,,,,,,,,
,HC3600236,HC IR NEPHROURETERAL EXISTING ACCESS,"$1,225.00 ",,,,,,,,,
,HC3600237,HC IR URETERAL STENT PLACEMENT EXISTING,"$5,244.00 ",,,,,,,,,
,HC3600238,HC IR URETERAL STENT PLACEMENT NEW ACCESS,"$5,244.00 ",,,,,,,,,
,HC3600239,HC IR URETERAL STENT PLACEMENT W/ NEPHROSTOMY RT,"$5,244.00 ",,,,,,,,,
,HC3600240,HC IR DILATE BILIARY DUCT,$287.00 ,,,,,,,,,
,HC3600241,HC IR BIOPSY BILIARY TREE,$363.00 ,,,,,,,,,
,HC3600242,HC IR DILATE URETERAL STRICTURE,$403.00 ,,,,,,,,,
,HC3600243,HC IR NEPHROSTOMY TUBE EXCHANGE,"$1,225.00 ",,,,,,,,,
,HC3600244,HC INTERSTITIAL DEV PLMT RADIATION THERAPY 1/MLT,"$2,264.00 ",,,,,,,,,
,HC3600245,HC IR INJECTION LYMPHANGIO,$194.00 ,,,,,,,,,
,HC3600246,HC IR CANNULATE THORACIC DUCT,$633.00 ,,,,,,,,,
,HC3600247,HC IR REPLACEMENT GASTRO-JEJUNOSTOMY TUBE,"$1,007.00 ",,,,,,,,,
,HC3600248,HC INJECT INTRALAMINAR C/T,"$1,335.00 ",,,,,,,,,
,HC3600249,HC INJECT INTRALAMINAR L/S,"$1,401.00 ",,,,,,,,,
,HC3600250,HC BIOPSY OF CERVIX,"$1,293.00 ",,,,,,,,,
,HC3600251,HC BIOPSY OF UTERUS LINING,$310.00 ,,,,,,,,,
,HC3600252,HC NERVE BLOCK INJ CERVICAL PLEXUS,$782.00 ,,,,,,,,,
,HC3600253,HC NERVE BLOCK INJ BRACHIAL PLEXUS SINGLE,$986.00 ,,,,,,,,,
,HC3600255,HC PRAVERTEBRAL BLOCK INJ SINGLE,$782.00 ,,,,,,,,,
,HC3600256,HC NERVE BLOCK INJ SCIATIC SINGLE,$986.00 ,,,,,,,,,
,HC3600258,HC TAP BLOCK INJ SGL UNILATERAL,$482.00 ,,,,,,,,,
,HC3600259,HC TAP BLOCK INJ SGL BILATERAL,$695.00 ,,,,,,,,,
,HC3600260,HC IR NEPHROURETERAL XCH/REMOVE,"$3,555.00 ",,,,,,,,,
,HC3600261,HC SPACEOAR PLMT BIODEGRADABLE MATERIAL,"$7,487.00 ",,,,,,,,,
,HC3600262,HC IR C1-2 PUNCTURE W/INJECTION,$495.00 ,,,,,,,,,
,HC3600263,HC IR URETERAL STENT PLACEMENT W/ NEPHROSTOMY LT,"$5,244.00 ",,,,,,,,,
,HC3600264,HC IR URETERAL STENT PLACEMENT W/ NEPHROSTOMY BILAT,"$10,488.00 ",,,,,,,,,
,HC3600265,HC INJECT THERAPEUTIC CARPAL TUNNEL,$482.00 ,,,,,,,,,
,HC3600266,HC INJECT ENZYME PALMAR FASCIAL CORD,$482.00 ,,,,,,,,,
,HC3600267,HC INJECT SINGLE TENDON ORIGIN/INSERTION,$482.00 ,,,,,,,,,
,HC3600268,HC INJECT SINGLE/MULT TRIGGER POINT 3 OR MORE MUSCLES,$482.00 ,,,,,,,,,
,HC3600269,HC AMICA MICROWAVE GENERATOR,$550.00 ,,,,,,,,,
,HC3700001,HC ANES GAS PER MIN,$17.60 ,,,,,,,,,
,HC3700015,HC CON SED SAME PHYS/QHP 1ST 15<5,$50.00 ,,,,,,$50.00 ,,,
,HC3700016,HC CON SED SAME PHYS/QHP 1ST 15>=5,$28.00 ,,,,,,$28.00 ,,,
,HC3700017,HC CON SED SAME PHYS/QHP ADD 15 MIN,$31.00 ,,,,,,$31.00 ,,,
,HC3700018,HC CON SED SUP PHYS/QHP 1ST 15<5,$116.00 ,,,,,,$116.00 ,,,
,HC3700019,HC CON SED SUP PHYS/QHP 1ST 15>=5,$109.00 ,,,,,,$109.00 ,,,
,HC3700020,HC CON SED SUP PHYS/QHP ADDL 15 MIN,$66.00 ,,,,,,$66.00 ,,,
,HC3700021,HC CON SED ENDO SAME PHYS/QHP 1ST 15>=5,$50.00 ,,,,,,$50.00 ,,,
,HC3700025,HC REGIONAL/SPINAL ANESTHESIA,$264.00 ,,,,,,$264.00 ,,,
,HC3900001,HC PLATELETS BY PHERESIS,,,,$496.50 ,,,,,,$496.50 
,HC3900002,HC PLASMA CRYO-REDUCED,,,,$46.00 ,,,,,,$46.00 
,HC3900003,HC PLATELET PHERESIS HLA,,,,$878.65 ,,,,,,$878.65 
,HC3900004,HC PLASMA FROZEN WIN 24 HRS,,,,$53.69 ,,,,,,$53.69 
,HC3900005,HC CRYO PREP EACH UNIT,,,,$54.00 ,,,,,,$54.00 
,HC3900006,HC DIRECTED RED CELLS,,,,$257.50 ,,,,,,$257.50 
,HC3900007,HC FRESH FROZEN PLASMA,,,,$47.00 ,,,,,,$47.00 
,HC3900008,HC PC LEUKOREDUCED: SPLIT,,,,$95.65 ,,,,,,$95.65 
,HC3900009,HC PLATELET CONC LEUKORED,,,,$102.50 ,,,,,,$102.50 
,HC3900010,HC PLATELET CONCENTRATE,,,,$98.50 ,,,,,,$98.50 
,HC3900011,HC PLT PHERESIS LEUKOREDUCED,,,,$528.65 ,,,,,,$528.65 
,HC3900012,HC RED CELLS LEUKO REDUCED,,,,$199.65 ,,,,,,$199.65 
,HC3900013,HC WASHED BLOOD CELLS,,,,$277.50 ,,,,,,$277.50 
,HC3900014,HC FFP JUMBO,,,,$225.00 ,,,,,,$225.00 
,HC3900015,HC FFP 8-24 HRS COLLECT EA,,,,$47.00 ,,,,,,$47.00 
,HC3900016,HC RED CELLS FROZEN DEGLYC,,,,$307.50 ,,,,,,$307.50 
,HC3910001,HC BLOOD ADMIN 0-4 HOURS,$482.00 ,,,,,,$482.00 ,,,
,HC3910002,HC BLOOD ADMIN 4-8 HOURS,$961.00 ,,,,,,$961.00 ,,,
,HC3910003,HC BLOOD ADMIN 8-12 HOURS,"$1,309.00 ",,,,,,"$1,309.00 ",,,
,HC3910005,HC BLOOD TRANSFUSION 0-4 HRS,$482.00 ,,,,,,$482.00 ,,,
,HC3910006,HC BLOOD TRANSFUSION 4-8 HRS,$961.00 ,,,,,,$961.00 ,,,
,HC3910007,HC BLOOD TRANSFUSION 8-12 HRS,"$1,309.00 ",,,,,,"$1,309.00 ",,,
,HC4010011,HC ADD'L VW MAMMO BIL DGTL,$265.00 ,,,,,,$265.00 ,,,
,HC4010012,HC DIAG MAMMO BIL DGTL,$325.00 ,,,,,,$325.00 ,,,
,HC4010013,HC ADD'L VW MAMMO LT DGTL,$136.00 ,,,,,,$136.00 ,,,
,HC4010014,HC ADD'L VW MAMMO RT DGTL,$136.00 ,,,,,,$136.00 ,,,
,HC4010015,HC DIAG MAMMO LT DGTL,$196.00 ,,,,,,$196.00 ,,,
,HC4010016,HC DIAG MAMMO RT DGTL,$196.00 ,,,,,,$196.00 ,,,
,HC4010019,HC DIAG MAMMO TOMOSYNTHESIS  LT,$48.00 ,,,,,,$48.00 ,,,
,HC4010020,HC DIAG MAMMO TOMOSYNTHESIS RT,$48.00 ,,,,,,$48.00 ,,,
,HC4010021,HC DIAG MAMMO TOMOSYNTHESIS BIL,$64.00 ,,,,,,$64.00 ,,,
,HC4010022,HC SCREEN MAMMO TOMOSYNTHESIS BIL,$64.00 ,,,,,,$64.00 ,,,
,HC4020001,HC US DRN W CATH PLACE PRD,$761.00 ,,,,,,$761.00 ,,,
