,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,PROCEDURE CODE,PROCEDURE DESCRIPTION, CHILDREN'S HOSPITAL , BUTTERWORTH , BLODGETT , GRAND RAPIDS OFF-CAMPUS , REGIONAL ** , REFERENCE LABS ,,
*,50705466,HC BMT PEDS NMDP FEE ACQUISITION, $-   , $-   , $-   , $-   , $-   , $-   ,,
,50705482,HC CADAVERIC KIDNEY ACQUISITION," $91,003.80 "," $91,003.80 ",,,,,,
,50705510,HC HEART ACQUISITION,," $124,108.51 ",,,,,,
,50705511,HC HEART AND LUNG  ACQUISITION,," $133,090.60 ",,,,,,
,50705520,HC KIDNEY ACQUISITION LIVE DONOR," $73,843.00 "," $73,843.00 ",,,,,,
,50705533,HC LUNG ACQUISITION,," $125,129.87 ",,,,,,
*,50705534,HC BMT MISC ALLO UCSF CHRG, $-   , $-   , $-   , $-   , $-   , $-   ,,
,50705535,HC NON ESRD DIALYSIS TREATMENT,," $1,107.07 "," $1,051.71 ",,,,,
,50705536,HC CONTINUOUS AMBULATORY PD TRAIN, $670.72 ,,,,,,,
,50705537,HC CONTINUOUS CYCLING PD TRAINING, $743.32 ,,,,,,,
*,50705538,HC NMDP-HC XRAY CHEST 2 VIEWS, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,50705539,HC NMDP-HC COMPREHENSIVE METABOLIC PANEL, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,50705540,HC NMDP-HC URINALYSIS AUTOMATED WO MICROSCOPY, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,50705541,HC NMDP-HC PROTEIN FRACTION SERUM, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,50705542,HC NMDP-HC LAB PREG TEST SERUM QUAL, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,50705543,HC NMDP-HC CMC AUTO COMPLETE DIFFERNTIAL, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,50705544,HC NMDP-HC SICKLE CELL, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,50705545,HC NMDP-HC  ANTIBODY PROTOZOA NES  (CHAGAS), $-   , $-   , $-   , $-   , $-   , $-   ,,
*,50705546,HC NMDP-HC EKG COMPUTER, $-   , $-   , $-   , $-   , $-   , $-   ,,
,50803651,HC HEMODIALYSIS ADULT INPATIENT," $1,142.30 "," $1,142.30 "," $1,085.19 ",,,,,
,50803652,HC OP OR HOME PERITONEAL DIALYSIS," $1,092.30 ",,,,,,,
,50803653,HC HEMODIALYSIS PEDS OUTPATIENT," $1,409.04 ",,,,,,,
,50805252,HC HEMODIALYSIS ADULT OUTPATIENT,," $1,142.30 "," $1,142.30 ",,,,,
,50805513,HC IP PD DIALYSIS CCPD, $603.86 ,,,,,,,
,50805514,HC AKI DIALYSIS NON ESRD," $1,409.04 ",,,,,,,
,60000001,HC ED DEBR SKIN EA ADD 20 SQ CM,, $360.35 ,,,,,,
,60000002,HC ED TRIM NONDYS NAIL ANYNUMBER, $188.59 ,,,, $145.38 ,,,
,60000003,HC ED WEDGING OF CAST, $257.58 , $198.14 , $198.14 ,, $198.14 ,,,
,60000004,HC ED INTRACATH EXTREM ARTERY,," $1,178.51 ",,,,,,
,60000005,HC ED VENIPUNCTURE 3 YRS OLDER, $25.74 , $25.74 , $25.74 ,, $22.84 ,,,
,60000007,HC ED NEG PRSR WOUND 50CM OR LESS, $426.78 , $341.43 ,,,,,,
,60001000,HC ED FINE NEEDLE ASPIRATION BX W/O IMG GDN 1ST LESION, $325.92 , $260.73 , $260.73 ,, $357.46 ,,,
,60001001,HC ED DRAINAGE OF SKIN ABSCESS SIMPLE, $363.15 , $299.85 , $299.85 ,, $360.04 ,,,
,60001002,HC ED DRAINAGE OF SKIN ABSCESS COMP, $363.15 , $299.85 , $299.85 ,, $360.04 ,,,
,60001003,HC ED DRAINAGE PILONIDAL CYST SIMPLE, $363.15 , $299.85 , $299.85 ,, $360.04 ,,,
,60001004,HC ED REMOVE FOREIGN BODY SUBQ SIMPLE, $363.15 , $299.85 , $299.85 ,, $629.41 ,,,
,60001005,HC ED REMOVE FOREIGN BODY SUBQ COMPLEX," $3,078.31 "," $2,541.72 "," $2,541.72 ",," $2,295.14 ",,,
,60001006,HC ED DRAINAGE OF HEMATOMA FLUID," $2,606.68 "," $2,152.32 "," $2,152.32 ",," $1,786.06 ",,,
,60001007,HC ED PUNCTURE DRAINAGE OF LESION, $201.70 , $166.52 , $166.52 ,, $360.04 ,,,
,60001008,HC ED COMPLEX DRAINAGE WOUND,," $2,248.21 "," $2,248.21 ",,,,,
,60001009,HC ED DEBRIDEMENT INFECTED SKIN UP TO 10%, $342.28 , $282.63 , $282.63 ,, $629.41 ,,,
,60001010,HC ED DEBRIDEMENT EACH ADDTL 10%, $163.53 , $135.03 , $135.03 ,, $135.03 ,,,
,60001011,HC ED DEBRIDEMENT SKIN AT FX SITE,,, $699.06 ,," $1,605.43 ",,,
,60001012,HC ED DEBRIDEMENT SKIN MUSC AT FX SITE,,,,, $725.29 ,,,
,60001013,HC ED DEBRIDE SUBQ 20 SQ CM OR LESS, $583.37 , $466.70 , $466.70 ,, $466.70 ,,,
,60001014,HC ED DEBRIDE MUSC/FASCIA 20 SQ CM OR LESS,, $466.71 ,,,,,,
,60001015,HC ED DEBRIDE BONE 20 SQ CM OR LESS," $1,787.51 "," $1,430.01 "," $1,430.01 ",," $1,301.48 ",,,
,60001016,HC ED BIOPSY SKIN LESION, $162.46 , $162.46 , $162.46 ,, $116.30 ,,,
,60001017,HC ED EXCISE SKIN TAGS 15 TAGS OR LESS, $242.27 , $200.06 , $200.06 ,, $164.08 ,,,
,60001018,HC ED SHAVE SKIN LESION TRUNK 0.6 TO 1 CM, $165.51 , $136.66 , $136.66 ,, $263.92 ,,,
,60001019,HC ED SHAVE SKIN LESION SCALP 0.5 CM OR LESS, $242.27 , $200.06 , $200.06 ,, $256.40 ,,,
,60001020,HC ED SHAVE SKIN LESION SCALP 0.6 TO 1 CM, $248.89 , $205.51 , $205.51 ,, $205.51 ,,,
,60001021,HC ED SHAVE SKIN LESION FACE 0.5 CM OR LESS, $248.89 , $205.51 , $205.51 ,, $205.51 ,,,
,60001022,HC ED EXCISE BENIGN LESION TRUNK 0.5 CM OR LESS,,,,, $631.20 ,,,
,60001023,HC ED EXCISE BENIGN LESION TRUNK 0.6 TO 1 CM, $911.53 , $752.66 , $752.66 ,," $1,116.58 ",,,
,60001024,HC ED EXCISE BENIGN LESION TRUNK 1.1 TO 2 CM, $911.53 , $752.66 , $752.66 ,," $1,519.51 ",,,
,60001025,HC ED EXCISE BENIGN LESION TRUNK 2.1 TO 3 CM,," $1,424.27 ",,,,,,
,60001026,HC ED EXCISE BENIGN LESION SCALP 0.5 CM OR LESS,, $951.07 ,,,,,,
,60001027,HC ED EXCISE BENIGN LESION SCALP 0.6 TO 1 CM," $1,232.60 "," $1,017.74 "," $1,017.74 ",," $1,273.77 ",,,
,60001028,HC ED EXCISE BENIGN LESION SCALP 1.1 TO 2 CM," $1,667.59 "," $1,667.59 "," $1,667.59 ",, $974.44 ,,,
,60001029,HC ED EXCISE BENIGN LESION SCALP 2.1 TO 3 CM,,,,," $2,934.90 ",,,
,60001030,HC ED EXCISE BENIGN LESION FACE 0.5 CM OR LESS, $846.67 , $699.07 , $699.07 ,, $502.04 ,,,
,60001031,HC ED EXCISE BENIGN LESION FACE 0.6 TO 1 CM, $791.22 , $653.29 , $653.29 ,, $585.66 ,,,
,60001032,HC ED DEBRIDE NAIL  1 TO 5,,,,, $129.72 ,,,
,60001033,HC ED DEBRIDE NAIL  6 OR MORE, $149.14 , $123.14 , $123.14 ,, $123.14 ,,,
,60001034,HC ED AVULSION OF NAIL PLATE SINGLE, $248.31 , $205.04 , $205.04 ,, $324.88 ,,,
,60001035,HC ED DRAIN BLOOD FROM UNDER NAIL, $146.11 , $120.65 , $120.65 ,, $114.95 ,,,
,60001036,HC ED REMOVAL OF NAIL BED, $867.81 , $716.54 , $716.54 ,, $841.54 ,,,
,60001037,HC ED EXCISION OF NAIL FOLD TOE, $350.82 , $289.69 , $289.69 ,, $250.01 ,,,
,60001038,HC ED REMOVE CONTRACEPTIVE CAPSULE, $973.52 , $803.83 , $803.83 ,, $803.83 ,,,
,60001039,HC ED REMOVE DRUG IMPLANT DEVICE, $273.44 , $273.44 , $273.44 ,, $273.44 ,,,
,60001040,HC ED REPAIR SIMPLE WOUND TRUNK/SCALP 2.5 CM OR LESS, $370.28 , $305.72 , $305.72 ,, $237.41 ,,,
,60001041,HC ED REPAIR SIMPLE WOUND TRUNK/SCALP 2.6 TO 7.5 CM, $370.28 , $305.72 , $305.72 ,, $237.41 ,,,
,60001042,HC ED REPAIR SIMPLE WOUND FACE 2.5 CM OR LESS, $370.28 , $305.72 , $305.72 ,, $237.41 ,,,
,60001043,HC ED REPAIR SIMPLE WOUND FACE 7.6 TO 12.5 CM, $305.72 , $305.72 , $305.72 ,, $324.88 ,,,
,60001044,HC ED CLOSURE OF SIMPLE WOUND SUPERFICIAL, $361.25 , $298.26 , $298.26 ,, $956.16 ,,,
,60001045,HC ED CLOSURE OF SIMPLE WOUND SUPERFICIAL WITH PACK,,, $298.26 ,, $956.16 ,,,
,60001046,HC ED REPAIR INTERMEDIATE WOUND TRUNK/SCALP 2.5 CM OR LESS, $370.28 , $305.72 , $305.72 ,, $488.91 ,,,
,60001047,HC ED REPAIR INTERMEDIATE WOUND TRUNK/SCALP 2.6 TO 7.5 CM, $370.28 , $305.72 , $305.72 ,, $488.91 ,,,
,60001048,HC ED REPAIR INTERMEDIATE WOUND TRUNK/SCALP 7.6 TO 12.5 CM, $370.28 , $305.72 , $305.72 ,, $488.91 ,,,
,60001049,HC ED REPAIR INTERMEDIATE WOUND NECK/EXTREMITY 2.5 CM OR LESS, $370.28 , $305.72 , $305.72 ,, $488.91 ,,,
,60001050,HC ED REPAIR INTERMEDIATE WOUND NECK/EXTREMITY 2.6 TO 7.5 CM, $370.28 , $305.72 , $305.72 ,, $488.91 ,,,
,60001051,HC ED REPAIR INTERMEDIATE WOUND FACE 2.5 CM OR LESS, $370.28 , $305.72 , $305.72 ,, $488.91 ,,,
,60001052,HC ED REPAIR INTERMEDIATE WOUND FACE 2.6 TO 5 CM, $370.28 , $305.72 , $305.72 ,, $488.91 ,,,
,60001053,HC ED REPAIR INTERMEDIATE WOUND FACE 5.1 TO 7.5 CM, $305.72 , $305.72 , $305.72 ,, $488.91 ,,,
,60001055,HC ED REPAIR COMPLEX WOUND TRUNK 2.6 TO 7. 5CM,, $875.82 ,,, $771.94 ,,,
,60001056,HC ED REPAIR COMPLEX WOUND SCALP 2.6 TO 7.5 CM, $305.72 , $305.72 , $298.26 ,, $956.16 ,,,
,60001057,HC ED REPAIR COMPLEX WOUND EYE/NOSE/EARS 1.1 TO 2.5CM, $382.15 , $305.72 , $305.72 ,, $488.91 ,,,
,60001058,HC ED REPAIR COMPLEX WOUND EYE/NOSE/EARS 2.6 TO 7.5CM," $1,140.65 ", $941.84 , $941.84 ,, $811.80 ,,,
,60001059,HC ED REPAIR COMPLEX WOUND EYE/NOSE/EARS EACH ADDTL 5 CM OR LESS,, $305.72 , $305.72 ,, $298.26 ,,,
,60001060,HC ED LATE CLOSURE OF WOUND," $4,915.37 "," $4,058.55 "," $4,058.55 ",," $4,058.55 ",,,
,60001061,HC ED DRESSING CHANGE WITH ANESTHESIA, $241.24 , $241.24 , $241.24 ,, $241.24 ,,,
,60001062,HC ED BURN TX 1ST DEGREE BURN, $167.27 , $138.13 , $138.13 ,, $129.71 ,,,
,60001063,HC DRESS/DEBRID SMALL BURN NO ANES, $248.31 , $205.04 , $205.04 ,, $324.88 ,,,
,60001064,HC ED BURN CLINIC-TREAT BURN MEDIUM, $300.27 , $247.93 , $247.93 ,, $324.88 ,,,
,60001065,HC ED BURN CLINIC-TREAT BURN LARGE, $594.48 , $594.48 , $594.48 ,, $629.41 ,,,
,60001066,HC ED DESTRUCT 1ST BENIGN LESION, $129.95 , $107.28 , $107.28 ,, $226.52 ,,,
,60001067,HC ED DESTRUCT BENIGN LESION 2-14, $129.95 , $107.28 , $107.28 ,, $107.28 ,,,
,60001068,HC ED DESTRUCT BENIGN LESION 1 TO 14, $179.32 , $148.08 , $148.08 ,, $124.94 ,,,
,60001069,HC CHEMICAL CAUTERIZATION OF GRANULATION TISSUE (IE PROUD FLESH), $255.10 , $210.64 , $210.64 ,, $383.21 ,,,
,60001070,HC ED CYST BREAST ASPIRATION,, $281.11 ,,,,,,
,60001071,HC ED MASTOTOMY WITH DRAINAGE," $3,658.67 "," $3,020.91 "," $3,020.91 ",," $2,505.95 ",,,
,60001072,HC ED FB REMOVAL MUSCLE DEEP,," $4,082.20 ",,,,,,
,60001073,HC ED INJECTION STEROID CARPAL TUN, $461.88 , $381.39 , $381.39 ,, $381.39 ,,,
,60001074,HC ED INJECTION TENDON LIGAMENT, $465.44 , $384.31 , $384.31 ,, $358.55 ,,,
,60001075,HC ED INJECTION TENDON SHEATH, $447.64 , $393.92 , $393.92 ,, $346.87 ,,,
,60001076,HC ED INJECTION ARTHROCENTESIS SMALL JT,, $384.31 , $384.31 ,,,,,
,60001077,HC ED INJECTION ARTHROCENTESIS INTERMEDIATE JT WITHOUT US, $477.06 , $393.91 , $393.91 ,, $469.53 ,,,
,60001078,HC ED INJECTION ARTHROCENTESIS MAJOR JT WITHOUT US, $393.91 , $393.91 , $393.91 ,, $469.53 ,,,
,60001079,HC ED ARTHROCENTESIS MAJOR JT WITH US, $515.50 , $412.40 , $412.40 ,, $402.40 ,,,
,60001080,HC ED ASPIRATION INJECTION GANGLION CYST,, $420.21 ,,, $346.87 ,,,
,60001081,HC ED HALO REMOVAL APP BY OTHER PHYS, $125.53 , $103.64 , $103.64 ,, $103.64 ,,,
,60001083,HC ED DRAINAGE TENDON SHEATH," $4,663.95 "," $3,731.16 "," $3,731.16 ",," $3,731.16 ",,,
,60001084,HC ED ARTHROTOMY WITH EXPLORE MCP," $3,392.18 "," $2,800.90 "," $2,800.90 ",," $2,800.90 ",,,
,60001085,HC ED INJECT SACROILIAC JOINT, $317.15 , $261.85 , $261.85 ,, $261.85 ,,,
,60001086,HC ED STRAPPING UNNA BOOT, $242.60 , $200.32 , $200.32 ,, $284.25 ,,,
,60001087,HC ED I&D NASAL SEPT ABSCESS, $423.24 , $349.46 , $349.46 ,, $807.59 ,,,
,60001088,HC ED FB REMOVAL INTRANASAL, $138.74 , $114.56 , $114.56 ,, $292.88 ,,,
,60001089,HC ED CONTRL NASAL HEMORRHAGE SIMPLE, $322.95 , $266.65 , $266.65 ,, $292.88 ,,,
,60001090,HC ED INTUBATION ENDOTRACHEAL," $1,052.04 ", $990.15 , $990.15 ,, $376.15 ,,,
,60001091,HC ED LARYNGOSCOPY FLEX DIAGNOSTIC, $387.03 , $319.56 , $319.56 ,,,,,
,60001092,HC ED BRONCH WITH FOREIGN BODY REMOVAL, $422.64 , $348.97 , $348.97 ,, $340.46 ,,,
,60001093,HC ED THORACENTESIS WO IMAGE GUIDANCE," $1,393.77 "," $1,115.02 "," $1,115.02 ",," $1,087.82 ",,,
,60001094,HC ED THORACENTESIS WITH IMAGE GUIDANCE,," $1,061.96 ",,,,,,
,60001095,HC ED PERICARDIOCENTESIS INITIAL, $679.68 , $543.74 , $543.74 ,, $543.74 ,,,
,60001096,HC ED TEMPORARY PACEMAKER INSERTION,," $10,438.50 ",,," $8,119.03 ",,,
,60001097,HC ED INSERT CENTRAL LINE AGE 5 AND UNDER," $2,713.34 "," $2,170.67 "," $2,170.67 ",," $2,170.67 ",,,
,60001098,HC ED INSERT CENTRAL LINE AGE 5 AND OVER," $2,524.85 "," $2,084.71 "," $2,084.71 ",," $1,669.62 ",,,
,60001099,HC ED PICC LINE PLACEMENT,," $2,130.43 "," $2,130.43 ",," $1,185.45 ",,,
,60001100,HC ED REPAIR CVA CATHETER, $949.37 ,,,,,,,
,60001102,HC ED REPLACE CATH ONLY WITH PT/PUMP," $5,653.65 "," $4,668.14 ",,,,,,
,60001103,HC ED REMOVE IMPLANT VEN TUNNELED,, $975.91 ,,,,,,
,60001104,HC ED DECLOTTING CATH/ACCESS DEVICE, $519.97 , $415.97 , $445.92 ,, $415.97 ,,,
,60001105,HC ED MECH REMOVE TUNNELED CV CATH," $2,614.37 "," $2,011.05 "," $2,011.05 ",," $2,011.05 ",,,
,60001106,HC ED ARTERIAL CANNULATION, $317.15 , $268.40 , $261.85 ,, $502.52 ,,,
,60001107,HC ED DRAIN ABSC LYMPH NODE SIMPLE," $1,903.96 "," $1,903.96 "," $1,903.96 ",," $1,903.96 ",,,
,60001109,HC ED GI NASO OR ORO-GAST TUBE PL, $435.77 , $373.71 , $189.77 ,, $203.43 ,,,
,60001110,HC ED ABD PARACENTESIS WITH IMAGING,, $903.41 , $903.41 ,," $1,274.59 ",,,
,60001111,HC ED GI REPLACE G OR CECOST COLO, $951.98 , $951.98 , $951.98 ,, $928.76 ,,,
,60001112,HC ED CHANGE OF URETEROSTOMY," $1,812.44 "," $1,496.51 "," $1,496.51 ",," $1,496.51 ",,,
,60001113,HC ED INTERMITTENT CATH PROCEDURE, $251.69 , $207.81 , $207.81 ,, $292.88 ,,,
,60001114,HC ED FOLEY CATH INSERT, $251.69 , $207.81 , $207.81 ,, $292.88 ,,,
,60001115,HC ED CHANGE CYSTOSTOMY TUBE, $463.93 , $383.06 , $383.06 ,, $475.24 ,,,
,60001116,HC ED CYSTOURETHROSCOPY," $1,565.82 "," $1,252.65 "," $1,252.65 ",," $1,168.52 ",,,
,60001117,HC ED DILATION URETHRA INITIAL, $226.47 , $187.00 , $187.00 ,, $187.00 ,,,
,60001118,HC ED DRAIN SCROT WALL ABSCESS," $2,304.41 "," $2,304.41 "," $2,304.41 ",," $1,695.34 ",,,
,60001119,HC ED I&D BARTHOLIN GLAND ABCESS, $492.06 , $492.06 , $492.06 ,, $364.28 ,,,
,60001120,HC ED BIOPSY VAGINA SIMPLE," $1,379.67 "," $1,061.29 "," $1,061.29 ",," $1,061.29 ",,,
,60001121,HC ED INSERT PESSARY OTHER DEVICE, $246.28 , $203.38 , $203.38 ,, $203.38 ,,,
,60001122,HC ED PACKING NON OB HEMORRHAGE,, $548.57 ,,,,,,
,60001123,HC ED COLP CERVIX INCLUDE UP VAGINA, $469.11 , $387.36 , $387.36 ,, $387.36 ,,,
,60001124,HC ED ENDOMETRIAL BIOPSY,, $204.45 ,,, $541.56 ,,,
,60001125,HC ED REMOVAL IUD,, $258.22 , $258.22 ,, $502.76 ,,,
,60001126,HC ED EPISIOTOMY OR VAGINAL REPAIR," $3,080.28 "," $3,080.28 "," $3,080.28 ",," $2,789.62 ",,,
,60001127,HC ED DELIVERY OF PLACENTA," $3,705.09 "," $3,059.24 "," $3,059.24 ",," $3,059.24 ",,,
,60001128,HC ED BRAIN CANAL SHUNT ASPIRATION, $476.29 , $393.28 , $393.28 ,, $393.28 ,,,
,60001129,HC ED REPROGRAMMING CSF SHUNT, $586.44 , $586.44 ,,,,,,
,60001130,HC ED LUMBAR PUNCTURE DIAGNOSTIC," $1,161.79 ", $959.29 , $959.29 ,, $807.59 ,,,
,60001131,HC ED LUMBAR PUNCTURE THERAPEUTIC," $1,133.46 ", $935.89 , $935.89 ,, $828.66 ,,,
,60001133,HC ED INJ ANES TRIGEMINAL NERVE, $393.91 , $393.91 , $384.30 ,, $576.60 ,,,
,60001134,HC ED NERVE BLOCK GREATER OCCIPITAL,, $438.97 , $438.97 ,, $389.78 ,,,
,60001135,HC ED INTERCOSTAL NERVE BLOCK MULTI," $1,383.88 "," $1,142.64 "," $1,142.64 ",," $1,598.08 ",,,
,60001136,HC ED VACCINE ADMIN SINGLE, $89.33 , $89.33 , $89.33 ,, $89.33 ,,,
,60001137,HC ED VACCINE ADMIN EACH ADDTL, $70.69 , $70.69 , $70.69 ,, $59.94 ,,,
,60001138,HC ED CPR, $578.85 , $477.95 , $477.95 ,, $529.17 ,,,
,60001139,HC ED CARDIOVERSION, $995.81 , $995.81 , $995.81 ,," $1,045.92 ",,,
,60001141,HC ED EP EVALUATION," $2,142.67 "," $1,769.15 "," $1,769.15 ",," $1,769.15 ",,,
,60001142,HC ED IV HYDRATION INFUSION INITIAL HOUR, $215.91 , $215.91 , $215.91 ,, $310.56 ,,,
,60001143,HC ED IV HYDRATE ADDTL HOURS, $79.71 , $79.71 , $79.71 ,, $137.07 ,,,
,60001144,HC ED IV INFUSION THERAPY UP TO 1 HR, $215.91 , $215.91 , $215.91 ,, $385.89 ,,,
,60001145,HC ED IV INFUSION THERAPY EACH ADDTL HR, $215.91 , $215.91 , $215.91 ,, $267.73 ,,,
,60001146,HC ED IV INFUSION ADDTL SEQUENTUAL UP TO 1 HR, $215.91 , $215.91 , $215.91 ,, $267.73 ,,,
,60001147,HC ED IV CONCURRENT INFUSION, $215.91 , $215.91 , $215.91 ,, $267.73 ,,,
,60001148,HC ED ADMIN OF INJECTION SUBQ OR IM, $125.88 , $103.92 , $103.92 ,, $59.94 ,,,
,60001149,HC ED IV PUSH SINGLE OR INITIAL SUBSTANCE, $163.60 , $135.08 , $135.08 ,, $152.37 ,,,
,60001150,HC ED IV PUSH EACH ADDTL NEW SUBSTANCE, $202.35 , $167.08 , $167.08 ,, $148.90 ,,,
,60001151,HC ED IV PUSH SAME DRUG 30 MIN AFTER, $163.60 , $135.08 , $135.08 ,, $148.90 ,,,
,60001152,HC ED CHEMO SUBQ/IM NONHORMONE ANTINEOP, $266.20 , $212.96 , $212.96 ,, $255.83 ,,,
,60001153,HC ED DEBRIDEMENT 20 SQ CM OR LESS, $345.78 , $265.98 , $265.98 ,, $369.21 ,,,
,60001154,HC ED DEBRIDEMENT ADDTL 20 SQ CM,, $276.78 ,,, $229.98 ,,,
,60001155,HC ED THERAPUTIC PHLEBOTOMY, $412.32 , $340.46 , $340.46 ,, $154.57 ,,,
,60002714,HC DRAIN NASAL ABSCESS/HEMATOMA,, $343.50 , $343.50 ,, $705.25 ,,,
,60002720,HC CONTRL NASAL HEMORRHAGE COMPLEX, $315.08 , $260.15 , $260.15 ,, $176.73 ,,,
,60002721,HC CONTRL NASAL HEMORRHAGE POSTERIOR,, $266.65 , $266.65 ,, $288.37 ,,,
,60002722,HC CONTRL NASL HEMORRHAGE SUB, $360.47 , $288.37 , $288.37 ,, $288.37 ,,,
,60002723,HC NASAL ENDOSCOPY  DX,, $155.73 ,,,,,,
,60002724,HC NASAL/SINUS ENDOSCOPY SURG," $3,054.58 "," $2,874.89 "," $2,695.22 ",," $2,874.89 ",,,
,60002726,HC TRACHEOTOMY TUBE CHANGE, $452.62 , $373.71 ,,,,,,
,60002727,HC LARYNGOSCOPY INDIRECT,,, $155.73 ,,,,,
,60002728,HC LARYNGOSCOPY WITH REM FB, $377.59 , $311.77 , $311.77 ,, $873.05 ,,,
,60002729,HC LARYNGOSCOPY DIRECT DX," $2,990.12 "," $2,468.91 "," $2,468.91 ",," $3,640.93 ",,,
,60002730,HC LARYNGOSCOPY WITH FB REMOVAL," $4,894.74 "," $4,894.74 "," $4,894.74 ",," $4,894.74 ",,,
,60002732,HC LARYNGOSCOPY FF WITH BIO," $3,780.75 "," $3,780.75 "," $3,780.75 ",," $3,780.75 ",,,
,60002733,HC LARYNGOSCOPY FF WITH REMO, $904.92 , $747.18 , $747.18 ,, $773.82 ,,,
,60002734,HC LARYNGOSCOPY FF WITH REM," $4,579.07 "," $3,780.86 "," $3,780.86 ",," $3,780.86 ",,,
,60002736,HC TRACHEOSTOMY ER TRANST," $1,461.26 "," $1,206.54 "," $1,206.54 ",," $1,339.31 ",,,
,60002737,HC TRACHEOSTOMY CRICOTHYROID," $1,177.09 "," $1,177.09 "," $1,177.09 ",," $1,080.76 ",,,
,60002738,HC TRACHEOBRONCH THROUGH TRACH,," $1,299.50 ",,,,,,
,60002740,HC BRONCHOSCOPY WITH LAVAGE," $2,414.56 "," $1,857.38 "," $1,857.38 ",," $1,857.38 ",,,
,60002746,HC THORACOTOMY RPR TEAR," $5,867.87 "," $5,867.87 "," $5,867.87 ",," $5,867.87 ",,,
,60002747,HC THORACOTOMY CARDIAC MASSAGE,," $6,616.03 ",,,,,,
,60002751,HC INSERTION OF CHEST TUBE," $1,220.16 "," $1,007.47 "," $1,007.47 ",," $1,087.82 ",,,
,60002755,HC INSERT CATH PLEURA WO IMAGE GUIDANCE,, $990.15 ,,, $878.18 ,,,
,60002760,HC PNEUMOTHORAX THERAPEUTIC, $725.37 , $598.94 , $598.94 ,, $571.94 ,,,
,60002766,HC PERICARDIOCENTESIS SUBSEQUENT, $658.51 , $543.75 , $543.75 ,, $543.75 ,,,
,60002805,HC REPAIR CARDIAC WOUND," $27,250.04 "," $27,250.04 "," $27,250.04 ",," $27,250.04 ",,,
,60002829,HC REPAIR BLOOD VESSEL NECK," $5,995.17 "," $4,950.15 "," $4,950.15 ",," $2,893.30 ",,,
,60002830,HC REPAIR BLOOD VESSEL DIRECT UPPER EXTREMITY,," $3,866.43 ",,,,,,
,60002831,HC REPAIR BLOOD VESSEL HAND,," $6,140.95 "," $6,140.95 ",,,,,
,60002832,HC REPAIR BLOOD VESSEL DIRECT LOWER EXTREMITY,," $3,866.43 ",,," $3,436.29 ",,,
,60002880,HC VENIPUNCTURE CUTDOWN AGE 1 OR UNDER, $63.18 , $52.18 , $52.18 ,, $300.85 ,,,
,60002881,HC VENIPUNCTURE CUTDOWN AGE 1 AND OVER, $63.18 , $52.18 , $52.18 ,, $128.32 ,,,
,60002930,HC PLCMNT NDL INTRAOSSEOU, $439.83 , $363.15 , $363.15 ,, $363.04 ,,,
,60002980,HC LIGATION  ARTERY EXTER, $317.15 , $261.85 , $261.85 ,, $261.85 ,,,
,60003661,HC NASOPHARYNGOSCOPY W/ENDOSCOPE, $181.59 , $145.27 , $155.73 ,, $334.97 ,,,
,60003735,HC TEMP TRANSCUTANEOUS PACING, $589.33 , $486.57 , $486.57 ,, $360.65 ,,,
,60004052,HC ED VISIT CATEGORY 1, $223.08 , $130.32 , $117.29 ,, $193.61 ,,,
,60004053,HC ED VISIT CATEGORY 2, $816.44 , $476.98 , $429.29 ,, $475.70 ,,,
,60004054,HC ED VISIT CATEGORY 3," $1,075.53 ", $628.36 , $565.51 ,, $616.60 ,,,
,60004055,HC ED VISIT CATEGORY 4," $2,094.60 "," $1,219.57 "," $1,097.61 ",," $1,079.05 ",,,
,60004056,HC ED VISIT CATEGORY 5," $2,854.21 "," $1,661.90 "," $1,495.72 ",," $1,456.73 ",,,
,60004057,HC ED VISIT CRITICAL CARE 30 TO 74 MIN," $6,322.73 "," $3,693.82 "," $3,324.44 ",," $3,666.42 ",,,
,60004058,HC ED CRITICAL CARE EACH ADDTL 30 MIN, $325.06 , $268.40 , $268.40 ,, $213.06 ,,,
,60004080,HC DRAINAGE PILONIDAL CYST COMPLEX," $2,099.82 "," $2,099.82 "," $2,099.82 ",," $2,099.82 ",,,
,60004090,HC DEBRIDEMENT SKIN BONE AT FX SITE,, $716.54 , $716.54 ,," $1,837.49 ",,,
,60004153,HC AVULSION OF NAIL PLATE EACH ADDTL, $167.61 , $138.41 ,,,,,,
,60004157,HC REPAIR OF NAIL BED, $370.28 , $305.72 , $305.72 ,, $488.91 ,,,
,60004158,HC RECONSTRUCTION OF NAIL BED, $347.82 , $298.28 , $278.25 ,, $278.25 ,,,
,60004163,HC REMOVAL TISSUE EXPANDER(S)," $4,200.43 "," $3,468.25 "," $3,468.25 ",," $3,468.25 ",,,
,60004170,HC REPAIR SIMPLE WOUND TRUNK/SCALP 7.6 TO 12.5 CM, $370.28 , $305.72 , $305.72 ,, $237.41 ,,,
