DESCRIPTION                     ,CHARGE,CPT CODE
EXTENDED ASSESSMENT,572,96111
COGNITIVE PERFORM TEST PER HR,474,96125
2F IV HYDRATION PRIMARY,352,96360
2F HYDRATION EA SUBSEQUENT,87,96361
2F DRUG INFUSION PRIMARY,366,96365
2F IV INFUSION EA ADDL HR,88,96366
2F INFUS EA SEQ HR,120,96367
2F INFUSION CONCURRENT,117,96368
ER SUBQ INFUSION 1ST HOUR,276,96369
ER SUBQ INFUSION EA ADDL HOUR,150,96370
ER SUBQ INFUSION ADDL INF SITE,105,96371
2F IM/SQ INJECTION,118,96372
2F IV PUSH MED PRIMARY,194,96374
2F PUSH SEQ NEW DRUG,124,96375
2F PUSH EA SEQ SAME DRUG,124,96376
COMPLEX IV INFUSION 1ST HOUR,677,96413
COMPLEX IV INFUSION EA ADDL HR,184,96415
4F PORT-A-CATH FLUSH,183,96523
PT ASSESSMENT INITIAL,352,97001
OT ASSESSMENT INITIAL,350,97003
OT MOIST HEAT,0,97010
PT-MECHANICAL TRACTION,114,97012
TRANSCUT.ELEC.NERVE STIMULATIO,60,97014
OT VASOPNEUMATIC DEVICES,101,97016
PT PARIFFIN BATH,91,97018
HYDROTHERAPY,147,97022
DIATHERMY,90,97024
INFRARED THERAPY,80,97026
ULTRAVIOLET,53,97028
ELECTRICAL STIMULATION QH,86,97032
IONTOPHORESIS QTR HR,117,97033
CONTRAST BATH (QTR HR),102,97034
ULTRASOUND (QTR HR),79,97035
HUBBARD TANK QH,92,97036
THERAPEUTIC EXERCISE (QTR HR),115,97110
NEUROMUSCULAR RE-ED MVMT (QH),114,97112
PT GAIT TRAINING QTR HR,113,97116
MASSAGE QTR HR,110,97124
COGNITIVE TRAINING (QTR HR),150,97127
PT MEASURE COMPRESSION STOCKIN,114,97139
MANUAL THERAPY TECHNIQUES-Q HR,118,97140
GROUP THERAPY 2-4 PATIENTS,98,97150
PT ASSESSMENT LEVEL 1,273,97161
PT ASSESSMENT LEVEL II,352,97162
PT ASSESSMENT LEVEL III,431,97163
PT REASSESSMENT,273,97164
OT REASSESSMENT,273,97168
OT RANGE OF MOTION MEASURE QH,115,97530
OT SENSORY INTEGRATION QTR HR,152,97533
SELF CARE/HOME MGMT TRNG-QHR,159,97535
COMMUNITY/WORK REINTEG QH,130,97537
WHEELCHAIR MGMT QH,86,97542
PT WORK CONDITIONING - 2 HOURS,472,97545
PT WORK CONDITIONING ADDL HR,201,97546
ACTIVE WOUNDCARE 20 CM OR <,345,97597
ACTIVE WOUNDCARE 20 CM OR >,345,97598
NON SELECTIVE DEBRIDEMENT,136,97602
3F NEG PRESS THER 50 SQCM OR<,241,97605
NEG PRESS THERAPY 50 CM OR >,332,97606
ISOKINETIC EXTREMITY TEST (QH),143,97750
ASSISTIVE TECH ASSESSMENT QH,191,97755
ORTHO MGMT & TRAINING QH,170,97760
PROSTHETIC TRAINING QH,156,97761
CHECKOUT ORTHO/PROS USE QH,99,97763
MODERATE SEDATION ADULT 30 MIN,277,99144
MOD SEDATION ADULT ADDL 15 MIN,96,99145
HBO PER SESSION (NON-MCRE),2073,99183
DRAWING DONORS-PHLEBOTOMY,133,99195
NEW PT LEVEL I,196,99201
NEW PT LEVEL II,252,99202
NEW PT LEVEL III,332,99203
NEW PT LEVEL IV,439,99204
NEW PT LEVEL V,532,99205
SLEEP CLINIC FACILITY LEVEL I,194,99211
ESTAB PT LEVEL II,205,99212
ESTAB PT LEVEL III,239,99213
ESTAB PT LEVEL IV,289,99214
ESTAB PT LEVEL V,472,99215
BC OBSERVATION HOURS COMM,35,99218
EMERGENCY ROOM-LEVEL 1,215,99281
EMERGENCY ROOM-LEVEL 2,382,99282
EMERGENCY ROOM-LEVEL 3,619,99283
EMERGENCY ROOM-LEVEL 4,999,99284
EMERGENCY ROOM - LEVEL 5,1439,99285
ER CRITICAL CARE 1ST HOUR,1990,99291
ER CRITICAL CARE ADDL 30 MIN,533,99292
SMOKING CESSATION COUNS 3-10M,45,99406
SMOKING CESSATION COUNS >10M,52,99407
MRA ABDOMEN W/CONTRAST,2064,
MR MRA ABDOMEN W/O CM,1934,
MRA ABDOMEN W & W/O CONTRAST,2469,
MRI BREAST UNILATERAL W CONTR,2205,
MRI BREAST UNILATERAL WO CONTR,2020,
MR BREAST WO/W CM *L*,2736,
MRI BREAST BILATERAL W CONTR,2597,
MR BREAST WO CM BILAT,2443,
MRI BREAST BILAT W WO CONTR,3066,
MRA CHEST W/CONTRAST,2064,
MR MRA CHEST W/ OR W/O CM,2165,
MRA CHEST W & W/O CONTRAST,2469,
MRA LOWER EXT W CONTRAST,2310,
MRA LOWER EXT W/O CONTRAST,1934,
MRA LOWER EXT W & W/O CONTRAST,2469,
MM DIGITAL DIAG LIMITED BILAT,334,
BC OBSERVATION HOURS MCR,35,
OBS DIRECT ADMIT MCR,126,
IMIPRAMINE (TOFRANIL),219,
RIFAXIMIN 550 MG TABLET,202.87,
Cefdinir 250mg/5ml 60ml susbot,109.85,
TET/DIP TOXOID .5 ML,92,
TANDEM PLUS CAPSULE,8.61,
NS 0.9%-3ml nebs,0,
Phenol 1 EA Swab 89%,0,
LANGUAGE SCREEN,53,
DYSPHAGIA SCREEN,67,
FACTOR 7  5 MG VIAL (1 MCG),47173.24,
CABAZITAXEL 60MG INJ (PER 1MG),45802.12,
PACEMAKER(DDD),36255,
NEUROSTIMULATOR/LEADS,31894,
OSTEONIC HIGH DEMAND HIP,29394,
PENILE PROSTHESIS,29370,
PACEMAKER,29306,
TOTAL HIP,28302,
TOTAL HIP PROSTHESIS,28302,
HIP PROSTHESIS,27690,
OFATUMUMAB 1G INJECTION,24877.55,
LEUPROLIDE 30MG(4-MON) (7.5MG),23338.67,
PEGFILGRASTIM 6 MG INJ,21503.09,
TOTAL KNEE,20672,
OCTREOTIDE 30MG (PER 1MG),20432.09,
PANITUMAMAB 400MG INJ (10MG),20197.45,
PENILE PROSTHESIS-INFLATABLE,19854,
LARGE EXTERNAL FIXATOR,19626,
6041-0730 OMNIFIT HA,19558,
6041-0830 OMNIFIT HA,19558,
6041-0935 OMNIFIT HA,19558,
6041-1035 OMNIFIT HA,19558,
6041-1140 OMNIFIT HA,19558,
6041-1240 OMNIFIT HA,19558,
RITUXAN 500MG VIAL (100MG),19006.12,
FACTOR 7  2 MG VIAL (PER 1MCG),18890.44,
LEUPROLIDE DEPOT 22.5MG (7.5MG,17512.74,
DARBEPOETIN 500 MCG SYR (1MCG),16939.4,
DIGOXIN IMMUNE FAB 40MG VL (VL,15541.64,
EXTERNAL FIXATOR,15486,
IM NAIL,15424,
IXABEPILONE 45 MG VL (PER 1MG),15357.09,
TENECTEPLASE 50MG VL (1MG),15302.49,
ROMIPLOSTIM 500 MCG INJ,15062.54,
OSTEONIC LOW DEMAND HIP,14916,
PEMETREXED 500 MG VIAL (10MG),14810.44,
LEUPROLIDE 11.25MG IM (3.75MG),14701.96,
BRYAN CERVICAL DISC,14354,
Ziv-Aflibercept 25mg/ml-8ml,14012.84,
CROFAB 1G VIAL,14004.1,
BEVACIZUMAB 400 MG INJ (10MG),13959.37,
06-2605 C-TAPER HEAD,13800,
06-2610 C-TAPER HEAD,13800,
OCTREOTIDE LAR DEPOT 20MG (1MG,13656.56,
FEMORAL PROSTHESIS,13640,
PENILE PROSTHESIS-MALLEABLE,13308,
BENDAMUSTINE HCL 100MG VL (1MG,12730.4,
PRIVIGEN 10%-20G/200ML,11916.2,
DOXORUBICIN LIPOSOMAL 50MG(10M,11805.91,
ESOPHAGEAL STENT,11286,
PENILE PROSTHESIS-RIGID,11244,
PRESTIGE CERVICAL DISC,10826,
Triptorelin LA 11.25mg Inj,10774.48,
6070-0525 ODC STEM,10652,
6070-0625 ODC STEM,10652,
6070-0730 ODC STEM,10652,
6070-0830 ODC STEM,10652,
6070-0935 ODC STEM,10652,
6070-1035 ODC STEM,10652,
6070-1140 ODC STEM,10652,
DOXOrubicin LIPO50MG/25ml(10mg,10511.16,
OCTREOTIDE LAR DEPOT 10MG (1MG,10431.77,
IMPLANT NEUROSTIMULATOR ASSAY,10219,
DUAL MESH PLUS 18x24CM X1MM,10200,
DARBEPOETIN ALFA 300MCG (1MCG),10177.74,
RESTORE,10177,
Carfilzomib 60mg Inj(per 1mg),9880.89,
12 X 30 X 30 IMPLANT 500- 11CC,9716,
PENTOSTATIN 10MG Inj (PER10MG),9672.39,
OSTEOCEL 10ML,9637,
FACTOR 7  1 MG VIAL (1MCG),9462.84,
DENOSUMAB 120MG/1.7ML INJ (1MG,9447.12,
10 X 20 X 50 IMPLANT 500 -11CC,9290,
UH1-42-26 U.H.R. BIPOLAR HEAD,9109,
UH1-43-26 U.H.R. BIPOLAR HEAD,9109,
UH1-44-26 U.H.R. BIPOLAR HEAD,9109,
UH1-45-26 U.H.R. BIPOLAR HEAD,9109,
UH1-46-26 U.H.R. BIPOLAR HEAD,9109,
UH1-47-26 U.H.R. BIPOLAR HEAD,9109,
UH1-48-26 U.H.R. BIPOLAR HEAD,9109,
UH1-50-26 U.H.R. BIPOLAR HEAD,9109,
UH1-50-26 U.H.R. BIPOLAR HEAD,9109,
UH1-51-26 U.H.R. BIPOLAR HEAD,9109,
UH1-52-26 U.H.R. BIPOLAR HEAD,9109,
UH1-53-26 U.H.R. BIPOLAR HEAD,9109,
UH1-54-26 U.H.R. BIPOLAR HEAD,9109,
UH1-55-26 U.H.R. BIPOLAR HEAD,9109,
UH1-56-26 U.H.R. BIPOLAR HEAD,9109,
UH1-58-26 U.H.R. BIPOLAR HEAD,9109,
DISTAL FEMUR/CONDYLE,9076,
EXTERNAL FIXATOR - ACUMED MINI,8814,
GAMUNEX 20G (PER 500MG),8653.3,
GRAFTJACKET 5X10 (50 SQCM),8376,
KYPHO KIT,8269,
GOSERELIN 10.8MG INJ   (3.8MG),7963.16,
FLEBOGAMMA 20G (PER 500MG),7818.14,
TEMSIROLIMUS 25MG INJECTION,7764.82,
VASCULAR GRAFT,7638,
ROMIPLOSTIM 250MCG INJ,7548.89,
Decitabine 50mg/10ml SDV (1MG),7508.89,
BENLYSTA 400MG INJ,7468.63,
37X28 CM RECT MESH,7445,
GREENFIELD FILTER,7354,
DUALMESH 26x34,7254,
12 X 25 X 25 IMPLANT 500-7.5CC,7249,
BENDINI EMG NEEDLE MODULE KIT,7228,
BENDINI EMG SURFACE MODULE KIT,7228,
BENDINI SSEP MODULE KIT,7228,
ACTIFUSE 20ML,7164,
BORTEZOMIB 3.5MG INJ (0.1MG),7037.14,
VASCULAR GRAFT RING TYPE 6x70,7014,
Idarucizumab 2.5 g vial,6922.03,
AUSTIN-MOORE PROTHESIS,6893,
DARBEPOETIN ALFA 200MCG (1MCG),6796.9,
RHO(D)IMMUNE 500OU SDF(100 IU),6628.81,
GREENFIELD FILTER CATH,6467,
DUALMESH 20x30,6424,
ROD BENDING DIGITIZER ARRAY,6368,
WALLSTENT 10X42,6355,
BREAST PROSTHESIS,6219,
CENTRAL LINE PLACEMENT,6201,
OPTILUME PROSTATIC BALLOON,6178,
25X20CM OPEN SKIRTED MESH,6139,
30X20 CM RECT MESH,6084,
IMPLANT 500 - GRANULES 30CC,5995,
PRIVIGEN 10%/10G-100ML,5975.72,
PALMAZ STENT 6MM,5940,
DEPO LEUPRON 7.5 MG (7.5MG),5861.1,
TIBIAL PLATEAU-BONE GRAFT,5804,
GAMMAGARD LIQUID 10G (500MG),5741.16,
PENCICLOVIR 1 PERC. 1.5G TUBE,5737.07,
OCTAGAM 10G VL (PER 500MG),5674.33,
MALE INCONTINENT PROSTHESIS,5509,
BEVACIZUMAB 100 MG INJ (10MG),5502.62,
FERUMOXYTOL 510 MG INJ-ESRD,5481.23,
HYLAN G-F 20,5468.78,
OSTEOCEL 5ML,5405,
CETUXIMAB 200MG INJ (10MG),5333.81,
MITOMYCIN 40MG VIAL (PER 5 MG),5270.73,
GEMCITABINE INJ 1000MGVL(200MG,5245.6,
DERMAGRAFT 37 SQ CM,5163,
DOXORUBICIN LIPOSOMAL 20MG(10M,5162.54,
ILIAC CREST WEDGE/BONE GRAFT,5145,
BENDAMUSTINE 25MG INJ,5144.69,
TUNA,5129,
TUMT,5129,
DARBEPOETIN 150MCG ESRD INJ,5106.49,
PANITUMUMAB 100MG (PER 10 MG),5075.77,
IMMUNE GLOBULIN 12G (500MG),5067.18,
VASCULAR GRAFT (GORETEX) 6x70,5055,
INTERFERON ALFA 2B 18MU (1MU),5042.61,
IXABEPILONE 15 MG VL (PER 1MG),5042.35,
EXENATIDE 10MCG DOSE SYR,5016.59,
FOMEPIZOLE 1500MG VL (15MG),5003.29,
IMPLANT 500 - GRANULES 20CC,4988,
IN 111 PENTETREOTIDE-6mCi,4966,
DENOSUMAB 60MG INJ  (PER 1 MG),4963.22,
VASCULAR GRAFT,4960,
ZOLEDRONIC ACID 4MG INJ (1MG),4947.62,
MONOTUBE EXTERNAL FIXATOR,4912,
AUSTIN MOORE PROS 1 11/16,4881,
ENDOMETRIAL ABLATION HANDPIECE,4876,
PRIVIGEN 10% 5G/50ML   (500MG),4817,
Pemetrexed 100mg SDV,4792.51,
MYCRO MESH PATCH 1mm 15x20,4776,
ERIBULIN MESYLATE 1mg/2ml,4691.53,
10 X 10 X 40 IMPLANT 500 (4CC),4685,
NESIRITIDE 1.5 MG (0.1MG),4658.8,
ESSURE SYSTEM,4651,
25X20 CM RECT MESH,4577,
OCTAGAM 5G VL (PER 500MG),4574.4,
VASCULAR GRAFT (GORETEX) 6x50,4573,
VASCULAR GRAFT (GORETEX) 8x70,4552,
VASCULAR GRAFT (GORETEX) 5x70,4552,
BILIARY ENDOPROSTHESIS,4543,
ESOPHAGEAL ENDOPROSTHESIS,4543,
COMBO CARDIOVASC PATCH 6x8x50,4496,
DARBEPOETIN ALFA 100MCG (1MCG),4482.04,
IMPLANT 500 - GRANULES 15CC,4481,
APLIGRAF SKIN SUBST PER 44 CM,4473,
DARBEPOETIN ALFA 150MCG (1MCG),4460.46,
GRAFTJACKET 4x4 (16 CM),4433,
ESOPHAGEAL STENT,4398,
Testosterone 88G 1.62% GEL,4394.42,
LAP-NISSEN KIT,4356,
GAMUNEX 10G (PER 500MG),4344.27,
ETANERCEPT 25MG INJ,4317.73,
DOXOrubicin Lipo20mg/10ml(10MG,4267.83,
BOTULINUM TOXIN TYP A 100 UNIT,4261.47,
OXICONAZOLE NITRATE 1 PERC. LT,4215.46,
CETUXIMAB 100 MG VIAL (10MG),4180.02,
AZACITIDINE 100 MG VL (1MG),4150.66,
FULVESTRANT INJ 250 MG/5 ML,4125.33,
ORTHOFIX EXTERNAL FIXATOR,4122,
IMMUNE GLOBULIN 6G (PER 500MG),4085.67,
DH LEVEL IV PROCEDURE,4066,
OFATUMUMAB 100MG INJ (PER10MG),4034.57,
FLEBOGAMMA 10G (PER 500MG),3926.69,
FERUMOXYTOL 510MG INJ    (1MG),3916.94,
COMPRESSION HIP (PERF DRILL),3855,
LEVEEN SHUNT,3847,
PLEURAL DRAINAGE KIT,3834,
RITUXAN 100MG VIAL,3829.43,
BONE MATRIX 10 CC,3809,
VASCULAR GRAFT,3752,
VASCULAR GRAFT 6X30 OR 6X40,3744,
ARTHREX SPEEDBRIDGE IMPLANT,3738,
20X15CM OPEN SKIRTED MESH,3670,
METATARSAL IMPLANT,3668,
VASCULAR GRAFT (GORETEX) 6X40,3659,
20CM ROUND MESH,3650,
DBX PUTTY 10 CC,3602,
BENLYSTA 120MG INJ,3537.29,
POLY TEF PASTE,3516,
SWANSON TITANIUM TOE IMPLANT,3478,
SURG COMP BREAST BX VAC ASSIST,3431,
VASCULAR GRAFT TAPERED 40cm,3428,
COMPRESSION HIP (TWIST DRILL),3415,
ZOLEDRONIC ACID 5MG VIAL (1MG),3405.22,
MYCRO MESH PATCH 1mm 10x15,3402,
COMPRESSION TUBE & PLATE,3381,
INTRAOCULAR LENS,3379,
INTRAOCULAR LENS,3379,
VISICATH,3369,
DEXRAZOXANE 500MG VIAL (25OMG),3338.64,
COMBO CARDIOVASC.PATCH 6x8x25,3329,
DARBEPOETIN ALFA 60MCG VL(1MCG,3300.9,
BLUE MAX BALLOON DILATION CATH,3285,
NEURO SCREW,3280,
GRAFTJACKET 2X4 CM,3274,
EXTERNAL VERSION,3262,
PLEURO-PERIT SHUNT,3253,
PALONOSETRON 0.25MG/5ML(25MCG),3220.74,
IBUTILIDE FUMARATE,3215.58,
RHO(D)IMMUNE GLOBULIN1500U(100,3199.99,
GAMUNEX 5G (PER 500MG),3199.64,
NEUROLYSIS INTERCOSTAL NERVE,3191,
DAPTOMYCIN 500MG VIAL,3167.94,
FLEBOGAMMA 5G (PER 500MG),3167.64,
TRANSFORAMINAL ESI BILATERAL,3165,
2F I & D MAJOR,3163,
INTERFERON BETA 1B INJ 0.3MG,3158.8,
CLOSED TREATMENT FRACTURE,3153,
GAMMA NAIL LONG,3135,
IBANDRONATE 3 MG/3 ML SYR (1MG,3123.4,
CLOWARD DOWELL BONE GRAFT,3106,
INFLIXIMAB 100 MG INJ (10MG),3104.68,
INTERFERON ALFA 2B 18MU (1MU),3073.01,
RF SPLANCHNIC CELIAC NERVE,3071,
GOLD PROBE CATH,3069,
VASCULAR GRAFT (GORETEX) 8x40,3041,
PHALANGEAL IMPLANT,3034,
CLOBETASOL CREAM 0.05P 60GM,3032.79,
20X15 CM RECT MESH,3016,
5 X 12 X 40 IMPLANT 500 (2CC),2974,
BIL CATH EXCHANGE (SURG),2963,
DH I & D HEMATOMA,2934,
BX FORCEPS (DISP),2932,
RFQ KIT MULTI,2906,
INSTRUMENTS REMOVAL-IM NAIL,2904,
DBX PUTTY 5 CC,2891,
VASCULAR GRAFT 6 X 30,2890,
INFUSAPORT,2860,
BONE IMPLANT,2858,
DH LEVEL III PROCEDURE,2849,
CUTTER,2848,
Granix (tbo-filgrastim) 480mcg,2847.28,
REFLEX AEC,2835,
ADVAIR HFA 12 G INHALER,2797.28,
TUNA-CATH & SUPPLIES,2775,
TUMT-CATH & SUPPLIES,2775,
TOLVAPTAN 15MG TABLET,2752.97,
TOE IMPLANT,2751,
GRAFTON 5.0CC PUTTY,2746,
PHANTOM BALLOON KIT,2738,
RF LUMBAR LEVEL 1,2734,
LAP CHOLE KIT WITH SUPPLIES,2720,
M5 EMG NEEDLE MODULE,2711,
DARBEPOETIN 60MCG ESRD INJ,2703.36,
MAXCESS KIT,2696,
GAMMA NAIL TROCHANTERIC,2694,
M5 EMG MODULE,2685,
DINOPROSTONE 10 MG VAG. INSERT,2663.91,
DIATHERMIC SNARE,2653,
15-646-10 INTRODUCER SHEATH 7F,2645,
CARSON ZERO TIP 18FR,2638,
PYLORIC BALLOON,2624,
ACRYSOF LENS,2615,
SINUS BALLOON CATHETER,2601,
US NEPHROSTOMY TUBE PLACEMENT,2590,
US NEPHROSTOMY TUBE CHANGE,2590,
BRONCHOSCOPY,2572,
DUALMESH 15x19,2555,
15CM ROUND MESH,2528,
ACE 6.5 CANNULATED SCREW,2524,
I-131 MIBG 0.5mCi,2522,
IN 111 CAPROMAB PENDETIDE,2503,
Caspofungin 70mg VL (PER 5MG),2502.65,
ENDO ESOPHAGEAL BANDER,2496,
INCUS PROSTHESIS,2466,
CONDYLAR BUTTRESS,2466,
PICC LINE,2464,
PICC LINE,2464,
Estrogen Conjugated 30G tube,2456.05,
BONE MATRIX 5 CC,2391,
TVT PROCEDURE,2388,
VASCULAR GRAFT 6x20,2379,
DIATHERMIC SNARE WIRE/TUBE,2379,
3F CENTRAL LINE NON-TUNNELED,2375,
COLONOSCOPY,2371,
SUPRACONDYLAR PLATE,2367,
Acyclovir 5%-15G tube ointment,2364.11,
COOLED RF PROBE,2351,
MORELLE SOS MAMPLAST,2350,
ADENOSINE 90MG/30ML INJ (1MG),2331.89,
15X10 OPEN SKIRTED MESH,2320,
STRAIGHT VELOUR GRAFT,2289,
1.6 CABLE & SLEEVE (ACUMED),2283,
FEMORAL HEAD/TIBIAL STRUT,2273,
PORT-A-CATH/A-PORT CATH,2273,
MONOLITH LITHOTRIPTER,2271,
PROPEL SINUS IMPLANT,2264,
PROPEL SINUS IMPLANT MINI,2264,
Bupivacaine LIPO 260mg/20ml IN,2250.26,
SUGICAL TACKS,2242,
CT PERCUTANEOUS DRAINAGE,2235,
DBX PUTTY 2.5 CC,2234,
DARBEPOETIN ALFA 40MCG VL(1MCG,2212.35,
TITANIUM BONE PLATE 14-HOLE,2210,
PRVIDONE 5P OPTH SOLN,2199.21,
KUGLE OVAL IMPLANT PATCH -MED.,2189,
PROLAPSED HEMORRHOID KIT,2189,
ACE TITANIUM HIP SCREW ASSEMBL,2161,
DUODENOSCOPY,2151,
HYCAMTIN 4MG,2144.84,
UROMAX HIGH PRESSURE BALLOON,2138,
3 FR SEGNIA BASKET,2136,
FLOVENT INHALER 220 MCG,2132.76,
GASTROSCOPY,2130,
ALLIGATOR FORCEPS,2127,
CIPRO HC OTIC DROPS,2122.62,
EEA STAPLER,2118,
VICRYL MESH 12x12,2118,
THROMBIN 20000 UNITS/20ML VIAL,2117.05,
TITANIUM BONE PLATE 12-HOLE,2112,
US RENAL BIOPSY SURG COMP,2099,
US RENAL ASPIRATION SURG COMP,2099,
SYSTEM ONE LAP CBDE KIT,2097,
ESOPHAGEAL GUIDEWIRE,2092,
ROTICULATOR,2091,
BECLOMETHASONE 42 MCG/SPRAY NS,2090.04,
NEPHROMAX PERCUFLEX BALLOON,2086,
STEP KIT,2078,
CHLOROTHIAZIDE SOD. 500 MG INJ,2074.52,
OPHTHALMOLOGY MSS LENS,2074,
RABAVERT RABIES VACCINE 1ML,2065.03,
4.5 FR SEGNIA BASKET FILI,2061,
DISTRACTION SCREW,2056,
CT LUNG BIOPSY SURG COMP,2045,
CT BIOPSY LIVER SURG COMP,2042,
LITHOCLAST,2041,
CARDIOVASC.PATCH(GORETEX) .6MM,2039,
US LIVER BIOPSY SURG COMP,2039,
SURG COMP NEEDLE BIOPSY LIVER,2023,
CT RENAL ASPIRATION,2023,
M5 GUIDANCE CLIP,2020,
STRESS ECHO COMPL W CONTRAST,2018,
Infliximab-ABDA 100 MG Vial,2015.42,
Fibrin Seal Component(4ml)Kit,1987.62,
CT RENAL BIOPSY SURG COMP,1964,
ECHO COMPLETE WITH CONTRAST,1943,
INDWELLING CATH W INJECTION,1930,
CIRCUMCISION NEONATE,1928,
TITANIUM BONE PLATE 10-HOLE,1917,
DESONIDE 0.5 PERC. CREAM,1909.02,
MINI STATAK ATTACHMENT DEVICE,1907,
12-231 BLUE MAX BALLOON CATH7M,1902,
12-213 BLUE MAX BAL CATH 5MM,1902,
GONADOTROPIN 10000U VL (1000U),1896.9,
Tc 99m DEPREOTIDE NEOTECT,1884,
CT SURG COMP BONE BIOPSY,1884,
12 CM ROUND MESH,1879,
15X10 CM RECT MESH,1879,
STRAIGHT WOVEN GRAFT,1874,
LAP CHOL SUPPLIES DISPOSABLE,1872,
BALLOON DILATOR,1872,
THYROTROPIN 0.9MG 1.1MG VIAL,1865,
PLT LR IRRADIATED,1862,
14-345 ULT THIN BAL CATH 4MM,1862,
14-327 ULT THIN BAL 6MM,1862,
US THORACENTESIS SURG COMP,1860,
IPRATROPIUM BROMIDE 12.9G INH,1854.7,
PIMECROLIMUS 1 PERC CREAM 15 G,1847.26,
ADHERENT CLOT CATHETER,1845,
MAS TLIF HOOP SHIM,1843,
OFLOXACIN 0.3% (OTIC) 10 ML,1835.3,
ABSORBATACK SHORT,1835,
ASPEN LSO,1825,
KUGLE OVAL IMPLANT PATCH-SMALL,1822,
PROLARYN RADIESSE IMPLANT,1820,
PLATE EXTENSION - 14 HOLE,1801,
CT MISC BIOPSY SURG COMP,1800,
BRINZOLAMIDE 1P OPTH SOL,1785.14,
LIDOCAINE 5% OINTMENT,1785.14,
EPIDURAL ANESTHESIA,1773,
ADVAIR DISKUS 500.50 INHALER,1766.15,
BILIARY DILATOR,1756,
ENDO DISSECTOR,1755,
AMPLATZ J TIP WIRE,1751,
STRONTIUM-89 CHLORIDE-PER mCi,1748,
BONE PLATE-4 HOLE,1737,
AMPLATZ RENAL DILATOR,1737,
S-D-SORB EZ TAC,1736,
THORACENTESIS W/CHEST TUBE INS,1728,
INTERFERON ALFA 2B 10MU (1MU),1722.86,
RF CERVICAL LEVEL 1,1708,
IN 111 PENTETATE DISODIUM,1705,
LOW PROFILE WALKER,1703,
DEGLYCEROL L/R BLOOD,1703,
GLATIRAMER 20MG/ML SC INJ,1702.76,
REGADENOSON 0.4MG/5MLSYR(0.1MG,1702.06,
BALLOON SHUNT,1697,
ICCU R & B,1693,
TRANSFORAMINAL ESI SINGLE,1693,
NEUROLYTIC DESTR PERIPH NERVE,1693,
VITRECTOMY,1690,
DEXRAZOXANE 250MG VL (250MG),1686.94,
TRAPEZIUM IMPLANT,1683,
Medroxyprogesterone 104mg SC,1676.92,
LCSC5 5MM HARMONIC SCALPEL SHR,1674,
RF PERIPHERAL NERVE,1674,
GEMINI HELICAL STONE BASKET,1655,
GRASPING PELICAN SNARE,1650,
OATS,1644,
BACTISURE WOUND LAVAGE,1638,
OPER. ROOM-1ST QTR HR,1637,
MINNESOTA TUBE,1634,
CHOLEDOCHO/NEPHRO SET FLEX,1630,
CORKSCREW SUTURE ANCHOR,1622,
US PARACENTESIS SURG COMP,1616,
ACUMED SLEEVE,1609,
SPLANCHNIC NERVE BLOCK,1603,
LUMBAR SYMPATHETIC BLOCK,1603,
STELLATE GANGLION BLOCK,1603,
FLEBOGAMMA 2.5G VL (PER 500MG),1601.5,
Argatroban 50mg/50ml inj,1599.03,
EPIDURAL STEROID INJECTION,1594,
LAPAROSCOPIC CO-AG SHEARS,1593,
LAVH KIT,1592,
STONE EXTRACTOR SET,1590,
SALMETEROL DISKUS 50 MCG INH,1589.06,
TRANSFORAN ESI EA ADD BILAT,1583,
GOLD PROBE CATH,1583,
JOINT INJECTION SINGLE,1579,
EPIDURAL INJECTION,1579,
RF LUMBAR EA ADDL LEVEL,1579,
12-148 BLUE MAX BALLOON CATH9M,1572,
TITANIUM BONE PLATE 8-HOLE,1570,
HARMONIC SCALPEL 5MM HOOK,1563,
ALBENDAZOLE 200MG TABLET,1558.58,
EPTIFIBATIDE 0.75MG 100ML (5MG,1554.6,
INTERCOSTAL BLOCK MULTIPLE,1548,
TobraDex Opth Oint,1541.07,
NEEDLE CORE BREAST BIOPSY,1539,
ENDO GRASP (ROTICULATING),1535,
OLOPATADINE 0.1P 5ML OPTH,1530.23,
CLOBETASOL PROP 0.05% CRM 30 G,1530,
DARBEPOETIN 40MCG ESRD INJ,1525.85,
PLATELET PHERESIS,1524,
REMOVE TUNNELED CVAD,1523,
COTTON CANNULATOME,1519,
MARLEX MESH 10x14,1518,
EPIRUBICIN 200 MG VL (PER 2MG),1511.96,
GRAFTON 2.5CC PUTTY,1511,
IN 111 OXYQUINOLINE PER .5 mCi,1501,
DHS PLATE-SYNTHES,1500,
LIGASURE ATLAS,1499,
ESMOLOL 2500 MG IN 250 ML BAG,1488.44,
ESCAPE-NGAGE RETRIEVAL BASKET,1481,
DH LEVEL II PROCEDURE,1481,
TITANIUM BONE PLATE 6-HOLE,1474,
NVM5 PROBE,1474,
DESMOPRESSIN 0.1 MG PER ML BOT,1470.22,
3-D IMMOBILIZER,1466,
GRAFT-BIFURCATED,1460,
NITINOL STONE EXTRACTOR,1460,
NITINOL STONE EXTRACT-LG BSKET,1460,
PIRANHA BIOPSY FORCEP,1460,
LASER FIBERS-QUARTZ TIP,1455,
URETERAL PIGTAIL STENT SET,1452,
TOBRAMYCIN OPTH OINT 3.5G,1449.24,
CILOXAN OPTH OINTMENT,1449.24,
SPACEMAKER BALLOON DISSECTOR,1441,
ANGIOPLASTY CATHETER,1439,
