"OHIOHEALTH DOCTORS HOSPITAL, DUBLIN METHODIST HOSPITAL, GRANT MEDICAL CENTER, GROVE CITY METHODIST HOSPITAL, AND RIVERSIDE METHODIST HOSPITAL CHARGE LIST",,,,,,,,,,
SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT,,,,,,
Pharmaceuticals,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.1 %-NACL INJECTION SOLUTION ,$305.38,250 mL,,,,,,,
Pharmaceuticals,FENTANYL (PF) 300 MCG/30 ML (10 MCG/ML) IN 0.9 % NACL IV PCA SYRINGE ,$35.00,30 mL,,,,,,,
Pharmaceuticals,FENTANYL (PF) 50 MCG/ML INJECTION SOLUTION ,$36.58,5 mL,,,,,,,
Pharmaceuticals,FENTANYL (PF) 50 MCG/ML INJECTION SOLUTION ,$36.92,2 mL,,,,,,,
Pharmaceuticals,FENTANYL (PF) 50 MCG/ML INJECTION SOLUTION ,$47.32,20 mL,,,,,,,
Pharmaceuticals,FENTANYL (PF) 50 MCG/ML INJECTION SOLUTION ,$106.13,50 mL,,,,,,,
Pharmaceuticals,FENTANYL 10 MCG/ML NASAL SYRINGE (NEONATE) ,$34.50,1 mL,,,,,,,
Pharmaceuticals,FENTANYL 10 MCG/ML PCA HIGH RISK ,$35.00,30 mL,,,,,,,
Pharmaceuticals,FENTANYL 10 MCG/ML PCA OPIOID NAIVE ,$35.00,30 mL,,,,,,,
Pharmaceuticals,FENTANYL 10 MCG/ML PCA OPIOID TOLERANT ,$35.00,30 mL,,,,,,,
Pharmaceuticals,FENTANYL 100 MCG/HR TRANSDERMAL PATCH ,$70.93,1 each,,,,,,,
Pharmaceuticals,FENTANYL 12 MCG/HR TRANSDERMAL PATCH ,$60.87,1 each,,,,,,,
Pharmaceuticals,FENTANYL 200 MCG LOZENGE ON A HANDLE ,$36.95,1 each,,,,,,,
Pharmaceuticals,FENTANYL 25 MCG/HR TRANSDERMAL PATCH ,$25.07,1 each,,,,,,,
Pharmaceuticals,FENTANYL 400 MCG LOZENGE ON A HANDLE ,$21.05,1 each,,,,,,,
Pharmaceuticals,FENTANYL 50 MCG/HR TRANSDERMAL PATCH ,$39.94,1 each,,,,,,,
Pharmaceuticals,FENTANYL 75 MCG/HR TRANSDERMAL PATCH ,$46.08,1 each,,,,,,,
Pharmaceuticals,FERRIC CARBOXYMALTOSE 50 MG IRON/ML INTRAVENOUS SOLUTION ,"$4,057.70", 15 mL ,,,,,,,
Pharmaceuticals,FERRIC SUBSULFATE (BULK) 20 TO 22 GRAM/100 ML SOLUTION ,$100.80,500 mL,,,,,,,
Pharmaceuticals,FERROUS GLUCONATE 324 MG (37.5 MG IRON) TABLET ,$0.05,1 each,,,,,,,
Pharmaceuticals,FERROUS SULFATE 300 MG (60 MG IRON)/5 ML ORAL LIQUID ,$9.00,5 mL,,,,,,,
Pharmaceuticals,FERROUS SULFATE 325 MG (65 MG IRON) TABLET ,$0.05,1 each,,,,,,,
Pharmaceuticals,FIDAXOMICIN 200 MG TABLET ,$275.65,1 each,,,,,,,
Pharmaceuticals,FILGRASTIM 300 MCG/ML INJECTION SOLUTION ,"$1,549.80",1 mL,,,,,,,
Pharmaceuticals,FILGRASTIM-SNDZ 300 MCG/0.5 ML INJECTION SYRINGE ,$829.46,0.5 mL,,,,,,,
Pharmaceuticals,FILGRASTIM-SNDZ 480 MCG/0.8 ML INJECTION SYRINGE ,"$1,300.73",0.8 mL,,,,,,,
Pharmaceuticals,FINASTERIDE 5 MG TABLET ,$6.23,1 each,,,,,,,
Pharmaceuticals,FLECAINIDE 100 MG TABLET ,$6.50,1 each,,,,,,,
Pharmaceuticals,FLECAINIDE 150 MG TABLET ,$6.15,1 each,,,,,,,
Pharmaceuticals,FLECAINIDE 50 MG TABLET ,$6.35,1 each,,,,,,,
Pharmaceuticals,FLEXIBLE COLLODION (BULK) LIQUID ,$12.05,15 mL,,,,,,,
Pharmaceuticals,FLEXIBLE COLLODION (BULK) LIQUID ,$88.05,120 mL,,,,,,,
Pharmaceuticals,"FLORBETAPIR F18, DIAG, PER STUDY DOSE, UP TO 10 MILLICURIES","$9,450.00",1 dose,,,,,,,
Pharmaceuticals,FLU VACC 2018-19(65YR UP)-MF59C(PF) 45 MCG(15 MCGX3)/0.5 ML IM SYRINGE ,$221.90,0.5 mL,,,,,,,
Pharmaceuticals,FLU VACCINE QS 2018-19(6 MOS UP)(PF)60 MCG(15 MCGX4)/0.5 ML IM SYRINGE ,$114.05,0.5 mL,,,,,,,
Pharmaceuticals,FLUCONAZOLE 10 MG/ML ORAL SUSPENSION ,$54.25,35 mL,,,,,,,
Pharmaceuticals,FLUCONAZOLE 100 MG TABLET ,$9.05,1 each,,,,,,,
Pharmaceuticals,FLUCONAZOLE 100 MG/50 ML IN SOD. CHLORIDE (ISO) IVPB (CMP) ,$73.45,50 mL,,,,,,,
Pharmaceuticals,FLUCONAZOLE 200 MG TABLET ,$9.90,1 each,,,,,,,
Pharmaceuticals,FLUCONAZOLE 200 MG/100 ML IN SOD. CHLORIDE (ISO) INTRAVENOUS PIGGYBACK ,$82.07,100 mL,,,,,,,
Pharmaceuticals,FLUCONAZOLE 300 MG/150 ML IN SODIUM CHLORIDE IVPB ,$77.00,150 mL,,,,,,,
Pharmaceuticals,FLUCONAZOLE 400 MG/200 ML IN SOD. CHLORIDE(ISO) INTRAVENOUS PIGGYBACK ,$84.59,200 mL,,,,,,,
Pharmaceuticals,FLUCONAZOLE 50 MG TABLET ,$6.96,1 each,,,,,,,
Pharmaceuticals,FLUCONAZOLE 600 MG/300 ML (NS) IVPB ,$83.90,300 mL,,,,,,,
Pharmaceuticals,FLUCONAZOLE 800 MG/400 ML (NS) IVPB ,$92.30,400 mL,,,,,,,
Pharmaceuticals,FLUCYTOSINE 250 MG CAPSULE ,$195.55,1 each,,,,,,,
Pharmaceuticals,FLUCYTOSINE 50 MG/ML ORAL SUSPENSION (CMP) ,"$2,919.35",60 mL,,,,,,,
Pharmaceuticals,FLUCYTOSINE 500 MG CAPSULE ,$378.42,1 each,,,,,,,
Pharmaceuticals,FLUDARABINE 50 MG INTRAVENOUS SOLUTION ,$523.10,1 each,,,,,,,
Pharmaceuticals,FLUDARABINE 50 MG/2 ML INTRAVENOUS SOLUTION ,$302.75,2 mL,,,,,,,
Pharmaceuticals,FLUDROCORTISONE 0.1 MG TABLET ,$6.05,1 each,,,,,,,
Pharmaceuticals,FLUMAZENIL 0.1 MG/ML INTRAVENOUS SOLUTION ,$46.15,5 mL,,,,,,,
Pharmaceuticals,FLUOCINONIDE 0.05 % TOPICAL CREAM ,$75.08,15 g,,,,,,,
Pharmaceuticals,FLUOCINONIDE 0.05 % TOPICAL CREAM ,$166.26,30 g,,,,,,,
Pharmaceuticals,FLUOCINONIDE 0.05 % TOPICAL OINTMENT ,$79.10,15 g,,,,,,,
Pharmaceuticals,FLUOCINONIDE 0.05 % TOPICAL SOLUTION ,$135.50,20 mL,,,,,,,
Pharmaceuticals,FLUOCINONIDE 0.05 % TOPICAL SOLUTION ,$333.45,60 mL,,,,,,,
Pharmaceuticals,FLUORESCEIN 0.25 %-PROPARACAINE 0.5 % EYE DROPS ,$156.40,5 mL,,,,,,,
Pharmaceuticals,FLUORESCEIN 1 MG EYE STRIPS ,$5.05,1 each,,,,,,,
Pharmaceuticals,FLUORESCEIN 500 MG/5 ML (10 %) INTRAVENOUS SOLUTION ,$194.45,5 mL,,,,,,,
Pharmaceuticals,"FLUORODEOXYGLUCOSE F-18 FDG,  DIAG,STUDY, UP TO 45 MILLICURIES",$375.00,1 dose,,,,,,,
Pharmaceuticals,FLUOROURACIL 5 % TOPICAL CREAM ,$285.00,40 g,,,,,,,
Pharmaceuticals,FLUOROURACIL 5 GRAM/100 ML INTRAVENOUS SOLUTION ,$294.50, 100 mL ,,,,,,,
Pharmaceuticals,FLUOROURACIL 500 MG/10 ML INTRAVENOUS SOLUTION ,$90.10,10 mL,,,,,,,
Pharmaceuticals,FLUOXETINE 10 MG CAPSULE ,$4.80,1 each,,,,,,,
Pharmaceuticals,FLUOXETINE 20 MG CAPSULE ,$4.90,1 each,,,,,,,
Pharmaceuticals,FLUOXETINE 20 MG/5 ML (4 MG/ML) ORAL SOLUTION ,$12.20,5 mL,,,,,,,
Pharmaceuticals,FLUOXETINE 20 MG/5 ML (4 MG/ML) ORAL SOLUTION ,$14.80,120 mL,,,,,,,
Pharmaceuticals,FLUPHENAZINE 1 MG TABLET ,$7.82,1 each,,,,,,,
Pharmaceuticals,FLUPHENAZINE 10 MG TABLET ,$6.60,1 each,,,,,,,
Pharmaceuticals,FLUPHENAZINE 2.5 MG TABLET ,$6.05,1 each,,,,,,,
Pharmaceuticals,FLUPHENAZINE 2.5 MG/ML INJECTION SOLUTION ,$471.15,10 mL,,,,,,,
Pharmaceuticals,FLUPHENAZINE 5 MG TABLET ,$16.30,1 each,,,,,,,
Pharmaceuticals,FLUPHENAZINE DECANOATE 25 MG/ML INJECTION SOLUTION ,$780.35,5 mL,,,,,,,
Pharmaceuticals,FLURBIPROFEN 0.03 % EYE DROPS ,$23.35,2.5 mL,,,,,,,
Pharmaceuticals,FLUTAMIDE 125 MG CAPSULE ,$6.65,1 each,,,,,,,
Pharmaceuticals,FLUTICASONE 110 MCG/ACTUATION HFA AEROSOL INHALER ,$657.60,120 puff,,,,,,,
Pharmaceuticals,FLUTICASONE 220 MCG/ACTUATION HFA AEROSOL INHALER ,"$1,019.35",120 puff,,,,,,,
Pharmaceuticals,FLUTICASONE 44 MCG/ACTUATION HFA AEROSOL INHALER ,$492.60,120 puff,,,,,,,
Pharmaceuticals,"FLUTICASONE 50 MCG/ACTUATION NASAL SPRAY,SUSPENSION ",$22.23,16 g,,,,,,,
Pharmaceuticals,FLUTICASONE FUROATE 100 MCG/ACTUATION BLISTER POWDER FOR INHALATION ,$27.55,1 each,,,,,,,
Pharmaceuticals,FLUTICASONE-SALMETEROL 115 MCG-21 MCG/ACTUATION HFA AEROSOL INHALER ,$5.75,120 puff,,,,,,,
Pharmaceuticals,FLUTICASONE-SALMETEROL 230 MCG-21 MCG/ACTUATION HFA AEROSOL INHALER ,"$1,170.45",120 puff,,,,,,,
Pharmaceuticals,FLUTICASONE-SALMETEROL 45 MCG-21 MCG/ACTUATION HFA AEROSOL INHALER ,$5.00,120 puff,,,,,,,
Pharmaceuticals,FLUVOXAMINE 50 MG TABLET ,$6.08,1 each,,,,,,,
Pharmaceuticals,FMT LOWER DELIVERY (OPENIBIOME) MICROBIOTA PREP ,"$2,040.75",250 mL,,,,,,,
Pharmaceuticals,FOLIC ACID 1 MG TABLET ,$4.89,1 each,,,,,,,
Pharmaceuticals,FOLIC ACID 5 MG/ML INJECTION SOLUTION ,$139.28,10 mL,,,,,,,
Pharmaceuticals,FOLIC ACID-VIT B6-VIT B12 TABLET  ,$6.95,1 each,,,,,,,
Pharmaceuticals,FOMEPIZOLE 1 GRAM/ML INTRAVENOUS SOLUTION ,"$3,675.10",1.5 mL,,,,,,,
Pharmaceuticals,FONDAPARINUX 10 MG/0.8 ML SUBCUTANEOUS SOLUTION SYRINGE ,$266.74,0.8 mL,,,,,,,
Pharmaceuticals,FONDAPARINUX 2.5 MG/0.5 ML SUBCUTANEOUS SOLUTION SYRINGE ,$102.88,0.5 mL,,,,,,,
Pharmaceuticals,FONDAPARINUX 7.5 MG/0.6 ML SUBCUTANEOUS SOLUTION SYRINGE ,$217.97,0.6 mL,,,,,,,
Pharmaceuticals,FORMALIN 4% IRRIGATION IN STERILE WATER  ,$456.80,500 mL,,,,,,,
Pharmaceuticals,FORMOTEROL FUMARATE 20 MCG/2 ML SOLUTION FOR NEBULIZATION ,$18.05,2 mL,,,,,,,
Pharmaceuticals,FOSAPREPITANT 150 MG INTRAVENOUS SOLUTION ,"$1,600.22",1 each,,,,,,,
Pharmaceuticals,FOSFOMYCIN TROMETHAMINE 3 GRAM ORAL PACKET ,$146.28,1 each,,,,,,,
Pharmaceuticals,FOSPHENYTOIN 100 MG PE/2 ML INJECTION SOLUTION ,$60.40,2 mL,,,,,,,
Pharmaceuticals,FOSPHENYTOIN 500 MG PE/10 ML INJECTION SOLUTION ,$112.65,10 mL,,,,,,,
Pharmaceuticals,FULVESTRANT 250 MG/5 ML INTRAMUSCULAR SYRINGE ,"$3,911.25",5 mL,,,,,,,
Pharmaceuticals,FUROSEMIDE 10 MG/ML INJECTION SOLUTION ,$41.85,10 mL,,,,,,,
Pharmaceuticals,FUROSEMIDE 10 MG/ML INJECTION SOLUTION ,$48.14,2 mL,,,,,,,
Pharmaceuticals,FUROSEMIDE 10 MG/ML INJECTION SOLUTION ,$49.55,4 mL,,,,,,,
Pharmaceuticals,FUROSEMIDE 20 MG TABLET ,$4.80,1 each,,,,,,,
Pharmaceuticals,FUROSEMIDE 40 MG TABLET ,$4.83,1 each,,,,,,,
Pharmaceuticals,FUROSEMIDE 40 MG/5 ML (8 MG/ML) ORAL SOLUTION ,$7.67,5 mL,,,,,,,
Pharmaceuticals,FUROSEMIDE 40 MG/5 ML (8 MG/ML) ORAL SOLUTION ,$119.25,500 mL,,,,,,,
Pharmaceuticals,FUROSEMIDE 80 MG TABLET ,$4.90,1 each,,,,,,,
Pharmaceuticals,GABAPENTIN 100 MG CAPSULE ,$4.92,1 each,,,,,,,
Pharmaceuticals,GABAPENTIN 250 MG/5 ML ORAL SOLUTION ,$475.40,470 mL,,,,,,,
Pharmaceuticals,GABAPENTIN 300 MG CAPSULE ,$4.95,1 each,,,,,,,
Pharmaceuticals,GABAPENTIN 300 MG/6 ML (6 ML) ORAL SOLUTION ,$9.18,6 mL,,,,,,,
Pharmaceuticals,GABAPENTIN 400 MG CAPSULE ,$4.98,1 each,,,,,,,
Pharmaceuticals,GADOBENATE DIMEGLUMINE 529 MG/ML(0.1 MMOL/0.2 ML) INTRAVENOUS SOLUTION,$37.30,5 ml,,,,,,,
Pharmaceuticals,GADOBUTROL (1 MMOL/ML) INTRAVENOUS SOLUTION SORD,$448.55,30 ml,,,,,,,
Pharmaceuticals,GADOBUTROL 1 MMOL/ML (604.72 MG/ML) INTRAVENOUS SOLUTION,$448.55,30 ml,,,,,,,
Pharmaceuticals,GADOBUTROL 2 MMOL/2 ML (1 MMOL/ML) INTRAVENOUS SOLUTION,$82.90,2 ml,,,,,,,
Pharmaceuticals,GADODIAMIDE 10 MMOL/20 ML (287 MG/ML) INTRAVENOUS SOLUTION,$107.30,30 ml,,,,,,,
Pharmaceuticals,GADOFOSVESET TRISODIUM 2.5 MMOL/10 ML (0.25 MMOL/ML) INTRAVENOUS SOLN,$633.45,10 ml,,,,,,,
Pharmaceuticals,GADOTERATE MEGLUMINE 0.5 MMOL/ML (376.9 MG/ML) INTRAVENOUS SOLUTION,$48.20,10 ml,,,,,,,
Pharmaceuticals,GADOXETATE 2.5 MMOL/10 ML (181.43 MG/ML) INTRAVENOUS SOLUTION,$665.20,10 ml,,,,,,,
Pharmaceuticals,GALANTAMINE 4 MG TABLET ,$11.13,1 each,,,,,,,
Pharmaceuticals,GALANTAMINE 8 MG TABLET ,$10.57,1 each,,,,,,,
Pharmaceuticals,"GALLIUM GA-67 CITRATE, DIAGNOSTIC, PER MILLICURIE",$25.50,1 millicurie,,,,,,,
Pharmaceuticals,GANCICLOVIR 0.15 % EYE GEL ,"$1,000.30",5 g,,,,,,,
Pharmaceuticals,GANCICLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION ,$426.18,1 each,,,,,,,
Pharmaceuticals,GELATIN ABSORBABLE 50 TOPICAL SPONGE ,$44.60,1 each,,,,,,,
Pharmaceuticals,GEMCITABINE 1 GRAM/26.3 ML (38 MG/ML) INTRAVENOUS SOLUTION ,$148.30,1 each,,,,,,,
Pharmaceuticals,GEMCITABINE 200 MG INTRAVENOUS SOLUTION ,$115.23,1 each,,,,,,,
Pharmaceuticals,GEMFIBROZIL 600 MG TABLET ,$5.15,1 each,,,,,,,
Pharmaceuticals,GENTAMICIN 0.1 % TOPICAL CREAM ,$109.10,15 g,,,,,,,
Pharmaceuticals,GENTAMICIN 0.1 % TOPICAL CREAM ,$263.05,30 g,,,,,,,
Pharmaceuticals,GENTAMICIN 0.1 % TOPICAL OINTMENT ,$136.80,15 g,,,,,,,
Pharmaceuticals,GENTAMICIN 0.3 % (3 MG/GRAM) EYE OINTMENT ,$108.05,3.5 g,,,,,,,
Pharmaceuticals,GENTAMICIN 0.3 % EYE DROPS ,$151.85,5 mL,,,,,,,
Pharmaceuticals,"GENTAMICIN 0.3 %-PREDNISOLONE 1 % EYE DROPS,SUSPENSION ",$564.70,5 mL,,,,,,,
Pharmaceuticals,GENTAMICIN 100 MG/100 ML IN SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK ,$69.25,100 mL,,,,,,,
Pharmaceuticals,GENTAMICIN 120 MG/100 ML IN SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK ,$70.10,100 mL,,,,,,,
Pharmaceuticals,GENTAMICIN 40 MG/ML INJECTION SOLUTION ,$42.73,2 mL,,,,,,,
Pharmaceuticals,GENTAMICIN 40 MG/ML INJECTION SOLUTION ,$119.80,20 mL,,,,,,,
Pharmaceuticals,GENTAMICIN 80 MG/100 ML IN SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK ,$68.40,100 mL,,,,,,,
Pharmaceuticals,GENTAMICIN FORTIFIED OPH DROPS 14 MG/ML ,$62.75,7 mL,,,,,,,
Pharmaceuticals,GENTAMICIN IRRIGATION 160 MG/1000 ML (CMP PMX) ,$72.40,1000 mL,,,,,,,
Pharmaceuticals,GENTAMICIN IRRIGATION 360 MG/3000 ML (CMP PMX) ,$128.80,3000 mL,,,,,,,
Pharmaceuticals,GENTAMICIN SULFATE (PEDIATRIC) (PF) 20 MG/2 ML INJECTION SOLUTION ,$40.68,2 mL,,,,,,,
Pharmaceuticals,GENTIAN VIOLET 2 % TOPICAL SOLUTION ,$54.10,59 mL,,,,,,,
Pharmaceuticals,GLATIRAMER 20 MG/ML SUBCUTANEOUS SYRINGE ,"$1,176.55",1 mL,,,,,,,
Pharmaceuticals,GLATIRAMER 40 MG/ML SUBCUTANEOUS SYRINGE ,"$1,295.08",1 mL,,,,,,,
Pharmaceuticals,GLIMEPIRIDE 1 MG TABLET ,$6.12,1 each,,,,,,,
Pharmaceuticals,GLIMEPIRIDE 2 MG TABLET ,$5.63,1 each,,,,,,,
Pharmaceuticals,GLIPIZIDE 5 MG TABLET ,$5.40,1 each,,,,,,,
Pharmaceuticals,"GLIPIZIDE ER 2.5 MG TABLET, EXTENDED RELEASE 24 HR ",$7.10,1 each,,,,,,,
Pharmaceuticals,"GLIPIZIDE ER 5 MG TABLET, EXTENDED RELEASE 24 HR ",$6.10,1 each,,,,,,,
Pharmaceuticals,GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML SOLUTION FOR INJECTION ,$849.75,1 each,,,,,,,
Pharmaceuticals,GLUCAGON HCL 1 MG SOLUTION FOR INJECTION ,$583.85,1 each,,,,,,,
Pharmaceuticals,GLYCERIN (ADULT) RECTAL SUPPOSITORY ,$0.42,1 each,,,,,,,
Pharmaceuticals,GLYCERIN (CHILD) RECTAL SUPPOSITORY ,$0.35,1 each,,,,,,,
Pharmaceuticals,GLYCERIN 99.5 % TOPICAL SOLUTION ,$5.70,177 mL,,,,,,,
Pharmaceuticals,GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION ,$48.90,1 mL,,,,,,,
Pharmaceuticals,GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION ,$127.22,5 mL,,,,,,,
Pharmaceuticals,GLYCOPYRROLATE 1 MG TABLET ,$6.58,1 each,,,,,,,
Pharmaceuticals,GOSERELIN 3.6 MG SUBCUTANEOUS IMPLANT ,"$2,478.40",1 each,,,,,,,
Pharmaceuticals,GUAIFENESIN 100 MG/5 ML ORAL LIQUID ,$0.45,5 mL,,,,,,,
Pharmaceuticals,GUAIFENESIN 100 MG/5 ML ORAL LIQUID ,$0.48,10 mL,,,,,,,
Pharmaceuticals,GUAIFENESIN 100 MG/5 ML ORAL LIQUID ,$0.53,15 mL,,,,,,,
Pharmaceuticals,GUAIFENESIN 100 MG/5 ML ORAL LIQUID ,$1.90,473 mL,,,,,,,
Pharmaceuticals,"GUAIFENESIN ER 600 MG TABLET, EXTENDED RELEASE 12 HR ",$0.57,1 each,,,,,,,
Pharmaceuticals,GUANFACINE 1 MG TABLET ,$5.88,1 each,,,,,,,
Pharmaceuticals,HAEMOPHILUS B POLYSACCHARID CONJ-TETANUS TOX(PF) 10 MCG/0.5 ML IM SOLN ,$83.00,1 each,,,,,,,
Pharmaceuticals,HALOPERIDOL 0.5 MG TABLET ,$5.40,1 each,,,,,,,
Pharmaceuticals,HALOPERIDOL 1 MG TABLET ,$5.98,1 each,,,,,,,
Pharmaceuticals,HALOPERIDOL 10 MG TABLET ,$8.13,1 each,,,,,,,
Pharmaceuticals,HALOPERIDOL 2 MG TABLET ,$6.10,1 each,,,,,,,
Pharmaceuticals,HALOPERIDOL 2 MG/ML ORAL CONCENTRATE ,$4.80,1 mL,,,,,,,
Pharmaceuticals,HALOPERIDOL 2 MG/ML ORAL CONCENTRATE ,$20.20,15 mL,,,,,,,
Pharmaceuticals,HALOPERIDOL 2 MG/ML ORAL CONCENTRATE ,$29.85,120 mL,,,,,,,
Pharmaceuticals,HALOPERIDOL 5 MG TABLET ,$6.68,1 each,,,,,,,
Pharmaceuticals,HALOPERIDOL DECANOATE 50 MG/ML INTRAMUSCULAR SOLUTION ,$135.85,1 mL,,,,,,,
Pharmaceuticals,HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION ,$43.28,1 mL,,,,,,,
Pharmaceuticals,"HEPARIN (PORCINE) (PF) 1,000 UNIT/500 ML IN 0.9 % SODIUM CHLORIDE IV ",$186.57,500 mL,,,,,,,
Pharmaceuticals,"HEPARIN (PORCINE) (PF) 2,000 UNIT/1,000 ML IN 0.9 % SODIUM CHLORIDE IV ",$77.63,1000 mL,,,,,,,
Pharmaceuticals,"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION SOLUTION ",$37.10,1 mL,,,,,,,
Pharmaceuticals,"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION SOLUTION ",$43.42,10 mL,,,,,,,
Pharmaceuticals,"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION SOLUTION ",$52.75,30 mL,,,,,,,
Pharmaceuticals,"HEPARIN (PORCINE) 25,000 UNIT/250 ML (100 UNIT/ML) IN DEXTROSE 5 % IV ",$96.50,250 mL,,,,,,,
Pharmaceuticals,"HEPARIN (PORCINE) 5,000 UNIT/1,000 ML IN 0.9 % SODIUM CHLORIDE IV SOLN ",$63.10,1000 mL,,,,,,,
Pharmaceuticals,"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION SOLUTION ",$37.45,1 mL,,,,,,,
Pharmaceuticals,"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION SOLUTION ",$56.10,10 mL,,,,,,,
Pharmaceuticals,HEPARIN LOCK FLUSH (PORCINE) 100 UNIT/ML INTRAVENOUS SOLUTION ,$39.95,5 mL,,,,,,,
Pharmaceuticals,"HEPARIN, PORCINE (PF) 100 UNIT/ML INTRAVENOUS SYRINGE ",$35.18,5 mL,,,,,,,
Pharmaceuticals,HEPATITIS A VIRUS VACCINE (PF) 50 UNIT/ML INTRAMUSCULAR SYRINGE ,$317.50,1 mL,,,,,,,
Pharmaceuticals,HEPATITIS B IMMUNE GLOBULIN 220 UNIT/ML (5 ML) INTRAMUSCULAR SOLUTION ,"$3,315.55",5 mL,,,,,,,
Pharmaceuticals,HEPATITIS B VIRUS VACCINE RECOMB (PF) 40 MCG/ML INTRAMUSCULAR SUSP ,$519.00,1 mL,,,,,,,
Pharmaceuticals,HETASTARCH 6 % IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION ,$111.85,500 mL,,,,,,,
Pharmaceuticals,HETASTARCH IN LACT ELECTROLYTE 6 % INTRAVENOUS SOLUTION ,$308.10,500 mL,,,,,,,
Pharmaceuticals,HUM PROTHROMBIN CPLX (PCC) 4FACTOR 500 UNIT (400-620 UNIT) IV SOLUTION ,"$3,320.95",1 each,,,,,,,
Pharmaceuticals,HYALURONIDASE (OVINE) 200 UNIT/ML INJECTION SOLUTION ,$386.30,1.2 mL,,,,,,,
Pharmaceuticals,"HYALURONIDASE, HUMAN RECOMBINANT 150 UNIT/ML INJECTION SOLUTION ",$280.50,1 mL,,,,,,,
Pharmaceuticals,HYDRALAZINE 10 MG TABLET ,$5.05,1 each,,,,,,,
Pharmaceuticals,HYDRALAZINE 100 MG TABLET ,$5.89,1 each,,,,,,,
Pharmaceuticals,HYDRALAZINE 20 MG/ML INJECTION SOLUTION ,$44.00,1 mL,,,,,,,
Pharmaceuticals,HYDRALAZINE 25 MG TABLET ,$4.95,1 each,,,,,,,
Pharmaceuticals,HYDRALAZINE 50 MG TABLET ,$5.15,1 each,,,,,,,
Pharmaceuticals,HYDROCHLOROTHIAZIDE 12.5 MG CAPSULE ,$4.85,1 each,,,,,,,
Pharmaceuticals,HYDROCHLOROTHIAZIDE 12.5 MG TABLET ,$4.80,1 each,,,,,,,
Pharmaceuticals,HYDROCHLOROTHIAZIDE 25 MG TABLET ,$4.74,1 each,,,,,,,
Pharmaceuticals,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET ,$9.69,1 each,,,,,,,
Pharmaceuticals,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET ,$9.26,1 each,,,,,,,
Pharmaceuticals,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET ,$9.74,1 each,,,,,,,
Pharmaceuticals,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG/15 ML ORAL SOLUTION ,$20.30,10 mL,,,,,,,
Pharmaceuticals,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG/15 ML ORAL SOLUTION ,$22.10,15 mL,,,,,,,
Pharmaceuticals,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG/15 ML ORAL SOLUTION ,$93.45,473 mL,,,,,,,
Pharmaceuticals,HYDROCODONE-HOMATROPINE 5 MG-1.5 MG/5 ML (5 ML) SYRUP ,$19.65,5 mL,,,,,,,
Pharmaceuticals,HYDROCODONE-HOMATROPINE 5 MG-1.5 MG/5 ML SYRUP ,$206.40,473 mL,,,,,,,
Pharmaceuticals,HYDROCODONE-HOMATROPINE 5 MG-1.5 MG/5 ML SYRUP  ,$14.73,5 mL,,,,,,,
Pharmaceuticals,HYDROCORTISONE 0.5 % TOPICAL CREAM ,$2.40,30 g,,,,,,,
Pharmaceuticals,HYDROCORTISONE 1 % LOTION ,$5.40,120 mL,,,,,,,
Pharmaceuticals,HYDROCORTISONE 1 % TOPICAL CREAM ,$3.91,30 g,,,,,,,
Pharmaceuticals,HYDROCORTISONE 1 % TOPICAL CREAM PACKET ,$5.50,1.5 g,,,,,,,
Pharmaceuticals,HYDROCORTISONE 1 % TOPICAL OINTMENT ,$19.93,30 g,,,,,,,
Pharmaceuticals,HYDROCORTISONE 10 MG TABLET ,$8.10,1 each,,,,,,,
Pharmaceuticals,HYDROCORTISONE 100 MG/60 ML ENEMA ,$25.10,60 mL,,,,,,,
Pharmaceuticals,HYDROCORTISONE 2.5 % TOPICAL CREAM WITH PERINEAL APPLICATOR ,$103.03,30 g,,,,,,,
Pharmaceuticals,HYDROCORTISONE 2.5 % TOPICAL CREAM WITH PERINEAL APPLICATOR ,$273.90,28.35 g,,,,,,,
