DESCRIPTION,CHARGE
"MAG.SULF/SWFI1000,@500MG INF(40G)",1
"MAG.SULF/SWFI50ML,@500MG INF(2GM)",25
MAGNESIUM,158
MAGNESIUM CHLORIDE TAB SR 64MG,1
MAGNESIUM CITRATE 300ML,7
MAGNESIUM HYDROXIDE SUSP 30ML,14
MAGNESIUM OXIDE 400MG TAB,1
MAGNESIUM SULF@500MG INJ(4.06MEQ),1
MAGNESIUM SULFATE@ 500MG INJ(1GM),5
MAGNESIUM SULFATE@ 500MG INJ(5GM),1
"MAGNESIUM,RBC",348
MALARIAL SMEAR,144
MANDIBLE 4 VIEWS,738
"MANIPULATOR,UTERINE,CLEAR-VIEW,",384
"MANIPULATOR,UTERINE,ZUMI-4.5",171
MANNITOL 20% 500ML SOLN,113
"MANNITOL,25% IN 50ML,INJ (50ML)",14
MANOMETRY-ESOPHAGEAL,"2,766"
MANUAL DIFFERENTIAL,84
MARKER 2/2 SPIRAL BIOZORB F0202,"5,809"
MARKER BIOZORB 2X3CM FO203,"5,809"
MARKER BIOZORB 2X3X1 F0231,"5,809"
MARKER BIOZORB 3X3 TI CLIP FO303,"5,809"
MARKER BIOZORB 3X3X1 F0331,"5,809"
MARKER BIOZORB 3X4CM FO304,"5,809"
MASSAGE P.T.,286
MATRIX DURA 4X5IN CDSLM45,"6,317"
MATRIX SURGIFLO 8ML 2991,838
MATRIX SURGIFLO 8ML W/THR 2993,"1,016"
MAXITROL OPTH OINT .6G,118
MAXITROL OPTH SUSP 5ML,112
MCT OIL (946ML),24
MDI SPACER,73
MDI TREATMENT INITIAL,340
MEASLES ACUTE TITER,226
MEASLES IGM,226
"MEASLES,MUMPS,RUBELLA VACC INJ",482
"MECLIZINE TAB, 12.5MG",4
"MECLIZINE TAB, 25MG",5
"MED.ONC.-HYDRATE IV INFUSION, ADD ON",567
"MED.ONC.-HYDRATION IV INFUSION,INIT.","1,345"
"MED.ONC.-IMMUNIZ.ADMIN,EA. ADDL.VACC",102
MED.ONC.-IRRIGATION OF PORT,199
"MED.ONC.-THER/PROPH/DIAG INJ, SC/IM",215
MED.ONC.-THER/PROPH/DIAG IV INF ADDON,555
"MED.ONC.-THER/PROPH/DIAG IV INF,INIT.",612
MED.ONC.-TX PROPH/DG ADDL SEQ IV INF,253
MED.ONC.-TX/PRO/DX INJ NEW DRUG ADDON,284
"MEDI NUTRIT, INDIV,F/U,PER 15 MIN",80
"MEDI NUTRIT, INDIV,GRP,PER 30 MIN",57
"MEDI NUTRIT, INDIV,INT,PER 15 MIN",134
MEDROXYPROGESTERONE 2.5MG TAB,2
MEDROXYPROGESTERONE ACET@ 150 MG,2
"MEDROXYPROGESTERONE TAB, 10MG",3
"MEGESTROL SUSP, 400 MG/10 ML",25
"MEGESTROL SUSP, 40MG/ML",4
"MEGESTROL TAB, 20MG",4
"MEGESTROL TAB, 40MG",6
MELILETINE 200MG CAP,17
"MEMANTINE TAB, 10MG",5
"MEMANTINE TAB, 5MG",5
MEMBRANE SUB DURAMATRIX3X3CDSLM33,"3,725"
MENINGOCOCCAL CONJUGATE VAC PWDR,779
MENTHOL-PHENOL LOZ,1
"MEPERIDINE HCL,@ 100 MG,INJ(50MG)",76
"MEPERIDINE HCL,@ 100 MG,INJ(75MG)",47
"MEPERIDINE HCL,@ 100MG,INJ(100MG)",36
MEPERIDINE HCL@100MG INJ(25MG-SDV,57
MEPERIDINE HCL@100MG INJ(25MG-SYR,147
"MEPERIDINE TAB, 50MG",17
MERCAPTOPURINE 50MG TAB,22
"MERCI, GUIDING BALLOON CATHETER","7,089"
MERCURY BLOOD,384
"MERCURY, URINE",384
MEROGEL DRESSING SINUS STENT 4X4C,572
MEROPENEM @ 100MG INJ(1 GM VIAL),29
MEROPENEM @ 100MG INJ(500MG VIAL),8
"MESALAMINE CAP SR, 250MG",19
MESALAMINE RECTAL SUSP 4G 60ML,139
"MESALAMINE TAB EC, 1.2 GM",57
"MESALAMINE TAB EC, 800 MG",61
MESH 15X15 MONOFIL 0117011,321
MESH 190X140 CUST 92-00647,"92,822"
MESH BARD 3D MAX LG LFT,"1,044"
MESH BARD 3D MAX LG RT,"1,044"
MESH DUAL 8/12/1 GORTEX 1DLMCP02,"2,189"
MESH GORETEX 7.5X10CM 1DLMCP05,"1,687"
MESH HERN 15.2X10.2CM 1190200,"11,676"
MESH HERN 3DMX4.9X6.8 LFT 0117311,"1,133"
MESH HERN3DMAX4.9X6.8 RT 0115322,"1,022"
MESH HERNIA 10X14IN 0112660,"1,543"
MESH HERNIA 7X10CM 1200710,"7,765"
MESH HERNIA PHASIX20X30CM 1192030,"55,695"
MESH HERNIA PROGRIP LPG1510,"4,681"
MESH HERNIA PROGRIP16X12 LPG1612,"2,855"
MESH HERNIAVENTRALEX2.5DIA5950008,"2,448"
MESH HERNIAVENTRALEX3.2DIA5950009,"3,131"
MESH MICRO 60X60X.2MM 1.2 5400272,"3,392"
MESH MICRO TO60X60X.1NEURO5400262,"3,392"
MESH NEURO 90X90X.3MM 54-00346,"10,125"
MESH NEURO 90X90X.6MM 54-00646,"10,125"
MESH PARIETENE 30X30CM PPM3030,755
MESH PARIETENE 45X30 PPM4530,"1,669"
MESH PARIETENE20X20CM PPM2020,759
MESH PARIETEX 30X15CM TEM3015G,"2,945"
MESH PARIETEX 6X4 IN TEC1510,723
MESH PATCH MED W/PRESHAPED OVER,"1,178"
MESH PATCH W/PRESHAPED OVE P3DPL,"1,178"
MESH PHASIX 15X20CM 1190300,"22,142"
MESH PHASIX 20X25CM 1202025,"56,640"
MESH PROLENE HERNIA SYS EACH,"1,455"
MESH PROLITE 6X6IN 100060600,200
MESH SYMBOTEX 12CM SYM12,"4,033"
"MESH SYMBOTEX 15CM RD SU,15","5,279"
MESH SYMBOTEX 15X10 SYM1510,"2,937"
MESH SYMBOTEX 20X15CM SYM2015,"4,326"
MESH SYMBOTEX 25X20CM SYM2520,"9,386"
MESH SYMBOTEX 9CM RND SYM9,"2,941"
MESH UPHOLD LITE M0068318170,"13,766"
MESH URETH 24X4CM 501420,"6,157"
MESH VENTRALIGHT 6IN CIRC 5955600,"7,940"
MESH VENTRALIGHT 8X10IN 5955810,"13,217"
MESH VENTRALIGHT6X8INELLIP5955680,"10,820"
MESH VENTRLIGHT 8IN CIRCLE5955800,"13,632"
MESH ZENAPRO HERNIA 15X22 G23771,"14,875"
MESH ZENAPRO HERNIA 20X30 G23770,"24,029"
MESH ZENAPRO HERNIA 30X30 G35114,"29,750"
MESH ZENOPRO HERN15CCMCIRCG23772,"7,006"
"MESH,MARLEX,6X6,0112720",851
"MESH,PLUG,MARLEX,LARGE","1,807"
"MESH,PLUG,MARLEX,X-LARGE","2,132"
"MESH,PROLENE,12X12","1,613"
"MESH,PROLENE,3X6IN",206
"MESH,PROLENE,6 X 6",238
"MESH,PROLENE-XTENDED,HERNIA SYS","1,455"
"MESH,VICRYL,WOVEN,12X12","11,265"
METANEPHRINES FRACTION UA,551
METFORMIN,8
"METFORMIN TAB, 500MG",0
"METHADONE INJ, TO 10MG (10 MG/ML",270
"METHADONE TAB, 10MG",3
METHANOL - PLASMA,379
METHAZOLAMIDE 50MG TAB,58
METHIMAZOLE TAB 5MG,2
"METHIMAZOLE TAB, 10MG",4
"METHOCARBAMOL INJ, 100MG/ML",449
"METHOCARBAMOL TAB, 500 MG",2
METHOCARBAMOL TABS. 750MG,4
METHOTREXATE 2.5MG TAB,35
METHOTREXATE INJ 250MG/10ML,12
"METHOTREXATE LPF INJ, 50MG/2ML",2
METHYL SALICYLATE CREAM (85GM),14
"METHYLDOPA TAB, 250 MG",2
"METHYLDOPA TAB, 500MG",4
"METHYLENE BLUE 1% @ 1MG,INJ(10MG)",6
"METHYLENE BLUE 1% @1MG,INJ(100MG)",11
"METHYLERGONOVINE INJ, 0.2MG/ML",134
"METHYLERGONOVINE TAB, 0.2 MG",381
METHYLMALONIC ACID (SERUM),324
METHYLMALONIC ACID RAN UA,324
METHYLPHENIDATE 5MG TAB,4
METHYLPREDNISOLONE @4MG TAB(ORAL),12
"METHYLPREDNISOLONE ACET,@40MG,INJ",36
"METHYLPREDNISOLONE DRIP, 50MG/ML",31
"METHYLPREDNISOLONE INJ REPOS, 40M",61
"METHYLPREDNISOLONE INJ REPOS,80MG",105
"METHYLPREDNISOLONE INJ, 125MG",58
"METHYLPREDNISOLONE INJ, 1G",28
"METHYLPREDNISOLONE INJ, 500MG",35
"METOCLOPRAMIDE INJ, 10MG/2ML",8
METOCLOPRAMIDE SYRUP 10MG/10ML UD,12
"METOCLOPRAMIDE TAB, 10MG",1
"METOLAZONE TAB, 2.5MG",19
"METOLAZONE TAB, 5MG",21
METOPROLOL 100MG TAB,5
METOPROLOL 1MG/ML INJ 5ML,11
METOPROLOL 50MG TAB,4
"METOPROLOL TAB CR, 25MG",6
"METOPROLOL TAB, 25MG",2
METOPROLOL TAB. CR. 50MG,7
METRONIDAZOLE 500MG TAB,5
METRONIDAZOLE GEL 0.75%,981
"METRONIDAZOLE IN NACL 0.45%,500MG",11
"METRONIDAZOLE INJ,5MG/ML(NICU SYR",5
"METRONIDAZOLE SUSP, 50MG/ML",1
"METRONIDAZOLE TAB, 250 MG",3
METRONIDAZOLE VAGINAL GEL (70G),864
MEXILETINE,249
MEXILETINE 150MG CAP,14
MFH-ECHOGRPH. COMP. MULT. GEST.,"1,070"
MFH-ROUTINE VENIPUNCTURE,53
MIACALCIN NASAL SPRAY (2,509
"MICAFUNGIN SOD INJ, 1MG (100MG)",13
"MICAFUNGIN SOD INJ, 1MG (50MG)",13
MICONAZOLE 3 VAG SUPP 200MG,298
"MICONAZOLE 7 VAG CREAM, 2% (45GM)",64
"MICONAZOLE 7 VAG SUPP, 100MG",37
"MICONAZOLE AF CRM, 2% (60GM)",32
"MICONAZOLE CHLORIDE TAB SR, 64MG",41
MICRO PUNCTURE 4FR KIT G48003,271
"MICROALBUMIN, RANDOM UA",134
"MICROCATHETER, EV3","4,862"
"MICROCATHETER, EXCELSION SL-10,BS","8,045"
"MICROCATHETER, FASTRACKER -10,BS","5,692"
"MICROCATHETER, FASTRACKER-18,BS","5,477"
"MICROCATHETER, NEURO RENEGADE","5,060"
"MICROCATHETER, RENEGADE 18,BS","5,105"
"MICROCATHETER,MERCI,CONCENTRIC","5,467"
"MICROCATHETER,PROWLER,CODMAN","5,217"
"MICROCATHETER,REGULAR,MICROVENTIO","5,751"
MICROLASE OTO FIBER25USEAC1148120,467
MICROPUNCT KIT 4FR G47942,163
MICROPUNCT KIT 5FR CANULA G48007,287
MICROPUNCT KIT 5FR G43870,163
MICROPUNCTURE INTRO SET 4F G47945,162
MICROSOMAL AB. THYROID,341
MICROSPORIDIA SPORE DETET,144
"MIDAZOLAM HCL @1MG,INJ (10MG/2ML)",1
"MIDAZOLAM HCL,@ 1 MG ,INJ (2MG)",3
"MIDAZOLAM HCL,@ 1 MG ,INJ (50MG)",1
"MIDAZOLAM HCL,@ 1MG,INJ(1MG/5ML)",1
"MIDAZOLAM HCL,@ 1MG,INJ(5MG/1ML)",1
"MIDAZOLAM SYRUP, 2MG/ML (118)",12
"MIDAZOLAM SYRUP, 2MG/ML (5 ML)",42
MIDDLE CEREBRAL ARTERY ECHO,758
"MIDODRINE TAB, 5 MG",15
MILEAGE,21
MILL BONE FINE DISP 5400702000,"1,900"
"MILRINONE DRIP, 200MCG/ML (200ML)",5
"MILRINONE INJ, 1MG/ML (20ML)",134
MIN INHIB CONC SENSITIVITY,204
MINERAL OIL 180ML,2
"MINERAL OIL ENEMA,ADULT 133ML",15
MINERAL OIL LIQUID STERILE 10ML,95
MINI MONOKA STERILE S11500U,"1,134"
"MINOCYCLINE CAP, 100MG",9
"MINOCYCLINE HCL, 1 MG INJ (100MG",10
"MINOXIDIL TAB, 10MG",7
"MINOXIDIL TAB, 2,5MG",10
"MIRTAZAPINE TAB, 15MG",16
"MIRTAZAPINE TAB, 30MG",16
MIS ILLUMIN SYST 698605S,"9,656"
MISOPROSTOL 200MCG TAB,11
"MISOPROSTOL TAB, 100MCG",21
MISTER/BLOWER ARIES CTS CB-1000,339
"MITOMYCIN, @ 5 MG, INJ (20MG)",616
"MITOXANTRONE INJ, 2MG/ML (12.5ML)",766
MOBILE INT CARE MILEAGE,21
"MOD.SED-DIFF.PRO,INIT.15MIN,5+ YR",550
"MOD.SED-SAME PRO,EA.ADDL.15 MIN.",330
"MOD.SED-SAME PRO,EA.ADDL.15 MIN.",330
"MOD.SED-SAME PRO,INIT.15MIN,< 5YR",660
"MOD.SED-SAME PRO,INIT.15MIN,5+ YR",495
"MOD.SED-SAME PRO,INIT.15MIN,5+ YR",495
MODAFINIL TAB 100MG,139
MODAFINIL TAB 200MG,226
MOLD CEMENT FEMUR 65MM,"9,913"
MOLD SPACER 9X125 FEM 431190,"7,138"
MOLD SPACER ADAP +6 NECK 431187,"1,432"
"MOLECULAR PATHOLOGY PROC.,LEVEL 2",152
"MOLECULAR PATHOLOGY PROC.,LEVEL 3",234
"MOLECULAR PATHOLOGY PROC.,LEVEL 4",317
MONO SCREEN,124
MONOPOLAR PROBE DISP 30247000275,"3,693"
"MONTELUKAST CHEW TAB, 4MG",21
"MONTELUKAST TAB, 10MG",31
"MONTELUKAST TAB, 5MG",23
MORE THAN FOUR LESIONS,385
MORPHINE 10MG INJ SYRINGE,13
MORPHINE 30MG TAB SA,19
"MORPHINE DRIP,PER 10MG (250ML)",2
MORPHINE INJ (SYRINGE) 4MG/ML,15
MORPHINE INJ 10MG/ML SDV,7
"MORPHINE INJ, (PCA) 1MG/ML (30ML)",15
"MORPHINE INJ, (PCA) 5MG/ML (30ML)",4
"MORPHINE INJ, (SYRINGE) 15MG/ML",8
"MORPHINE INJ, (SYRINGE) 2MG/ML",15
"MORPHINE INJ, 5GM/ML(SDV)",7
"MORPHINE ORAL CONC, 10MG/0.5ML",1
"MORPHINE ORAL CONC, 20MG/ML (1ML)",5
MORPHINE ORAL SOLN 0.4MG/ML,1
"MORPHINE ORAL SOLN, 20MG/5ML (UD)",5
"MORPHINE ORAL SOLN,10MG/5ML",9
MORPHINE SULF @10MG INJ(2MG-SDPF),89
"MORPHINE SULF-PF,10 MG,INJ (.5MG)",31
"MORPHINE SULF-PF-EP/INTR,10MG,INJ",107
"MORPHINE SULPHATE, @10 MG (1000)",1
MORPHINE TAB 15MG SA,5
MORPHINE TAB SR 60MG,30
MORPHINE TAB SR. 100MG,43
"MORPHINE TAB, 15MG",3
"MORPHINE-PF @10MG,EP/INT.INJ(4MG)",32
MOTION FLUOROSCOPY/SWALLOW,"1,246"
MOUTH CULTURE,204
MP CONTINUING PHYSICS SUP,880
MP RX DEVICE DESIGN & CON,"1,077"
MP RX DEVICE SIMPLE CONSTRUCT.,445
MP SPEC PHYS CON-LEVEL I,"1,030"
MP SPECIAL BEAM PLAN - LE I,"1,281"
MP SPECIAL DOSIMETRY,231
MR SPECTROSCOPY,"1,148"
MRA ABD W/O FOLLOWED BY W/CONTRAS,"1,623"
MRA ABDOMEN W/O CONTRAST,"1,123"
MRA CHEST W/O FOLLOWED BY W/CONTR,"2,843"
MRA HEAD W & W/O CONTRAST,"5,565"
MRA HEAD W/CONTRAST,"4,873"
MRA HEAD W/O CONTRAST,"4,092"
MRA LOWER EXTREMITY W&W/O CONTR.,"1,622"
MRA NECK W & W/O CONTRAST,"5,408"
MRA NECK W/O CONTRAST,"3,890"
MRA PELVIS W/O & W/CONTRAST,"1,623"
MRA PELVIS W/O CONTRAST,"1,123"
MRA SPINAL CANAL&CONTENTS W/CONTR,"4,092"
MRA SPINAL CANAL/ALL-W/O&W/ CONTR,"5,565"
MRI ABDOMEN W/O THEN W/CONTRAST,"6,760"
MRI ABDOMEN WITHOUT CONTRAST,"3,890"
MRI BRAIN W & W/O CONTRAST,"7,072"
MRI BRAIN W/CONTRAST,"5,928"
MRI BRAIN W/O CONTRAST,"5,174"
MRI BREAST BILATERAL W&W/O CONTR.,"2,416"
MRI BREAST BILATERAL W/CONTRAST,"1,983"
MRI CERV SPINE W & W/O CONTRAST,"6,760"
MRI CERVICAL SPINE W/CONTRAST,"5,835"
MRI CERVICAL SPINE W/O CONTRAST,"5,304"
MRI CHEST W & W/O CONTRAST,"5,565"
MRI CHEST W/O CONTRAST,"3,890"
MRI JAW JOINT,"6,242"
MRI LO.EXTR-ANY JNT- W/O CONTR.,"4,020"
MRI LO.EXTR-ANY JOINT- W/CONTR.,"4,198"
MRI LO.EXTR-ANY JT- W&W/O CONTR,"5,426"
MRI LO.EXTR-NO JNT- W&W/O CONTR,"5,204"
MRI LOW.EXTR-NO JNT- W/O CONTR.,"3,941"
MRI LOW.EXTR-NO JNT-RT W/ CONTR.,"4,599"
MRI LUMBAR SP W/CONTRAST,"6,552"
MRI LUMBAR SP W/O CONTRAST,"6,136"
MRI LUNBAR SP W & W/O CONTRAST,"7,592"
MRI MULTIHANCE CONTRAST,20
MRI ORBIT/FACE &/OR NECK W&W/O CO,"4,811"
MRI ORBIT/FACE &/OR NECK W/O CONT,"4,208"
MRI PELVIS,"4,413"
MRI PELVIS W & W/O CONTRAST.,"5,645"
MRI PELVIS W/O CONTRAST,"3,890"
MRI THORACIC SPINE W&W/O CONTRAST,"6,838"
MRI THORACIC SPINE W/CONST,"6,079"
MRI THORACIC SPINE W/O CONTRAST,"5,682"
MRI UP.EXTR-ANY JNT-W/O CONTR.,"3,890"
MRI UP.EXTR-ANY JOINT- W/CONTR.,"4,162"
MRI UP.EXTR-ANY JT- W&W/O CONTR,"5,565"
MRI UP.EXTR-NO JNT- W/O CONTR.,"3,890"
MRI UP.EXTR-NO JT-W&W/O CONTR.,"6,094"
"MRSA CULTURE, ADMIT",158
MRV HEAD W & W/O CONTRAST,"5,565"
MRV HEAD W/O CONTRAST,"4,092"
MRV NECK W/O CONTRAST,"3,890"
MULLICA TWP BLS EMERGENCY TRANSP,"1,382"
"MULTICLIP,ENDO,LARGE,ER420",666
"MULTICLIP,LARGE,MCL20",409
"MULTICLIP,MEDIUM,MCM20",404
"MULTICLIP,SHORT/MEDIUM,MSM20",404
"MULTICLIP,SMALL,MCS20",403
MULTIVITAMIN TAB,0
MULTIVITAMIN THERAPEUTIC TAB,1
MULTIVITAMIN W/IRON CAP(FERREXFO,7
"MULTIVITAMIN W/IRON DROPS, 50ML",1
MULTIVITAMIN W/IRON TAB,0
"MULTIVITAMIN, PED DROP 50ML",1
"MULTIVITAMIN, PRENATAL, CAP",19
"MULTIVITAMIN, THERAPUTIC W/MINERA",1
MULTIVITAMINS 9+3 10ML,69
MULTIVITAMINS LIQUID 5ML,1
"MULTIVITAMINS,RENAL CAP",6
MUMPS ANTIBODY TITER,305
MUMPS IGM AB,305
MUPIROCIN CREAM 2% 15G,833
MUPIROCIN NASAL OINTMENT 2%,29
MUPIROCIN OINT 2% 15G,142
MVI PEDIATRIC INJ 5ML,16
MYCLOG OINT 15GM,634
MYCOLOG CREAM (15GM),634
"MYCOPHENOLATE MOFETIL CAP, 250MG",22
"MYCOPHENOLATE MOFETIL INJ, 500MG",673
"MYCOPHENOLATE MOFETIL TAB, 500MG",45
"MYCOPHENOLATE MOFETIL,250MG (200)",51
MYCOPLASMA PNEUMONIA CULT,368
MYCOPLASMA TITER,316
MYELIN BASIC PROTEIN-CSF,408
"MYELOGRAPHY,2-3 REG.,+ LUMBAR INJ","2,871"
"MYELOGRAPHY,CERVICAL,+ LUMBAR INJ","2,871"
"MYELOGRAPHY,LUMBOSAC,+ LUMBAR INJ","2,871"
MYELOPEROXIDASE ANTIBODIE,302
"MYLANTA/MAALOX PLUS SUSP,30ML",15
MYOGLOBIN,92
MYOGLOBIN-SERUM,305
MYSOLINE (PRIMIDONE),384
"N.GONORRHOEAE, DNA, AMP PROB",451
"NABUMETONE TAB, 500MG",5
NACL. 0.9% FOR IRRIGATION (300ML),47
NACL.9% KCL20MEQ,15
NADALOL TAB 20MG,21
"NADOLOL TAB, 40MG",41
"NAFCILLIN INJ, 100MG/ML",16
"NAFCILLIN INJ, 1GM",82
"NAFCILLIN INJ,20MG/ML(NICU SYR)",14
"NAFCILLIN INJ,2GM",160
NAIL 10X170 TFN SHORT 04037042S,"11,503"
NAIL 10X420 CANN 04037062S,"16,122"
NAIL 11X360 CANN130D RT 04037156S,"16,122"
NAIL 11X400 HFN 814311400,"12,234"
NAIL 12X170 CANN 04037242S,"11,503"
NAIL 15X420X120 34205420S,"7,932"
NAIL ANKLE 11X150 LFT 18181115S,"9,083"
NAIL ANKLE 11X200 LFT 18181120S,"9,083"
NAIL ANKLE T2 10X200 LFT18181020S,"9,083"
NAIL ANKLE T2 11X200RT 18191120S,"9,083"
NAIL ANKLE T2 12X150 18181215S,"10,079"
NAIL ANKLE T2 12X200 18181220S,"9,083"
NAIL ANKLE T2 RT12X150MM18191215S,"10,079"
NAIL ANKLE12X300 RT 18191230S,"9,083"
NAIL CANN 11X380 RT 04037158S,"16,122"
NAIL CONDYLER T2 SUPRA 14X200MM,"8,991"
NAIL FEM 10X360MM RT 18510036S,"12,051"
NAIL FEM 10X400 04013460S,"9,315"
NAIL FEM 10X400MM LCK 18281040S,"7,876"
NAIL FEM 11X400 LOCK 18281140S,"7,095"
NAIL FEM GTN 10X400MM 1850-1040S,"12,052"
NAIL FEM GTN 12X440 18511244S,"8,057"
NAIL FEM T2 10X260 18511026S,"7,637"
NAIL FEM T2 10X360 LFT 18501036S,"8,939"
NAIL FEM T2 10X400MMRT 18511040S,"8,940"
NAIL FEM T2 10X420 LOCK 18281042S,"7,095"
NAIL FEM T2 11X380 LFT 18501138S,"8,057"
NAIL FEM T2 11X400 LFT 18501140S,"8,057"
NAIL FEM T2 11X400 RT 18511140S,"8,057"
NAIL FEM T2 14X440 LOCK 18281444S,"7,095"
NAIL FEM T2 8X400 RT 18510840S,"8,445"
NAIL FEM T2 9X340MM 18510934S,"12,052"
NAIL FEM T2 9X380 LOCK 18280938S,"7,095"
NAIL FEM12X360MM LOCK 18281236S,"9,194"
NAIL FIBULA 3X130 FIB30130L,"17,485"
NAIL FIBULA RT 3X130 FIB3013OR,"20,427"
NAIL FIBULOCK PROCEDUR PACKST6100,"4,022"
NAIL GAMMA 10X420 15250420S,"7,932"
NAIL GAMMA 11X320 35251320S,"7,932"
NAIL GAMMA 11X320 RT 34251320S,"7,932"
NAIL GAMMA 11X340MM 35251340S,"7,932"
NAIL GAMMA 11X380 35251380S,"7,932"
NAIL GAMMA 11X380MM 34251380S,"8,463"
NAIL GAMMA 11X420MM 35251420S,"7,932"
NAIL GAMMA 11X440 35251440S,"7,932"
NAIL GAMMA 11X440 RT 34251440S,"7,932"
NAIL GAMMA 120 DEG X 180MM,"6,259"
NAIL GAMMA 13X340 RT 34253340S,"7,932"
NAIL GAMMA 13X380 34253380S,"7,932"
NAIL GAMMA 15X400 3255400S,"7,932"
NAIL GAMMA 15X400 34255400S,"7,920"
NAIL GAMMA 3 11X180X125,"6,259"
NAIL GAMMA3 11X34 125D 34251340S,"8,802"
NAIL GAMMA3 11X360 34251360S,"7,932"
NAIL GAMMA3 11X360MM 35251360S,"7,932"
NAIL GAMMA3 11X400MM 35251400S,"7,932"
NAIL GAMMA3 11X420 34251420S,"7,932"
NAIL GAMMA3 13X400 35253400S,"7,932"
NAIL GAMMA3 5X11X400 34251400S,"8,802"
NAIL HUM 9X300 LOCK 18300930S,"6,096"
NAIL INSERT SLEEVE TIB 18061406S,622
NAIL KIT LONG 13X420 35253420S,"7,932"
NAIL LONG 14X320MM SUPRA18261432S,"8,991"
NAIL LONG GAM10X380 125D34250380S,"17,431"
NAIL LONG T2 11X340MM 1826-1134S,"8,991"
NAIL RECON 10X320 RT 18451032S,"8,379"
NAIL RECON 10X400 LFT 18431040S,"8,379"
NAIL RECON 10X400 RT 18451040S,"8,379"
NAIL RECON 10X440 RT 18451044S,"8,379"
NAIL RECON 11X420 RT 18451142S,"8,379"
NAIL RECON 13X340 RT 18451334S,"4,073"
NAIL RECON 13X380 LFT 18431338S,"8,379"
NAIL RECON 13X420 RT 18451342S,"8,379"
NAIL RECON T2 11X400 RT 18451140S,"8,379"
NAIL RECON T2 11X440 1845114S,"8,379"
NAIL RECONST 13X380 RT 18451338S,"8,379"
NAIL SLEEVE T2 TIB 18061407S,622
NAIL SUPRACONDYLAR 13 X 200MM,"8,991"
NAIL T2 13X360 18261336S,"8,251"
NAIL T2 13X400 SUPRACOND18281340S,"7,095"
NAIL T2 9X260 SUPROCOND 18260926S,"8,251"
NAIL TIB T2 11X300MM 1822-1130S,"7,168"
NAIL TIB T2 14X360 18221436S,"6,108"
NAIL TIBIA 11 X 315 T2,"7,168"
NAIL TIBIA T2 9X345,"7,168"
NAIL TIBIAL 10X315MM,"7,168"
NAIL TIBIAL 12X35MM,"7,168"
NAIL TIBIAL 9 X 30MM (1822-0930S),"7,168"
NAIL TIBIAL T2 09X285MM,"7,168"
NAIL TIBIAL T2 10MMX330MM STD,"7,168"
NAIL TIBIAL T2 10MMX345,"7,168"
NAIL TIBIAL T2 10X360MM,"7,168"
NAIL TIBIAL T2 9X315,"7,168"
NAIL TIBIAL T2 9X360MM 18220936S,"7,168"
NAIL TIBIAL T2 STD 11/360MM,"7,168"
NAIL TIBIAL T2 STD 11/375MM,"7,168"
NAIL TIBIAL T2 STD 9/330MM,"7,168"
NAIL TROCH 10X340MM 125D34250340S,"10,623"
NAIL TROCH GAMA 10X360MM65250360S,"10,623"
NAIL TROCH GAMMA10X170MM31300170S,"9,889"
NAIL TROCH GAMMA10X400MM34250400S,"10,623"
NAIL TROCH1.5X10X40MM 3425-0400S,"10,621"
NAIL TROCH10X360MM 125D 34250360S,"10,623"
NAIL TROCHANGAMMA10X38035250380S,"10,623"
NAIL TROCHANGERIC 11X180/130*,"7,013"
NAIL TROCHANT 10X170MM 31250170S,"9,889"
NAIL TROCHANTERIC SMALL 31200170S,"9,889"
NAIL VALOR 11.5X200 RT 415101120R,"15,996"
NAIL VALOR MED11.5X200 415101120L,"17,858"
NAILTROCANGAM1.510X320MM35250320S,"10,623"
NALBUPHINE 10MG INJ,16
"NALBUPHINE INJ, 10MG/ML",24
NALOXONE 0.4MG INJ 1ML,341
NALOXONE 0.4MG/ML INJ 10ML,202
"NALOXONE INJ, 1MG/ML",58
"NALTREXONE TAB, 50MG",24
NAPROXEN 375MG TAB,6
"NAPROXEN SUSP, 125MG/5ML",37
"NAPROXEN TAB, 250MG",4
NASAL BONES,612
NASAL SEPTAL BUTTON SZ3X4 SP78100,476
NASAL SINUS CULTURE,204
NASO/OROGASTRIC TUBE PLACEMENT,180
"NEBIVOLOL TAB, 10 MG",27
"NEBIVOLOL TAB, 2.5 MG",30
"NEBIVOLOL TAB, 5 MG",30
NECK FOR SOFT TISSUE,513
NEEDLE 3 CM 20 G HAWKINS (253030),144
NEEDLE ASPIR 2.4X1.52 M00550020,"1,358"
NEEDLE BIOPSY 11GAX4IN DJ4011X,144
NEEDLE BIOPSY 14GAX6IN 2N2704X,184
NEEDLE BIOPSY 2.2MM 9733068,"3,608"
NEEDLE BONE MAR ASP 11G 20909028,449
NEEDLE BONE MAR ASP 8G 20909029,449
NEEDLE CANNULA VERES BLUE 4.5 DIS,143
NEEDLE DEL 10GAX10CM DLS710301S,392
NEEDLE ESZ 100 48850100,449
NEEDLE EUS/FNB 19G M00555580,"3,211"
NEEDLE EXPRESS 8.5-9IN 214141,609
NEEDLE HAWK 20G BREAST 253125,175
NEEDLE LOCALIZATION BY XRAY,752
NEEDLE MENISCAL REPAIR EYELET8570,162
NEEDLE MULTIFIRESCORPION AR13995N,992
NEEDLE PEDACCESSTIGER2.9X42 TN100,449
NEEDLE PNEUMO ENDOPATH 150MM DISP,258
